Orthogroup	MHP_ES2_protein	MFC_MF33_protein
OG0000000	WP_014579826.1	WP_002557520.1
OG0000000	WP_240536403.1, WP_135618836.1	WP_308704744.1, WP_220190082.1
OG0000001	WP_240536309.1, WP_240536310.1, WP_135618606.1	WP_308704745.1
OG0000002	WP_240536360.1	WP_160609295.1, WP_258556745.1
OG0000002	WP_240536333.1	WP_160609296.1
OG0000006	WP_135618557.1, WP_135618629.1, WP_135618555.1	WP_160609255.1
OG0000007	WP_240536415.1	WP_160609447.1
OG0000007	WP_135618868.1	WP_220190092.1
OG0000007	WP_240536413.1	WP_308704746.1
OG0000009	WP_135618932.1, WP_135618930.1	WP_160609297.1
OG0000010	WP_240536341.1, WP_237697234.1	WP_258556753.1
OG0000016	WP_240536336.1, WP_240536334.1	WP_160609298.1
OG0000018	WP_135619032.1	WP_160609259.1, WP_160609271.1
OG0000021	WP_240536319.1, WP_240536318.1, WP_240536320.1, WP_135618756.1	WP_220189981.1
OG0000022	WP_240536332.1	WP_220189984.1
OG0000023	WP_135619110.1	WP_258556766.1, WP_308704725.1
OG0000025	WP_135618740.1	WP_144245607.1
OG0000026	WP_135618938.1	WP_160609423.1
OG0000027	WP_240536350.1	WP_220190012.1
OG0000029	WP_135618739.1	WP_160609261.1, WP_160609260.1
OG0000030	WP_135618969.1	WP_160583877.1
OG0000034	WP_135618940.1	WP_160609300.1
OG0000035	WP_135618771.1	WP_160609283.1
OG0000036	WP_014579882.1	WP_160609301.1
OG0000039	WP_240536308.1	WP_160609441.1
OG0000040	WP_011206223.1	WP_002557452.1
OG0000042	WP_135619164.1	WP_160609396.1
OG0000043	WP_135619158.1	WP_160609398.1
OG0000044	WP_135618787.1	WP_160609402.1
OG0000045	WP_011290219.1	WP_160583941.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_225972996.1	WP_160583671.1
OG0000048	WP_135619004.1	WP_160609268.1
OG0000049	WP_135619002.1	WP_002557626.1
OG0000050	WP_011206292.1	WP_160609299.1
OG0000051	WP_135619210.1	WP_002557671.1
OG0000052	WP_135618936.1	WP_160584006.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_011206420.1	WP_160609326.1
OG0000055	WP_135619064.1	WP_160609328.1
OG0000056	WP_135619103.1	WP_160609337.1
OG0000057	WP_011206089.1	WP_002557776.1
OG0000058	WP_135618593.1	WP_160609339.1
OG0000059	WP_044284596.1	WP_308704727.1
OG0000060	WP_011206046.1	WP_160609313.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_135618633.1	WP_160609319.1
OG0000063	WP_052259122.1	WP_002557882.1
OG0000064	WP_135618470.1	WP_160609393.1
OG0000065	WP_135618517.1	WP_160581028.1
OG0000066	WP_135618533.1	WP_160609246.1
OG0000067	WP_135619144.1	WP_160581384.1
OG0000068	WP_240536355.1	WP_160609413.1
OG0000069	WP_135618944.1	WP_002557977.1
OG0000070	WP_135618951.1	WP_160609290.1
OG0000071	WP_135618998.1	WP_160609272.1
OG0000072	WP_135619124.1	WP_160609415.1
OG0000073	WP_179695988.1	WP_196792423.1
OG0000074	WP_240536348.1	WP_258556751.1
OG0000075	WP_135618668.1	WP_231237865.1
OG0000076	WP_240536363.1	WP_308704737.1
OG0000077	WP_135618515.1	WP_308704724.1
OG0000079	WP_220200502.1	WP_052234586.1
OG0000080	WP_135618852.1	WP_160609442.1
OG0000081	WP_011206216.1	WP_160581484.1
OG0000082	WP_135618854.1	WP_160609445.1
OG0000083	WP_135618856.1	WP_160609431.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_135618858.1	WP_160581449.1
OG0000086	WP_135618860.1	WP_160609432.1
OG0000087	WP_220190703.1	WP_160609433.1
OG0000088	WP_044272477.1	WP_236681783.1
OG0000089	WP_044272480.1	WP_160581443.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_135618448.1	WP_002557464.1
OG0000092	WP_044278048.1	WP_002557465.1
OG0000093	WP_135618446.1	WP_160609388.1
OG0000094	WP_011205850.1	WP_160609387.1
OG0000095	WP_011205849.1	WP_160581091.1
OG0000096	WP_011205848.1	WP_160609386.1
OG0000097	WP_011205847.1	WP_160609385.1
OG0000098	WP_011205846.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_160581096.1
OG0000100	WP_135618442.1	WP_160609383.1
OG0000101	WP_135618439.1	WP_002557478.1
OG0000102	WP_044272251.1	WP_160609382.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_135619174.1	WP_160609380.1
OG0000105	WP_135619172.1	WP_002557483.1
OG0000106	WP_014580047.1	WP_160609379.1
OG0000107	WP_135619170.1	WP_160609378.1
OG0000108	WP_011206522.1	WP_160581109.1
OG0000109	WP_135619169.1	WP_160609377.1
OG0000110	WP_135619167.1	WP_160581114.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_135619192.1	WP_002557499.1
OG0000113	WP_135618779.1	WP_160609399.1
OG0000114	WP_135618781.1	WP_160609400.1
OG0000115	WP_135618876.1	WP_160609358.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_135618878.1	WP_002557511.1
OG0000118	WP_135618882.1	WP_002557514.1
OG0000119	WP_011206243.1	WP_160583937.1
OG0000120	WP_135618884.1	WP_160609357.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_011206247.1	WP_308704655.1
OG0000123	WP_135618926.1	WP_160581160.1
OG0000124	WP_240536331.1	WP_002557523.1
OG0000125	WP_011206273.1	WP_160609356.1
OG0000126	WP_240536330.1	WP_002557525.1
OG0000127	WP_135618921.1	WP_002557526.1
OG0000128	WP_011206268.1	WP_160609354.1
OG0000129	WP_225972979.1	WP_258556771.1
OG0000130	WP_011206264.1	WP_160609353.1
OG0000131	WP_135618672.1	WP_160609352.1
OG0000132	WP_135618674.1	WP_160609351.1
OG0000133	WP_135618676.1	WP_160609350.1
OG0000134	WP_135618678.1	WP_160581180.1
OG0000135	WP_135618680.1	WP_002557538.1
OG0000136	WP_228729171.1	WP_002557540.1
OG0000137	WP_135618686.1	WP_160581187.1
OG0000138	WP_011205966.1	WP_002557542.1
OG0000139	WP_011205965.1	WP_160609349.1
OG0000140	WP_011284027.1	WP_160609348.1
OG0000141	WP_044284614.1	WP_160581190.1
OG0000142	WP_011284032.1	WP_160609347.1
OG0000143	WP_135618690.1	WP_002557549.1
OG0000144	WP_020835645.1	WP_002557551.1
OG0000145	WP_011205954.1	WP_160581199.1
OG0000146	WP_011290118.1	WP_002557554.1
OG0000147	WP_011205952.1	WP_160581203.1
OG0000148	WP_011205950.1	WP_160605532.1
OG0000149	WP_135618699.1	WP_160609346.1
OG0000150	WP_135618701.1	WP_160583976.1
OG0000151	WP_135618705.1	WP_160609345.1
OG0000152	WP_135618707.1	WP_160603202.1
OG0000153	WP_020835651.1	WP_160609344.1
OG0000154	WP_135618709.1	WP_160609343.1
OG0000155	WP_011284046.1	WP_160593526.1
OG0000156	WP_135618710.1	WP_002557566.1
OG0000157	WP_014579735.1	WP_160609342.1
OG0000158	WP_135618714.1	WP_002557569.1
OG0000159	WP_014579586.1	WP_160609247.1
OG0000160	WP_135618544.1	WP_160609248.1
OG0000161	WP_014579589.1	WP_002557574.1
OG0000162	WP_233688635.1	WP_160609249.1
OG0000163	WP_011206121.1	WP_160609250.1
OG0000164	WP_011206120.1	WP_002557577.1
OG0000165	WP_135618546.1	WP_002557578.1
OG0000166	WP_135618548.1	WP_160609251.1
OG0000167	WP_135618550.1	WP_308704722.1
OG0000168	WP_011206113.1	WP_160583687.1
OG0000169	WP_135618561.1	WP_002557589.1
OG0000170	WP_135618563.1	WP_160583684.1
OG0000171	WP_011206102.1	WP_160609258.1
OG0000172	WP_011206101.1	WP_002557595.1
OG0000173	WP_011284290.1	WP_002557602.1
OG0000174	WP_135619030.1	WP_002557603.1
OG0000175	WP_135619028.1	WP_160580878.1
OG0000176	WP_135619026.1	WP_002557607.1
OG0000177	WP_135619024.1	WP_160583674.1
OG0000178	WP_135619022.1	WP_002557609.1
OG0000179	WP_240536347.1	WP_160609263.1
OG0000180	WP_011206385.1	WP_002557613.1
OG0000181	WP_135619018.1	WP_002557614.1
OG0000182	WP_135619016.1	WP_160580892.1
OG0000183	WP_135619012.1	WP_160583667.1
OG0000184	WP_011290331.1	WP_002557620.1
OG0000185	WP_135619010.1	WP_160609266.1
OG0000186	WP_135619008.1	WP_002557622.1
OG0000187	WP_135619006.1	WP_002557623.1
OG0000188	WP_135619000.1	WP_160609269.1
OG0000189	WP_135618994.1	WP_160609274.1
OG0000190	WP_020835827.1	WP_160609275.1
OG0000191	WP_135618992.1	WP_160609276.1
OG0000192	WP_094521730.1	WP_160609277.1
OG0000193	WP_135618986.1	WP_160609278.1
OG0000194	WP_135618984.1	WP_160609279.1
OG0000195	WP_135618982.1	WP_160609280.1
OG0000196	WP_011206335.1	WP_160583648.1
OG0000197	WP_014579918.1	WP_160609306.1
OG0000198	WP_135618980.1	WP_160609281.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_011284209.1	WP_002557668.1
OG0000201	WP_011206287.1	WP_160593407.1
OG0000202	WP_135618730.1	WP_160609421.1
OG0000203	WP_011284063.1	WP_160609420.1
OG0000204	WP_135618732.1	WP_160581414.1
OG0000205	WP_014579804.1	WP_160581416.1
OG0000206	WP_011206196.1	WP_002557680.1
OG0000207	WP_011290187.1	WP_160609418.1
OG0000208	WP_135618828.1	WP_160609417.1
OG0000209	WP_011206200.1	WP_002557684.1
OG0000210	WP_135618840.1	WP_160609426.1
OG0000211	WP_135618843.1	WP_220190081.1
OG0000212	WP_135618846.1	WP_160581429.1
OG0000213	WP_135618848.1	WP_002557693.1
OG0000214	WP_135619057.1	WP_160609325.1
OG0000215	WP_011206422.1	WP_160581256.1
OG0000216	WP_011206424.1	WP_002557707.1
OG0000217	WP_135619059.1	WP_002557708.1
OG0000218	WP_011290369.1	WP_002557709.1
OG0000219	WP_135619066.1	WP_160609329.1
OG0000220	WP_135619070.1	WP_160581263.1
OG0000221	WP_135619073.1	WP_002557715.1
OG0000222	WP_135619075.1	WP_160609331.1
OG0000223	WP_135619077.1	WP_160609332.1
OG0000224	WP_011206441.1	WP_002557721.1
OG0000225	WP_135619079.1	WP_039387689.1
OG0000226	WP_011206444.1	WP_160609333.1
OG0000227	WP_011206445.1	WP_002557725.1
OG0000228	WP_135619081.1	WP_160609334.1
OG0000229	WP_135619094.1	WP_160609335.1
OG0000230	WP_011206453.1	WP_160603214.1
OG0000231	WP_135619227.1	WP_002557731.1
OG0000232	WP_135619098.1	WP_160581280.1
OG0000233	WP_011206457.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_135619099.1	WP_002557735.1
OG0000236	WP_135619105.1	WP_160609338.1
OG0000237	WP_011206469.1	WP_002557739.1
OG0000238	WP_135619119.1	WP_160581467.1
OG0000239	WP_011290400.1	WP_160609439.1
OG0000240	WP_135619118.1	WP_160609438.1
OG0000241	WP_135619116.1	WP_002557743.1
OG0000242	WP_135619122.1	WP_160609416.1
OG0000243	WP_135618716.1	WP_002557749.1
OG0000244	WP_135618718.1	WP_160603234.1
OG0000245	WP_011290131.1	WP_002557751.1
OG0000246	WP_135618720.1	WP_002557752.1
OG0000247	WP_011284055.1	WP_002557753.1
OG0000248	WP_011284056.1	WP_002557754.1
OG0000249	WP_011205932.1	WP_160603230.1
OG0000250	WP_135618893.1	WP_160609372.1
OG0000251	WP_011206256.1	WP_160605458.1
OG0000252	WP_240536314.1	WP_220190045.1
OG0000253	WP_135619204.1	WP_258556776.1
OG0000254	WP_011205992.1	WP_160609368.1
OG0000255	WP_011283999.1	WP_002557766.1
OG0000256	WP_135618652.1	WP_160583987.1
