Assembly	ragtag.patch
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	882420
Total length (>= 1000 bp)	882420
Total length (>= 5000 bp)	882420
Total length (>= 10000 bp)	882420
Total length (>= 25000 bp)	882420
Total length (>= 50000 bp)	882420
# contigs	1
Largest contig	882420
Total length	882420
GC (%)	28.57
N50	882420
N90	882420
auN	882420.0
L50	1
L90	1
# N's per 100 kbp	311.64
