Orthogroup	MHP_154B_proteins	MHP_232_proteins
OG0000000	WP_404924635.1	WP_202943179.1
OG0000000	WP_404924621.1, WP_404924630.1	WP_011206165.1
OG0000001	WP_404923999.1	WP_228365393.1
OG0000001	WP_404923994.1	WP_011206342.1
OG0000002	WP_258555377.1	WP_011206236.1
OG0000002	WP_404924158.1	WP_011206167.1
OG0000003	WP_404924623.1	WP_044284785.1
OG0000003	WP_404924172.1	WP_187145846.1
OG0000004	WP_404924199.1	WP_011206415.1
OG0000005	WP_404924061.1	WP_011205860.1
OG0000005	WP_146379451.1	WP_011205862.1
OG0000006	WP_225972988.1	WP_011206294.1
OG0000006	WP_258555362.1	WP_011206269.1
OG0000008	WP_404923955.1	WP_232039538.1, WP_011206260.1
OG0000008	WP_404924145.1, WP_404924620.1	WP_011206151.1
OG0000008	WP_404924196.1	WP_011206295.1
OG0000009	WP_041361566.1	WP_011206100.1
OG0000009	WP_041361519.1	WP_011205856.1
OG0000009	WP_011290021.1	WP_011206098.1
OG0000010	WP_404924175.1	WP_011206187.1, WP_011205929.1, WP_011205930.1, WP_228366119.1
OG0000011	WP_160587900.1	WP_011206202.1
OG0000011	WP_404924624.1	WP_011206201.1
OG0000012	WP_404923974.1, WP_404924104.1, WP_158632000.1	WP_011205920.1
OG0000013	WP_240536333.1	WP_011206279.1
OG0000013	WP_404924067.1	WP_011205876.1
OG0000014	WP_404924107.1	WP_011206019.1
OG0000014	WP_404924106.1	WP_011206109.1
OG0000015	WP_014580032.1	WP_011206371.1
OG0000016	WP_404924002.1	WP_011206378.1
OG0000016	WP_146379459.1	WP_011205873.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_404923920.1	WP_011206364.1
OG0000019	WP_404924016.1	WP_011206411.1
OG0000020	WP_404924608.1	WP_011206516.1
OG0000020	WP_404924610.1	WP_011206517.1
OG0000021	WP_404924162.1	WP_011206127.1
OG0000022	WP_404924149.1	WP_011206154.1
OG0000022	WP_404924156.1	WP_011206164.1
OG0000023	WP_044272391.1	WP_011205972.1, WP_011206367.1
OG0000024	WP_404923993.1	WP_011206341.1
OG0000024	WP_404924124.1	WP_011205981.1
OG0000025	WP_404924150.1	WP_011206155.1
OG0000025	WP_160606775.1	WP_011206163.1
OG0000026	WP_404924129.1	WP_044284614.1
OG0000026	WP_404924155.1	WP_011206159.1
OG0000027	WP_146379747.1	WP_011206475.1
OG0000030	WP_404924603.1	WP_238374141.1
OG0000031	WP_404923928.1	WP_011206356.1
OG0000031	WP_011206142.1	WP_011206142.1
OG0000035	WP_404924601.1	WP_011206449.1
OG0000036	WP_020835495.1	WP_011205863.1
OG0000036	WP_146379454.1	WP_011205866.1
OG0000037	WP_404924629.1	WP_044284786.1
OG0000039	WP_179221095.1	WP_232039515.1, WP_011206145.1
OG0000040	WP_404924032.1	WP_011206462.1
OG0000041	WP_011290019.1	WP_011206099.1
OG0000042	WP_404924597.1	WP_044284805.1
OG0000043	WP_014579804.1	WP_011206195.1
OG0000044	WP_404924168.1	WP_011206179.1
OG0000045	WP_404924192.1	WP_011206147.1
OG0000046	WP_347952302.1, WP_404924602.1	WP_011206464.1
OG0000048	WP_011290213.1	WP_011206232.1
OG0000049	WP_020835860.1	WP_011206418.1
OG0000050	WP_404923972.1	WP_011206286.1
