Orthogroup	MFC_MF18_protein	MHP_168_protein
OG0000000	WP_160583943.1	WP_014579826.1
OG0000000	WP_308507119.1, WP_220190416.1	WP_044278002.1, WP_011284124.1
OG0000002	WP_160583612.1, WP_258556248.1	WP_228365404.1
OG0000002	WP_160593399.1	WP_228365388.1
OG0000006	WP_220190396.1	WP_014579660.1, WP_014579661.1
OG0000009	WP_160593401.1	WP_044278015.1
OG0000010	WP_220190178.1	WP_014579924.1, WP_228365417.1
OG0000011	WP_160593443.1	WP_014579958.1, WP_014579959.1
OG0000014	WP_160580916.1	WP_014579925.1, WP_014579709.1
OG0000016	WP_160593403.1	WP_014579874.1
OG0000018	WP_160593363.1, WP_160583661.1	WP_014579952.1
OG0000021	WP_160593376.1	WP_014580034.1
OG0000022	WP_220190398.1	WP_228365386.1, WP_228365387.1
OG0000023	WP_258556256.1, WP_160593380.1	WP_014579993.1
OG0000025	WP_255454456.1, WP_255454455.1	WP_228365422.1
OG0000026	WP_160593409.1	WP_014579879.1
OG0000029	WP_160593365.1	WP_187286318.1
OG0000030	WP_160583877.1	WP_044278027.1, WP_014579910.1
OG0000031	WP_323749063.1	WP_014579531.1
OG0000034	WP_160593405.1	WP_014579883.1
OG0000035	WP_160593384.1	WP_014579762.1
OG0000036	WP_160580991.1	WP_014579882.1
OG0000039	WP_160593542.1	WP_014579821.1
OG0000040	WP_308507123.1, WP_002557452.1	WP_014579844.1
OG0000041	WP_220190184.1	WP_187286313.1
OG0000042	WP_160593495.1	WP_014580030.1
OG0000043	WP_002557496.1	WP_014580027.1
OG0000044	WP_160583787.1	WP_014579753.1, WP_014579748.1
OG0000045	WP_160583941.1	WP_228365381.1
OG0000046	WP_002557593.1	WP_011206103.1
OG0000047	WP_160583671.1	WP_228365394.1
OG0000048	WP_002557625.1	WP_014579936.1
OG0000049	WP_002557626.1	WP_011284269.1
OG0000050	WP_002557663.1	WP_014579884.1
OG0000051	WP_160581406.1	WP_081450704.1
OG0000052	WP_160584006.1	WP_014579877.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_002557704.1	WP_014579964.1
OG0000055	WP_002557712.1	WP_014579969.1
OG0000056	WP_160581282.1	WP_014579991.1
OG0000057	WP_002557776.1	WP_011206089.1
OG0000058	WP_160583922.1	WP_014579626.1
OG0000059	WP_308507108.1	WP_014579624.1
OG0000060	WP_002557818.1	WP_014579617.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_160583873.1	WP_014579663.1
OG0000063	WP_160583743.1	WP_014579535.1
OG0000064	WP_160583741.1	WP_014579536.1
OG0000065	WP_160581028.1	WP_014579568.1
OG0000066	WP_160593554.1, WP_160583701.1	WP_014579581.1
OG0000067	WP_160583802.1	WP_011206493.1
OG0000068	WP_160583812.1	WP_044278116.1
OG0000069	WP_002557977.1	WP_014579888.1
OG0000070	WP_160580968.1	WP_011206305.1
OG0000071	WP_160583660.1	WP_014579934.1
OG0000072	WP_160583820.1	WP_044278039.1
OG0000073	WP_196792423.1	WP_179695988.1
OG0000074	WP_255454457.1	WP_228365395.1
OG0000075	WP_258556250.1	WP_044277983.1, WP_014579707.1
OG0000076	WP_308507113.1	WP_228365410.1
OG0000077	WP_308507105.1	WP_014579567.1
OG0000078	WP_220190186.1	WP_014580002.1
OG0000079	WP_052234586.1	WP_014579820.1
OG0000080	WP_160581474.1	WP_014579822.1
OG0000081	WP_160593548.1	WP_014579823.1
OG0000082	WP_160584029.1	WP_014579848.1
OG0000083	WP_002557450.1	WP_014579846.1
OG0000084	WP_002557451.1	WP_014579845.1
OG0000085	WP_002557453.1	WP_011206224.1
OG0000086	WP_160593520.1	WP_014579843.1
OG0000087	WP_160584023.1	WP_044278006.1
OG0000088	WP_236681783.1	WP_014579840.1
OG0000089	WP_160581443.1	WP_014579839.1
OG0000090	WP_002557461.1	WP_011206231.1
OG0000091	WP_002557464.1	WP_014579524.1
OG0000092	WP_002557465.1	WP_044278048.1
OG0000093	WP_160583751.1	WP_011283833.1
OG0000094	WP_160593341.1	WP_014579522.1
OG0000095	WP_002557469.1	WP_011205849.1
OG0000096	WP_160583753.1	WP_014579521.1
OG0000097	WP_002557471.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_011205846.1
OG0000099	WP_160583755.1	WP_014579519.1
OG0000100	WP_160593339.1	WP_014579518.1
OG0000101	WP_160583760.1	WP_044277943.1
OG0000102	WP_002557479.1	WP_014579516.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160583762.1	WP_014580049.1
OG0000105	WP_160583764.1	WP_228365398.1
OG0000106	WP_160583766.1	WP_014580047.1
OG0000107	WP_002557485.1	WP_014580046.1
OG0000108	WP_002557486.1	WP_014580045.1
OG0000109	WP_160593336.1	WP_014580044.1
OG0000110	WP_160583769.1	WP_014580043.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_160593490.1	WP_044277991.1
OG0000113	WP_160583781.1	WP_014579756.1
OG0000114	WP_160583783.1	WP_014579755.1
OG0000115	WP_160583935.1	WP_014579835.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_014579834.1
OG0000118	WP_002557514.1	WP_014579832.1
OG0000119	WP_160583937.1	WP_014579831.1
OG0000120	WP_160583939.1	WP_014579830.1
OG0000121	WP_002557518.1	WP_014579828.1
OG0000122	WP_002557519.1	WP_011206247.1
OG0000123	WP_160581160.1	WP_014579870.1
OG0000124	WP_220190224.1	WP_044278012.1
OG0000125	WP_160583947.1	WP_014579868.1
OG0000126	WP_160583949.1	WP_228365385.1
OG0000127	WP_160583951.1	WP_011206271.1
OG0000128	WP_160593462.1	WP_014579864.1
OG0000129	WP_002557530.1	WP_044278010.1
OG0000130	WP_160583957.1	WP_014579859.1
OG0000131	WP_160583959.1	WP_014579711.1
OG0000132	WP_160583961.1	WP_014579712.1
OG0000133	WP_160581178.1	WP_014579713.1
