Assembly	GCF_009831965.1_ASM983196v1_genomic
# contigs (>= 0 bp)	37
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	8
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	777569
Total length (>= 1000 bp)	768267
Total length (>= 5000 bp)	756917
Total length (>= 10000 bp)	741426
Total length (>= 25000 bp)	666288
Total length (>= 50000 bp)	480974
# contigs	28
Largest contig	210150
Total length	774678
GC (%)	28.88
N50	67566
N90	17685
auN	108546.1
L50	3
L90	10
# N's per 100 kbp	39.89
