Orthogroup	MHP_MHP699_protein	MHP_REF_protein
OG0000000	WP_160585019.1, WP_160585205.1, WP_160585017.1	WP_044272461.1
OG0000001	WP_220190744.1, WP_240536590.1, WP_160584822.1, WP_308506998.1	WP_044272444.1
OG0000002	WP_280996468.1, WP_280996675.1	WP_228366099.1
OG0000031	WP_160584826.1	WP_011205867.1
OG0000035	WP_160585058.1	WP_044272427.1
OG0000043	WP_160584888.1	WP_011290432.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_011206374.1	WP_044272567.1
OG0000053	WP_160584919.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_011290048.1
OG0000060	WP_020835589.1	WP_011290055.1
OG0000062	WP_146379532.1	WP_020835608.1
OG0000063	WP_052259122.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_160584913.1	WP_020835906.1
OG0000069	WP_020835790.1	WP_044272542.1
OG0000071	WP_044272563.1	WP_044272563.1
OG0000072	WP_160585257.1	WP_044272653.1
OG0000076	WP_308506986.1	WP_228366125.1
OG0000236	WP_160585221.1	WP_044272642.1
OG0000503	WP_225972997.1	WP_228366107.1
OG0000545	WP_280996806.1	WP_011290141.1
OG0000556	WP_011206170.1	WP_044272437.1
OG0000559	WP_020835815.1	WP_011290306.1
OG0000623	WP_192894277.1	WP_052269171.1
OG0000642	WP_146379617.1	WP_187145663.1
