#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:729918-731657|- -            580 539at2085            -            541  5.1e-246  812.9  13.8   1   1  3.2e-248  5.8e-246  812.7  13.8     1   541     8   574     8   574 0.97 scf00000000_588 # 729918 # 731657 # -1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.299
scf00000000:46118-47485|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   1   3      0.16        29   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_40 # 46118 # 47485 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:46118-47485|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_40 # 46118 # 47485 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:46118-47485|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   3   3   5.9e-05     0.011    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_40 # 46118 # 47485 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:464108-465547|- -            480 539at2085            -            541   2.7e-07   25.0   6.4   1   3     0.014       2.5    2.0   0.0   186   317    43   184    34   196 0.65 scf00000000_386 # 464108 # 465547 # -1 # ID=1_386;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:464108-465547|- -            480 539at2085            -            541   2.7e-07   25.0   6.4   2   3   2.5e-09   4.5e-07   24.3   2.2   408   525   237   366   227   382 0.78 scf00000000_386 # 464108 # 465547 # -1 # ID=1_386;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:464108-465547|- -            480 539at2085            -            541   2.7e-07   25.0   6.4   3   3      0.12        21   -1.1   0.1    29   128   366   470   360   473 0.52 scf00000000_386 # 464108 # 465547 # -1 # ID=1_386;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:271650-272891|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        31   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_235 # 271650 # 272891 # 1 # ID=1_235;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:271650-272891|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0038   11.3   0.0   153   362   133   347   128   353 0.80 scf00000000_235 # 271650 # 272891 # 1 # ID=1_235;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:271650-272891|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.5    2.0   0.0   411   458   361   406   354   409 0.76 scf00000000_235 # 271650 # 272891 # 1 # ID=1_235;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use
# Date:            Sun Dec  1 19:27:04 2024
# [ok]
