Orthogroup	MFC_MF29_genes	MHP_MHP691_genes
OG0000000	DR095_RS03105	DR087_RS00160
OG0000001	DR095_RS00305, DR095_RS00300	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255
OG0000002	DR095_RS04030	DR087_RS04740
OG0000002	DR095_RS03820	DR087_RS04755
OG0000003	DR095_RS04020	DR087_RS04750
OG0000007	DR095_RS03020	DR087_RS03535
OG0000007	DR095_RS03025	DR087_RS03530
OG0000007	DR095_RS03035	DR087_RS04335, DR087_RS03525
OG0000011	DR095_RS03240, DR095_RS03235	DR087_RS01510, DR087_RS04590
OG0000011	DR095_RS03230	DR087_RS01515
OG0000013	DR095_RS00580, DR095_RS00575	DR087_RS01680
OG0000013	DR095_RS03215	DR087_RS04185
OG0000014	DR095_RS03760	DR087_RS03505, DR087_RS03520
OG0000016	DR095_RS00250	DR087_RS01400
OG0000017	DR095_RS01000	DR087_RS02410
OG0000017	DR095_RS00240	DR087_RS01410
OG0000018	DR095_RS03835	DR087_RS04435
OG0000020	DR095_RS03810	DR087_RS04440
OG0000020	DR095_RS03805	DR087_RS04445
OG0000022	DR095_RS03815	DR087_RS04630
OG0000023	DR095_RS01955	DR087_RS00330
OG0000024	DR095_RS00310	DR087_RS03250
OG0000025	DR095_RS01230	DR087_RS02095
OG0000026	DR095_RS01450	DR087_RS01165, DR087_RS02075
OG0000027	DR095_RS03960	DR087_RS04475
OG0000029	DR095_RS00085	DR087_RS02775, DR087_RS03175
OG0000030	DR095_RS03965	DR087_RS04640, DR087_RS04470
OG0000031	DR095_RS02710	DR087_RS03210
OG0000033	DR095_RS00600, DR095_RS03210	DR087_RS04070
OG0000039	DR095_RS00145	DR087_RS03190
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	DR087_RS02165
OG0000042	DR095_RS00140, DR095_RS00285	DR087_RS03360
OG0000043	DR095_RS01635, DR095_RS02735	DR087_RS01545
OG0000045	DR095_RS03295, DR095_RS03300	DR087_RS03185
OG0000048	DR095_RS03095, DR095_RS02830	DR087_RS00140
OG0000049	DR095_RS01755	DR087_RS01000
OG0000050	DR095_RS03970	DR087_RS02450
OG0000051	DR095_RS01545	DR087_RS01275
OG0000052	DR095_RS01040	DR087_RS00505
OG0000053	DR095_RS03995, DR095_RS01535	DR087_RS04540
OG0000054	DR095_RS00625	DR087_RS02475
OG0000055	DR095_RS01035	DR087_RS00555
OG0000056	DR095_RS01205	DR087_RS00765
OG0000057	DR095_RS00165	DR087_RS01485
OG0000059	DR095_RS03480	DR087_RS03825
OG0000062	DR095_RS01150	DR087_RS00395
OG0000063	DR095_RS01155	DR087_RS04450
OG0000064	DR095_RS01165	DR087_RS00380
OG0000065	DR095_RS01310	DR087_RS00215
OG0000066	DR095_RS01440	DR087_RS01175
OG0000067	DR095_RS00010	DR087_RS02860
OG0000068	DR095_RS00120	DR087_RS03140
OG0000069	DR095_RS00275	DR087_RS01375
OG0000070	DR095_RS00605	DR087_RS02480
OG0000071	DR095_RS01935	DR087_RS00780
OG0000072	DR095_RS03885	DR087_RS02175
OG0000073	DR095_RS02080	DR087_RS02200
OG0000074	DR095_RS03915	DR087_RS04685
OG0000075	DR095_RS00815	DR087_RS01860
OG0000077	DR095_RS00715	DR087_RS03060
OG0000079	DR095_RS00525	DR087_RS02980
OG0000080	DR095_RS03375	DR087_RS04005
OG0000081	DR095_RS00820	DR087_RS01855
OG0000082	DR095_RS00585	DR087_RS01685
OG0000083	DR095_RS03045	DR087_RS00065
OG0000084	DR095_RS02880	DR087_RS00090
OG0000085	DR095_RS02875	DR087_RS00095
OG0000086	DR095_RS03990	DR087_RS00105
OG0000087	DR095_RS02850	DR087_RS00120
OG0000088	DR095_RS02845	DR087_RS00125
OG0000089	DR095_RS02835	DR087_RS00135
OG0000090	DR095_RS01045	DR087_RS00500
OG0000091	DR095_RS01060	DR087_RS00485
OG0000092	DR095_RS01075	DR087_RS00470
OG0000093	DR095_RS01080	DR087_RS00465
OG0000094	DR095_RS01085	DR087_RS00460
OG0000095	DR095_RS01110	DR087_RS00435
OG0000096	DR095_RS01115	DR087_RS00430
OG0000097	DR095_RS01135	DR087_RS00410
OG0000098	DR095_RS01145	DR087_RS00400
OG0000099	DR095_RS01200	DR087_RS00775
OG0000100	DR095_RS01210	DR087_RS00750
OG0000101	DR095_RS01215	DR087_RS00745
OG0000102	DR095_RS01225	DR087_RS02090
OG0000103	DR095_RS01275	DR087_RS00180
OG0000104	DR095_RS01280	DR087_RS00185
OG0000105	DR095_RS01295	DR087_RS00200
OG0000106	DR095_RS01305	DR087_RS00210
OG0000107	DR095_RS01315	DR087_RS00220
OG0000108	DR095_RS01320	DR087_RS00225
OG0000109	DR095_RS01325	DR087_RS00230
OG0000110	DR095_RS01330	DR087_RS01695
OG0000111	DR095_RS01335	DR087_RS01700
OG0000112	DR095_RS01345	DR087_RS01710
OG0000113	DR095_RS03830	DR087_RS04610
OG0000114	DR095_RS01370	DR087_RS01740
OG0000115	DR095_RS01380	DR087_RS01750
OG0000116	DR095_RS01390	DR087_RS03310
OG0000117	DR095_RS01395	DR087_RS03305
OG0000118	DR095_RS01425	DR087_RS01190
OG0000119	DR095_RS01430	DR087_RS01185
OG0000120	DR095_RS01445	DR087_RS01170
OG0000121	DR095_RS01470	DR087_RS01145
OG0000122	DR095_RS01475	DR087_RS01140
OG0000123	DR095_RS01495	DR087_RS01120
OG0000124	DR095_RS01500	DR087_RS01115
OG0000125	DR095_RS01505	DR087_RS01110
OG0000126	DR095_RS01515	DR087_RS01100
OG0000127	DR095_RS01525	DR087_RS01090
OG0000128	DR095_RS02900	DR087_RS01075
OG0000129	DR095_RS02905	DR087_RS01070
OG0000130	DR095_RS02915	DR087_RS01060
OG0000131	DR095_RS02945	DR087_RS04535
OG0000132	DR095_RS04000	DR087_RS04530
OG0000133	DR095_RS00015	DR087_RS02865
OG0000134	DR095_RS03750	DR087_RS02870
OG0000135	DR095_RS00035	DR087_RS02885
OG0000136	DR095_RS00040	DR087_RS02890
OG0000137	DR095_RS00070	DR087_RS02930
OG0000138	DR095_RS00095	DR087_RS03165
OG0000139	DR095_RS00125	DR087_RS03135
OG0000140	DR095_RS00130	DR087_RS03130
OG0000141	DR095_RS00155	DR087_RS01495
OG0000142	DR095_RS03765	DR087_RS04585
OG0000143	DR095_RS00185	DR087_RS01465
OG0000144	DR095_RS00195	DR087_RS01455
OG0000145	DR095_RS00205	DR087_RS01445
OG0000146	DR095_RS00215	DR087_RS01435
OG0000147	DR095_RS00220	DR087_RS01430
OG0000148	DR095_RS00235	DR087_RS01415
OG0000149	DR095_RS00245	DR087_RS01405
OG0000150	DR095_RS00260	DR087_RS01390
OG0000151	DR095_RS00315	DR087_RS03290
OG0000152	DR095_RS00320	DR087_RS03285
OG0000153	DR095_RS00325	DR087_RS03280
OG0000154	DR095_RS00335	DR087_RS03270
OG0000155	DR095_RS00355	DR087_RS03545
OG0000156	DR095_RS00390	DR087_RS01225
OG0000157	DR095_RS03780	DR087_RS04555
OG0000158	DR095_RS03785	DR087_RS04560
OG0000159	DR095_RS00635	DR087_RS04805
OG0000160	DR095_RS00640	DR087_RS02460
OG0000161	DR095_RS00650	DR087_RS02455
OG0000162	DR095_RS02680	DR087_RS02445
OG0000163	DR095_RS02685	DR087_RS02440
OG0000164	DR095_RS03975	DR087_RS03205
OG0000165	DR095_RS02760	DR087_RS01520
OG0000166	DR095_RS02780	DR087_RS00005
OG0000167	DR095_RS02795	DR087_RS00020
OG0000168	DR095_RS02800	DR087_RS00025
OG0000169	DR095_RS01750	DR087_RS01010
OG0000170	DR095_RS01765	DR087_RS00990
OG0000171	DR095_RS01775	DR087_RS00980
OG0000172	DR095_RS01780	DR087_RS00975
OG0000173	DR095_RS01785	DR087_RS00970
OG0000174	DR095_RS01790	DR087_RS00965
OG0000175	DR095_RS01805	DR087_RS00950
OG0000176	DR095_RS01845	DR087_RS00900
OG0000177	DR095_RS01850	DR087_RS00895
OG0000178	DR095_RS01855	DR087_RS00890
OG0000179	DR095_RS01865	DR087_RS00880
OG0000180	DR095_RS01870	DR087_RS00875
OG0000181	DR095_RS03870	DR087_RS04520
OG0000182	DR095_RS01895	DR087_RS00820
OG0000183	DR095_RS01930	DR087_RS00785
OG0000184	DR095_RS02970	DR087_RS02140
OG0000185	DR095_RS02985	DR087_RS02155
OG0000186	DR095_RS01970	DR087_RS04735
OG0000187	DR095_RS01985	DR087_RS03425
OG0000188	DR095_RS01995	DR087_RS03415
OG0000189	DR095_RS03890	DR087_RS04425
OG0000190	DR095_RS02010	DR087_RS00260
OG0000191	DR095_RS02030	DR087_RS00240
OG0000192	DR095_RS02040	DR087_RS02805
OG0000193	DR095_RS02055	DR087_RS02790
OG0000194	DR095_RS02065	DR087_RS02185
OG0000195	DR095_RS02070	DR087_RS02190
OG0000196	DR095_RS03895	DR087_RS02210
OG0000197	DR095_RS02095	DR087_RS02215
OG0000198	DR095_RS02110	DR087_RS02230
OG0000199	DR095_RS02115	DR087_RS02235
OG0000200	DR095_RS02130	DR087_RS02250
OG0000201	DR095_RS02140	DR087_RS02260
OG0000202	DR095_RS02195	DR087_RS02315
OG0000203	DR095_RS02200	DR087_RS02320
OG0000204	DR095_RS03925	DR087_RS04700
OG0000205	DR095_RS02490	DR087_RS02610
OG0000206	DR095_RS02470	DR087_RS02590
OG0000207	DR095_RS02455	DR087_RS02575
OG0000208	DR095_RS02450	DR087_RS02570
OG0000209	DR095_RS02445	DR087_RS02565
OG0000210	DR095_RS02400	DR087_RS02520
OG0000211	DR095_RS02390	DR087_RS02630
OG0000212	DR095_RS02380	DR087_RS02640
OG0000213	DR095_RS02375	DR087_RS02645
OG0000214	DR095_RS02370	DR087_RS02650
OG0000215	DR095_RS02365	DR087_RS02655
OG0000216	DR095_RS02360	DR087_RS02660
OG0000217	DR095_RS02355	DR087_RS02665
OG0000218	DR095_RS03910	DR087_RS02675
OG0000219	DR095_RS02340	DR087_RS02680
OG0000220	DR095_RS02335	DR087_RS02685
OG0000221	DR095_RS02330	DR087_RS02690
OG0000222	DR095_RS02325	DR087_RS02695
OG0000223	DR095_RS02320	DR087_RS02700
OG0000224	DR095_RS02310	DR087_RS02710
OG0000225	DR095_RS02300	DR087_RS02720
OG0000226	DR095_RS02295	DR087_RS02725
OG0000227	DR095_RS02290	DR087_RS02730
OG0000228	DR095_RS04045	DR087_RS04810
OG0000229	DR095_RS02280	DR087_RS02740
OG0000230	DR095_RS02275	DR087_RS02745
OG0000231	DR095_RS02265	DR087_RS02755
OG0000232	DR095_RS02255	DR087_RS02765
OG0000233	DR095_RS02245	DR087_RS02010
OG0000234	DR095_RS02215	DR087_RS01970
OG0000235	DR095_RS02205	DR087_RS01960
OG0000236	DR095_RS01540	DR087_RS01955
OG0000237	DR095_RS01560	DR087_RS01950
OG0000238	DR095_RS01565	DR087_RS01940
OG0000239	DR095_RS01595	DR087_RS03355
OG0000240	DR095_RS01600	DR087_RS03350
OG0000241	DR095_RS01705	DR087_RS03340
OG0000242	DR095_RS01710	DR087_RS03365
OG0000243	DR095_RS01715	DR087_RS03370
OG0000244	DR095_RS01725	DR087_RS03380
OG0000245	DR095_RS01735	DR087_RS03390
OG0000246	DR095_RS01030	DR087_RS00560
OG0000247	DR095_RS01020	DR087_RS02415
OG0000248	DR095_RS00995	DR087_RS02405
OG0000249	DR095_RS00990	DR087_RS02400
OG0000250	DR095_RS00975	DR087_RS02385
OG0000251	DR095_RS00945	DR087_RS02350
OG0000252	DR095_RS00935	DR087_RS02340
OG0000253	DR095_RS00930	DR087_RS02335
OG0000254	DR095_RS00920	DR087_RS02325
OG0000255	DR095_RS00915	DR087_RS01760
OG0000256	DR095_RS00910	DR087_RS01765
OG0000257	DR095_RS00885	DR087_RS01790
OG0000258	DR095_RS00875	DR087_RS01800
OG0000259	DR095_RS00845	DR087_RS01830
OG0000260	DR095_RS00835	DR087_RS01840
OG0000261	DR095_RS03795	DR087_RS04615
OG0000262	DR095_RS00810	DR087_RS01865
OG0000263	DR095_RS00795	DR087_RS01880
OG0000264	DR095_RS00780	DR087_RS01895
OG0000265	DR095_RS00770	DR087_RS01910
OG0000266	DR095_RS00755	DR087_RS03015
OG0000267	DR095_RS00740	DR087_RS03030
OG0000268	DR095_RS00735	DR087_RS03035
OG0000269	DR095_RS00720	DR087_RS03050
OG0000270	DR095_RS03930	DR087_RS04505
OG0000271	DR095_RS02520	DR087_RS00715
OG0000272	DR095_RS02525	DR087_RS00710
OG0000273	DR095_RS02530	DR087_RS00705
OG0000274	DR095_RS02550	DR087_RS00685
OG0000275	DR095_RS03935	DR087_RS04495
OG0000276	DR095_RS02560	DR087_RS00675
OG0000277	DR095_RS03940	DR087_RS00665
OG0000278	DR095_RS02575	DR087_RS00660
OG0000279	DR095_RS02585	DR087_RS00650
OG0000280	DR095_RS02590	DR087_RS00645
OG0000281	DR095_RS02595	DR087_RS00640
OG0000282	DR095_RS02620	DR087_RS04485
OG0000283	DR095_RS02625	DR087_RS00610
OG0000284	DR095_RS02630	DR087_RS00605
OG0000285	DR095_RS03955	DR087_RS04480
OG0000286	DR095_RS00590	DR087_RS02425
OG0000287	DR095_RS00565	DR087_RS02940
OG0000288	DR095_RS00555	DR087_RS02950
OG0000289	DR095_RS00550	DR087_RS02955
OG0000290	DR095_RS03370	DR087_RS01285
OG0000291	DR095_RS00450	DR087_RS01295
OG0000292	DR095_RS00455	DR087_RS01300
