Orthogroup	MFC_MF29_genes	MHP_UFV01_genes
OG0000000	DR095_RS03080	FEF30_RS02570
OG0000000	DR095_RS01240	FEF30_RS02035
OG0000001	DR095_RS00305, DR095_RS00300	FEF30_RS01595, FEF30_RS01590, FEF30_RS03180, FEF30_RS03130, FEF30_RS03125
OG0000002	DR095_RS04030	FEF30_RS04340
OG0000002	DR095_RS03820	FEF30_RS04295
OG0000003	DR095_RS04020	FEF30_RS04345
OG0000007	DR095_RS03020	FEF30_RS02555
OG0000007	DR095_RS03025	FEF30_RS02545
OG0000007	DR095_RS03035	FEF30_RS02540
OG0000008	DR095_RS03220	FEF30_RS01955
OG0000011	DR095_RS03240, DR095_RS03235	FEF30_RS02330
OG0000011	DR095_RS03230	FEF30_RS02325
OG0000013	DR095_RS00580, DR095_RS00575	FEF30_RS02775
OG0000013	DR095_RS03215	FEF30_RS00500
OG0000014	DR095_RS03760	FEF30_RS00910, FEF30_RS01400, FEF30_RS04210
OG0000015	DR095_RS01695	FEF30_RS02045
OG0000016	DR095_RS00250	FEF30_RS03220
OG0000017	DR095_RS01000	FEF30_RS00470
OG0000017	DR095_RS00240	FEF30_RS03230
OG0000018	DR095_RS03850	FEF30_RS02065, FEF30_RS02070
OG0000020	DR095_RS03810	FEF30_RS00265
OG0000020	DR095_RS03805	FEF30_RS03755
OG0000022	DR095_RS03815	FEF30_RS04290
OG0000023	DR095_RS03490	FEF30_RS02055
OG0000024	DR095_RS00310	FEF30_RS03120, FEF30_RS01585
OG0000025	DR095_RS01230	FEF30_RS02025
OG0000026	DR095_RS01450	FEF30_RS01680, FEF30_RS02005
OG0000027	DR095_RS03960	FEF30_RS04125
OG0000028	DR095_RS00595	FEF30_RS02785, FEF30_RS02790
OG0000029	DR095_RS00085	FEF30_RS01390, FEF30_RS00925
OG0000030	DR095_RS03965	FEF30_RS04110, FEF30_RS04120
OG0000031	DR095_RS01640	FEF30_RS02100
OG0000039	DR095_RS00145	FEF30_RS01930
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	FEF30_RS03620
OG0000042	DR095_RS00140, DR095_RS00285	FEF30_RS03315
OG0000043	DR095_RS02735	FEF30_RS02105
OG0000045	DR095_RS03295, DR095_RS03300	FEF30_RS01935, FEF30_RS01940
OG0000047	DR095_RS03200	FEF30_RS02085
OG0000048	DR095_RS03095, DR095_RS02830	FEF30_RS02480
OG0000049	DR095_RS01755	FEF30_RS03400
OG0000050	DR095_RS03970	FEF30_RS02820
OG0000051	DR095_RS01545	FEF30_RS03030
OG0000052	DR095_RS01040	FEF30_RS00405
OG0000053	DR095_RS03995, DR095_RS01535	FEF30_RS04260
OG0000054	DR095_RS00625	FEF30_RS02845
OG0000055	DR095_RS01035	FEF30_RS00450
OG0000056	DR095_RS01205	FEF30_RS00250
OG0000057	DR095_RS00165	FEF30_RS03300
OG0000058	DR095_RS01620	FEF30_RS02120
OG0000059	DR095_RS03480	FEF30_RS02110
OG0000062	DR095_RS01150	FEF30_RS00295
OG0000063	DR095_RS01155	FEF30_RS04165
OG0000064	DR095_RS01165	FEF30_RS00280
OG0000065	DR095_RS01310	FEF30_RS02625
OG0000066	DR095_RS01440	FEF30_RS01670
OG0000068	DR095_RS00120	FEF30_RS00960
OG0000069	DR095_RS00275	FEF30_RS03195
OG0000070	DR095_RS00605	FEF30_RS02850
OG0000071	DR095_RS01935	FEF30_RS03610
OG0000072	DR095_RS03885	FEF30_RS04405
OG0000073	DR095_RS02080	FEF30_RS01015
OG0000074	DR095_RS03915	FEF30_RS04230
OG0000075	DR095_RS00815	FEF30_RS00655
OG0000076	DR095_RS00800	FEF30_RS00670
OG0000077	DR095_RS00715	FEF30_RS00755
OG0000079	DR095_RS00525	FEF30_RS02935
OG0000080	DR095_RS03375	FEF30_RS02980
OG0000081	DR095_RS00820	FEF30_RS00650
OG0000082	DR095_RS00585	FEF30_RS02770
OG0000083	DR095_RS03045	FEF30_RS02400
OG0000084	DR095_RS02880	FEF30_RS02430
OG0000085	DR095_RS02875	FEF30_RS02435
OG0000086	DR095_RS03990	FEF30_RS02445
OG0000087	DR095_RS02850	FEF30_RS02460
OG0000088	DR095_RS02845	FEF30_RS02465
OG0000089	DR095_RS02835	FEF30_RS02475
OG0000090	DR095_RS01045	FEF30_RS00400
OG0000091	DR095_RS01060	FEF30_RS00385
OG0000092	DR095_RS01075	FEF30_RS00370
OG0000093	DR095_RS01080	FEF30_RS00365
OG0000094	DR095_RS01085	FEF30_RS00360
OG0000095	DR095_RS01110	FEF30_RS00335
OG0000096	DR095_RS01115	FEF30_RS00330
OG0000097	DR095_RS01135	FEF30_RS00310
OG0000098	DR095_RS01145	FEF30_RS00300
OG0000099	DR095_RS01200	FEF30_RS04160
OG0000100	DR095_RS01210	FEF30_RS00240
OG0000101	DR095_RS01215	FEF30_RS00235
OG0000102	DR095_RS01225	FEF30_RS02020
OG0000103	DR095_RS01275	FEF30_RS02590
OG0000104	DR095_RS01280	FEF30_RS02595
OG0000105	DR095_RS01295	FEF30_RS02610
OG0000106	DR095_RS01305	FEF30_RS02620
OG0000107	DR095_RS01315	FEF30_RS02630
OG0000108	DR095_RS01320	FEF30_RS02635
OG0000109	DR095_RS01325	FEF30_RS02640
OG0000110	DR095_RS01330	FEF30_RS02760
OG0000111	DR095_RS01335	FEF30_RS02755
OG0000112	DR095_RS01345	FEF30_RS02745
OG0000113	DR095_RS03830	FEF30_RS02725
OG0000114	DR095_RS01370	FEF30_RS02715
OG0000115	DR095_RS01380	FEF30_RS02705
OG0000116	DR095_RS01390	FEF30_RS01610
OG0000117	DR095_RS01395	FEF30_RS01615
OG0000118	DR095_RS01425	FEF30_RS01650
OG0000119	DR095_RS01430	FEF30_RS01655
OG0000120	DR095_RS01445	FEF30_RS01675
OG0000121	DR095_RS01470	FEF30_RS01700
OG0000122	DR095_RS01475	FEF30_RS01705
OG0000123	DR095_RS01495	FEF30_RS01725
OG0000124	DR095_RS01500	FEF30_RS01730
OG0000125	DR095_RS01505	FEF30_RS01735
OG0000126	DR095_RS01515	FEF30_RS01745
OG0000127	DR095_RS01525	FEF30_RS01755
OG0000128	DR095_RS02900	FEF30_RS01770
OG0000129	DR095_RS02905	FEF30_RS01775
OG0000130	DR095_RS02915	FEF30_RS01785
OG0000131	DR095_RS02945	FEF30_RS04265
OG0000132	DR095_RS04000	FEF30_RS04270
OG0000133	DR095_RS00015	FEF30_RS00840
OG0000134	DR095_RS03750	FEF30_RS00845
OG0000135	DR095_RS00035	FEF30_RS00860
OG0000136	DR095_RS00040	FEF30_RS00865
OG0000137	DR095_RS00070	FEF30_RS00905
OG0000138	DR095_RS00095	FEF30_RS00935
OG0000139	DR095_RS00125	FEF30_RS00965
OG0000140	DR095_RS00130	FEF30_RS00970
OG0000141	DR095_RS00155	FEF30_RS03310
OG0000142	DR095_RS03765	FEF30_RS04385
OG0000143	DR095_RS00185	FEF30_RS03285
OG0000144	DR095_RS00195	FEF30_RS03275
OG0000145	DR095_RS00205	FEF30_RS03265
OG0000146	DR095_RS00215	FEF30_RS03255
OG0000147	DR095_RS00220	FEF30_RS03250
OG0000148	DR095_RS00235	FEF30_RS03235
OG0000149	DR095_RS00245	FEF30_RS03225
OG0000150	DR095_RS00260	FEF30_RS03210
OG0000151	DR095_RS00315	FEF30_RS03160
OG0000152	DR095_RS00320	FEF30_RS03155
OG0000153	DR095_RS00325	FEF30_RS03150
OG0000154	DR095_RS00335	FEF30_RS03140
OG0000155	DR095_RS00355	FEF30_RS03100
OG0000156	DR095_RS00390	FEF30_RS03090
OG0000157	DR095_RS03780	FEF30_RS04375
OG0000158	DR095_RS03785	FEF30_RS04370
OG0000159	DR095_RS00635	FEF30_RS02835
OG0000160	DR095_RS00640	FEF30_RS02830
OG0000161	DR095_RS00650	FEF30_RS02825
OG0000162	DR095_RS02680	FEF30_RS02815
OG0000163	DR095_RS02685	FEF30_RS02810
OG0000164	DR095_RS03975	FEF30_RS01925
OG0000165	DR095_RS02760	FEF30_RS02320
OG0000166	DR095_RS02780	FEF30_RS02340
OG0000167	DR095_RS02795	FEF30_RS02355
OG0000168	DR095_RS02800	FEF30_RS02360
OG0000169	DR095_RS01750	FEF30_RS03395
OG0000170	DR095_RS01765	FEF30_RS04475
