Orthogroup	MFC_MF29_genes	MHP_1257_genes
OG0000000	DR095_RS03080	ABKJ22_RS02210
OG0000000	DR095_RS01240	ABKJ22_RS01715
OG0000001	DR095_RS00305, DR095_RS00300	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	DR095_RS04030	ABKJ22_RS02250
OG0000002	DR095_RS03820	ABKJ22_RS01720
OG0000003	DR095_RS04020	ABKJ22_RS02215
OG0000007	DR095_RS03020	ABKJ22_RS02220
OG0000007	DR095_RS03025	ABKJ22_RS02225
OG0000007	DR095_RS03035	ABKJ22_RS02230
OG0000008	DR095_RS03220	ABKJ22_RS01635
OG0000011	DR095_RS03240, DR095_RS03235	ABKJ22_RS01925
OG0000011	DR095_RS03230	ABKJ22_RS01920
OG0000013	DR095_RS00580, DR095_RS00575	ABKJ22_RS02355
OG0000013	DR095_RS03215	ABKJ22_RS00180
OG0000014	DR095_RS03760	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095
OG0000016	DR095_RS00250	ABKJ22_RS02785
OG0000017	DR095_RS01000	ABKJ22_RS00150
OG0000017	DR095_RS00240	ABKJ22_RS02795
OG0000020	DR095_RS03810	ABKJ22_RS03435
OG0000020	DR095_RS03805	ABKJ22_RS03440
OG0000022	DR095_RS03815	ABKJ22_RS01710
OG0000024	DR095_RS00310	ABKJ22_RS02680, ABKJ22_RS01290
OG0000025	DR095_RS01230	ABKJ22_RS01705
OG0000026	DR095_RS01450	ABKJ22_RS01380, ABKJ22_RS01685
OG0000027	DR095_RS03960	ABKJ22_RS03240
OG0000029	DR095_RS00085	ABKJ22_RS00600, ABKJ22_RS01090
OG0000030	DR095_RS03965	ABKJ22_RS03215, ABKJ22_RS03235
OG0000031	DR095_RS02710	ABKJ22_RS01605
OG0000039	DR095_RS00145	ABKJ22_RS01615
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	ABKJ22_RS03165
OG0000042	DR095_RS00140, DR095_RS00285	ABKJ22_RS02880
OG0000043	DR095_RS01635, DR095_RS02735	ABKJ22_RS01890
OG0000045	DR095_RS03295, DR095_RS03300	ABKJ22_RS01620
OG0000048	DR095_RS03095, DR095_RS02830	ABKJ22_RS02075
OG0000049	DR095_RS01755	ABKJ22_RS02955
OG0000050	DR095_RS03970	ABKJ22_RS02395
OG0000051	DR095_RS01545	ABKJ22_RS02600
OG0000052	DR095_RS01040	ABKJ22_RS00075
OG0000053	DR095_RS03995, DR095_RS01535	ABKJ22_RS01465
OG0000054	DR095_RS00625	ABKJ22_RS02420
OG0000055	DR095_RS01035	ABKJ22_RS00130
OG0000056	DR095_RS01205	ABKJ22_RS03415
OG0000057	DR095_RS00165	ABKJ22_RS02865
OG0000062	DR095_RS01150	ABKJ22_RS03470
OG0000063	DR095_RS01155	ABKJ22_RS03465
OG0000064	DR095_RS01165	ABKJ22_RS03455
OG0000065	DR095_RS01310	ABKJ22_RS02160
OG0000066	DR095_RS01440	ABKJ22_RS01370
OG0000068	DR095_RS00120	ABKJ22_RS01055
OG0000069	DR095_RS00275	ABKJ22_RS02760
OG0000070	DR095_RS00605	ABKJ22_RS02425
OG0000071	DR095_RS01935	ABKJ22_RS03155
OG0000072	DR095_RS03885	ABKJ22_RS03160
OG0000073	DR095_RS02080	ABKJ22_RS00995
OG0000074	DR095_RS03915	ABKJ22_RS00800
OG0000075	DR095_RS00815	ABKJ22_RS00335
OG0000076	DR095_RS00800	ABKJ22_RS00350
OG0000077	DR095_RS00715	ABKJ22_RS00445
OG0000078	DR095_RS00415	ABKJ22_RS01675
OG0000079	DR095_RS00525	ABKJ22_RS02505
OG0000080	DR095_RS03375	ABKJ22_RS02550
OG0000081	DR095_RS00820	ABKJ22_RS00330
OG0000082	DR095_RS00585	ABKJ22_RS02350
OG0000083	DR095_RS03045	ABKJ22_RS01995
OG0000084	DR095_RS02880	ABKJ22_RS02025
OG0000085	DR095_RS02875	ABKJ22_RS02030
OG0000086	DR095_RS03990	ABKJ22_RS02040
OG0000087	DR095_RS02850	ABKJ22_RS02055
OG0000088	DR095_RS02845	ABKJ22_RS02060
OG0000089	DR095_RS02835	ABKJ22_RS02070
OG0000090	DR095_RS01045	ABKJ22_RS00070
OG0000091	DR095_RS01060	ABKJ22_RS00055
OG0000092	DR095_RS01075	ABKJ22_RS00040
OG0000093	DR095_RS01080	ABKJ22_RS00035
OG0000094	DR095_RS01085	ABKJ22_RS00030
OG0000095	DR095_RS01110	ABKJ22_RS00005
OG0000096	DR095_RS01115	ABKJ22_RS03505
OG0000097	DR095_RS01135	ABKJ22_RS03485
OG0000098	DR095_RS01145	ABKJ22_RS03475
OG0000099	DR095_RS01200	ABKJ22_RS03425
OG0000100	DR095_RS01210	ABKJ22_RS03405
OG0000101	DR095_RS01215	ABKJ22_RS03400
OG0000102	DR095_RS01225	ABKJ22_RS01700
OG0000103	DR095_RS01275	ABKJ22_RS02195
OG0000104	DR095_RS01280	ABKJ22_RS02190
OG0000105	DR095_RS01295	ABKJ22_RS02175
OG0000106	DR095_RS01305	ABKJ22_RS02165
OG0000107	DR095_RS01315	ABKJ22_RS02155
OG0000108	DR095_RS01320	ABKJ22_RS02150
OG0000109	DR095_RS01325	ABKJ22_RS02145
OG0000110	DR095_RS01330	ABKJ22_RS02340
OG0000111	DR095_RS01335	ABKJ22_RS02335
OG0000112	DR095_RS01345	ABKJ22_RS02325
OG0000113	DR095_RS03830	ABKJ22_RS02305
OG0000114	DR095_RS01370	ABKJ22_RS02295
OG0000115	DR095_RS01380	ABKJ22_RS02285
OG0000116	DR095_RS01390	ABKJ22_RS01315
OG0000117	DR095_RS01395	ABKJ22_RS01320
OG0000118	DR095_RS01425	ABKJ22_RS01355
OG0000119	DR095_RS01430	ABKJ22_RS01360
OG0000120	DR095_RS01445	ABKJ22_RS01375
OG0000121	DR095_RS01470	ABKJ22_RS01400
OG0000122	DR095_RS01475	ABKJ22_RS01405
OG0000123	DR095_RS01495	ABKJ22_RS01425
OG0000124	DR095_RS01500	ABKJ22_RS01430
OG0000125	DR095_RS01505	ABKJ22_RS01435
OG0000126	DR095_RS01515	ABKJ22_RS01445
OG0000127	DR095_RS01525	ABKJ22_RS01455
OG0000128	DR095_RS02900	ABKJ22_RS01470
OG0000129	DR095_RS02905	ABKJ22_RS01475
OG0000130	DR095_RS02915	ABKJ22_RS01485
OG0000131	DR095_RS02945	ABKJ22_RS01515
OG0000132	DR095_RS04000	ABKJ22_RS01530
OG0000133	DR095_RS00015	ABKJ22_RS00530
OG0000134	DR095_RS03750	ABKJ22_RS00535
OG0000135	DR095_RS00035	ABKJ22_RS00550
OG0000136	DR095_RS00040	ABKJ22_RS00555
OG0000137	DR095_RS00070	ABKJ22_RS00585
OG0000138	DR095_RS00095	ABKJ22_RS01080
OG0000139	DR095_RS00125	ABKJ22_RS01050
OG0000140	DR095_RS00130	ABKJ22_RS01045
OG0000141	DR095_RS00155	ABKJ22_RS02875
OG0000142	DR095_RS03765	ABKJ22_RS02870
OG0000143	DR095_RS00185	ABKJ22_RS02850
OG0000144	DR095_RS00195	ABKJ22_RS02840
OG0000145	DR095_RS00205	ABKJ22_RS02830
OG0000146	DR095_RS00215	ABKJ22_RS02820
OG0000147	DR095_RS00220	ABKJ22_RS02815
OG0000148	DR095_RS00235	ABKJ22_RS02800
OG0000149	DR095_RS00245	ABKJ22_RS02790
OG0000150	DR095_RS00260	ABKJ22_RS02775
OG0000151	DR095_RS00315	ABKJ22_RS02720
OG0000152	DR095_RS00320	ABKJ22_RS02715
OG0000153	DR095_RS00325	ABKJ22_RS02710
OG0000154	DR095_RS00335	ABKJ22_RS02700
OG0000155	DR095_RS00355	ABKJ22_RS02660
OG0000156	DR095_RS00390	ABKJ22_RS02650
OG0000157	DR095_RS03780	ABKJ22_RS02645
OG0000158	DR095_RS03785	ABKJ22_RS02635
OG0000159	DR095_RS00635	ABKJ22_RS02410
OG0000160	DR095_RS00640	ABKJ22_RS02405
OG0000161	DR095_RS00650	ABKJ22_RS02400
OG0000162	DR095_RS02680	ABKJ22_RS02390
OG0000163	DR095_RS02685	ABKJ22_RS02385
OG0000164	DR095_RS03975	ABKJ22_RS01610
OG0000165	DR095_RS02760	ABKJ22_RS01915
OG0000166	DR095_RS02780	ABKJ22_RS01935
OG0000167	DR095_RS02795	ABKJ22_RS01950
OG0000168	DR095_RS02800	ABKJ22_RS01955
OG0000169	DR095_RS01750	ABKJ22_RS02950
OG0000170	DR095_RS01765	ABKJ22_RS02965
OG0000171	DR095_RS01775	ABKJ22_RS02975
OG0000172	DR095_RS01780	ABKJ22_RS02980
OG0000173	DR095_RS01785	ABKJ22_RS02985
OG0000174	DR095_RS01790	ABKJ22_RS02990
OG0000175	DR095_RS01805	ABKJ22_RS03005
OG0000176	DR095_RS01845	ABKJ22_RS03050
OG0000177	DR095_RS01850	ABKJ22_RS03055
OG0000178	DR095_RS01855	ABKJ22_RS03060
OG0000179	DR095_RS01865	ABKJ22_RS03070
OG0000180	DR095_RS01870	ABKJ22_RS03075
OG0000181	DR095_RS03870	ABKJ22_RS03105
OG0000182	DR095_RS01895	ABKJ22_RS03115
OG0000183	DR095_RS01930	ABKJ22_RS03150
OG0000184	DR095_RS02970	ABKJ22_RS03190
OG0000185	DR095_RS02985	ABKJ22_RS03175
