Orthogroup	MFC_MF29_genes	MHP_116_genes
OG0000000	DR095_RS03080	ABJ972_RS02145
OG0000000	DR095_RS03185	ABJ972_RS02095
OG0000000	DR095_RS01240	ABJ972_RS01695
OG0000001	DR095_RS00305, DR095_RS00300	ABJ972_RS01270, ABJ972_RS01265, ABJ972_RS02720, ABJ972_RS02675
OG0000002	DR095_RS04030	ABJ972_RS02105
OG0000002	DR095_RS03820	ABJ972_RS01715
OG0000007	DR095_RS03020	ABJ972_RS02135
OG0000007	DR095_RS03025	ABJ972_RS02130
OG0000007	DR095_RS03035	ABJ972_RS02125
OG0000008	DR095_RS03220	ABJ972_RS01615
OG0000011	DR095_RS03240, DR095_RS03235	ABJ972_RS01915
OG0000011	DR095_RS03230	ABJ972_RS01910
OG0000013	DR095_RS00580, DR095_RS00575	ABJ972_RS02350
OG0000013	DR095_RS03215	ABJ972_RS00170
OG0000014	DR095_RS03760	ABJ972_RS00580, ABJ972_RS01075, ABJ972_RS01065
OG0000016	DR095_RS00250	ABJ972_RS02765
OG0000016	DR095_RS00985	ABJ972_RS00155
OG0000017	DR095_RS01000	ABJ972_RS00140
OG0000017	DR095_RS00240	ABJ972_RS02775
OG0000018	DR095_RS03850, DR095_RS03835	ABJ972_RS01310
OG0000019	DR095_RS03740	ABJ972_RS02950
OG0000020	DR095_RS03810	ABJ972_RS03450
OG0000020	DR095_RS03805	ABJ972_RS03455
OG0000022	DR095_RS03815	ABJ972_RS01690
OG0000024	DR095_RS00310	ABJ972_RS02670, ABJ972_RS01260
OG0000025	DR095_RS01230	ABJ972_RS01685
OG0000026	DR095_RS01450	ABJ972_RS01350, ABJ972_RS01665
OG0000029	DR095_RS00085	ABJ972_RS00585, ABJ972_RS01060
OG0000030	DR095_RS03965	ABJ972_RS03245
OG0000031	DR095_RS02710	ABJ972_RS01580
OG0000039	DR095_RS00145	ABJ972_RS01595
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	ABJ972_RS03190
OG0000042	DR095_RS00140, DR095_RS00285	ABJ972_RS02860
OG0000043	DR095_RS01635, DR095_RS02735	ABJ972_RS01880
OG0000045	DR095_RS03295, DR095_RS03300	ABJ972_RS01600
OG0000048	DR095_RS03095, DR095_RS02830	ABJ972_RS02065
OG0000049	DR095_RS01755	ABJ972_RS02960
OG0000050	DR095_RS03970	ABJ972_RS02390
OG0000051	DR095_RS01545	ABJ972_RS02590
OG0000052	DR095_RS01040	ABJ972_RS00075
OG0000053	DR095_RS03995, DR095_RS01535	ABJ972_RS01435
OG0000054	DR095_RS00625	ABJ972_RS02415
OG0000055	DR095_RS01035	ABJ972_RS00120
OG0000056	DR095_RS01205	ABJ972_RS03435
OG0000057	DR095_RS00165	ABJ972_RS02845
OG0000062	DR095_RS01150	ABJ972_RS03485, ABJ972_RS03515
OG0000063	DR095_RS01155	ABJ972_RS03510, ABJ972_RS03480
OG0000064	DR095_RS01165	ABJ972_RS03470
OG0000065	DR095_RS01310	ABJ972_RS02200
OG0000066	DR095_RS01440	ABJ972_RS01340
OG0000068	DR095_RS00120	ABJ972_RS01025
OG0000069	DR095_RS00275	ABJ972_RS02740
OG0000070	DR095_RS00605	ABJ972_RS02420
OG0000071	DR095_RS01935	ABJ972_RS03180
OG0000072	DR095_RS03885	ABJ972_RS03185
OG0000073	DR095_RS02080	ABJ972_RS00965
OG0000074	DR095_RS03915	ABJ972_RS00765
OG0000075	DR095_RS00815	ABJ972_RS00325
OG0000076	DR095_RS00800	ABJ972_RS00340
OG0000077	DR095_RS00715	ABJ972_RS00425
OG0000078	DR095_RS00415	ABJ972_RS01655
OG0000079	DR095_RS00525	ABJ972_RS02495
OG0000080	DR095_RS03375	ABJ972_RS02540
OG0000081	DR095_RS00820	ABJ972_RS00320
OG0000082	DR095_RS00585	ABJ972_RS02345
OG0000083	DR095_RS03045	ABJ972_RS01985
OG0000084	DR095_RS02880	ABJ972_RS02015
OG0000085	DR095_RS02875	ABJ972_RS02020
OG0000086	DR095_RS03990	ABJ972_RS02030
OG0000087	DR095_RS02850	ABJ972_RS02045
OG0000088	DR095_RS02845	ABJ972_RS02050
OG0000089	DR095_RS02835	ABJ972_RS02060
OG0000090	DR095_RS01045	ABJ972_RS00070
OG0000091	DR095_RS01060	ABJ972_RS00055
OG0000092	DR095_RS01075	ABJ972_RS00040
OG0000093	DR095_RS01080	ABJ972_RS00035
OG0000094	DR095_RS01085	ABJ972_RS00030
OG0000095	DR095_RS01110	ABJ972_RS00005
OG0000096	DR095_RS01115	ABJ972_RS03550
OG0000097	DR095_RS01135	ABJ972_RS03530
OG0000098	DR095_RS01145	ABJ972_RS03520
OG0000099	DR095_RS01200	ABJ972_RS03440
OG0000100	DR095_RS01210	ABJ972_RS03425
OG0000101	DR095_RS01215	ABJ972_RS03420
OG0000102	DR095_RS01225	ABJ972_RS01680
OG0000103	DR095_RS01275	ABJ972_RS02165
OG0000104	DR095_RS01280	ABJ972_RS02170
OG0000105	DR095_RS01295	ABJ972_RS02185
OG0000106	DR095_RS01305	ABJ972_RS02195
OG0000107	DR095_RS01315	ABJ972_RS02205
OG0000108	DR095_RS01320	ABJ972_RS02210
OG0000109	DR095_RS01325	ABJ972_RS02215
OG0000110	DR095_RS01330	ABJ972_RS02335
OG0000111	DR095_RS01335	ABJ972_RS02330
OG0000112	DR095_RS01345	ABJ972_RS02320
OG0000113	DR095_RS03830	ABJ972_RS02300
OG0000114	DR095_RS01370	ABJ972_RS02290
OG0000115	DR095_RS01380	ABJ972_RS02280
OG0000116	DR095_RS01390	ABJ972_RS01285
OG0000117	DR095_RS01395	ABJ972_RS01290
OG0000118	DR095_RS01425	ABJ972_RS01325
OG0000119	DR095_RS01430	ABJ972_RS01330
OG0000120	DR095_RS01445	ABJ972_RS01345
OG0000121	DR095_RS01470	ABJ972_RS01370
OG0000122	DR095_RS01475	ABJ972_RS01375
OG0000123	DR095_RS01495	ABJ972_RS01395
OG0000124	DR095_RS01500	ABJ972_RS01400
OG0000125	DR095_RS01505	ABJ972_RS01405
OG0000126	DR095_RS01515	ABJ972_RS01415
OG0000127	DR095_RS01525	ABJ972_RS01425
OG0000128	DR095_RS02900	ABJ972_RS01440
OG0000129	DR095_RS02905	ABJ972_RS01445
OG0000130	DR095_RS02915	ABJ972_RS01455
OG0000131	DR095_RS02945	ABJ972_RS01485
OG0000132	DR095_RS04000	ABJ972_RS01500
OG0000133	DR095_RS00015	ABJ972_RS00515
OG0000134	DR095_RS03750	ABJ972_RS00520
