Orthogroup	MFC_MF29_genes	MHP_UFV02_genes
OG0000000	DR095_RS03080	FEF31_RS01935
OG0000000	DR095_RS01240	FEF31_RS01385
OG0000001	DR095_RS00305, DR095_RS00300	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490
OG0000002	DR095_RS04030	FEF31_RS04505
OG0000002	DR095_RS03820	FEF31_RS04455
OG0000003	DR095_RS04020	FEF31_RS04510
OG0000007	DR095_RS03020	FEF31_RS01925
OG0000007	DR095_RS03025	FEF31_RS01915
OG0000007	DR095_RS03035	FEF31_RS01910
OG0000008	DR095_RS03220	FEF31_RS01300
OG0000011	DR095_RS03240, DR095_RS03235	FEF31_RS01695
OG0000011	DR095_RS03230	FEF31_RS01690
OG0000013	DR095_RS00580, DR095_RS00575	FEF31_RS02135
OG0000013	DR095_RS03215	FEF31_RS03455
OG0000014	DR095_RS03760	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375
OG0000015	DR095_RS01695	FEF31_RS01395
OG0000016	DR095_RS00250	FEF31_RS02580
OG0000017	DR095_RS01000	FEF31_RS03425
OG0000017	DR095_RS00240	FEF31_RS02590
OG0000018	DR095_RS03850	FEF31_RS01415, FEF31_RS01420
OG0000020	DR095_RS03810	FEF31_RS03220
OG0000020	DR095_RS03805	FEF31_RS04270
OG0000022	DR095_RS03815	FEF31_RS04450
OG0000023	DR095_RS03490	FEF31_RS01405
OG0000024	DR095_RS00310	FEF31_RS02485, FEF31_RS00930
OG0000025	DR095_RS01230	FEF31_RS01370
OG0000026	DR095_RS01450	FEF31_RS01025, FEF31_RS01350
OG0000027	DR095_RS03960	FEF31_RS04605
OG0000028	DR095_RS00595	FEF31_RS02145, FEF31_RS04525
OG0000029	DR095_RS00085	FEF31_RS00735, FEF31_RS00270
OG0000030	DR095_RS03965	FEF31_RS04590, FEF31_RS04600
OG0000031	DR095_RS01640	FEF31_RS01450
OG0000039	DR095_RS00145	FEF31_RS01275
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	FEF31_RS03890
OG0000042	DR095_RS00140, DR095_RS00285	FEF31_RS02675
OG0000043	DR095_RS02735	FEF31_RS01455
OG0000045	DR095_RS03295, DR095_RS03300	FEF31_RS01280, FEF31_RS01285
OG0000047	DR095_RS03200	FEF31_RS01435
OG0000048	DR095_RS03095, DR095_RS02830	FEF31_RS01845
OG0000049	DR095_RS01755	FEF31_RS03620
OG0000050	DR095_RS03970	FEF31_RS02180
OG0000051	DR095_RS01545	FEF31_RS02395
OG0000052	DR095_RS01040	FEF31_RS03360
OG0000053	DR095_RS03995, DR095_RS01535	FEF31_RS04425
OG0000054	DR095_RS00625	FEF31_RS02205
OG0000055	DR095_RS01035	FEF31_RS03405
OG0000056	DR095_RS01205	FEF31_RS03205
OG0000057	DR095_RS00165	FEF31_RS02660
OG0000058	DR095_RS01620	FEF31_RS01470
OG0000059	DR095_RS03480	FEF31_RS01460
OG0000062	DR095_RS01150	FEF31_RS03250
OG0000063	DR095_RS01155	FEF31_RS04645
OG0000064	DR095_RS01165	FEF31_RS03235
OG0000065	DR095_RS01310	FEF31_RS01990
OG0000066	DR095_RS01440	FEF31_RS01015
OG0000068	DR095_RS00120	FEF31_RS00305
OG0000069	DR095_RS00275	FEF31_RS02555
OG0000070	DR095_RS00605	FEF31_RS02210
OG0000071	DR095_RS01935	FEF31_RS03835
OG0000072	DR095_RS03885	FEF31_RS04700
OG0000073	DR095_RS02080	FEF31_RS00360
OG0000074	DR095_RS03915	FEF31_RS04395
