Seq_id	Size	Description
1	897405	IDJ
2	956514	IDES2
3	927216	ID133A
4	927172	ID131B
5	921541	ID111A
6	920587	IDLH
7	920420	ID154B
8	920392	ID153B
9	918900	IDES2L
10	901311	ID116
11	900736	IDUe273
12	894983	IDF72C
13	891138	ID1257
14	886877	ID4284
15	960532	IDNCTC10127
16	925576	ID168
17	921093	ID168L
18	920079	ID7448
19	898495	ID7422
20	892758	ID232
21	923612	ID112B
22	910816	IDUFV01
23	898336	ID11
24	882420	ID98
25	960219	IDUFV02
26	902476	IDMHP691
27	879752	IDMHP696
28	923878	IDMHP699
29	871408	IDMHP694
30	880293	IDMHP709
31	909216	IDMHP650
32	898402	IDMHP653
33	912568	IDMHP682
34	906915	IDMHP679
35	913664	IDTB1
36	964503	IDKM014
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	761604	798466	36863
2	+	818790	855666	36877
3	+	790267	823743	33477
4	+	790226	823703	33478
5	+	786829	820246	33418
6	+	785385	818912	33528
7	+	792482	826019	33538
8	+	792468	825998	33531
9	+	782030	817263	35234
10	+	762938	799744	36807
11	+	766439	803280	36842
12	+	764513	798041	33529
13	+	757990	788061	30072
14	+	759519	792994	33476
15	+	517040	550540	33501
16	+	769081	802570	33490
17	+	768453	801942	33490
18	+	781196	814715	33520
19	+	763854	797420	33567
20	+	759530	791010	31481
21	+	788804	822233	33430
22	+	871720	905193	33474
23	+	397569	431090	33522
24	+	657495	691555	34061
25	+	24772	58197	33426
25	+	919188	952613	33426
26	+	780593	814506	33914
27	+	713553	747865	34313
28	+	796242	831925	35684
29	+	744973	781525	36553
30	+	751872	786407	34536
31	+	27505	62260	34756
32	+	771503	801952	30450
33	+	765394	796116	30723
34	+	729504	763281	33778
35	+	729277	762664	33388
36	+	51616	88443	36828
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	568329	575644	7316
2	+	632781	640096	7316
3	+	600538	607853	7316
4	+	600495	607810	7316
5	+	599304	606619	7316
6	+	594841	602156	7316
7	+	601277	608592	7316
8	+	601259	608574	7316
9	+	573751	581060	7310
10	+	575304	582619	7316
11	+	573172	580487	7316
12	+	575198	582513	7316
13	+	580903	588218	7316
14	+	568538	575853	7316
15	-	960511	953195	7317
15	+	334955	342270	7316
16	+	588692	596007	7316
17	+	589970	597285	7316
18	+	591607	598922	7316
19	+	589316	596631	7316
20	+	556510	563825	7316
21	+	601257	608572	7316
22	+	686034	693349	7316
23	+	214852	222167	7316
24	+	478575	485890	7316
25	+	744084	751399	7316
26	+	603705	611020	7316
27	+	537055	544370	7316
28	+	597367	604682	7316
29	+	558034	565349	7316
30	+	574562	581877	7316
31	+	724164	731479	7316
32	+	593559	600874	7316
33	+	588760	596075	7316
34	+	552517	559832	7316
35	+	553557	560872	7316
36	+	806137	813447	7311
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
1	+	744419	761603	17185
2	+	801574	818789	17216
3	+	773074	790266	17193
4	+	773032	790225	17194
5	+	769648	786828	17181
6	+	768194	785384	17191
7	+	775289	792481	17193
8	+	775276	792467	17192
9	+	764841	782029	17189
10	+	745747	762924	17178
11	+	749234	766438	17205
12	+	747318	764512	17195
13	+	740805	757989	17185
14	+	742349	759518	17170
15	+	499850	517039	17190
16	+	751890	769080	17191
17	+	751262	768452	17191
18	+	764009	781195	17187
19	+	746661	763853	17193
20	+	742340	759529	17190
21	+	771624	788803	17180
22	+	854532	871719	17188
23	+	380376	397568	17193
24	+	640312	657494	17183
25	+	7584	24771	17188
25	+	903482	919187	15706
26	+	763399	780592	17194
27	+	696369	713552	17184
28	+	756049	773243	17195
29	+	727780	744972	17193
30	+	734688	751871	17184
31	+	10322	27504	17183
32	+	754316	771502	17187
33	+	748207	765393	17187
34	+	712311	729503	17193
35	+	711982	729276	17295
36	+	34425	51615	17191
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	-	810363	800162	10202
2	-	867987	857812	10176
3	-	835635	825439	10197
4	-	835597	825396	10202
5	-	832133	821950	10184
6	-	831247	821058	10190
7	-	837892	827711	10182
8	-	837869	827689	10181
9	-	829556	819391	10166
10	-	810873	800684	10190
11	-	815128	804977	10152
12	-	810383	800186	10198
13	-	799934	789745	10190
14	+	793004	802956	9953
15	-	562877	552686	10192
16	-	814422	804253	10170
17	-	813800	803626	10175
18	-	827048	816883	10166
19	-	809292	799107	10186
20	-	803348	793154	10195
21	-	834118	823935	10184
22	-	10481	285	10197
23	-	443395	433233	10163
24	-	703881	693696	10186
25	-	68933	58846	10088
26	-	826393	816205	10189
27	-	759770	749577	10194
28	-	843874	833712	10163
29	-	793861	783669	10193
30	-	798310	788120	10191
31	-	74745	64286	10460
32	-	814490	804191	10300
33	-	808033	797782	10252
34	-	775401	764978	10424
35	-	774095	764404	9692
36	-	100337	90136	10202
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	-	377635	346715	30921
2	-	419794	386955	32840
3	-	405336	378137	27200
4	-	405338	378146	27193
5	-	400676	373501	27176
6	-	410416	377540	32877
7	-	388181	357011	31171
8	-	388157	356985	31173
9	-	384275	353812	30464
