Orthogroup	MFC_Ms42_genes	MHP_F72C_genes
OG0000000	MYF_RS01330	EHI52_RS01825
OG0000000	MYF_RS03215	EHI52_RS00960
OG0000000	MYF_RS01460	EHI52_RS00970
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	EHI52_RS03755
OG0000001	MYF_RS03415	EHI52_RS01345, EHI52_RS02790, EHI52_RS02745, EHI52_RS02740
OG0000002	MYF_RS01530	EHI52_RS02215, EHI52_RS01820
OG0000002	MYF_RS01475	EHI52_RS03740
OG0000002	MYF_RS03010	EHI52_RS01780
OG0000003	MYF_RS01515	EHI52_RS03760
OG0000004	MYF_RS02520	EHI52_RS03010
OG0000004	MYF_RS02535, MYF_RS02545	EHI52_RS03045, EHI52_RS03025
OG0000007	MYF_RS01510	EHI52_RS00980
OG0000007	MYF_RS01505	EHI52_RS00985
OG0000007	MYF_RS01500	EHI52_RS00995
OG0000008	MYF_RS01875	EHI52_RS03775
OG0000011	MYF_RS03310	EHI52_RS01985
OG0000011	MYF_RS01270	EHI52_RS01990
OG0000013	MYF_RS03170, MYF_RS01100	EHI52_RS02410
OG0000013	MYF_RS03400	EHI52_RS03710
OG0000014	MYF_RS00550	EHI52_RS00615, EHI52_RS01155
OG0000016	MYF_RS00730	EHI52_RS02830
OG0000017	MYF_RS03155	EHI52_RS00155
OG0000017	MYF_RS00720	EHI52_RS02840
OG0000019	MYF_RS03450	EHI52_RS03855
OG0000019	MYF_RS03440	EHI52_RS03860
OG0000020	MYF_RS03080	EHI52_RS03550
OG0000020	MYF_RS03085	EHI52_RS03555
OG0000022	MYF_RS03025	EHI52_RS01770
OG0000024	MYF_RS00790	EHI52_RS02735, EHI52_RS01335
OG0000025	MYF_RS03030	EHI52_RS01765
OG0000026	MYF_RS01715	EHI52_RS01425, EHI52_RS01745
OG0000029	MYF_RS00555	EHI52_RS01150, EHI52_RS00620
OG0000030	MYF_RS02820	EHI52_RS03350
OG0000031	MYF_RS01215	EHI52_RS01660
OG0000032	MYF_RS03490	EHI52_RS01630
OG0000033	MYF_RS01130	EHI52_RS03825
OG0000037	MYF_RS03495	EHI52_RS01640
OG0000037	MYF_RS03005	EHI52_RS01635
OG0000039	MYF_RS03160, MYF_RS00615	EHI52_RS01675
OG0000040	MYF_RS02770, MYF_RS00840	EHI52_RS03295
OG0000042	MYF_RS00610, MYF_RS00765	EHI52_RS02930
OG0000043	MYF_RS01240	EHI52_RS02020
OG0000045	MYF_RS00630	EHI52_RS01680
OG0000048	MYF_RS01350	EHI52_RS01840
OG0000049	MYF_RS03265, MYF_RS03455	EHI52_RS03065
OG0000050	MYF_RS01180	EHI52_RS02450
OG0000051	MYF_RS02420	EHI52_RS02650
OG0000052	MYF_RS00075	EHI52_RS00075
OG0000053	MYF_RS01800	EHI52_RS01510
OG0000054	MYF_RS01155	EHI52_RS02475
OG0000055	MYF_RS03395, MYF_RS03525	EHI52_RS00135
OG0000056	MYF_RS03060	EHI52_RS03530
OG0000057	MYF_RS00645	EHI52_RS02915
OG0000062	MYF_RS03115	EHI52_RS03585
OG0000063	MYF_RS03110	EHI52_RS03580
OG0000064	MYF_RS03100	EHI52_RS03570
OG0000065	MYF_RS01575	EHI52_RS02260
OG0000066	MYF_RS01705	EHI52_RS01415
OG0000068	MYF_RS00590	EHI52_RS00660
OG0000069	MYF_RS00755	EHI52_RS02805
OG0000070	MYF_RS01135	EHI52_RS02480
OG0000071	MYF_RS02760	EHI52_RS03285
OG0000072	MYF_RS02765	EHI52_RS03290
OG0000073	MYF_RS02005	EHI52_RS00705
OG0000074	MYF_RS02195	EHI52_RS00900
OG0000076	MYF_RS00320	EHI52_RS00370
OG0000077	MYF_RS00410	EHI52_RS00460
OG0000078	MYF_RS00880	EHI52_RS01735
OG0000079	MYF_RS01050	EHI52_RS02555
OG0000080	MYF_RS01000, MYF_RS03365	EHI52_RS03675
OG0000081	MYF_RS00300	EHI52_RS00350
OG0000082	MYF_RS01110	EHI52_RS02405
OG0000083	MYF_RS01430	EHI52_RS01915
OG0000084	MYF_RS01400	EHI52_RS01890
OG0000085	MYF_RS01395	EHI52_RS01885
OG0000086	MYF_RS01385	EHI52_RS01875
OG0000087	MYF_RS01370	EHI52_RS01860
OG0000088	MYF_RS01365	EHI52_RS01855
OG0000089	MYF_RS01355	EHI52_RS01845
OG0000090	MYF_RS00070	EHI52_RS00070
OG0000091	MYF_RS00055	EHI52_RS00055
OG0000092	MYF_RS00040	EHI52_RS00040
OG0000093	MYF_RS00035	EHI52_RS00035
OG0000094	MYF_RS00030	EHI52_RS00030
OG0000095	MYF_RS00005	EHI52_RS00005
OG0000096	MYF_RS03150	EHI52_RS03620
OG0000097	MYF_RS03130	EHI52_RS03600
OG0000098	MYF_RS03120	EHI52_RS03590
OG0000099	MYF_RS03065	EHI52_RS03540
OG0000100	MYF_RS03050	EHI52_RS03520
OG0000101	MYF_RS03045	EHI52_RS03515
OG0000102	MYF_RS03035	EHI52_RS01760
OG0000103	MYF_RS01540	EHI52_RS02225
OG0000104	MYF_RS01545	EHI52_RS02230
OG0000105	MYF_RS01560	EHI52_RS02245
OG0000106	MYF_RS01570	EHI52_RS02255
OG0000107	MYF_RS01580	EHI52_RS02265
OG0000108	MYF_RS01585	EHI52_RS02270
OG0000109	MYF_RS01590	EHI52_RS02275
OG0000110	MYF_RS01595	EHI52_RS02395
OG0000111	MYF_RS01600	EHI52_RS02390
OG0000112	MYF_RS01610	EHI52_RS02380
OG0000113	MYF_RS01625	EHI52_RS02360
OG0000114	MYF_RS01635	EHI52_RS02350
OG0000115	MYF_RS01645	EHI52_RS02335
OG0000116	MYF_RS01655	EHI52_RS01360
OG0000117	MYF_RS01660	EHI52_RS01365
OG0000118	MYF_RS01690	EHI52_RS01400
OG0000119	MYF_RS01695	EHI52_RS01405
OG0000120	MYF_RS01710	EHI52_RS01420
OG0000121	MYF_RS01735	EHI52_RS01445
OG0000122	MYF_RS01740	EHI52_RS01450
OG0000123	MYF_RS01760	EHI52_RS01470
OG0000124	MYF_RS01765	EHI52_RS01475
OG0000125	MYF_RS01770	EHI52_RS01480
OG0000126	MYF_RS01780	EHI52_RS01490
OG0000127	MYF_RS01790	EHI52_RS01500
OG0000128	MYF_RS01805	EHI52_RS01515
OG0000129	MYF_RS01810	EHI52_RS01520
OG0000130	MYF_RS01820	EHI52_RS01530
OG0000131	MYF_RS01850	EHI52_RS01560
OG0000132	MYF_RS01865	EHI52_RS01575
OG0000133	MYF_RS00485	EHI52_RS00545
OG0000134	MYF_RS00490	EHI52_RS00550
OG0000135	MYF_RS00505	EHI52_RS00565
OG0000136	MYF_RS00510	EHI52_RS00570
OG0000137	MYF_RS00540	EHI52_RS00600
OG0000138	MYF_RS00565	EHI52_RS00635
OG0000139	MYF_RS00595	EHI52_RS00665
OG0000140	MYF_RS00600	EHI52_RS00670
OG0000141	MYF_RS00635	EHI52_RS02925
OG0000142	MYF_RS00640	EHI52_RS02920
OG0000143	MYF_RS00665	EHI52_RS02895
OG0000144	MYF_RS00675	EHI52_RS02885
OG0000145	MYF_RS00685	EHI52_RS02875
