Orthogroup	MFC_Ms42_genes	MHP_133A_genes
OG0000000	MYF_RS01330	NB626_RS02350
OG0000000	MYF_RS03215	NB626_RS02255
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	NB626_RS02345
OG0000000	MYF_RS03295	NB626_RS01840
OG0000001	MYF_RS03415	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930
OG0000002	MYF_RS01530	NB626_RS02360, NB626_RS02355
OG0000002	MYF_RS01475	NB626_RS02280
OG0000002	MYF_RS03010	NB626_RS01855
OG0000004	MYF_RS02520	NB626_RS03200
OG0000007	MYF_RS01510	NB626_RS02340
OG0000007	MYF_RS01505	NB626_RS02320
OG0000008	MYF_RS01875	NB626_RS01750
OG0000011	MYF_RS03310	NB626_RS02080
OG0000013	MYF_RS03170, MYF_RS01100	NB626_RS02565
OG0000013	MYF_RS03400	NB626_RS00185
OG0000014	MYF_RS00550	NB626_RS00695, NB626_RS01210, NB626_RS00705
OG0000017	MYF_RS03155	NB626_RS00155
OG0000017	MYF_RS00720	NB626_RS03035
OG0000018	MYF_RS01675	NB626_RS00480
OG0000019	MYF_RS03450	NB626_RS03205, NB626_RS03215
OG0000019	MYF_RS03440	NB626_RS03225
OG0000020	MYF_RS03085	NB626_RS03760
OG0000022	MYF_RS03025	NB626_RS01830
OG0000023	MYF_RS01880	NB626_RS00490
OG0000024	MYF_RS00790	NB626_RS02925, NB626_RS01390
OG0000025	MYF_RS03030	NB626_RS01825
OG0000026	MYF_RS01715	NB626_RS01480, NB626_RS01805
OG0000027	MYF_RS02825	NB626_RS03555
OG0000029	MYF_RS00555	NB626_RS01205, NB626_RS00710
OG0000030	MYF_RS02820	NB626_RS03530, NB626_RS03550
OG0000031	MYF_RS01215	NB626_RS00435, NB626_RS01710
OG0000032	MYF_RS03490	NB626_RS01690
OG0000032	MYF_RS02815	NB626_RS03545
OG0000033	MYF_RS01130	NB626_RS02590
OG0000037	MYF_RS03495	NB626_RS01700
OG0000039	MYF_RS03160, MYF_RS00615	NB626_RS01720
OG0000040	MYF_RS02770, MYF_RS00840	NB626_RS03470
OG0000042	MYF_RS00610, MYF_RS00765	NB626_RS03120
OG0000043	MYF_RS01240	NB626_RS02045
OG0000045	MYF_RS00630	NB626_RS01725
