Orthogroup	MFC_Ms42_genes	MFC_MF18_genes
OG0000000	MYF_RS01330	DR082_RS03155
OG0000000	MYF_RS01525	DR082_RS03040
OG0000000	MYF_RS01460	DR082_RS03150
OG0000000	MYF_RS03295	DR082_RS03455
OG0000001	MYF_RS03415	DR082_RS00825, DR082_RS00820
OG0000002	MYF_RS03430	DR082_RS02685
OG0000002	MYF_RS01530	DR082_RS03795
OG0000002	MYF_RS01475	DR082_RS02920
OG0000002	MYF_RS03010	DR082_RS03830
OG0000003	MYF_RS01515	DR082_RS03925
OG0000004	MYF_RS02535, MYF_RS02545	DR082_RS01625
OG0000007	MYF_RS01510	DR082_RS02890
OG0000007	MYF_RS01505	DR082_RS02895
OG0000007	MYF_RS01500	DR082_RS03930
OG0000011	MYF_RS03310	DR082_RS03895, DR082_RS03545
OG0000011	MYF_RS01270	DR082_RS02625
OG0000013	MYF_RS03170	DR082_RS01090
OG0000013	MYF_RS01100	DR082_RS01085
OG0000013	MYF_RS03400	DR082_RS03095
OG0000014	MYF_RS00550	DR082_RS03685
OG0000016	MYF_RS00730	DR082_RS00770
OG0000016	MYF_RS00130	DR082_RS00190
OG0000017	MYF_RS03155	DR082_RS00175
OG0000017	MYF_RS00720	DR082_RS00760
OG0000018	MYF_RS01675	DR082_RS03790
OG0000019	MYF_RS03445	DR082_RS03120
OG0000020	MYF_RS03080	DR082_RS03840
OG0000020	MYF_RS03085	DR082_RS03845
OG0000022	MYF_RS03025	DR082_RS03835
OG0000023	MYF_RS01670, MYF_RS01880	DR082_RS02000
OG0000024	MYF_RS00790	DR082_RS00830
OG0000025	MYF_RS03030	DR082_RS02390
OG0000026	MYF_RS01715	DR082_RS02045
OG0000027	MYF_RS02825	DR082_RS03875
OG0000028	MYF_RS01125, MYF_RS01120	DR082_RS01105
OG0000029	MYF_RS00555	DR082_RS00605
OG0000030	MYF_RS02820	DR082_RS03880
OG0000031	MYF_RS01215	DR082_RS01195
OG0000032	MYF_RS03490, MYF_RS02815	DR082_RS02570
OG0000033	MYF_RS01130	DR082_RS01110
OG0000039	MYF_RS03160, MYF_RS00615	DR082_RS00665
OG0000040	MYF_RS02770	DR082_RS01855
OG0000042	MYF_RS00610	DR082_RS00660
OG0000042	MYF_RS00765	DR082_RS00805
OG0000043	MYF_RS01240	DR082_RS02595
OG0000045	MYF_RS00630	DR082_RS03225, DR082_RS03230
OG0000047	MYF_RS03335	DR082_RS00835
OG0000048	MYF_RS01350	DR082_RS03010, DR082_RS02750
OG0000049	MYF_RS03265, MYF_RS03455	DR082_RS01640
OG0000050	MYF_RS01180	DR082_RS01160
OG0000051	MYF_RS02420	DR082_RS01520
OG0000052	MYF_RS00075	DR082_RS03660
OG0000053	MYF_RS01800	DR082_RS03920
OG0000054	MYF_RS01155	DR082_RS01135
OG0000055	MYF_RS03525	DR082_RS03970
OG0000056	MYF_RS03060	DR082_RS02415
OG0000057	MYF_RS00645	DR082_RS00685
OG0000062	MYF_RS03115	DR082_RS00025
OG0000063	MYF_RS03110	DR082_RS00020
OG0000064	MYF_RS03100	DR082_RS00010
OG0000065	MYF_RS01575	DR082_RS01905
