Orthogroup	MFC_Ms42_genes	MHP_KM014_genes
OG0000000	MYF_RS03375	CIB43_RS03040
OG0000000	MYF_RS03295	CIB43_RS02600
OG0000001	MYF_RS03415	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	MYF_RS01530	CIB43_RS03100, CIB43_RS04020
OG0000002	MYF_RS03010	CIB43_RS02610
OG0000004	MYF_RS02535, MYF_RS02545	CIB43_RS00110
OG0000007	MYF_RS01510	CIB43_RS03095
OG0000007	MYF_RS01505	CIB43_RS03080
OG0000007	MYF_RS01500	CIB43_RS03075
OG0000011	MYF_RS03310	CIB43_RS02845, CIB43_RS02850
OG0000014	MYF_RS00550	CIB43_RS01485, CIB43_RS01955
OG0000015	MYF_RS03470	CIB43_RS00010
OG0000016	MYF_RS00730	CIB43_RS03755
OG0000017	MYF_RS03155	CIB43_RS00855
OG0000017	MYF_RS00720	CIB43_RS03765
OG0000018	MYF_RS01675	CIB43_RS01250, CIB43_RS01185
OG0000019	MYF_RS03440	CIB43_RS03950, CIB43_RS00005
OG0000020	MYF_RS03085	CIB43_RS00635
OG0000022	MYF_RS03025	CIB43_RS02590
OG0000023	MYF_RS01880	CIB43_RS01245, CIB43_RS01195
OG0000024	MYF_RS00790	CIB43_RS02140
OG0000025	MYF_RS03030	CIB43_RS02585
OG0000026	MYF_RS01715	CIB43_RS02565
OG0000027	MYF_RS02825	CIB43_RS00440
OG0000028	MYF_RS01125, MYF_RS01120	CIB43_RS03340
OG0000030	MYF_RS02820	CIB43_RS00435
OG0000031	MYF_RS01215	CIB43_RS01295, CIB43_RS00065
OG0000037	MYF_RS03495	CIB43_RS02465
OG0000039	MYF_RS03160, MYF_RS00615	CIB43_RS02500
OG0000042	MYF_RS00610, MYF_RS00765	CIB43_RS03855
OG0000043	MYF_RS01240	CIB43_RS00070
OG0000045	MYF_RS00630	CIB43_RS02520
OG0000047	MYF_RS03335	CIB43_RS00045
OG0000048	MYF_RS01350	CIB43_RS02995
OG0000051	MYF_RS02420	CIB43_RS03575
OG0000052	MYF_RS00075	CIB43_RS00775
OG0000053	MYF_RS01800	CIB43_RS02315
OG0000054	MYF_RS01155	CIB43_RS03395
OG0000055	MYF_RS03395, MYF_RS03525	CIB43_RS00835
