Orthogroup	MHP_111A_proteins	MFC_MF30_proteins
OG0000000	WP_404912243.1, WP_404912439.1	WP_220190802.1
OG0000000	WP_404912447.1	WP_160605580.1
OG0000001	WP_404912312.1, WP_404911958.1, WP_404911950.1, WP_011206342.1	WP_002557631.1
OG0000002	WP_225972974.1, WP_146379587.1	WP_160605454.1
OG0000004	WP_404912456.1	WP_220190801.1
OG0000011	WP_404911790.1	WP_160605422.1
OG0000011	WP_404911792.1	WP_160605420.1
OG0000013	WP_404911873.1	WP_160605387.1, WP_160605385.1
OG0000014	WP_404912270.1, WP_404912188.1	WP_220190749.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_160605334.1
OG0000018	WP_404912406.1	WP_160605522.1
OG0000019	WP_404911993.1, WP_404911991.1, WP_404911989.1	WP_160605640.1
OG0000020	WP_404912098.1	WP_308705457.1
OG0000022	WP_404912386.1	WP_160583783.1
OG0000024	WP_160585259.1, WP_404912310.1	WP_258555110.1
OG0000025	WP_404912384.1	WP_160583781.1
OG0000026	WP_192894288.1, WP_160606777.1	WP_002557545.1
OG0000027	WP_404912055.1	WP_160605603.1
OG0000029	WP_404912268.1, WP_404912190.1	WP_160605322.1
OG0000030	WP_240536353.1, WP_404912053.1	WP_160605605.1
OG0000031	WP_404912416.1	WP_160605408.1
OG0000033	WP_404911880.1	WP_160605396.1
OG0000039	WP_179221095.1	WP_160605326.1
OG0000040	WP_404912033.1, WP_404912462.1	WP_258555133.1, WP_160605352.1
OG0000042	WP_044272729.1	WP_160605324.1, WP_160605340.1
OG0000043	WP_404911800.1	WP_160605410.1
OG0000045	WP_404912363.1	WP_002557601.1
OG0000048	WP_404912397.1	WP_160605621.1
OG0000049	WP_020835860.1	WP_308705455.1
OG0000050	WP_404911890.1	WP_160605404.1
OG0000051	WP_404911930.1	WP_160581217.1
OG0000052	WP_404912127.1	WP_002557464.1
OG0000053	WP_160585093.1	WP_160605623.1
OG0000054	WP_020835786.1	WP_160605400.1
OG0000055	WP_160606887.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_404912090.1	WP_160605584.1
OG0000057	WP_220191159.1	WP_258555107.1
OG0000062	WP_094521530.1	WP_002557486.1
OG0000063	WP_404912101.1	WP_160605552.1
OG0000064	WP_011290440.1	WP_160581114.1
OG0000065	WP_233688433.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_160605398.1
OG0000071	WP_146379735.1	WP_160605649.1, WP_160581282.1
OG0000072	WP_404912031.1	WP_160605550.1
OG0000073	WP_404912207.1	WP_039387630.1
