Orthogroup	MHP_153B_genes	MHP_KM014_genes
OG0000000	NB625_RS02230	CIB43_RS03015
OG0000000	NB625_RS01725	CIB43_RS02600
OG0000001	NB625_RS02955	CIB43_RS03715
OG0000001	NB625_RS02910	CIB43_RS03670
OG0000002	NB625_RS02350	CIB43_RS03100
OG0000002	NB625_RS02345	CIB43_RS04020
OG0000002	NB625_RS01730	CIB43_RS02610
OG0000003	NB625_RS01830	CIB43_RS02725
OG0000004	NB625_RS03355	CIB43_RS00290
OG0000005	NB625_RS00100	CIB43_RS00810
OG0000005	NB625_RS00125	CIB43_RS00830
OG0000006	NB625_RS02650	CIB43_RS03435
OG0000006	NB625_RS02500, NB625_RS02645, NB625_RS02470	CIB43_RS03420
OG0000007	NB625_RS02325	CIB43_RS03095
OG0000007	NB625_RS02305	CIB43_RS03080
OG0000008	NB625_RS02460	CIB43_RS03225
OG0000009	NB625_RS00085	CIB43_RS00790
OG0000009	NB625_RS01005	CIB43_RS01550
OG0000010	NB625_RS01850	CIB43_RS02735, CIB43_RS00795
OG0000011	NB625_RS01950	CIB43_RS02850
OG0000012	NB625_RS02890, NB625_RS01075	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	NB625_RS01095	CIB43_RS01955
OG0000015	NB625_RS02065	CIB43_RS01235
OG0000015	NB625_RS01580	CIB43_RS01220
OG0000016	NB625_RS02995	CIB43_RS03755
OG0000017	NB625_RS00160	CIB43_RS00855
OG0000017	NB625_RS03005	CIB43_RS03765
OG0000018	NB625_RS02090	CIB43_RS01250
OG0000019	NB625_RS03175	CIB43_RS00115
OG0000019	NB625_RS03195	CIB43_RS03950, CIB43_RS00005
OG0000020	NB625_RS03695	CIB43_RS00635
OG0000021	NB625_RS01755	CIB43_RS02635
OG0000022	NB625_RS01720	CIB43_RS02590
OG0000023	NB625_RS01320	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	NB625_RS01275	CIB43_RS02140
OG0000025	NB625_RS01715	CIB43_RS02585
OG0000026	NB625_RS01695	CIB43_RS02565
OG0000028	NB625_RS02565	CIB43_RS03325
OG0000031	NB625_RS02145	CIB43_RS01295
OG0000035	NB625_RS03365	CIB43_RS00280
OG0000036	NB625_RS00110	CIB43_RS00815
OG0000038	NB625_RS01745	CIB43_RS02625
OG0000039	NB625_RS01615	CIB43_RS02500
OG0000041	NB625_RS01015	CIB43_RS03980
OG0000042	NB625_RS03095	CIB43_RS03855
OG0000043	NB625_RS01915	CIB43_RS02825
OG0000043	NB625_RS01915	CIB43_RS00070
OG0000044	NB625_RS01790	CIB43_RS02665
OG0000045	NB625_RS01620	CIB43_RS02520
OG0000048	NB625_RS02195	CIB43_RS02995
OG0000049	NB625_RS03205	CIB43_RS00150
OG0000051	NB625_RS02810	CIB43_RS03575
OG0000052	NB625_RS00075	CIB43_RS00775
OG0000053	NB625_RS01450, NB625_RS01455	CIB43_RS02315
OG0000054	NB625_RS02620	CIB43_RS03395
OG0000055	NB625_RS00135	CIB43_RS00835
OG0000056	NB625_RS03680	CIB43_RS00630, CIB43_RS03960
OG0000057	NB625_RS03080	CIB43_RS03840
OG0000058	NB625_RS02155	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000058	NB625_RS02150	CIB43_RS01300
OG0000059	NB625_RS02125	CIB43_RS00080, CIB43_RS01165
OG0000060	NB625_RS00080	CIB43_RS00780
OG0000061	NB625_RS01860	CIB43_RS02745
OG0000062	NB625_RS03725	CIB43_RS00675
OG0000063	NB625_RS03720	CIB43_RS00660
OG0000064	NB625_RS03710	CIB43_RS00650
OG0000065	NB625_RS02395	CIB43_RS03145
OG0000068	NB625_RS01040	CIB43_RS01520
OG0000069	NB625_RS02975	CIB43_RS03740
OG0000070	NB625_RS02625	CIB43_RS03400
OG0000071	NB625_RS03430	CIB43_RS00360
OG0000072	NB625_RS03435	CIB43_RS00375
OG0000073	NB625_RS00980	CIB43_RS01580
OG0000075	NB625_RS00345	CIB43_RS01060
OG0000077	NB625_RS00445	CIB43_RS01330
OG0000078	NB625_RS01685	CIB43_RS02560
OG0000079	NB625_RS02710	CIB43_RS03480
OG0000080	NB625_RS02760	CIB43_RS03525
OG0000081	NB625_RS00340	CIB43_RS01055
OG0000083	NB625_RS02020	CIB43_RS02935
OG0000084	NB625_RS02050	CIB43_RS02955
OG0000086	NB625_RS02160	CIB43_RS02970
OG0000087	NB625_RS02175	CIB43_RS02975
OG0000088	NB625_RS02180	CIB43_RS02980
OG0000089	NB625_RS02190	CIB43_RS02990
OG0000090	NB625_RS00070	CIB43_RS00770
OG0000091	NB625_RS00055	CIB43_RS00760
OG0000092	NB625_RS00040	CIB43_RS00745
OG0000093	NB625_RS00035	CIB43_RS00735
OG0000094	NB625_RS00030	CIB43_RS00730
OG0000095	NB625_RS00005	CIB43_RS00715
OG0000096	NB625_RS03760	CIB43_RS00700
OG0000097	NB625_RS03740	CIB43_RS00690
OG0000100	NB625_RS03675	CIB43_RS00610
OG0000101	NB625_RS03665	CIB43_RS00600
OG0000102	NB625_RS01710	CIB43_RS02580
OG0000103	NB625_RS02360	CIB43_RS03110
OG0000104	NB625_RS02365	CIB43_RS03120
OG0000105	NB625_RS02380	CIB43_RS03130
OG0000106	NB625_RS02390	CIB43_RS03140
OG0000107	NB625_RS02400	CIB43_RS03150
OG0000108	NB625_RS02405	CIB43_RS03155
OG0000109	NB625_RS02410	CIB43_RS03160
OG0000110	NB625_RS02530	CIB43_RS03290
OG0000111	NB625_RS02525	CIB43_RS03285
OG0000112	NB625_RS02515	CIB43_RS03280
OG0000113	NB625_RS02495	CIB43_RS03260
OG0000114	NB625_RS02485	CIB43_RS03245
OG0000115	NB625_RS02475	CIB43_RS03230
OG0000116	NB625_RS01300	CIB43_RS02165
OG0000117	NB625_RS01305	CIB43_RS02170
OG0000118	NB625_RS01340	CIB43_RS02205
OG0000119	NB625_RS01345	CIB43_RS02210
OG0000120	NB625_RS01360	CIB43_RS02230
OG0000121	NB625_RS01385	CIB43_RS02250
OG0000122	NB625_RS01390	CIB43_RS02255
OG0000123	NB625_RS01410	CIB43_RS02275
OG0000124	NB625_RS01415	CIB43_RS02280
OG0000125	NB625_RS01420	CIB43_RS02285
OG0000126	NB625_RS01430	CIB43_RS02295
OG0000127	NB625_RS01440	CIB43_RS02305
OG0000128	NB625_RS01460	CIB43_RS02320
OG0000129	NB625_RS01465	CIB43_RS02330
OG0000130	NB625_RS01475	CIB43_RS02335
OG0000131	NB625_RS01505	CIB43_RS02370
OG0000132	NB625_RS01520	CIB43_RS02385
OG0000133	NB625_RS00530	CIB43_RS01415
OG0000134	NB625_RS00535	CIB43_RS01425
OG0000135	NB625_RS00550	CIB43_RS01435
OG0000136	NB625_RS00555	CIB43_RS01440
OG0000137	NB625_RS00595	CIB43_RS01470
OG0000138	NB625_RS01065	CIB43_RS01495
OG0000139	NB625_RS01035	CIB43_RS01525
OG0000140	NB625_RS01030	CIB43_RS01540
OG0000141	NB625_RS03090	CIB43_RS03850
OG0000142	NB625_RS03085	CIB43_RS03845
OG0000143	NB625_RS03065	CIB43_RS03835
OG0000144	NB625_RS03050	CIB43_RS03815
OG0000145	NB625_RS03040	CIB43_RS03805
OG0000146	NB625_RS03030	CIB43_RS03790
OG0000147	NB625_RS03025	CIB43_RS03785
OG0000148	NB625_RS03010	CIB43_RS03780
OG0000149	NB625_RS03000	CIB43_RS03760
OG0000150	NB625_RS02985	CIB43_RS03745
OG0000151	NB625_RS02940	CIB43_RS03700
OG0000152	NB625_RS02935	CIB43_RS03695
OG0000153	NB625_RS02930	CIB43_RS03690
OG0000154	NB625_RS02920	CIB43_RS03680
OG0000155	NB625_RS02880	CIB43_RS03645
OG0000156	NB625_RS02870	CIB43_RS03635
OG0000157	NB625_RS02865	CIB43_RS03625
OG0000158	NB625_RS02855	CIB43_RS03620
OG0000159	NB625_RS02610	CIB43_RS03385
OG0000160	NB625_RS02605	CIB43_RS03380
OG0000161	NB625_RS02600	CIB43_RS03375
OG0000163	NB625_RS02585	CIB43_RS03370
OG0000164	NB625_RS01610	CIB43_RS02495
OG0000165	NB625_RS01945	CIB43_RS02840
OG0000166	NB625_RS01960	CIB43_RS02860
OG0000167	NB625_RS01975	CIB43_RS02875
OG0000168	NB625_RS01980	CIB43_RS02880
OG0000169	NB625_RS03200	CIB43_RS00130
OG0000171	NB625_RS03225	CIB43_RS00155
OG0000172	NB625_RS03230	CIB43_RS00160
OG0000173	NB625_RS03235	CIB43_RS00165
OG0000174	NB625_RS03240	CIB43_RS00170
OG0000175	NB625_RS03255	CIB43_RS00190
OG0000176	NB625_RS03315	CIB43_RS00235
OG0000177	NB625_RS03320	CIB43_RS00240
OG0000178	NB625_RS03330	CIB43_RS00245
OG0000179	NB625_RS03335	CIB43_RS00255
OG0000180	NB625_RS03340	CIB43_RS00260
OG0000181	NB625_RS03380	CIB43_RS00310
OG0000182	NB625_RS03390	CIB43_RS00320
OG0000183	NB625_RS03425	CIB43_RS00355
OG0000184	NB625_RS03470	CIB43_RS00430
OG0000185	NB625_RS03455	CIB43_RS00380
OG0000186	NB625_RS01530	CIB43_RS02400
OG0000187	NB625_RS01545	CIB43_RS02410
OG0000188	NB625_RS01555	CIB43_RS02425
OG0000189	NB625_RS02450	CIB43_RS03200
OG0000190	NB625_RS02445	CIB43_RS03195
OG0000191	NB625_RS02420	CIB43_RS03180
OG0000192	NB625_RS01215	CIB43_RS02085
OG0000193	NB625_RS01200	CIB43_RS02075
OG0000194	NB625_RS00995	CIB43_RS01560
OG0000195	NB625_RS00990	CIB43_RS01565
OG0000196	NB625_RS00965	CIB43_RS01585
OG0000197	NB625_RS00960	CIB43_RS01590
OG0000198	NB625_RS00945	CIB43_RS01605
OG0000199	NB625_RS00940	CIB43_RS01615
OG0000200	NB625_RS00925	CIB43_RS01630
OG0000201	NB625_RS00915	CIB43_RS01635
OG0000202	NB625_RS00860	CIB43_RS01690
OG0000203	NB625_RS00855	CIB43_RS01695
OG0000204	NB625_RS00850	CIB43_RS01700
OG0000205	NB625_RS00845	CIB43_RS01705
OG0000206	NB625_RS00825	CIB43_RS01735
OG0000207	NB625_RS00810	CIB43_RS01740
OG0000208	NB625_RS00805	CIB43_RS01745
OG0000209	NB625_RS00800	CIB43_RS01750
OG0000210	NB625_RS00755	CIB43_RS01800
OG0000211	NB625_RS00745	CIB43_RS01805
OG0000212	NB625_RS00735	CIB43_RS01815
OG0000213	NB625_RS00730	CIB43_RS01820
OG0000214	NB625_RS00725	CIB43_RS01825
OG0000215	NB625_RS00720	CIB43_RS01830
OG0000216	NB625_RS00715	CIB43_RS01835
OG0000217	NB625_RS00710	CIB43_RS01845
OG0000218	NB625_RS00700	CIB43_RS01850
OG0000219	NB625_RS00695	CIB43_RS01855
OG0000220	NB625_RS00690	CIB43_RS01860
OG0000221	NB625_RS00685	CIB43_RS01865
OG0000222	NB625_RS00680	CIB43_RS01870
OG0000223	NB625_RS00675	CIB43_RS01875
OG0000225	NB625_RS00655	CIB43_RS01895
OG0000226	NB625_RS00650	CIB43_RS01900
OG0000227	NB625_RS00645	CIB43_RS01905
OG0000228	NB625_RS00640	CIB43_RS01910
OG0000229	NB625_RS00635	CIB43_RS01915
OG0000230	NB625_RS00630	CIB43_RS01920
OG0000231	NB625_RS00620	CIB43_RS01935
OG0000232	NB625_RS00610	CIB43_RS01940
OG0000233	NB625_RS01100	CIB43_RS01965
OG0000234	NB625_RS01135	CIB43_RS02000
OG0000235	NB625_RS01145	CIB43_RS02005
OG0000236	NB625_RS01150	CIB43_RS02010
OG0000237	NB625_RS01155	CIB43_RS02015
OG0000238	NB625_RS01160	CIB43_RS02025
OG0000239	NB625_RS03100	CIB43_RS03860
OG0000240	NB625_RS03105	CIB43_RS03870
OG0000241	NB625_RS03115	CIB43_RS03875
OG0000242	NB625_RS03120	CIB43_RS03880
OG0000243	NB625_RS03125	CIB43_RS03885
OG0000244	NB625_RS03135	CIB43_RS03900
OG0000245	NB625_RS03145	CIB43_RS03905
OG0000246	NB625_RS00145	CIB43_RS00845
OG0000247	NB625_RS00155	CIB43_RS00850
OG0000248	NB625_RS00165	CIB43_RS00875
OG0000250	NB625_RS00185	CIB43_RS00885
OG0000251	NB625_RS00215	CIB43_RS00925
OG0000252	NB625_RS00225	CIB43_RS00930
OG0000253	NB625_RS00230	CIB43_RS00940
OG0000254	NB625_RS00240	CIB43_RS00950
OG0000255	NB625_RS00245	CIB43_RS00955
OG0000256	NB625_RS00250	CIB43_RS00960
OG0000257	NB625_RS00275	CIB43_RS00985
OG0000258	NB625_RS00285	CIB43_RS01015
OG0000259	NB625_RS00315	CIB43_RS01030
OG0000260	NB625_RS00325	CIB43_RS01045
OG0000262	NB625_RS00350	CIB43_RS01075
OG0000263	NB625_RS00365	CIB43_RS01080
OG0000264	NB625_RS00385	CIB43_RS01100
OG0000265	NB625_RS00390	CIB43_RS01110
