Orthogroup	MHP_153B_genes	MHP_131B_genes
OG0000000	NB625_RS02335	NB627_RS02355
OG0000000	NB625_RS02220	NB627_RS02285
OG0000000	NB625_RS02330	NB627_RS02350
OG0000000	NB625_RS01725	NB627_RS01850
OG0000001	NB625_RS01285	NB627_RS01405
OG0000001	NB625_RS02910	NB627_RS02935
OG0000002	NB625_RS02350	NB627_RS02365
OG0000002	NB625_RS02340	NB627_RS02360
OG0000002	NB625_RS02235	NB627_RS02290
OG0000002	NB625_RS01730	NB627_RS01865
OG0000003	NB625_RS02310	NB627_RS02330
OG0000003	NB625_RS01830	NB627_RS01980
OG0000004	NB625_RS03355	NB627_RS03390
OG0000004	NB625_RS03360	NB627_RS03395
OG0000004	NB625_RS03370	NB627_RS03405
OG0000004	NB625_RS03170	NB627_RS03205
OG0000004	NB625_RS03190	NB627_RS03225
OG0000004	NB625_RS03180	NB627_RS03215
OG0000005	NB625_RS00100	NB627_RS00100
OG0000005	NB625_RS00125	NB627_RS00120
OG0000006	NB625_RS02650	NB627_RS02685, NB627_RS02690
OG0000006	NB625_RS02645	NB627_RS02520
OG0000007	NB625_RS02315	NB627_RS02335
OG0000007	NB625_RS02325	NB627_RS02345
OG0000007	NB625_RS02305	NB627_RS02325
OG0000008	NB625_RS02460	NB627_RS02475
OG0000008	NB625_RS01635, NB625_RS01640	NB627_RS01765
OG0000008	NB625_RS02660	NB627_RS02695
OG0000009	NB625_RS01020	NB627_RS00775
OG0000009	NB625_RS00085	NB627_RS00085
OG0000009	NB625_RS01005	NB627_RS00790
OG0000010	NB625_RS01850	NB627_RS01985
OG0000012	NB625_RS01865	NB627_RS02000
OG0000013	NB625_RS02545	NB627_RS02570
OG0000013	NB625_RS00190	NB627_RS00185
OG0000014	NB625_RS01095	NB627_RS01205
OG0000014	NB625_RS01085	NB627_RS00715
OG0000015	NB625_RS01630	NB627_RS01760
OG0000015	NB625_RS01580	NB627_RS00525
OG0000016	NB625_RS02995	NB627_RS03030
OG0000016	NB625_RS00175	NB627_RS00170
OG0000017	NB625_RS00160	NB627_RS00155
OG0000017	NB625_RS03005	NB627_RS03040
OG0000019	NB625_RS03185	NB627_RS03210, NB627_RS03220
OG0000019	NB625_RS03195	NB627_RS03230
OG0000020	NB625_RS03695	NB627_RS03760
OG0000021	NB625_RS01755	NB627_RS00615
OG0000022	NB625_RS01665	NB627_RS01790
OG0000022	NB625_RS01720	NB627_RS01845
OG0000023	NB625_RS01320	NB627_RS01440, NB627_RS00500
OG0000024	NB625_RS02905	NB627_RS02930
OG0000024	NB625_RS01275	NB627_RS01395
OG0000025	NB625_RS01670	NB627_RS01795
OG0000025	NB625_RS01715	NB627_RS01840
OG0000026	NB625_RS01365	NB627_RS01490
OG0000026	NB625_RS01695	NB627_RS01820
OG0000027	NB625_RS03505	NB627_RS03540
