Orthogroup	MHP_153B_genes	MFC_MF18_genes
OG0000000	NB625_RS02335	DR082_RS03155
OG0000000	NB625_RS02215, NB625_RS02225	DR082_RS03005
OG0000000	NB625_RS02210	DR082_RS03150
OG0000000	NB625_RS01725	DR082_RS03455
OG0000001	NB625_RS01285, NB625_RS01280, NB625_RS02955, NB625_RS02910	DR082_RS00825, DR082_RS00820
OG0000002	NB625_RS02340	DR082_RS03795
OG0000002	NB625_RS02235	DR082_RS02920
OG0000002	NB625_RS01730	DR082_RS03830
OG0000004	NB625_RS03190	DR082_RS01625
OG0000007	NB625_RS02325	DR082_RS02890
OG0000007	NB625_RS02305	DR082_RS02895
OG0000011	NB625_RS01950	DR082_RS03895, DR082_RS03545
OG0000013	NB625_RS02545	DR082_RS01090, DR082_RS01085
OG0000013	NB625_RS00190	DR082_RS03095
OG0000014	NB625_RS01095, NB625_RS01085	DR082_RS03685
OG0000016	NB625_RS02995	DR082_RS00770
OG0000017	NB625_RS00160	DR082_RS00175
OG0000017	NB625_RS03005	DR082_RS00760
OG0000018	NB625_RS02090	DR082_RS03790
OG0000020	NB625_RS03695	DR082_RS03845
OG0000022	NB625_RS01720	DR082_RS03835
OG0000023	NB625_RS01320	DR082_RS02000
OG0000024	NB625_RS02905, NB625_RS01275	DR082_RS00830
OG0000025	NB625_RS01715	DR082_RS02390
OG0000026	NB625_RS01365, NB625_RS01695	DR082_RS02045
OG0000027	NB625_RS03505	DR082_RS02575
OG0000029	NB625_RS00600, NB625_RS01080	DR082_RS00605
OG0000030	NB625_RS03495	DR082_RS03880
OG0000031	NB625_RS02145, NB625_RS01605	DR082_RS01195
OG0000032	NB625_RS01585	DR082_RS02570
OG0000033	NB625_RS02560	DR082_RS01110
OG0000039	NB625_RS01615	DR082_RS00665
OG0000040	NB625_RS03440	DR082_RS01855, DR082_RS00885
OG0000042	NB625_RS03095	DR082_RS00660, DR082_RS00805
OG0000043	NB625_RS01915	DR082_RS02595
OG0000045	NB625_RS01620	DR082_RS03225, DR082_RS03230
OG0000047	NB625_RS02080	DR082_RS00835
OG0000048	NB625_RS02195	DR082_RS03010, DR082_RS02750
OG0000049	NB625_RS03205	DR082_RS01640, DR082_RS03345
OG0000050	NB625_RS02595	DR082_RS01160
OG0000051	NB625_RS02810	DR082_RS01520
OG0000052	NB625_RS00075	DR082_RS03660
OG0000053	NB625_RS01450	DR082_RS03920
OG0000054	NB625_RS02620	DR082_RS01135
OG0000055	NB625_RS00135	DR082_RS03970
OG0000056	NB625_RS03680	DR082_RS02415
OG0000057	NB625_RS03080	DR082_RS00685
OG0000062	NB625_RS03725	DR082_RS00025
OG0000063	NB625_RS03720	DR082_RS00020
OG0000064	NB625_RS03710	DR082_RS00010
OG0000065	NB625_RS02395	DR082_RS01905
OG0000066	NB625_RS01355	DR082_RS02035
OG0000068	NB625_RS01040	DR082_RS00640
OG0000069	NB625_RS02975	DR082_RS00795
OG0000070	NB625_RS02625	DR082_RS01115
OG0000071	NB625_RS03430	DR082_RS01840
OG0000072	NB625_RS03435	DR082_RS03775
OG0000073	NB625_RS00980	DR082_RS02205
OG0000075	NB625_RS00345	DR082_RS00360
OG0000077	NB625_RS00445	DR082_RS00460
OG0000079	NB625_RS02710	DR082_RS01035
OG0000080	NB625_RS02760	DR082_RS03280
OG0000081	NB625_RS00340	DR082_RS00355
OG0000082	NB625_RS02540	DR082_RS01095
OG0000083	NB625_RS02020	DR082_RS02990
OG0000084	NB625_RS02050	DR082_RS02700
OG0000085	NB625_RS02055	DR082_RS03060, DR082_RS02705
OG0000086	NB625_RS02160	DR082_RS03910
OG0000087	NB625_RS02175	DR082_RS02730
OG0000088	NB625_RS02180	DR082_RS02735
