Orthogroup	MHP_153B_genes	MHP_MHP650_genes
OG0000000	NB625_RS02335	DR083_RS02765
OG0000000	NB625_RS01725	DR083_RS04215
OG0000001	NB625_RS01285, NB625_RS01280	DR083_RS04075
OG0000001	NB625_RS02955	DR083_RS00590
OG0000001	NB625_RS02910	DR083_RS00540
OG0000002	NB625_RS02350, NB625_RS02345	DR083_RS04320
OG0000002	NB625_RS02340	DR083_RS02760
OG0000002	NB625_RS02235	DR083_RS04915
OG0000002	NB625_RS01730	DR083_RS04760
OG0000003	NB625_RS01830	DR083_RS03840
OG0000004	NB625_RS03360	DR083_RS03460
OG0000004	NB625_RS03370	DR083_RS03440
OG0000004	NB625_RS03170	DR083_RS01645
OG0000005	NB625_RS00100	DR083_RS03065
OG0000005	NB625_RS00105	DR083_RS04870
OG0000006	NB625_RS02645	DR083_RS03320
OG0000007	NB625_RS02325	DR083_RS03475
OG0000007	NB625_RS02305	DR083_RS03470
OG0000008	NB625_RS02460	DR083_RS04510
OG0000008	NB625_RS02660	DR083_RS04540
OG0000009	NB625_RS01020	DR083_RS01225
OG0000009	NB625_RS00085	DR083_RS05040
OG0000009	NB625_RS01005	DR083_RS01240
OG0000010	NB625_RS01850	DR083_RS02305, DR083_RS04470, DR083_RS04910
OG0000011	NB625_RS01950	DR083_RS01555
OG0000012	NB625_RS02890, NB625_RS01075	DR083_RS03720
OG0000013	NB625_RS02545	DR083_RS05105
OG0000013	NB625_RS00190	DR083_RS03885
OG0000014	NB625_RS01085	DR083_RS04890
OG0000015	NB625_RS01580	DR083_RS02965
OG0000016	NB625_RS02995	DR083_RS00630
OG0000016	NB625_RS00175	DR083_RS00040
OG0000017	NB625_RS00160	DR083_RS00025
OG0000017	NB625_RS03005	DR083_RS00640
OG0000019	NB625_RS03195	DR083_RS04180
OG0000020	NB625_RS03695	DR083_RS04640
OG0000021	NB625_RS01755	DR083_RS02215, DR083_RS03855
OG0000022	NB625_RS01665	DR083_RS02055
OG0000022	NB625_RS01720	DR083_RS04755
OG0000023	NB625_RS01320	DR083_RS02935
OG0000024	NB625_RS02905	DR083_RS03365
OG0000024	NB625_RS01275	DR083_RS01215
OG0000025	NB625_RS01670	DR083_RS04750
OG0000025	NB625_RS01715	DR083_RS02105
OG0000026	NB625_RS01365	DR083_RS01120
OG0000026	NB625_RS01695	DR083_RS02085
OG0000027	NB625_RS03505	DR083_RS02995
OG0000028	NB625_RS02565	DR083_RS00320, DR083_RS00315
OG0000029	NB625_RS00600	DR083_RS02525
OG0000029	NB625_RS01080	DR083_RS03325
OG0000030	NB625_RS03495	DR083_RS04855
OG0000031	NB625_RS02145	DR083_RS02520
OG0000032	NB625_RS01585	DR083_RS03590
OG0000033	NB625_RS02560	DR083_RS00310
OG0000034	NB625_RS02250	DR083_RS04525
OG0000034	NB625_RS02255	DR083_RS04530
OG0000035	NB625_RS03365	DR083_RS03445
OG0000036	NB625_RS00110, NB625_RS00130	DR083_RS03040
OG0000037	NB625_RS01595	DR083_RS04925
OG0000039	NB625_RS01615	DR083_RS03505
OG0000040	NB625_RS03440	DR083_RS02780
OG0000041	NB625_RS01015	DR083_RS01230
OG0000041	NB625_RS01195	DR083_RS01935
OG0000042	NB625_RS03095	DR083_RS00730
OG0000043	NB625_RS01915	DR083_RS01520
OG0000044	NB625_RS01680	DR083_RS04960
OG0000044	NB625_RS01790	DR083_RS02245
OG0000045	NB625_RS01620	DR083_RS03515
OG0000046	NB625_RS03450	DR083_RS04815
OG0000047	NB625_RS02080	DR083_RS03630
OG0000048	NB625_RS02195	DR083_RS02860
OG0000049	NB625_RS03205	DR083_RS01660
OG0000050	NB625_RS02595	DR083_RS00350
OG0000051	NB625_RS02810	DR083_RS02195
OG0000052	NB625_RS00075	DR083_RS02690
OG0000053	NB625_RS01450	DR083_RS04665
OG0000054	NB625_RS02620	DR083_RS00375
OG0000055	NB625_RS00135	DR083_RS00005
OG0000056	NB625_RS03680	DR083_RS00815
OG0000057	NB625_RS03080	DR083_RS03975, DR083_RS03980
OG0000058	NB625_RS02155	DR083_RS02505
OG0000058	NB625_RS02150	DR083_RS02510
OG0000059	NB625_RS02125	DR083_RS04445
OG0000060	NB625_RS00080	DR083_RS02685
OG0000061	NB625_RS01860	DR083_RS02315
OG0000062	NB625_RS03725	DR083_RS00865
OG0000063	NB625_RS03720	DR083_RS04645
OG0000064	NB625_RS03710	DR083_RS00850
OG0000065	NB625_RS02395	DR083_RS02715
OG0000066	NB625_RS01355	DR083_RS01130
OG0000067	NB625_RS00525	DR083_RS02350
OG0000068	NB625_RS01040	DR083_RS03160
OG0000069	NB625_RS02975	DR083_RS00605
OG0000070	NB625_RS02625	DR083_RS00380
OG0000071	NB625_RS03430	DR083_RS02790
OG0000072	NB625_RS03435	DR083_RS04820
OG0000073	NB625_RS00980	DR083_RS01265
OG0000074	NB625_RS00780	DR083_RS04700
OG0000075	NB625_RS00345	DR083_RS00220
OG0000076	NB625_RS00360	DR083_RS00235
OG0000077	NB625_RS00445	DR083_RS03235
OG0000078	NB625_RS01685	DR083_RS02075
OG0000079	NB625_RS02710	DR083_RS01845
OG0000080	NB625_RS02760	DR083_RS04190
OG0000081	NB625_RS00340	DR083_RS00215
OG0000083	NB625_RS02020	DR083_RS01625
OG0000084	NB625_RS02050	DR083_RS02910
OG0000085	NB625_RS02055	DR083_RS02905
