Orthogroup	MHP_MHP699_genes	MHP_KM014_genes
OG0000000	DR100_RS02520	CIB43_RS03015
OG0000000	DR100_RS04325	CIB43_RS03010
OG0000000	DR100_RS04215	CIB43_RS02595, CIB43_RS02600
OG0000001	DR100_RS01790	CIB43_RS03715
OG0000001	DR100_RS03285, DR100_RS03280	CIB43_RS03670
OG0000002	DR100_RS04380	CIB43_RS03100, CIB43_RS04020
OG0000002	DR100_RS04740	CIB43_RS02610
OG0000003	DR100_RS03840	CIB43_RS02725
OG0000004	DR100_RS03655	CIB43_RS00275
OG0000005	DR100_RS01100	CIB43_RS00810
OG0000005	DR100_RS04620	CIB43_RS00830
OG0000006	DR100_RS04235, DR100_RS04230	CIB43_RS03435
OG0000006	DR100_RS04240, DR100_RS04245	CIB43_RS03420
OG0000007	DR100_RS03495	CIB43_RS03095
OG0000007	DR100_RS03500	CIB43_RS03080
OG0000007	DR100_RS03510	CIB43_RS03075
OG0000009	DR100_RS00780	CIB43_RS01550
OG0000010	DR100_RS04925	CIB43_RS02735
OG0000010	DR100_RS01085	CIB43_RS00795
OG0000011	DR100_RS01970	CIB43_RS02850
OG0000012	DR100_RS01800	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	DR100_RS03645	CIB43_RS01955
OG0000015	DR100_RS01650	CIB43_RS01220
OG0000016	DR100_RS01750	CIB43_RS03755
OG0000017	DR100_RS00700	CIB43_RS00855
OG0000017	DR100_RS01740	CIB43_RS03765
OG0000018	DR100_RS04715	CIB43_RS01185
OG0000019	DR100_RS03760	CIB43_RS00120, CIB43_RS00115
OG0000019	DR100_RS03785	CIB43_RS03950, CIB43_RS00005
OG0000020	DR100_RS04650	CIB43_RS00635
OG0000021	DR100_RS03710	CIB43_RS02635
OG0000022	DR100_RS04745	CIB43_RS02590
OG0000023	DR100_RS01625	CIB43_RS01195
OG0000024	DR100_RS00195	CIB43_RS02140
OG0000025	DR100_RS02170	CIB43_RS02585
OG0000026	DR100_RS02190	CIB43_RS02565
OG0000027	DR100_RS04690	CIB43_RS00440
OG0000028	DR100_RS02685, DR100_RS02310	CIB43_RS03325
OG0000030	DR100_RS04695	CIB43_RS00435
OG0000031	DR100_RS01570	CIB43_RS01295
OG0000035	DR100_RS03560	CIB43_RS00280
OG0000036	DR100_RS01080	CIB43_RS00815
OG0000037	DR100_RS03435	CIB43_RS02475, CIB43_RS02465
OG0000038	DR100_RS03370	CIB43_RS02625
OG0000039	DR100_RS04510, DR100_RS03660	CIB43_RS02500
OG0000041	DR100_RS00105	CIB43_RS03980
OG0000042	DR100_RS03115	CIB43_RS03855
OG0000043	DR100_RS02005	CIB43_RS00070
OG0000045	DR100_RS03545	CIB43_RS02520
OG0000047	DR100_RS01635	CIB43_RS01205
OG0000048	DR100_RS02540	CIB43_RS02995
OG0000049	DR100_RS01465	CIB43_RS00150
OG0000051	DR100_RS01815	CIB43_RS03575
OG0000052	DR100_RS01115	CIB43_RS00775
OG0000053	DR100_RS04755	CIB43_RS02315
