Orthogroup	MHP_MHP699_genes	MHP_UFV02_genes
OG0000000	DR100_RS04325	FEF31_RS01860
OG0000000	DR100_RS03595	FEF31_RS02055
OG0000000	DR100_RS04215	FEF31_RS01380, FEF31_RS01385
OG0000001	DR100_RS03930	FEF31_RS00940
OG0000001	DR100_RS01790	FEF31_RS02540
OG0000002	DR100_RS04380	FEF31_RS01945
OG0000002	DR100_RS04890	FEF31_RS04505
OG0000002	DR100_RS04740	FEF31_RS04455
OG0000003	DR100_RS03640	FEF31_RS04365
OG0000003	DR100_RS04885	FEF31_RS04510
OG0000003	DR100_RS03840	FEF31_RS01590
OG0000004	DR100_RS03555	FEF31_RS03775
OG0000005	DR100_RS01100	FEF31_RS03370
OG0000005	DR100_RS04620	FEF31_RS04665
OG0000005	DR100_RS04630	FEF31_RS04660
OG0000005	DR100_RS04625	FEF31_RS03380
OG0000005	DR100_RS04615	FEF31_RS04670
OG0000006	DR100_RS04245	FEF31_RS02090
OG0000007	DR100_RS04495, DR100_RS03495	FEF31_RS01925
OG0000007	DR100_RS03500	FEF31_RS01915
OG0000007	DR100_RS03510	FEF31_RS01910
OG0000008	DR100_RS03845	FEF31_RS01300
OG0000008	DR100_RS03680	FEF31_RS02250
OG0000009	DR100_RS00110	FEF31_RS00845
OG0000009	DR100_RS00780	FEF31_RS00335
OG0000010	DR100_RS04925	FEF31_RS01600
OG0000010	DR100_RS04770	FEF31_RS04440
OG0000011	DR100_RS01970	FEF31_RS01695
OG0000011	DR100_RS01975	FEF31_RS01690
OG0000012	DR100_RS01800	FEF31_RS02235
OG0000013	DR100_RS02295	FEF31_RS02135
OG0000013	DR100_RS03970	FEF31_RS03455
OG0000014	DR100_RS03645	FEF31_RS00745
OG0000014	DR100_RS04585	FEF31_RS04375
OG0000016	DR100_RS01750	FEF31_RS02580
OG0000016	DR100_RS00685	FEF31_RS03440
OG0000017	DR100_RS00700	FEF31_RS03425
OG0000017	DR100_RS01740	FEF31_RS02590
OG0000020	DR100_RS03705	FEF31_RS03220
OG0000020	DR100_RS04650	FEF31_RS04270
OG0000022	DR100_RS02220	FEF31_RS01320
OG0000022	DR100_RS04745	FEF31_RS04450
OG0000023	DR100_RS00240	FEF31_RS00975
OG0000024	DR100_RS03275	FEF31_RS02485
OG0000024	DR100_RS00195	FEF31_RS00930
OG0000025	DR100_RS04750	FEF31_RS04445
OG0000025	DR100_RS02170	FEF31_RS01370
OG0000026	DR100_RS00285	FEF31_RS01025
OG0000026	DR100_RS02190	FEF31_RS01350
OG0000027	DR100_RS04850	FEF31_RS03015
OG0000027	DR100_RS04690	FEF31_RS04605
OG0000029	DR100_RS03520	FEF31_RS00735
