Orthogroup	MHP_MHP679_protein	MHP_ES2_protein
OG0000000	WP_160590309.1	WP_014579826.1
OG0000000	WP_160590024.1	WP_135618836.1
OG0000001	WP_160590541.1	WP_135618795.1
OG0000002	WP_308704697.1	WP_240536360.1
OG0000002	WP_258555710.1	WP_240536333.1
OG0000003	WP_258555731.1	WP_318026010.1
OG0000004	WP_160590314.1	WP_240536338.1
OG0000005	WP_308704704.1	WP_334199108.1
OG0000005	WP_308704714.1	WP_135618898.1
OG0000006	WP_160590409.1	WP_135618557.1
OG0000006	WP_160590533.1	WP_135618629.1
OG0000007	WP_160590517.1	WP_135618868.1
OG0000008	WP_160590525.1, WP_160590535.1	WP_135619092.1, WP_135619088.1, WP_135619084.1, WP_014579982.1
OG0000009	WP_160590323.1	WP_135618932.1
OG0000009	WP_160590450.1	WP_135618930.1
OG0000010	WP_258555714.1	WP_240536341.1
OG0000010	WP_020835629.1	WP_237697234.1
OG0000011	WP_160590527.1	WP_135619049.1
OG0000012	WP_258555620.1	WP_240536383.1
OG0000013	WP_258555696.1	WP_135618942.1
OG0000014	WP_258555715.1	WP_240536342.1
OG0000015	WP_258555720.1	WP_020835661.1
OG0000016	WP_308704710.1	WP_240536336.1
OG0000018	WP_160590420.1	WP_135619032.1
OG0000019	WP_160590475.1	WP_135618454.1, WP_135618458.1
OG0000020	WP_160590177.1	WP_135619051.1
OG0000021	WP_160590089.1	WP_240536319.1, WP_240536318.1, WP_240536320.1, WP_135618756.1
OG0000022	WP_258555711.1	WP_240536332.1
OG0000023	WP_160590346.1	WP_135619110.1
OG0000025	WP_258555619.1	WP_135618740.1
OG0000026	WP_160590319.1	WP_135618938.1
OG0000027	WP_160590529.1	WP_240536349.1
OG0000028	WP_160590103.1	WP_135618797.1
OG0000029	WP_160590481.1	WP_135618739.1
OG0000030	WP_160590119.1	WP_135618969.1
OG0000031	WP_014579531.1	WP_135618462.1
OG0000033	WP_225973034.1	WP_081430780.1
OG0000034	WP_011206291.1	WP_135618940.1
OG0000035	WP_160590237.1	WP_135618771.1
OG0000036	WP_160590316.1	WP_014579882.1
OG0000037	WP_160581239.1	WP_135618751.1
OG0000038	WP_011290019.1	WP_135618565.1
OG0000038	WP_220200784.1	WP_240536366.1
OG0000039	WP_011206214.1	WP_240536308.1
OG0000040	WP_160590049.1	WP_011206223.1
OG0000042	WP_160590366.1	WP_135619164.1
OG0000043	WP_011290432.1	WP_135619158.1
OG0000044	WP_160585690.1	WP_135618787.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_258555735.1, WP_160587949.1	WP_011206103.1
OG0000047	WP_258555674.1	WP_225972996.1
OG0000048	WP_160585682.1	WP_135619004.1
OG0000049	WP_011206373.1	WP_135619002.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_160590321.1	WP_135618936.1
OG0000053	WP_160585654.1	WP_002557698.1
OG0000054	WP_160585651.1	WP_011206420.1
OG0000055	WP_160590193.1	WP_135619064.1
OG0000056	WP_160585219.1	WP_135619103.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_160590415.1	WP_135618593.1
OG0000059	WP_308704709.1	WP_044284596.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_146379532.1	WP_135618633.1
OG0000063	WP_160585552.1	WP_052259122.1
OG0000064	WP_160589978.1	WP_135618470.1
OG0000065	WP_135618517.1	WP_135618517.1
OG0000066	WP_160590009.1	WP_135618533.1
OG0000067	WP_011206493.1	WP_135619144.1
OG0000068	WP_258555679.1	WP_240536355.1
OG0000069	WP_020835790.1	WP_135618944.1
OG0000070	WP_020835797.1	WP_135618951.1
OG0000071	WP_160590147.1	WP_135618998.1
OG0000072	WP_160590454.1	WP_135619124.1
OG0000073	WP_179695988.1	WP_179695988.1
OG0000074	WP_020835847.1	WP_240536348.1
OG0000076	WP_308704713.1	WP_240536363.1
OG0000077	WP_160590000.1	WP_135618515.1
OG0000078	WP_308704702.1	WP_240536354.1
OG0000079	WP_220200751.1	WP_220200502.1
OG0000080	WP_160590040.1	WP_135618852.1
OG0000081	WP_160590043.1	WP_011206216.1
OG0000082	WP_160590046.1	WP_135618854.1
OG0000083	WP_011206221.1	WP_135618856.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_146379594.1	WP_135618858.1
OG0000086	WP_160590052.1	WP_135618860.1
OG0000087	WP_220200603.1	WP_220190703.1
OG0000088	WP_020835732.1	WP_044272477.1
OG0000089	WP_160590058.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_160590168.1	WP_135618448.1
OG0000092	WP_094521535.1	WP_044278048.1
OG0000093	WP_160590170.1	WP_135618446.1
OG0000094	WP_160584849.1	WP_011205850.1
OG0000095	WP_160584852.1	WP_011205849.1
OG0000096	WP_160584854.1	WP_011205848.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_011205846.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_044272256.1	WP_135618442.1
OG0000101	WP_160590172.1	WP_135618439.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160585758.1	WP_135619174.1
OG0000105	WP_146379771.1	WP_135619172.1
OG0000106	WP_160590174.1	WP_014580047.1
OG0000107	WP_146379769.1	WP_135619170.1
