Orthogroup	MHP_112B_genes	MHP_7422_genes
OG0000000	NBX26_RS01015	MHL_RS02190
OG0000000	NBX26_RS01035	MHL_RS03905
OG0000000	NBX26_RS02470	MHL_RS02380
OG0000000	NBX26_RS01860	MHL_RS03710
OG0000001	NBX26_RS01405	MHL_RS03980
OG0000001	NBX26_RS02970	MHL_RS02845
OG0000001	NBX26_RS02920	MHL_RS04080
OG0000002	NBX26_RS02355	MHL_RS04055
OG0000002	NBX26_RS01010	MHL_RS02195
OG0000003	NBX26_RS01045, NBX26_RS01040	MHL_RS02255
OG0000004	NBX26_RS03380	MHL_RS03205
OG0000004	NBX26_RS03385	MHL_RS03215
OG0000005	NBX26_RS00105	MHL_RS00105
OG0000005	NBX26_RS00110	MHL_RS04205
OG0000005	NBX26_RS00115	MHL_RS00115
OG0000006	NBX26_RS02660	MHL_RS03635
OG0000006	NBX26_RS02505	MHL_RS02420
OG0000006	NBX26_RS02475	MHL_RS02390
OG0000007	NBX26_RS01050	MHL_RS02250
OG0000007	NBX26_RS01055	MHL_RS02245
OG0000007	NBX26_RS01065	MHL_RS02240
OG0000008	NBX26_RS02465	MHL_RS02375
OG0000008	NBX26_RS01765	MHL_RS04180
OG0000008	NBX26_RS02670, NBX26_RS02665	MHL_RS04065
OG0000009	NBX26_RS00665	MHL_RS00755
OG0000009	NBX26_RS00090	MHL_RS00090
OG0000009	NBX26_RS00685	MHL_RS00770
OG0000010	NBX26_RS02250	MHL_RS01930
OG0000011	NBX26_RS02155	MHL_RS04185
OG0000012	NBX26_RS02235	MHL_RS03845
OG0000013	NBX26_RS02550	MHL_RS02470
OG0000014	NBX26_RS00605	MHL_RS00695
OG0000015	NBX26_RS01690	MHL_RS01645
OG0000016	NBX26_RS00160	MHL_RS00175
OG0000017	NBX26_RS00145	MHL_RS00160
OG0000017	NBX26_RS03025	MHL_RS02895
OG0000018	NBX26_RS01445	MHL_RS01405
OG0000020	NBX26_RS03745	MHL_RS03550
OG0000021	NBX26_RS02335	MHL_RS03930
OG0000022	NBX26_RS01790	MHL_RS01740
OG0000022	NBX26_RS01845	MHL_RS01790
OG0000024	NBX26_RS02915	MHL_RS02790
OG0000024	NBX26_RS01400	MHL_RS01355
OG0000025	NBX26_RS01795	MHL_RS01745
OG0000025	NBX26_RS01840	MHL_RS01785
OG0000026	NBX26_RS01490	MHL_RS01445
OG0000027	NBX26_RS03535	MHL_RS03755
OG0000027	NBX26_RS03555	MHL_RS03360
OG0000028	NBX26_RS02575	MHL_RS02480
OG0000029	NBX26_RS01225	MHL_RS01165
OG0000029	NBX26_RS00610	MHL_RS00700
OG0000030	NBX26_RS03525	MHL_RS03335
OG0000030	NBX26_RS03550	MHL_RS03355
OG0000031	NBX26_RS01725	MHL_RS01685
OG0000032	NBX26_RS01700	MHL_RS04000
OG0000032	NBX26_RS03540, NBX26_RS03545	MHL_RS03350
OG0000033	NBX26_RS02555, NBX26_RS02560	MHL_RS02475
OG0000034	NBX26_RS00985	MHL_RS04045
OG0000035	NBX26_RS03375	MHL_RS03210
OG0000035	NBX26_RS03365	MHL_RS03195
OG0000036	NBX26_RS00120	MHL_RS00120
OG0000039	NBX26_RS01735	MHL_RS01705
OG0000040	NBX26_RS03455	MHL_RS03285
OG0000041	NBX26_RS00670	MHL_RS00760
OG0000041	NBX26_RS01320	MHL_RS01270
OG0000042	NBX26_RS03110	MHL_RS02985
OG0000043	NBX26_RS02185	MHL_RS01990
OG0000043	NBX26_RS02185	MHL_RS00625
OG0000044	NBX26_RS01805	MHL_RS04220
OG0000045	NBX26_RS01745, NBX26_RS01740	MHL_RS01710
OG0000046	NBX26_RS03470	MHL_RS04100
OG0000046	NBX26_RS03460	MHL_RS03290
OG0000048	NBX26_RS01920	MHL_RS02170
OG0000049	NBX26_RS03220	MHL_RS03060
OG0000050	NBX26_RS02610	MHL_RS02510
OG0000052	NBX26_RS00080, NBX26_RS00075	MHL_RS00080
OG0000053	NBX26_RS01580	MHL_RS01530
OG0000054	NBX26_RS02635	MHL_RS02535
OG0000055	NBX26_RS00125	MHL_RS00140
OG0000056	NBX26_RS03730	MHL_RS03530
OG0000057	NBX26_RS03095	MHL_RS02970
OG0000058	NBX26_RS01995	MHL_RS00610
OG0000060	NBX26_RS00085	MHL_RS04115
OG0000061	NBX26_RS02240	MHL_RS01940
OG0000062	NBX26_RS03775	MHL_RS03580
OG0000063	NBX26_RS03770	MHL_RS03575
OG0000064	NBX26_RS03760	MHL_RS03565
OG0000065	NBX26_RS02400	MHL_RS02310
OG0000066	NBX26_RS01480	MHL_RS01435
OG0000068	NBX26_RS00645	MHL_RS00735
OG0000069	NBX26_RS02990	MHL_RS02860
OG0000070	NBX26_RS02640	MHL_RS02540
OG0000071	NBX26_RS03445	MHL_RS03275
OG0000072	NBX26_RS03450	MHL_RS03280
OG0000073	NBX26_RS00715	MHL_RS00795
OG0000074	NBX26_RS00910	MHL_RS03950
OG0000075	NBX26_RS00335	MHL_RS00345
OG0000077	NBX26_RS00435	MHL_RS00450
OG0000078	NBX26_RS01810	MHL_RS01755
OG0000079	NBX26_RS02720	MHL_RS02615
OG0000080	NBX26_RS02765	MHL_RS03870
OG0000081	NBX26_RS00330	MHL_RS00340
OG0000083	NBX26_RS02080	MHL_RS02095
OG0000084	NBX26_RS02050	MHL_RS02120
OG0000085	NBX26_RS02045	MHL_RS02125
OG0000086	NBX26_RS02030	MHL_RS02135
OG0000087	NBX26_RS02015	MHL_RS02150
OG0000088	NBX26_RS02010	MHL_RS02155
OG0000089	NBX26_RS02000	MHL_RS02165
OG0000090	NBX26_RS00070	MHL_RS00075
OG0000091	NBX26_RS00055	MHL_RS00060
OG0000092	NBX26_RS00040	MHL_RS00045
OG0000093	NBX26_RS00035	MHL_RS00040
OG0000094	NBX26_RS00030	MHL_RS00035
OG0000095	NBX26_RS00005	MHL_RS00010
OG0000096	NBX26_RS03810	MHL_RS03615
OG0000097	NBX26_RS03790	MHL_RS03595
OG0000098	NBX26_RS03780	MHL_RS03585
OG0000099	NBX26_RS03735	MHL_RS03535
OG0000100	NBX26_RS03720	MHL_RS03520
OG0000101	NBX26_RS03715	MHL_RS03515
OG0000102	NBX26_RS01835	MHL_RS01780
OG0000103	NBX26_RS02365	MHL_RS02275
OG0000104	NBX26_RS02370	MHL_RS02280
OG0000105	NBX26_RS02390	MHL_RS02295
OG0000106	NBX26_RS02395	MHL_RS02305
OG0000107	NBX26_RS02405	MHL_RS02315
OG0000108	NBX26_RS02410	MHL_RS02320
OG0000109	NBX26_RS02415	MHL_RS02325
OG0000110	NBX26_RS02535	MHL_RS02450
OG0000111	NBX26_RS02530	MHL_RS02445
OG0000112	NBX26_RS02520	MHL_RS02435
OG0000113	NBX26_RS02500	MHL_RS02415
OG0000114	NBX26_RS02490	MHL_RS02405
OG0000115	NBX26_RS02480	MHL_RS02395
OG0000116	NBX26_RS01420	MHL_RS01380
OG0000117	NBX26_RS01425	MHL_RS01385
OG0000118	NBX26_RS01460	MHL_RS01420
OG0000119	NBX26_RS01470	MHL_RS01425
