Orthogroup	MHP_112B_genes	MHP_KM014_genes
OG0000000	NBX26_RS01905	CIB43_RS03010
OG0000000	NBX26_RS01850	CIB43_RS02595, CIB43_RS02600
OG0000001	NBX26_RS02970	CIB43_RS03715
OG0000001	NBX26_RS02925, NBX26_RS02920	CIB43_RS03670
OG0000002	NBX26_RS02355	CIB43_RS03100
OG0000003	NBX26_RS00500, NBX26_RS00510	CIB43_RS01390
OG0000003	NBX26_RS02265	CIB43_RS02725
OG0000004	NBX26_RS03380	CIB43_RS00290
OG0000004	NBX26_RS03370	CIB43_RS00275
OG0000005	NBX26_RS00105	CIB43_RS00810
OG0000006	NBX26_RS02660	CIB43_RS03435
OG0000006	NBX26_RS02505, NBX26_RS02475	CIB43_RS03420
OG0000007	NBX26_RS01050	CIB43_RS03095
OG0000007	NBX26_RS01055	CIB43_RS03080
OG0000007	NBX26_RS01065	CIB43_RS03075
OG0000008	NBX26_RS02465	CIB43_RS03225
OG0000009	NBX26_RS00090	CIB43_RS00790
OG0000009	NBX26_RS00685	CIB43_RS01550
OG0000010	NBX26_RS02250	CIB43_RS02735
OG0000011	NBX26_RS02155	CIB43_RS02850
OG0000012	NBX26_RS02350	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000015	NBX26_RS01925	CIB43_RS01235
OG0000017	NBX26_RS00145	CIB43_RS00855
OG0000017	NBX26_RS03025	CIB43_RS03765
OG0000018	NBX26_RS01950	CIB43_RS01250
OG0000019	NBX26_RS03190	CIB43_RS00115
OG0000020	NBX26_RS03745	CIB43_RS00635
OG0000021	NBX26_RS02335	CIB43_RS02635
OG0000022	NBX26_RS01845	CIB43_RS02590
OG0000023	NBX26_RS01940	CIB43_RS01245
OG0000024	NBX26_RS01400	CIB43_RS02140
OG0000025	NBX26_RS01840	CIB43_RS02585
OG0000026	NBX26_RS01820	CIB43_RS02565
OG0000027	NBX26_RS03555	CIB43_RS00440
OG0000028	NBX26_RS02575, NBX26_RS02580	CIB43_RS03325
OG0000030	NBX26_RS03550	CIB43_RS00435
OG0000031	NBX26_RS01990	CIB43_RS01295
OG0000035	NBX26_RS03375	CIB43_RS00280, CIB43_RS00300
OG0000035	NBX26_RS03365	CIB43_RS00270
OG0000036	NBX26_RS00120	CIB43_RS00815
OG0000038	NBX26_RS00490, NBX26_RS02340	CIB43_RS02625
OG0000039	NBX26_RS01735	CIB43_RS02500
OG0000041	NBX26_RS00670	CIB43_RS03980
OG0000042	NBX26_RS03110	CIB43_RS03855
OG0000043	NBX26_RS02185	CIB43_RS02825
OG0000043	NBX26_RS02185	CIB43_RS00070
OG0000044	NBX26_RS02310	CIB43_RS02665
OG0000045	NBX26_RS01745, NBX26_RS01740	CIB43_RS02520
OG0000048	NBX26_RS01920	CIB43_RS02995
OG0000049	NBX26_RS03220	CIB43_RS00150
OG0000051	NBX26_RS02825	CIB43_RS03575
OG0000052	NBX26_RS00080	CIB43_RS00775
OG0000053	NBX26_RS01580	CIB43_RS02315
OG0000054	NBX26_RS02635	CIB43_RS03395
OG0000055	NBX26_RS00125	CIB43_RS00835
OG0000056	NBX26_RS03730	CIB43_RS00630, CIB43_RS03960
OG0000057	NBX26_RS03095	CIB43_RS03840
OG0000058	NBX26_RS01995	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000060	NBX26_RS00085	CIB43_RS00780
OG0000061	NBX26_RS02240	CIB43_RS02745
OG0000062	NBX26_RS03775	CIB43_RS00675
OG0000063	NBX26_RS03770	CIB43_RS00660
OG0000064	NBX26_RS03760	CIB43_RS00650
OG0000065	NBX26_RS02400	CIB43_RS03145
OG0000068	NBX26_RS00645	CIB43_RS01520
