Orthogroup	MHP_112B_genes	MHP_1257_genes
OG0000000	NBX26_RS01900	ABKJ22_RS02210
OG0000000	NBX26_RS01015	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	NBX26_RS01035, NBX26_RS01905, NBX26_RS02470	ABKJ22_RS02090
OG0000000	NBX26_RS01850, NBX26_RS01860	ABKJ22_RS01715
OG0000001	NBX26_RS02920	ABKJ22_RS02685
OG0000002	NBX26_RS02355	ABKJ22_RS02205
OG0000002	NBX26_RS01010	ABKJ22_RS02250
OG0000003	NBX26_RS00940	ABKJ22_RS00770
OG0000003	NBX26_RS01040	ABKJ22_RS02215
OG0000003	NBX26_RS02265	ABKJ22_RS01825
OG0000004	NBX26_RS03380, NBX26_RS03370, NBX26_RS03385, NBX26_RS03185, NBX26_RS03195, NBX26_RS03205	ABKJ22_RS02940
OG0000005	NBX26_RS00105	ABKJ22_RS00095
OG0000005	NBX26_RS00110	ABKJ22_RS00100
OG0000005	NBX26_RS00115	ABKJ22_RS00105
OG0000006	NBX26_RS02660	ABKJ22_RS02450
OG0000006	NBX26_RS02505	ABKJ22_RS02310
OG0000006	NBX26_RS02475	ABKJ22_RS02280
OG0000007	NBX26_RS00950	ABKJ22_RS00765
OG0000007	NBX26_RS01050	ABKJ22_RS02220
OG0000007	NBX26_RS01055	ABKJ22_RS02225
OG0000007	NBX26_RS01065	ABKJ22_RS02230
OG0000008	NBX26_RS02465	ABKJ22_RS02100
OG0000008	NBX26_RS01765	ABKJ22_RS01635
OG0000008	NBX26_RS02665	ABKJ22_RS02455
OG0000009	NBX26_RS00665	ABKJ22_RS01035
OG0000009	NBX26_RS00090	ABKJ22_RS00085
OG0000009	NBX26_RS00685	ABKJ22_RS01020
OG0000010	NBX26_RS02250	ABKJ22_RS01835
OG0000011	NBX26_RS02155	ABKJ22_RS01925
OG0000012	NBX26_RS01715, NBX26_RS01000, NBX26_RS02350	ABKJ22_RS00425
OG0000012	NBX26_RS02235	ABKJ22_RS01200
OG0000013	NBX26_RS02550	ABKJ22_RS02355
OG0000014	NBX26_RS00605	ABKJ22_RS01095
OG0000015	NBX26_RS01690	ABKJ22_RS01630
OG0000016	NBX26_RS00160	ABKJ22_RS00165
OG0000017	NBX26_RS00145	ABKJ22_RS00150
OG0000017	NBX26_RS03025	ABKJ22_RS02795
OG0000018	NBX26_RS01445	ABKJ22_RS01340
OG0000019	NBX26_RS03210, NBX26_RS03200, NBX26_RS03190	ABKJ22_RS02945
OG0000020	NBX26_RS03745	ABKJ22_RS03440
OG0000021	NBX26_RS02335	ABKJ22_RS01740, ABKJ22_RS00510
