Orthogroup	MHP_112B_genes	MHP_F72C_genes
OG0000000	NBX26_RS01900	EHI52_RS01825
OG0000000	NBX26_RS01015	EHI52_RS00960
OG0000000	NBX26_RS01025	EHI52_RS03750
OG0000000	NBX26_RS01030, NBX26_RS01020	EHI52_RS00970
OG0000000	NBX26_RS01035	EHI52_RS03755
OG0000000	NBX26_RS01905	EHI52_RS03780
OG0000000	NBX26_RS02470	EHI52_RS02325
OG0000000	NBX26_RS01860	EHI52_RS01775
OG0000001	NBX26_RS02970	EHI52_RS02790
OG0000001	NBX26_RS02925	EHI52_RS02745
OG0000001	NBX26_RS02920	EHI52_RS02740
OG0000002	NBX26_RS02355	EHI52_RS02215
OG0000002	NBX26_RS01895	EHI52_RS01820
OG0000002	NBX26_RS01010	EHI52_RS03740
OG0000003	NBX26_RS00940	EHI52_RS03720
OG0000003	NBX26_RS00945	EHI52_RS03725
OG0000003	NBX26_RS01045	EHI52_RS00975
OG0000003	NBX26_RS01040	EHI52_RS03760
OG0000004	NBX26_RS03380	EHI52_RS03210
OG0000004	NBX26_RS03385	EHI52_RS03225
OG0000004	NBX26_RS03185	EHI52_RS03010
OG0000005	NBX26_RS00105	EHI52_RS00100
OG0000005	NBX26_RS00110	EHI52_RS00105
OG0000005	NBX26_RS00115	EHI52_RS00110
OG0000006	NBX26_RS02660	EHI52_RS02500
OG0000006	NBX26_RS02475	EHI52_RS02330
OG0000007	NBX26_RS00950	EHI52_RS00935
OG0000007	NBX26_RS01050	EHI52_RS00980
OG0000007	NBX26_RS00965	EHI52_RS00945
OG0000007	NBX26_RS01055	EHI52_RS00985
OG0000007	NBX26_RS01065	EHI52_RS00995
OG0000008	NBX26_RS02465	EHI52_RS02320
OG0000008	NBX26_RS01765	EHI52_RS03775
OG0000008	NBX26_RS02665	EHI52_RS03830
OG0000009	NBX26_RS00090	EHI52_RS00085
OG0000009	NBX26_RS00685	EHI52_RS00680
OG0000010	NBX26_RS02250	EHI52_RS02085
OG0000011	NBX26_RS02155	EHI52_RS01985
OG0000012	NBX26_RS02350	EHI52_RS02210
OG0000012	NBX26_RS02235	EHI52_RS03635
OG0000013	NBX26_RS02550	EHI52_RS02410
OG0000016	NBX26_RS00160	EHI52_RS00170
OG0000017	NBX26_RS00145	EHI52_RS00155
OG0000017	NBX26_RS03025	EHI52_RS02840
OG0000019	NBX26_RS03210	EHI52_RS03855
OG0000019	NBX26_RS03190	EHI52_RS03865
OG0000020	NBX26_RS03745	EHI52_RS03555
OG0000021	NBX26_RS02335	EHI52_RS02195, EHI52_RS03715
OG0000022	NBX26_RS01790	EHI52_RS01715
OG0000022	NBX26_RS01845	EHI52_RS01770
OG0000024	NBX26_RS02915	EHI52_RS02735
OG0000024	NBX26_RS01400	EHI52_RS01335
OG0000025	NBX26_RS01795	EHI52_RS01720
OG0000025	NBX26_RS01840	EHI52_RS01765
OG0000026	NBX26_RS01490	EHI52_RS01425
OG0000026	NBX26_RS01820	EHI52_RS01745
OG0000027	NBX26_RS03535	EHI52_RS03355
OG0000028	NBX26_RS02575	EHI52_RS02420
OG0000029	NBX26_RS01225	EHI52_RS01150
OG0000029	NBX26_RS00610	EHI52_RS00620
OG0000030	NBX26_RS03525	EHI52_RS03350
OG0000031	NBX26_RS01725	EHI52_RS01660
OG0000031	NBX26_RS01990	EHI52_RS01660
OG0000032	NBX26_RS01700	EHI52_RS01630
OG0000033	NBX26_RS02570	EHI52_RS03825
OG0000033	NBX26_RS02555, NBX26_RS02560	EHI52_RS03820
OG0000035	NBX26_RS03375	EHI52_RS03220
OG0000035	NBX26_RS03365	EHI52_RS03205
OG0000036	NBX26_RS00120	EHI52_RS00115
OG0000037	NBX26_RS01705	EHI52_RS01635
OG0000038	NBX26_RS00490	EHI52_RS03810
OG0000039	NBX26_RS01735	EHI52_RS01675
OG0000040	NBX26_RS03455	EHI52_RS03295
OG0000041	NBX26_RS00670, NBX26_RS01320	EHI52_RS03655
OG0000043	NBX26_RS02185	EHI52_RS02020
OG0000044	NBX26_RS01805	EHI52_RS03910
OG0000045	NBX26_RS01745, NBX26_RS01740	EHI52_RS01680
OG0000046	NBX26_RS03470	EHI52_RS03305
OG0000048	NBX26_RS01920	EHI52_RS01840
OG0000049	NBX26_RS03220	EHI52_RS03065
OG0000050	NBX26_RS02610	EHI52_RS02450
OG0000051	NBX26_RS02825	EHI52_RS02650
OG0000052	NBX26_RS00080, NBX26_RS00075	EHI52_RS00075
OG0000053	NBX26_RS01580	EHI52_RS01510
OG0000054	NBX26_RS02635	EHI52_RS02475
OG0000055	NBX26_RS00125	EHI52_RS00135
OG0000056	NBX26_RS03730	EHI52_RS03530
OG0000057	NBX26_RS03095	EHI52_RS02915
OG0000060	NBX26_RS00085	EHI52_RS00080
OG0000061	NBX26_RS02240	EHI52_RS02075
OG0000062	NBX26_RS03775	EHI52_RS03585
OG0000063	NBX26_RS03770	EHI52_RS03580
OG0000064	NBX26_RS03760	EHI52_RS03570
OG0000065	NBX26_RS02400	EHI52_RS02260
OG0000066	NBX26_RS01480	EHI52_RS01415
OG0000068	NBX26_RS00645	EHI52_RS00660
OG0000069	NBX26_RS02990	EHI52_RS02805
OG0000070	NBX26_RS02640	EHI52_RS02480
OG0000071	NBX26_RS03445	EHI52_RS03285
OG0000072	NBX26_RS03450	EHI52_RS03290
OG0000073	NBX26_RS00715	EHI52_RS00705
OG0000074	NBX26_RS00910	EHI52_RS00900
OG0000075	NBX26_RS00335	EHI52_RS00355
OG0000076	NBX26_RS00350	EHI52_RS00370
OG0000077	NBX26_RS00435	EHI52_RS00460
OG0000078	NBX26_RS01810	EHI52_RS01735
OG0000079	NBX26_RS02720	EHI52_RS02555
OG0000080	NBX26_RS02765	EHI52_RS03675
OG0000081	NBX26_RS00330	EHI52_RS00350
OG0000083	NBX26_RS02080	EHI52_RS01915
OG0000084	NBX26_RS02050	EHI52_RS01890
OG0000085	NBX26_RS02045	EHI52_RS01885
OG0000086	NBX26_RS02030	EHI52_RS01875
OG0000087	NBX26_RS02015	EHI52_RS01860
OG0000088	NBX26_RS02010	EHI52_RS01855
OG0000089	NBX26_RS02000	EHI52_RS01845
OG0000090	NBX26_RS00070	EHI52_RS00070
OG0000091	NBX26_RS00055	EHI52_RS00055
OG0000092	NBX26_RS00040	EHI52_RS00040
OG0000093	NBX26_RS00035	EHI52_RS00035
OG0000094	NBX26_RS00030	EHI52_RS00030
OG0000095	NBX26_RS00005	EHI52_RS00005
OG0000096	NBX26_RS03810	EHI52_RS03620
OG0000097	NBX26_RS03790	EHI52_RS03600
OG0000098	NBX26_RS03780	EHI52_RS03590
OG0000099	NBX26_RS03735	EHI52_RS03540
OG0000100	NBX26_RS03720	EHI52_RS03520
OG0000101	NBX26_RS03715	EHI52_RS03515
OG0000102	NBX26_RS01835	EHI52_RS01760
OG0000103	NBX26_RS02365	EHI52_RS02225
OG0000104	NBX26_RS02370	EHI52_RS02230
OG0000105	NBX26_RS02390	EHI52_RS02245
OG0000106	NBX26_RS02395	EHI52_RS02255
OG0000107	NBX26_RS02405	EHI52_RS02265
OG0000108	NBX26_RS02410	EHI52_RS02270
OG0000109	NBX26_RS02415	EHI52_RS02275
OG0000110	NBX26_RS02535	EHI52_RS02395
OG0000111	NBX26_RS02530	EHI52_RS02390
OG0000112	NBX26_RS02520	EHI52_RS02380
OG0000113	NBX26_RS02500	EHI52_RS02360
OG0000114	NBX26_RS02490	EHI52_RS02350
OG0000115	NBX26_RS02480	EHI52_RS02335
OG0000116	NBX26_RS01420	EHI52_RS01360
OG0000117	NBX26_RS01425	EHI52_RS01365
OG0000118	NBX26_RS01460	EHI52_RS01400
OG0000119	NBX26_RS01470	EHI52_RS01405
OG0000120	NBX26_RS01485	EHI52_RS01420
OG0000121	NBX26_RS01515	EHI52_RS01445
