Orthogroup	MHP_112B_genes	MFC_Ms42_genes
OG0000000	NBX26_RS01900	MYF_RS01330
OG0000000	NBX26_RS01030, NBX26_RS01020	MYF_RS01460
OG0000000	NBX26_RS01035	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000000	NBX26_RS01850	MYF_RS03295
OG0000001	NBX26_RS01405, NBX26_RS02970, NBX26_RS02925, NBX26_RS02920	MYF_RS03415
OG0000002	NBX26_RS02355, NBX26_RS01895	MYF_RS01530
OG0000002	NBX26_RS01010	MYF_RS01475
OG0000003	NBX26_RS01040	MYF_RS01515
OG0000004	NBX26_RS03185	MYF_RS02520
OG0000007	NBX26_RS01050	MYF_RS01510
OG0000007	NBX26_RS01055	MYF_RS01505
OG0000007	NBX26_RS01065	MYF_RS01500
OG0000008	NBX26_RS01765	MYF_RS01875
OG0000011	NBX26_RS02155	MYF_RS03310
OG0000013	NBX26_RS02550	MYF_RS03170, MYF_RS01100
OG0000014	NBX26_RS00605	MYF_RS00550
OG0000017	NBX26_RS00145	MYF_RS03155
OG0000017	NBX26_RS03025	MYF_RS00720
OG0000018	NBX26_RS01950	MYF_RS01675
OG0000019	NBX26_RS03210, NBX26_RS03200	MYF_RS03450
OG0000020	NBX26_RS03745	MYF_RS03085
OG0000022	NBX26_RS01845	MYF_RS03025
OG0000023	NBX26_RS01940	MYF_RS01880
OG0000024	NBX26_RS02915, NBX26_RS01400	MYF_RS00790
OG0000025	NBX26_RS01840	MYF_RS03030
OG0000026	NBX26_RS01490, NBX26_RS01820	MYF_RS01715
OG0000027	NBX26_RS03555	MYF_RS02825
OG0000029	NBX26_RS01225, NBX26_RS00610	MYF_RS00555
OG0000030	NBX26_RS03525, NBX26_RS03550	MYF_RS02820
OG0000031	NBX26_RS01990	MYF_RS01215
OG0000032	NBX26_RS01700	MYF_RS03490
OG0000032	NBX26_RS03545	MYF_RS02815
OG0000033	NBX26_RS02570	MYF_RS01130
OG0000037	NBX26_RS01705	MYF_RS03005
OG0000039	NBX26_RS01735	MYF_RS03160, MYF_RS00615
OG0000042	NBX26_RS03110	MYF_RS00610, MYF_RS00765
OG0000043	NBX26_RS02185	MYF_RS01240
OG0000045	NBX26_RS01745	MYF_RS00630
OG0000048	NBX26_RS01920	MYF_RS01350
OG0000049	NBX26_RS03220	MYF_RS03265, MYF_RS03455
OG0000050	NBX26_RS02610	MYF_RS01180
OG0000051	NBX26_RS02825	MYF_RS02420
OG0000052	NBX26_RS00080	MYF_RS00075
OG0000053	NBX26_RS01580	MYF_RS01800
OG0000054	NBX26_RS02635	MYF_RS01155
OG0000055	NBX26_RS00125	MYF_RS03395, MYF_RS03525
OG0000056	NBX26_RS03730	MYF_RS03060
OG0000057	NBX26_RS03095	MYF_RS00645
OG0000062	NBX26_RS03775	MYF_RS03115
OG0000063	NBX26_RS03770	MYF_RS03110
OG0000064	NBX26_RS03760	MYF_RS03100
OG0000065	NBX26_RS02400	MYF_RS01575
OG0000066	NBX26_RS01480, NBX26_RS01475	MYF_RS01705
OG0000068	NBX26_RS00645	MYF_RS00590
OG0000069	NBX26_RS02990	MYF_RS00755
OG0000070	NBX26_RS02640	MYF_RS01135
OG0000071	NBX26_RS03445	MYF_RS02760
OG0000072	NBX26_RS03450	MYF_RS02765
OG0000073	NBX26_RS00715	MYF_RS02005
OG0000075	NBX26_RS00335	MYF_RS00305
OG0000077	NBX26_RS00435	MYF_RS00410
OG0000079	NBX26_RS02720	MYF_RS01050
OG0000080	NBX26_RS02765	MYF_RS01000, MYF_RS03365
OG0000081	NBX26_RS00330	MYF_RS00300
OG0000083	NBX26_RS02080	MYF_RS01430
OG0000084	NBX26_RS02050	MYF_RS01400
OG0000085	NBX26_RS02045	MYF_RS01395
OG0000086	NBX26_RS02030	MYF_RS01385
OG0000087	NBX26_RS02015	MYF_RS01370
OG0000088	NBX26_RS02010	MYF_RS01365
OG0000089	NBX26_RS02000	MYF_RS01355
OG0000090	NBX26_RS00070	MYF_RS00070
OG0000091	NBX26_RS00055	MYF_RS00055
OG0000092	NBX26_RS00040	MYF_RS00040
OG0000093	NBX26_RS00035	MYF_RS00035
OG0000094	NBX26_RS00030	MYF_RS00030
OG0000095	NBX26_RS00005	MYF_RS00005
OG0000096	NBX26_RS03810	MYF_RS03150
OG0000097	NBX26_RS03790	MYF_RS03130
OG0000098	NBX26_RS03780	MYF_RS03120
OG0000099	NBX26_RS03735	MYF_RS03065
OG0000100	NBX26_RS03720	MYF_RS03050
OG0000101	NBX26_RS03715	MYF_RS03045
OG0000102	NBX26_RS01835	MYF_RS03035
OG0000103	NBX26_RS02365	MYF_RS01540
OG0000104	NBX26_RS02370	MYF_RS01545
OG0000105	NBX26_RS02390	MYF_RS01560
OG0000106	NBX26_RS02395	MYF_RS01570
OG0000107	NBX26_RS02405	MYF_RS01580
OG0000108	NBX26_RS02410	MYF_RS01585
OG0000109	NBX26_RS02415	MYF_RS01590
OG0000110	NBX26_RS02535	MYF_RS01595
OG0000111	NBX26_RS02530	MYF_RS01600
OG0000112	NBX26_RS02520	MYF_RS01610
OG0000113	NBX26_RS02500	MYF_RS01625
OG0000114	NBX26_RS02490	MYF_RS01635
OG0000115	NBX26_RS02480	MYF_RS01645
OG0000116	NBX26_RS01420	MYF_RS01655
OG0000117	NBX26_RS01425	MYF_RS01660
OG0000118	NBX26_RS01460	MYF_RS01690
OG0000119	NBX26_RS01470	MYF_RS01695
OG0000120	NBX26_RS01485	MYF_RS01710
OG0000121	NBX26_RS01515	MYF_RS01735
OG0000122	NBX26_RS01520	MYF_RS01740
OG0000123	NBX26_RS01540	MYF_RS01760
OG0000124	NBX26_RS01545	MYF_RS01765
OG0000125	NBX26_RS01550	MYF_RS01770
OG0000126	NBX26_RS01560	MYF_RS01780
OG0000127	NBX26_RS01570	MYF_RS01790
OG0000128	NBX26_RS01585	MYF_RS01805
OG0000129	NBX26_RS01590	MYF_RS01810
OG0000130	NBX26_RS01600	MYF_RS01820
OG0000131	NBX26_RS01630	MYF_RS01850
OG0000132	NBX26_RS01645	MYF_RS01865
OG0000133	NBX26_RS00530	MYF_RS00485
OG0000134	NBX26_RS00535	MYF_RS00490
OG0000135	NBX26_RS00550	MYF_RS00505
OG0000136	NBX26_RS00555	MYF_RS00510
OG0000137	NBX26_RS00595	MYF_RS00540
OG0000138	NBX26_RS00620	MYF_RS00565
OG0000139	NBX26_RS00650	MYF_RS00595
OG0000140	NBX26_RS00655	MYF_RS00600
OG0000141	NBX26_RS03105	MYF_RS00635
OG0000142	NBX26_RS03100	MYF_RS00640
OG0000143	NBX26_RS03085	MYF_RS00665
OG0000144	NBX26_RS03070	MYF_RS00675
OG0000145	NBX26_RS03060	MYF_RS00685
OG0000146	NBX26_RS03050	MYF_RS00695
OG0000147	NBX26_RS03045	MYF_RS00700
OG0000148	NBX26_RS03030	MYF_RS00715
OG0000149	NBX26_RS03020	MYF_RS00725
OG0000150	NBX26_RS03005	MYF_RS00740
OG0000151	NBX26_RS02955	MYF_RS00795
OG0000152	NBX26_RS02950	MYF_RS00800
OG0000153	NBX26_RS02945	MYF_RS00805
OG0000154	NBX26_RS02935	MYF_RS00815
OG0000155	NBX26_RS02895	MYF_RS00835
OG0000156	NBX26_RS02890	MYF_RS00855
OG0000157	NBX26_RS02880	MYF_RS00860
OG0000158	NBX26_RS02870	MYF_RS00870
OG0000159	NBX26_RS02625	MYF_RS01165
OG0000160	NBX26_RS02620	MYF_RS01170
OG0000161	NBX26_RS02615	MYF_RS01175
OG0000162	NBX26_RS02605	MYF_RS01185
OG0000163	NBX26_RS02600	MYF_RS01190
OG0000164	NBX26_RS01730	MYF_RS01220
OG0000165	NBX26_RS02160	MYF_RS01265
OG0000166	NBX26_RS02140	MYF_RS01285
OG0000167	NBX26_RS02125	MYF_RS01300
OG0000168	NBX26_RS02120	MYF_RS01305
OG0000169	NBX26_RS03215	MYF_RS02560
OG0000170	NBX26_RS03230	MYF_RS02585
OG0000171	NBX26_RS03240	MYF_RS02595
OG0000172	NBX26_RS03245	MYF_RS02600
OG0000173	NBX26_RS03250	MYF_RS02605
OG0000174	NBX26_RS03255	MYF_RS02610
OG0000175	NBX26_RS03270	MYF_RS02625
OG0000176	NBX26_RS03330	MYF_RS02670
OG0000177	NBX26_RS03335	MYF_RS02675
OG0000178	NBX26_RS03340	MYF_RS02680
OG0000179	NBX26_RS03350	MYF_RS02690
OG0000180	NBX26_RS03355	MYF_RS02695
OG0000181	NBX26_RS03395	MYF_RS02710
OG0000182	NBX26_RS03405	MYF_RS02720
OG0000183	NBX26_RS03440	MYF_RS02755
OG0000184	NBX26_RS03495	MYF_RS02785
OG0000185	NBX26_RS03480	MYF_RS02800
OG0000186	NBX26_RS01655	MYF_RS01895
OG0000187	NBX26_RS01670	MYF_RS01910
OG0000188	NBX26_RS01680	MYF_RS01920
OG0000189	NBX26_RS02455	MYF_RS01930
OG0000190	NBX26_RS02450	MYF_RS01935
OG0000191	NBX26_RS02425	MYF_RS01955
OG0000192	NBX26_RS01345	MYF_RS01965
OG0000193	NBX26_RS01330	MYF_RS01980
OG0000194	NBX26_RS00695	MYF_RS01990
OG0000195	NBX26_RS00700	MYF_RS01995
OG0000196	NBX26_RS00725	MYF_RS02015
OG0000197	NBX26_RS00735	MYF_RS02020
OG0000198	NBX26_RS00745	MYF_RS02035
OG0000199	NBX26_RS00750	MYF_RS02040
OG0000200	NBX26_RS00765	MYF_RS02050
OG0000201	NBX26_RS00775	MYF_RS02060
OG0000202	NBX26_RS00830	MYF_RS02115
OG0000203	NBX26_RS00835	MYF_RS02120
OG0000204	NBX26_RS00840	MYF_RS02125
OG0000205	NBX26_RS00845	MYF_RS02130
OG0000206	NBX26_RS00865	MYF_RS02150
OG0000207	NBX26_RS00880	MYF_RS02165
OG0000208	NBX26_RS00885	MYF_RS02170
OG0000209	NBX26_RS00890	MYF_RS02175
OG0000210	NBX26_RS00935	MYF_RS02220
