#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:657909-659648|- -            580 539at2085            -            541  1.9e-246  814.2  13.8   1   1  1.3e-248  2.2e-246  814.0  13.8     1   541     8   574     8   574 0.97 scf00000000_510 # 657909 # 659648 # -1 # ID=1_510;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
scf00000000:42956-44323|+   -            456 539at2085            -            541   5.3e-10   33.9   1.0   1   3      0.16        28   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_39 # 42956 # 44323 # 1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:42956-44323|+   -            456 539at2085            -            541   5.3e-10   33.9   1.0   2   3   1.7e-08   2.9e-06   21.5   0.1   235   346   157   268   150   272 0.88 scf00000000_39 # 42956 # 44323 # 1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:42956-44323|+   -            456 539at2085            -            541   5.3e-10   33.9   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_39 # 42956 # 44323 # 1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:409891-411330|- -            480 539at2085            -            541   1.9e-07   25.4   6.1   1   2    0.0087       1.5    2.7   0.0   186   317    43   184    34   196 0.69 scf00000000_327 # 409891 # 411330 # -1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
scf00000000:409891-411330|- -            480 539at2085            -            541   1.9e-07   25.4   6.1   2   2   2.9e-09   5.1e-07   24.0   2.2   408   525   237   366   225   382 0.77 scf00000000_327 # 409891 # 411330 # -1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
scf00000000:227862-229103|+ -            414 539at2085            -            541   0.00023   15.2   0.3   1   3      0.17        29   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_179 # 227862 # 229103 # 1 # ID=1_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:227862-229103|+ -            414 539at2085            -            541   0.00023   15.2   0.3   2   3   1.6e-05    0.0027   11.7   0.0   153   362   133   347   128   353 0.80 scf00000000_179 # 227862 # 229103 # 1 # ID=1_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:227862-229103|+ -            414 539at2085            -            541   0.00023   15.2   0.3   3   3     0.043       7.5    0.3   0.0   409   458   359   406   347   409 0.83 scf00000000_179 # 227862 # 229103 # 1 # ID=1_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use
# Date:            Sun Dec  1 19:12:01 2024
# [ok]
