#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:84799-85590|+   -            264 1679at2085           -            265     6e-79  260.4  12.3   1   1   7.6e-81   6.6e-79  260.2  12.3    12   256     1   255     1   263 0.90 scf00000000_68 # 84799 # 85590 # 1 # ID=1_68;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
scf00000000:64927-66228|+   -            434 1679at2085           -            265   2.7e-23   77.9  12.1   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 scf00000000_52 # 64927 # 66228 # 1 # ID=1_52;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:64927-66228|+   -            434 1679at2085           -            265   2.7e-23   77.9  12.1   2   3     1e-12   8.6e-11   36.9   0.6    22   173    78   228    70   240 0.78 scf00000000_52 # 64927 # 66228 # 1 # ID=1_52;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:64927-66228|+   -            434 1679at2085           -            265   2.7e-23   77.9  12.1   3   3   7.1e-06   0.00061   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_52 # 64927 # 66228 # 1 # ID=1_52;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:473857-474453|- -            199 1679at2085           -            265   3.5e-13   44.8   6.0   1   2   8.8e-13   7.6e-11   37.1   0.1   124   172    42    91    34   110 0.90 scf00000000_372 # 473857 # 474453 # -1 # ID=1_372;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
scf00000000:473857-474453|- -            199 1679at2085           -            265   3.5e-13   44.8   6.0   2   2    0.0002     0.017    9.7   2.2    24    97   117   195   105   198 0.78 scf00000000_372 # 473857 # 474453 # -1 # ID=1_372;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
scf00000000:164968-166296|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   1   3       1.1        92   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_138 # 164968 # 166296 # -1 # ID=1_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
scf00000000:164968-166296|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   2   3     1e-13   8.8e-12   40.2   0.3    97   174   194   275   184   289 0.78 scf00000000_138 # 164968 # 166296 # -1 # ID=1_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
scf00000000:164968-166296|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   3   3   0.00021     0.018    9.7   6.0    21   104   291   366   281   386 0.71 scf00000000_138 # 164968 # 166296 # -1 # ID=1_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
scf00000000:788217-789098|- -            294 1679at2085           -            265     2e-10   35.7   9.9   1   2     2e-11   1.7e-09   32.7   0.2   119   175     6    66     2    85 0.78 scf00000000_616 # 788217 # 789098 # -1 # ID=1_616;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:788217-789098|- -            294 1679at2085           -            265     2e-10   35.7   9.9   2   2     0.002      0.18    6.4   4.5    47   103   108   169    75   189 0.76 scf00000000_616 # 788217 # 789098 # -1 # ID=1_616;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:280016-281119|- -            368 1679at2085           -            265   1.3e-05   20.0   0.1   1   1   3.4e-07   2.9e-05   18.8   0.1   119   155     2    37     1    47 0.85 scf00000000_226 # 280016 # 281119 # -1 # ID=1_226;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
scf00000000:27503-28762|+   -            420 1679at2085           -            265   2.1e-05   19.2  10.6   1   2     5e-07   4.3e-05   18.2   0.1   124   175   161   215   145   236 0.75 scf00000000_20 # 27503 # 28762 # 1 # ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
scf00000000:27503-28762|+   -            420 1679at2085           -            265   2.1e-05   19.2  10.6   2   2     0.042       3.6    2.1   7.2    39   121   257   343   253   346 0.84 scf00000000_20 # 27503 # 28762 # 1 # ID=1_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
scf00000000:785038-785895|- -            286 1679at2085           -            265   2.6e-05   18.9   7.9   1   1   5.7e-05    0.0049   11.5   7.9    19   173    65   212    57   231 0.60 scf00000000_612 # 785038 # 785895 # -1 # ID=1_612;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.287
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/98/Use
# Date:            Sun Dec  1 19:11:56 2024
# [ok]
