#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:136255-137046|+ -            264 1679at2085           -            265   6.3e-79  260.4  12.3   1   1   6.7e-81   6.9e-79  260.2  12.3    12   256     1   255     1   263 0.90 scf00000000_104 # 136255 # 137046 # 1 # ID=1_104;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.270
scf00000000:116373-117674|+ -            434 1679at2085           -            265   4.4e-23   77.3  12.0   1   3   1.3e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 scf00000000_87 # 116373 # 117674 # 1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:116373-117674|+ -            434 1679at2085           -            265   4.4e-23   77.3  12.0   2   3   1.6e-12   1.7e-10   36.1   0.6    22   173    78   228    71   240 0.77 scf00000000_87 # 116373 # 117674 # 1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:116373-117674|+ -            434 1679at2085           -            265   4.4e-23   77.3  12.0   3   3   6.2e-06   0.00065   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_87 # 116373 # 117674 # 1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:592642-593238|- -            199 1679at2085           -            265   3.1e-13   45.0   5.6   1   2   7.7e-13     8e-11   37.1   0.1   123   172    41    91    31   105 0.91 scf00000000_475 # 592642 # 593238 # -1 # ID=1_475;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:592642-593238|- -            199 1679at2085           -            265   3.1e-13   45.0   5.6   2   2   0.00017     0.018    9.7   1.9    24    97   117   195   102   198 0.78 scf00000000_475 # 592642 # 593238 # -1 # ID=1_475;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:258572-259903|- -            444 1679at2085           -            265     8e-13   43.7  16.5   1   3      0.93        97   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_226 # 258572 # 259903 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:258572-259903|- -            444 1679at2085           -            265     8e-13   43.7  16.5   2   3     6e-14   6.2e-12   40.7   0.3    96   174   193   275   184   288 0.79 scf00000000_226 # 258572 # 259903 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:258572-259903|- -            444 1679at2085           -            265     8e-13   43.7  16.5   3   3   0.00018     0.018    9.7   6.6    21   110   291   372   283   388 0.68 scf00000000_226 # 258572 # 259903 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
scf00000000:211370-212251|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 scf00000000_167 # 211370 # 212251 # -1 # ID=1_167;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
scf00000000:211370-212251|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 scf00000000_167 # 211370 # 212251 # -1 # ID=1_167;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
scf00000000:371650-372753|- -            368 1679at2085           -            265   1.6e-05   19.7   0.2   1   1   3.6e-07   3.8e-05   18.5   0.2   119   155     2    37     1    47 0.84 scf00000000_312 # 371650 # 372753 # -1 # ID=1_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
scf00000000:78950-80209|+   -            420 1679at2085           -            265   1.9e-05   19.5  11.5   1   2   4.4e-07   4.5e-05   18.2   0.1   124   175   161   215   145   236 0.75 scf00000000_56 # 78950 # 80209 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
scf00000000:78950-80209|+   -            420 1679at2085           -            265   1.9e-05   19.5  11.5   2   2      0.03       3.1    2.4   8.1    39   121   257   343   253   346 0.84 scf00000000_56 # 78950 # 80209 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP699/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP699/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
