Orthogroup	MFC_MF30_genes	MFC_Ms42_genes
OG0000000	DR084_RS02900	MYF_RS01330
OG0000000	DR084_RS02925	MYF_RS01525
OG0000000	DR084_RS02935	MYF_RS03375, MYF_RS03215, MYF_RS01460
OG0000000	DR084_RS02480	MYF_RS03295
OG0000001	DR084_RS03095	MYF_RS03415
OG0000002	DR084_RS01115	MYF_RS03430
OG0000002	DR084_RS03505	MYF_RS01530
OG0000002	DR084_RS03620	MYF_RS03010
OG0000004	DR084_RS02890	MYF_RS02535, MYF_RS02545
OG0000011	DR084_RS03145	MYF_RS03310
OG0000011	DR084_RS01055	MYF_RS01270
OG0000013	DR084_RS00890	MYF_RS03170
OG0000013	DR084_RS00885	MYF_RS01100
OG0000013	DR084_RS02985	MYF_RS03400
OG0000014	DR084_RS03465	MYF_RS00550
OG0000016	DR084_RS00585	MYF_RS00730
OG0000016	DR084_RS03605	MYF_RS00130
OG0000017	DR084_RS02415	MYF_RS03155
OG0000017	DR084_RS00575	MYF_RS00720
OG0000018	DR084_RS03555	MYF_RS01675
OG0000019	DR084_RS03440	MYF_RS03445, MYF_RS03450, MYF_RS03440
OG0000020	DR084_RS02530	MYF_RS03085
OG0000022	DR084_RS03625	MYF_RS03025
OG0000023	DR084_RS01910	MYF_RS01670
OG0000024	DR084_RS00640	MYF_RS00790
OG0000025	DR084_RS02490	MYF_RS03030
OG0000026	DR084_RS01955	MYF_RS01715
OG0000027	DR084_RS03655	MYF_RS02825
OG0000028	DR084_RS00905	MYF_RS01125
OG0000028	DR084_RS00910	MYF_RS01120
OG0000029	DR084_RS00420	MYF_RS00555
OG0000030	DR084_RS03660	MYF_RS02820
OG0000031	DR084_RS01000	MYF_RS01215
OG0000033	DR084_RS00915	MYF_RS01130
OG0000039	DR084_RS00480	MYF_RS03160, MYF_RS00615
OG0000040	DR084_RS02240	MYF_RS02770
OG0000040	DR084_RS00690	MYF_RS00840
OG0000042	DR084_RS00475	MYF_RS00610
OG0000042	DR084_RS00620	MYF_RS00765
OG0000043	DR084_RS01025	MYF_RS01240
OG0000045	DR084_RS00485	MYF_RS00630
OG0000047	DR084_RS03000	MYF_RS03335
OG0000048	DR084_RS02740	MYF_RS01350
OG0000049	DR084_RS02050	MYF_RS03265, MYF_RS03455
OG0000050	DR084_RS00965	MYF_RS01180
OG0000051	DR084_RS01670	MYF_RS02420
OG0000052	DR084_RS02375	MYF_RS00075
OG0000053	DR084_RS03670	MYF_RS01800
OG0000054	DR084_RS00940	MYF_RS01155
OG0000055	DR084_RS03600	MYF_RS03395
OG0000055	DR084_RS03710	MYF_RS03525
OG0000056	DR084_RS02515	MYF_RS03060
OG0000057	DR084_RS00500	MYF_RS00645
OG0000062	DR084_RS02265	MYF_RS03115
OG0000063	DR084_RS03590	MYF_RS03110
OG0000064	DR084_RS02250	MYF_RS03100
OG0000065	DR084_RS01815	MYF_RS01575
OG0000066	DR084_RS01945	MYF_RS01705
OG0000067	DR084_RS00345	MYF_RS00480
OG0000068	DR084_RS00455	MYF_RS00590
OG0000069	DR084_RS00610	MYF_RS00755
OG0000070	DR084_RS00920	MYF_RS01135
OG0000071	DR084_RS01120, DR084_RS02230	MYF_RS02760
OG0000072	DR084_RS03585	MYF_RS02765
OG0000073	DR084_RS01245	MYF_RS02005
OG0000074	DR084_RS03540	MYF_RS02195
OG0000075	DR084_RS00175	MYF_RS00305
OG0000076	DR084_RS00190	MYF_RS00320
OG0000077	DR084_RS00275	MYF_RS00410
OG0000078	DR084_RS00725	MYF_RS00880
OG0000079	DR084_RS00835	MYF_RS01050
OG0000080	DR084_RS03130	MYF_RS01000, MYF_RS03365
OG0000081	DR084_RS00170	MYF_RS00300
OG0000082	DR084_RS00895	MYF_RS01110
OG0000083	DR084_RS02845	MYF_RS01430
OG0000084	DR084_RS02690	MYF_RS01400
OG0000085	DR084_RS02695	MYF_RS01395
OG0000086	DR084_RS03665	MYF_RS01385
OG0000087	DR084_RS02720	MYF_RS01370
OG0000088	DR084_RS02725	MYF_RS01365
OG0000089	DR084_RS02735	MYF_RS01355
OG0000090	DR084_RS02370	MYF_RS00070
OG0000091	DR084_RS02355	MYF_RS00055
OG0000092	DR084_RS02340	MYF_RS00040
OG0000093	DR084_RS02335	MYF_RS00035
OG0000094	DR084_RS02330	MYF_RS00030
OG0000095	DR084_RS02305	MYF_RS00005
OG0000096	DR084_RS02300	MYF_RS03150
OG0000097	DR084_RS02280	MYF_RS03130
OG0000098	DR084_RS02270	MYF_RS03120
OG0000099	DR084_RS02520	MYF_RS03065
OG0000100	DR084_RS02510	MYF_RS03050
OG0000101	DR084_RS02505	MYF_RS03045
OG0000102	DR084_RS02495	MYF_RS03035
OG0000103	DR084_RS01780	MYF_RS01540
OG0000104	DR084_RS01785	MYF_RS01545
OG0000105	DR084_RS01800	MYF_RS01560
OG0000106	DR084_RS01810	MYF_RS01570
OG0000107	DR084_RS01820	MYF_RS01580
OG0000108	DR084_RS01825	MYF_RS01585
