Orthogroup	MFC_MF30_genes	MHP_ES2L_genes
OG0000000	DR084_RS02935	HZK19_RS03960, HZK19_RS02100, HZK19_RS02105, HZK19_RS03685
OG0000001	DR084_RS03095	HZK19_RS03720, HZK19_RS02765, HZK19_RS03840
OG0000002	DR084_RS03505	HZK19_RS02175
OG0000002	DR084_RS03620	HZK19_RS01705
OG0000004	DR084_RS02890	HZK19_RS02980
OG0000011	DR084_RS03145	HZK19_RS01910, HZK19_RS03920
OG0000013	DR084_RS00890, DR084_RS00885	HZK19_RS02370
OG0000013	DR084_RS02985	HZK19_RS03715
OG0000014	DR084_RS03465	HZK19_RS00585, HZK19_RS00595
OG0000016	DR084_RS00585	HZK19_RS02805
OG0000017	DR084_RS02415	HZK19_RS00140
OG0000017	DR084_RS00575	HZK19_RS02815
OG0000018	DR084_RS03555	HZK19_RS03075
OG0000019	DR084_RS03440	HZK19_RS03845, HZK19_RS03850
OG0000020	DR084_RS02530	HZK19_RS03600
OG0000022	DR084_RS03625	HZK19_RS01685
OG0000024	DR084_RS00640	HZK19_RS02710, HZK19_RS01240
OG0000025	DR084_RS02490	HZK19_RS01680
OG0000026	DR084_RS01955	HZK19_RS01330, HZK19_RS01660
OG0000027	DR084_RS03655	HZK19_RS03405
OG0000028	DR084_RS00905, DR084_RS00910	HZK19_RS02385
OG0000029	DR084_RS00420	HZK19_RS01065, HZK19_RS00600
OG0000030	DR084_RS03660	HZK19_RS03380, HZK19_RS03400
OG0000031	DR084_RS01000	HZK19_RS03025
OG0000039	DR084_RS00480	HZK19_RS01580
OG0000040	DR084_RS02240, DR084_RS00690	HZK19_RS03325
OG0000042	DR084_RS00475, DR084_RS00620	HZK19_RS02900
OG0000043	DR084_RS01025	HZK19_RS01875
OG0000045	DR084_RS00485	HZK19_RS01585
OG0000048	DR084_RS02740	HZK19_RS02065
OG0000050	DR084_RS00965	HZK19_RS02415
OG0000051	DR084_RS01670	HZK19_RS02620
OG0000052	DR084_RS02375	HZK19_RS00075
OG0000053	DR084_RS03670	HZK19_RS01415
OG0000054	DR084_RS00940	HZK19_RS02440
OG0000055	DR084_RS03600, DR084_RS03710	HZK19_RS00120
OG0000056	DR084_RS02515	HZK19_RS03580
OG0000057	DR084_RS00500	HZK19_RS02885
OG0000062	DR084_RS02265	HZK19_RS03630
OG0000063	DR084_RS03590	HZK19_RS03625
OG0000064	DR084_RS02250	HZK19_RS03615
OG0000065	DR084_RS01815	HZK19_RS02220
OG0000066	DR084_RS01945	HZK19_RS01320
OG0000068	DR084_RS00455	HZK19_RS00635
OG0000069	DR084_RS00610	HZK19_RS02780
OG0000070	DR084_RS00920	HZK19_RS02445
OG0000071	DR084_RS01120, DR084_RS02230	HZK19_RS03315
OG0000072	DR084_RS03585	HZK19_RS03320
OG0000073	DR084_RS01245	HZK19_RS00680
OG0000074	DR084_RS03540	HZK19_RS00875
OG0000075	DR084_RS00175	HZK19_RS00325
OG0000076	DR084_RS00190	HZK19_RS00340
OG0000077	DR084_RS00275	HZK19_RS00425
OG0000078	DR084_RS00725	HZK19_RS01645
OG0000079	DR084_RS00835	HZK19_RS02525
OG0000080	DR084_RS03130	HZK19_RS02570
OG0000081	DR084_RS00170	HZK19_RS00320
OG0000082	DR084_RS00895	HZK19_RS02365
OG0000083	DR084_RS02845	HZK19_RS01985
OG0000084	DR084_RS02690	HZK19_RS02015
OG0000085	DR084_RS02695	HZK19_RS02020
OG0000086	DR084_RS03665	HZK19_RS02030
OG0000087	DR084_RS02720	HZK19_RS02045
OG0000088	DR084_RS02725	HZK19_RS02050
OG0000089	DR084_RS02735	HZK19_RS02060
OG0000090	DR084_RS02370	HZK19_RS00070
OG0000091	DR084_RS02355	HZK19_RS00055
OG0000092	DR084_RS02340	HZK19_RS00040
OG0000093	DR084_RS02335	HZK19_RS00035
OG0000094	DR084_RS02330	HZK19_RS00030
OG0000095	DR084_RS02305	HZK19_RS00005
OG0000096	DR084_RS02300	HZK19_RS03665
OG0000097	DR084_RS02280	HZK19_RS03645
OG0000098	DR084_RS02270	HZK19_RS03635
OG0000099	DR084_RS02520	HZK19_RS03585
OG0000100	DR084_RS02510	HZK19_RS03570
OG0000101	DR084_RS02505	HZK19_RS03565
OG0000102	DR084_RS02495	HZK19_RS01675
OG0000103	DR084_RS01780	HZK19_RS02185
OG0000104	DR084_RS01785	HZK19_RS02190
OG0000105	DR084_RS01800	HZK19_RS02205
OG0000106	DR084_RS01810	HZK19_RS02215
OG0000107	DR084_RS01820	HZK19_RS02225
OG0000108	DR084_RS01825	HZK19_RS02230
OG0000109	DR084_RS01830	HZK19_RS02235
OG0000110	DR084_RS01835	HZK19_RS02355
OG0000111	DR084_RS01840	HZK19_RS02350
OG0000112	DR084_RS01850	HZK19_RS02340
OG0000113	DR084_RS03550	HZK19_RS02320
OG0000114	DR084_RS01875	HZK19_RS02310
OG0000115	DR084_RS01885	HZK19_RS02300
OG0000116	DR084_RS01895	HZK19_RS01265
OG0000117	DR084_RS01900	HZK19_RS01270
OG0000118	DR084_RS01930	HZK19_RS01305
OG0000119	DR084_RS01935	HZK19_RS01310
OG0000120	DR084_RS01950	HZK19_RS01325
OG0000121	DR084_RS01975	HZK19_RS01350
OG0000122	DR084_RS01980	HZK19_RS01355
OG0000123	DR084_RS02000	HZK19_RS01375
OG0000124	DR084_RS02005	HZK19_RS01380
OG0000125	DR084_RS02010	HZK19_RS01385
OG0000126	DR084_RS02020	HZK19_RS01395
OG0000127	DR084_RS02030	HZK19_RS01405
OG0000128	DR084_RS02760	HZK19_RS01420
OG0000129	DR084_RS02765	HZK19_RS01425
OG0000130	DR084_RS02775	HZK19_RS01435
OG0000131	DR084_RS02805	HZK19_RS01465
OG0000132	DR084_RS03675	HZK19_RS01480
OG0000133	DR084_RS00350	HZK19_RS00520
OG0000134	DR084_RS03455	HZK19_RS00525
OG0000135	DR084_RS00370	HZK19_RS00540
OG0000136	DR084_RS00375	HZK19_RS00545
OG0000137	DR084_RS00405	HZK19_RS00575
OG0000138	DR084_RS00430	HZK19_RS00610
OG0000139	DR084_RS00460	HZK19_RS00640
OG0000140	DR084_RS00465	HZK19_RS00645
OG0000141	DR084_RS00490	HZK19_RS02895
OG0000142	DR084_RS03470	HZK19_RS02890
OG0000143	DR084_RS00520	HZK19_RS02870
OG0000144	DR084_RS00530	HZK19_RS02860
OG0000145	DR084_RS00540	HZK19_RS02850
OG0000146	DR084_RS00550	HZK19_RS02840
OG0000147	DR084_RS00555	HZK19_RS02835
OG0000148	DR084_RS00570	HZK19_RS02820
OG0000149	DR084_RS00580	HZK19_RS02810
OG0000150	DR084_RS00595	HZK19_RS02795
OG0000151	DR084_RS00645	HZK19_RS02750
OG0000152	DR084_RS00650	HZK19_RS02745
OG0000153	DR084_RS00655	HZK19_RS02740
OG0000154	DR084_RS00665	HZK19_RS02730
OG0000155	DR084_RS00685	HZK19_RS02690
OG0000156	DR084_RS00700	HZK19_RS02680
OG0000157	DR084_RS03475	HZK19_RS02675
OG0000158	DR084_RS03480	HZK19_RS03895
OG0000159	DR084_RS00950	HZK19_RS03970
OG0000160	DR084_RS00955	HZK19_RS02425
OG0000161	DR084_RS00960	HZK19_RS02420
OG0000162	DR084_RS02975, DR084_RS00970	HZK19_RS02410
OG0000163	DR084_RS00975	HZK19_RS02405
OG0000164	DR084_RS03490	HZK19_RS01575
OG0000165	DR084_RS01050	HZK19_RS01905
OG0000166	DR084_RS01070	HZK19_RS01925
OG0000167	DR084_RS01085	HZK19_RS01940
OG0000168	DR084_RS01090	HZK19_RS01945
OG0000169	DR084_RS02045	HZK19_RS02990
OG0000170	DR084_RS02060	HZK19_RS03005
OG0000171	DR084_RS02070	HZK19_RS03110
OG0000172	DR084_RS02075	HZK19_RS03115
OG0000173	DR084_RS02080	HZK19_RS03120
OG0000174	DR084_RS02085	HZK19_RS03125
OG0000175	DR084_RS02100	HZK19_RS03140
OG0000176	DR084_RS02140	HZK19_RS03190
OG0000177	DR084_RS02145	HZK19_RS03195
OG0000178	DR084_RS02150	HZK19_RS03200
OG0000179	DR084_RS02160	HZK19_RS03210
OG0000180	DR084_RS02165	HZK19_RS03215
OG0000181	DR084_RS03570	HZK19_RS03265
OG0000182	DR084_RS02190	HZK19_RS03275
OG0000183	DR084_RS02225	HZK19_RS03310
OG0000184	DR084_RS02865	HZK19_RS03355
OG0000185	DR084_RS02880	HZK19_RS03340
OG0000186	DR084_RS01135	HZK19_RS01490
OG0000187	DR084_RS01150	HZK19_RS01505
OG0000188	DR084_RS01160	HZK19_RS01515
OG0000189	DR084_RS03510	HZK19_RS02270
OG0000190	DR084_RS01175	HZK19_RS02265
OG0000191	DR084_RS01195	HZK19_RS02245
OG0000192	DR084_RS01205	HZK19_RS01180
OG0000193	DR084_RS01220	HZK19_RS01175
OG0000194	DR084_RS01230	HZK19_RS00665
OG0000195	DR084_RS01235	HZK19_RS00670
OG0000196	DR084_RS03515	HZK19_RS00690
OG0000197	DR084_RS01260	HZK19_RS00695
OG0000198	DR084_RS01275	HZK19_RS00710
OG0000199	DR084_RS01280	HZK19_RS00715
OG0000200	DR084_RS01295	HZK19_RS00730
OG0000201	DR084_RS01305	HZK19_RS00740
OG0000202	DR084_RS01360	HZK19_RS00795
OG0000203	DR084_RS01365	HZK19_RS00800
OG0000204	DR084_RS01370	HZK19_RS00805
OG0000205	DR084_RS01375	HZK19_RS00810
OG0000206	DR084_RS01395	HZK19_RS00830
OG0000207	DR084_RS01410	HZK19_RS00845
OG0000208	DR084_RS01415	HZK19_RS00850
OG0000209	DR084_RS01420	HZK19_RS00855
OG0000210	DR084_RS01465	HZK19_RS00900
OG0000211	DR084_RS01475	HZK19_RS00910
OG0000212	DR084_RS01485	HZK19_RS00920
OG0000213	DR084_RS01490	HZK19_RS00925
OG0000214	DR084_RS01495	HZK19_RS00930
OG0000215	DR084_RS01500	HZK19_RS00935
OG0000216	DR084_RS01505	HZK19_RS00940
OG0000217	DR084_RS01510	HZK19_RS00945
OG0000218	DR084_RS01520	HZK19_RS00955
OG0000219	DR084_RS01525	HZK19_RS00960
OG0000220	DR084_RS01530	HZK19_RS00965
OG0000221	DR084_RS01535	HZK19_RS00970
OG0000222	DR084_RS01540	HZK19_RS00975
OG0000223	DR084_RS01545	HZK19_RS00980
OG0000224	DR084_RS01555	HZK19_RS00990
OG0000225	DR084_RS01565	HZK19_RS01000
OG0000226	DR084_RS01570	HZK19_RS01005
OG0000227	DR084_RS01575	HZK19_RS01010
OG0000228	DR084_RS03705	HZK19_RS03950
OG0000229	DR084_RS01585	HZK19_RS01020
OG0000230	DR084_RS01590	HZK19_RS01025
OG0000231	DR084_RS01600	HZK19_RS01035
OG0000232	DR084_RS01610	HZK19_RS01045
OG0000233	DR084_RS01620	HZK19_RS01070
OG0000234	DR084_RS01650	HZK19_RS01105
OG0000235	DR084_RS01660	HZK19_RS01115
OG0000236	DR084_RS01665	HZK19_RS01120
OG0000237	DR084_RS01680	HZK19_RS01125
OG0000238	DR084_RS01685	HZK19_RS01130
OG0000239	DR084_RS01715	HZK19_RS02905
OG0000240	DR084_RS01720	HZK19_RS02910
OG0000241	DR084_RS01730	HZK19_RS02920
OG0000242	DR084_RS01735	HZK19_RS02925
OG0000243	DR084_RS01740	HZK19_RS02930
OG0000244	DR084_RS01750	HZK19_RS02940
OG0000245	DR084_RS01760	HZK19_RS02950
OG0000246	DR084_RS02385	HZK19_RS00125
OG0000247	DR084_RS02395	HZK19_RS00135
OG0000248	DR084_RS02420	HZK19_RS00145
OG0000249	DR084_RS02425	HZK19_RS00150
OG0000250	DR084_RS00015	HZK19_RS00165
OG0000251	DR084_RS00045	HZK19_RS00195
OG0000252	DR084_RS00055	HZK19_RS00205
OG0000253	DR084_RS00060	HZK19_RS00210
OG0000254	DR084_RS00070	HZK19_RS00220
OG0000255	DR084_RS00075	HZK19_RS00225
OG0000256	DR084_RS00080	HZK19_RS00230
OG0000257	DR084_RS00105	HZK19_RS00255
OG0000258	DR084_RS00115	HZK19_RS00265
OG0000259	DR084_RS00145	HZK19_RS00295
OG0000260	DR084_RS00155	HZK19_RS00305
OG0000261	DR084_RS03450	HZK19_RS00315
OG0000262	DR084_RS00180	HZK19_RS00330
OG0000263	DR084_RS00195	HZK19_RS00345
OG0000264	DR084_RS00210	HZK19_RS00360
OG0000265	DR084_RS00220	HZK19_RS00370
OG0000266	DR084_RS00235	HZK19_RS00385
OG0000267	DR084_RS00250	HZK19_RS00400
OG0000268	DR084_RS00255	HZK19_RS00405
OG0000269	DR084_RS00270	HZK19_RS00420
OG0000270	DR084_RS03610	HZK19_RS03540
OG0000271	DR084_RS02445	HZK19_RS03535
OG0000272	DR084_RS02440	HZK19_RS03530
OG0000273	DR084_RS02435	HZK19_RS03525
OG0000274	DR084_RS02555	HZK19_RS03505
OG0000275	DR084_RS03630	HZK19_RS03500
OG0000276	DR084_RS02565	HZK19_RS03495
OG0000277	DR084_RS03635	HZK19_RS03485
OG0000278	DR084_RS02580	HZK19_RS03480
OG0000279	DR084_RS02590	HZK19_RS03470
OG0000280	DR084_RS02595	HZK19_RS03465
OG0000281	DR084_RS02600	HZK19_RS03460
OG0000282	DR084_RS02625	HZK19_RS03435
OG0000283	DR084_RS02630	HZK19_RS03430
OG0000284	DR084_RS02635	HZK19_RS03425
OG0000285	DR084_RS03650	HZK19_RS03420
OG0000286	DR084_RS00900	HZK19_RS02390
OG0000287	DR084_RS00875	HZK19_RS02485
OG0000288	DR084_RS00865	HZK19_RS02495
OG0000289	DR084_RS00860	HZK19_RS02500
OG0000290	DR084_RS00750	HZK19_RS02610
OG0000291	DR084_RS00760	HZK19_RS02600
OG0000292	DR084_RS00765	HZK19_RS02595
OG0000293	DR084_RS00770	HZK19_RS02590
OG0000294	DR084_RS00780	HZK19_RS02580
OG0000295	DR084_RS00785	HZK19_RS02575
OG0000296	DR084_RS00825	HZK19_RS02535
OG0000297	DR084_RS00830	HZK19_RS02530
OG0000298	DR084_RS00010	HZK19_RS00160
OG0000299	DR084_RS00030	HZK19_RS00180
OG0000300	DR084_RS00205	HZK19_RS00355
OG0000301	DR084_RS00240	HZK19_RS00390
OG0000302	DR084_RS00245	HZK19_RS00395
OG0000303	DR084_RS00380	HZK19_RS00550
OG0000304	DR084_RS00415	HZK19_RS01055
OG0000305	DR084_RS00545	HZK19_RS02845
OG0000306	DR084_RS00625	HZK19_RS02770
OG0000307	DR084_RS00660	HZK19_RS02735
OG0000308	DR084_RS00740	HZK19_RS02635
OG0000309	DR084_RS00795	HZK19_RS02565
OG0000310	DR084_RS00870	HZK19_RS02490
OG0000311	DR084_RS00925	HZK19_RS02450
OG0000312	DR084_RS00945	HZK19_RS02435
OG0000313	DR084_RS00995	HZK19_RS01565
OG0000314	DR084_RS01065	HZK19_RS01920
OG0000315	DR084_RS01095	HZK19_RS01950
OG0000316	DR084_RS01105	HZK19_RS01960
OG0000317	DR084_RS02730	HZK19_RS02055
OG0000318	DR084_RS03680	HZK19_RS01965
OG0000319	DR084_RS01795	HZK19_RS02200
OG0000320	DR084_RS01860	HZK19_RS02330
OG0000321	DR084_RS01925	HZK19_RS01300
OG0000322	DR084_RS01970	HZK19_RS01345
OG0000323	DR084_RS02815	HZK19_RS01475
OG0000324	DR084_RS01200	HZK19_RS02240
OG0000325	DR084_RS01240	HZK19_RS00675
OG0000326	DR084_RS01335	HZK19_RS00770
OG0000327	DR084_RS01340	HZK19_RS00775
OG0000328	DR084_RS01425	HZK19_RS00860
OG0000329	DR084_RS01445	HZK19_RS00880
OG0000330	DR084_RS01630	HZK19_RS01080
OG0000331	DR084_RS01745	HZK19_RS02935
OG0000332	DR084_RS02110	HZK19_RS03150
OG0000333	DR084_RS02120	HZK19_RS03160
OG0000334	DR084_RS02185	HZK19_RS03270
OG0000335	DR084_RS03575	HZK19_RS03280
OG0000336	DR084_RS03645	HZK19_RS03450
OG0000337	DR084_RS02255	HZK19_RS03620
OG0000338	DR084_RS02295	HZK19_RS03660
OG0000339	DR084_RS01880	HZK19_RS02305
OG0000340	DR084_RS01905	HZK19_RS01280
OG0000341	DR084_RS01180	HZK19_RS02260
OG0000342	DR084_RS01270	HZK19_RS00705
OG0000343	DR084_RS02130	HZK19_RS03170
OG0000344	DR084_RS00395	HZK19_RS00565
OG0000345	DR084_RS01560	HZK19_RS00995
OG0000346	DR084_RS03640	HZK19_RS03455
OG0000347	DR084_RS01995	HZK19_RS01370
OG0000348	DR084_RS03525	HZK19_RS00780
OG0000349	DR084_RS02545	HZK19_RS03515
OG0000350	DR084_RS02995	HZK19_RS02725
OG0000351	DR084_RS00330	HZK19_RS00480
OG0000352	DR084_RS01045	HZK19_RS01895
OG0000353	DR084_RS01965	HZK19_RS01340
OG0000354	DR084_RS00445	HZK19_RS00625
OG0000355	DR084_RS03495	HZK19_RS01870
OG0000356	DR084_RS03500	HZK19_RS01955
OG0000357	DR084_RS03560	HZK19_RS03130
OG0000358	DR084_RS02095	HZK19_RS03135
OG0000359	DR084_RS03520	HZK19_RS00750
OG0000360	DR084_RS00110	HZK19_RS00260
OG0000361	DR084_RS00140	HZK19_RS00290
OG0000362	DR084_RS00850	HZK19_RS02510
OG0000363	DR084_RS02040	HZK19_RS03730
OG0000365	DR084_RS03695	HZK19_RS02000
OG0000366	DR084_RS02700	HZK19_RS02025
OG0000367	DR084_RS02710	HZK19_RS02035
OG0000368	DR084_RS02360	HZK19_RS00060
OG0000369	DR084_RS03595	HZK19_RS00025
OG0000370	DR084_RS02320	HZK19_RS00020
OG0000371	DR084_RS02315	HZK19_RS00015
OG0000372	DR084_RS02310	HZK19_RS00010
OG0000373	DR084_RS02285	HZK19_RS03650
OG0000374	DR084_RS02275	HZK19_RS03640
OG0000375	DR084_RS01790	HZK19_RS02195
OG0000376	DR084_RS01845	HZK19_RS02345
OG0000377	DR084_RS01855	HZK19_RS02335
OG0000378	DR084_RS01890	HZK19_RS01260
OG0000379	DR084_RS01960	HZK19_RS01335
OG0000380	DR084_RS01985	HZK19_RS01360
OG0000381	DR084_RS02025	HZK19_RS01400
OG0000382	DR084_RS02770	HZK19_RS01430
OG0000383	DR084_RS02810	HZK19_RS01470
OG0000384	DR084_RS00335	HZK19_RS00505
OG0000385	DR084_RS00340	HZK19_RS00510
