Orthogroup	MFC_MF30_genes	MHP_KM014_genes
OG0000000	DR084_RS02935	CIB43_RS03015, CIB43_RS03040
OG0000000	DR084_RS02480	CIB43_RS02600
OG0000001	DR084_RS03095	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	DR084_RS03505	CIB43_RS03100, CIB43_RS04020
OG0000002	DR084_RS03620	CIB43_RS02610
OG0000004	DR084_RS02890	CIB43_RS00110
OG0000011	DR084_RS03145	CIB43_RS02845, CIB43_RS02850
OG0000014	DR084_RS03465	CIB43_RS01485, CIB43_RS01955
OG0000016	DR084_RS00585	CIB43_RS03755
OG0000017	DR084_RS02415	CIB43_RS00855
OG0000017	DR084_RS00575	CIB43_RS03765
OG0000018	DR084_RS03555	CIB43_RS01250, CIB43_RS01185
OG0000019	DR084_RS03440	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005
OG0000020	DR084_RS02530	CIB43_RS00635
OG0000022	DR084_RS03625	CIB43_RS02590
OG0000024	DR084_RS00640	CIB43_RS02140
OG0000025	DR084_RS02490	CIB43_RS02585
OG0000026	DR084_RS01955	CIB43_RS02565
OG0000027	DR084_RS03655	CIB43_RS00440
OG0000028	DR084_RS00905, DR084_RS00910	CIB43_RS03340
OG0000030	DR084_RS03660	CIB43_RS00435
OG0000031	DR084_RS01000	CIB43_RS01295, CIB43_RS00065
OG0000039	DR084_RS00480	CIB43_RS02500
OG0000042	DR084_RS00475, DR084_RS00620	CIB43_RS03855
OG0000043	DR084_RS01025	CIB43_RS00070
OG0000045	DR084_RS00485	CIB43_RS02520
OG0000047	DR084_RS03000	CIB43_RS00045
OG0000048	DR084_RS02740	CIB43_RS02995
OG0000051	DR084_RS01670	CIB43_RS03575
OG0000052	DR084_RS02375	CIB43_RS00775
OG0000053	DR084_RS03670	CIB43_RS02315
OG0000054	DR084_RS00940	CIB43_RS03395
OG0000055	DR084_RS03600, DR084_RS03710	CIB43_RS00835
OG0000056	DR084_RS02515	CIB43_RS00630, CIB43_RS03960
OG0000057	DR084_RS00500	CIB43_RS03840
OG0000062	DR084_RS02265	CIB43_RS00675
OG0000063	DR084_RS03590	CIB43_RS00660
OG0000064	DR084_RS02250	CIB43_RS00650
OG0000065	DR084_RS01815	CIB43_RS03145
OG0000067	DR084_RS00345	CIB43_RS01410
OG0000068	DR084_RS00455	CIB43_RS01520
OG0000069	DR084_RS00610	CIB43_RS03740
OG0000070	DR084_RS00920	CIB43_RS03400
OG0000071	DR084_RS01120, DR084_RS02230	CIB43_RS00360
OG0000072	DR084_RS03585	CIB43_RS00375
OG0000073	DR084_RS01245	CIB43_RS01580
OG0000075	DR084_RS00175	CIB43_RS01060
OG0000077	DR084_RS00275	CIB43_RS01330
OG0000078	DR084_RS00725	CIB43_RS02560
OG0000079	DR084_RS00835	CIB43_RS03480
OG0000080	DR084_RS03130	CIB43_RS03525
OG0000081	DR084_RS00170	CIB43_RS01055
OG0000082	DR084_RS00895	CIB43_RS03315
OG0000083	DR084_RS02845	CIB43_RS02935
OG0000084	DR084_RS02690	CIB43_RS02955
OG0000086	DR084_RS03665	CIB43_RS02970
OG0000087	DR084_RS02720	CIB43_RS02975
OG0000088	DR084_RS02725	CIB43_RS02980
OG0000089	DR084_RS02735	CIB43_RS02990
OG0000090	DR084_RS02370	CIB43_RS00770
OG0000091	DR084_RS02355	CIB43_RS00760
OG0000092	DR084_RS02340	CIB43_RS00745
OG0000093	DR084_RS02335	CIB43_RS00735
OG0000094	DR084_RS02330	CIB43_RS00730
OG0000095	DR084_RS02305	CIB43_RS00715
OG0000096	DR084_RS02300	CIB43_RS00700
OG0000097	DR084_RS02280	CIB43_RS00690
OG0000100	DR084_RS02510	CIB43_RS00610
OG0000101	DR084_RS02505	CIB43_RS00600
OG0000102	DR084_RS02495	CIB43_RS02580
OG0000103	DR084_RS01780	CIB43_RS03110
OG0000104	DR084_RS01785	CIB43_RS03120
OG0000105	DR084_RS01800	CIB43_RS03130
OG0000106	DR084_RS01810	CIB43_RS03140
OG0000107	DR084_RS01820	CIB43_RS03150
OG0000108	DR084_RS01825	CIB43_RS03155
OG0000109	DR084_RS01830	CIB43_RS03160
OG0000110	DR084_RS01835	CIB43_RS03290
OG0000111	DR084_RS01840	CIB43_RS03285
OG0000112	DR084_RS01850	CIB43_RS03280
OG0000113	DR084_RS03550	CIB43_RS03260
OG0000114	DR084_RS01875	CIB43_RS03245
OG0000115	DR084_RS01885	CIB43_RS03230
OG0000116	DR084_RS01895	CIB43_RS02165
OG0000117	DR084_RS01900	CIB43_RS02170
OG0000118	DR084_RS01930	CIB43_RS02205
OG0000119	DR084_RS01935	CIB43_RS02210
OG0000120	DR084_RS01950	CIB43_RS02230
OG0000121	DR084_RS01975	CIB43_RS02250
OG0000122	DR084_RS01980	CIB43_RS02255
OG0000123	DR084_RS02000	CIB43_RS02275
OG0000124	DR084_RS02005	CIB43_RS02280
OG0000125	DR084_RS02010	CIB43_RS02285
OG0000126	DR084_RS02020	CIB43_RS02295
OG0000127	DR084_RS02030	CIB43_RS02305
OG0000128	DR084_RS02760	CIB43_RS02320
OG0000129	DR084_RS02765	CIB43_RS02330
OG0000130	DR084_RS02775	CIB43_RS02335
OG0000131	DR084_RS02805	CIB43_RS02370
OG0000132	DR084_RS03675	CIB43_RS02385
OG0000133	DR084_RS00350	CIB43_RS01415
OG0000134	DR084_RS03455	CIB43_RS01425
OG0000135	DR084_RS00370	CIB43_RS01435
OG0000136	DR084_RS00375	CIB43_RS01440
OG0000137	DR084_RS00405	CIB43_RS01470
OG0000138	DR084_RS00430	CIB43_RS01495
OG0000139	DR084_RS00460	CIB43_RS01525
OG0000140	DR084_RS00465	CIB43_RS01540
OG0000141	DR084_RS00490	CIB43_RS03850
OG0000142	DR084_RS03470	CIB43_RS03845
OG0000143	DR084_RS00520	CIB43_RS03835
OG0000144	DR084_RS00530	CIB43_RS03815
OG0000145	DR084_RS00540	CIB43_RS03805
OG0000146	DR084_RS00550	CIB43_RS03790
OG0000147	DR084_RS00555	CIB43_RS03785
OG0000148	DR084_RS00570	CIB43_RS03780
OG0000149	DR084_RS00580	CIB43_RS03760
OG0000150	DR084_RS00595	CIB43_RS03745
OG0000151	DR084_RS00645	CIB43_RS03700
OG0000152	DR084_RS00650	CIB43_RS03695
OG0000153	DR084_RS00655	CIB43_RS03690
OG0000154	DR084_RS00665	CIB43_RS03680
OG0000155	DR084_RS00685	CIB43_RS03645
OG0000156	DR084_RS00700	CIB43_RS03635
OG0000157	DR084_RS03475	CIB43_RS03625
OG0000158	DR084_RS03480	CIB43_RS03620
OG0000159	DR084_RS00950	CIB43_RS03385
OG0000160	DR084_RS00955	CIB43_RS03380
OG0000161	DR084_RS00960	CIB43_RS03375
OG0000163	DR084_RS00975	CIB43_RS03370
OG0000164	DR084_RS03490	CIB43_RS02495
OG0000165	DR084_RS01050	CIB43_RS02840
OG0000166	DR084_RS01070	CIB43_RS02860
OG0000167	DR084_RS01085	CIB43_RS02875
OG0000168	DR084_RS01090	CIB43_RS02880
OG0000169	DR084_RS02045	CIB43_RS00130
OG0000171	DR084_RS02070	CIB43_RS00155
OG0000172	DR084_RS02075	CIB43_RS00160
OG0000173	DR084_RS02080	CIB43_RS00165
OG0000174	DR084_RS02085	CIB43_RS00170
OG0000175	DR084_RS02100	CIB43_RS00190
OG0000176	DR084_RS02140	CIB43_RS00235
OG0000177	DR084_RS02145	CIB43_RS00240
OG0000178	DR084_RS02150	CIB43_RS00245
OG0000179	DR084_RS02160	CIB43_RS00255
OG0000180	DR084_RS02165	CIB43_RS00260
OG0000181	DR084_RS03570	CIB43_RS00310
OG0000182	DR084_RS02190	CIB43_RS00320
OG0000183	DR084_RS02225	CIB43_RS00355
OG0000184	DR084_RS02865	CIB43_RS00430
OG0000185	DR084_RS02880	CIB43_RS00380
OG0000186	DR084_RS01135	CIB43_RS02400
OG0000187	DR084_RS01150	CIB43_RS02410
OG0000188	DR084_RS01160	CIB43_RS02425
OG0000189	DR084_RS03510	CIB43_RS03200
OG0000190	DR084_RS01175	CIB43_RS03195
OG0000191	DR084_RS01195	CIB43_RS03180
OG0000192	DR084_RS01205	CIB43_RS02085
OG0000193	DR084_RS01220	CIB43_RS02075
OG0000194	DR084_RS01230	CIB43_RS01560
OG0000195	DR084_RS01235	CIB43_RS01565
OG0000196	DR084_RS03515	CIB43_RS01585
OG0000197	DR084_RS01260	CIB43_RS01590
OG0000198	DR084_RS01275	CIB43_RS01605
OG0000199	DR084_RS01280	CIB43_RS01615
OG0000200	DR084_RS01295	CIB43_RS01630
OG0000201	DR084_RS01305	CIB43_RS01635
OG0000202	DR084_RS01360	CIB43_RS01690
OG0000203	DR084_RS01365	CIB43_RS01695
OG0000204	DR084_RS01370	CIB43_RS01700
OG0000205	DR084_RS01375	CIB43_RS01705
OG0000206	DR084_RS01395	CIB43_RS01735
OG0000207	DR084_RS01410	CIB43_RS01740
OG0000208	DR084_RS01415	CIB43_RS01745
OG0000209	DR084_RS01420	CIB43_RS01750
OG0000210	DR084_RS01465	CIB43_RS01800
OG0000211	DR084_RS01475	CIB43_RS01805
OG0000212	DR084_RS01485	CIB43_RS01815
OG0000213	DR084_RS01490	CIB43_RS01820
OG0000214	DR084_RS01495	CIB43_RS01825
OG0000215	DR084_RS01500	CIB43_RS01830
OG0000216	DR084_RS01505	CIB43_RS01835
OG0000217	DR084_RS01510	CIB43_RS01845
OG0000218	DR084_RS01520	CIB43_RS01850
OG0000219	DR084_RS01525	CIB43_RS01855
OG0000220	DR084_RS01530	CIB43_RS01860
OG0000221	DR084_RS01535	CIB43_RS01865
OG0000222	DR084_RS01540	CIB43_RS01870
OG0000223	DR084_RS01545	CIB43_RS01875
OG0000225	DR084_RS01565	CIB43_RS01895
OG0000226	DR084_RS01570	CIB43_RS01900
OG0000227	DR084_RS01575	CIB43_RS01905
OG0000228	DR084_RS03705	CIB43_RS01910
OG0000229	DR084_RS01585	CIB43_RS01915
OG0000230	DR084_RS01590	CIB43_RS01920
OG0000231	DR084_RS01600	CIB43_RS01935
OG0000232	DR084_RS01610	CIB43_RS01940
OG0000233	DR084_RS01620	CIB43_RS01965
OG0000234	DR084_RS01650	CIB43_RS02000
OG0000235	DR084_RS01660	CIB43_RS02005
OG0000236	DR084_RS01665	CIB43_RS02010
OG0000237	DR084_RS01680	CIB43_RS02015
OG0000238	DR084_RS01685	CIB43_RS02025
OG0000239	DR084_RS01715	CIB43_RS03860
OG0000240	DR084_RS01720	CIB43_RS03870
OG0000241	DR084_RS01730	CIB43_RS03875
OG0000242	DR084_RS01735	CIB43_RS03880
OG0000243	DR084_RS01740	CIB43_RS03885
OG0000244	DR084_RS01750	CIB43_RS03900
OG0000245	DR084_RS01760	CIB43_RS03905
OG0000246	DR084_RS02385	CIB43_RS00845
OG0000247	DR084_RS02395	CIB43_RS00850
OG0000248	DR084_RS02420	CIB43_RS00875
OG0000250	DR084_RS00015	CIB43_RS00885
OG0000251	DR084_RS00045	CIB43_RS00925
OG0000252	DR084_RS00055	CIB43_RS00930
OG0000253	DR084_RS00060	CIB43_RS00940
OG0000254	DR084_RS00070	CIB43_RS00950
OG0000255	DR084_RS00075	CIB43_RS00955
OG0000256	DR084_RS00080	CIB43_RS00960
OG0000257	DR084_RS00105	CIB43_RS00985
OG0000258	DR084_RS00115	CIB43_RS01015
OG0000259	DR084_RS00145	CIB43_RS01030
OG0000260	DR084_RS00155	CIB43_RS01045
OG0000262	DR084_RS00180	CIB43_RS01075
OG0000263	DR084_RS00195	CIB43_RS01080
OG0000264	DR084_RS00210	CIB43_RS01100
OG0000265	DR084_RS00220	CIB43_RS01110
OG0000266	DR084_RS00235	CIB43_RS01120
OG0000267	DR084_RS00250	CIB43_RS01135
OG0000268	DR084_RS00255	CIB43_RS01305
OG0000269	DR084_RS00270	CIB43_RS01320
OG0000270	DR084_RS03610	CIB43_RS00575
OG0000271	DR084_RS02445	CIB43_RS00570
OG0000272	DR084_RS02440	CIB43_RS00565
OG0000273	DR084_RS02435	CIB43_RS00560
OG0000274	DR084_RS02555	CIB43_RS00545
OG0000275	DR084_RS03630	CIB43_RS00535
OG0000276	DR084_RS02565	CIB43_RS00530
OG0000277	DR084_RS03635	CIB43_RS00525
OG0000278	DR084_RS02580	CIB43_RS00515
OG0000279	DR084_RS02590	CIB43_RS00510
OG0000280	DR084_RS02595	CIB43_RS00500
OG0000281	DR084_RS02600	CIB43_RS00495
OG0000283	DR084_RS02630	CIB43_RS00475
OG0000284	DR084_RS02635	CIB43_RS00460
OG0000285	DR084_RS03650	CIB43_RS00455
OG0000286	DR084_RS00900	CIB43_RS03345
OG0000287	DR084_RS00875	CIB43_RS03440
OG0000288	DR084_RS00865	CIB43_RS03450
