Orthogroup	MFC_MF30_genes	MHP_TB1_genes
OG0000000	DR084_RS02900	B5M19_RS04470
OG0000000	DR084_RS02480	B5M19_RS02095
OG0000001	DR084_RS03095	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510
OG0000002	DR084_RS03505	B5M19_RS04465, B5M19_RS04625
OG0000002	DR084_RS03620	B5M19_RS02105
OG0000011	DR084_RS03145	B5M19_RS04080, B5M19_RS00770
OG0000011	DR084_RS01055	B5M19_RS00765
OG0000013	DR084_RS00890, DR084_RS00885	B5M19_RS02640
OG0000013	DR084_RS02985	B5M19_RS00100
OG0000014	DR084_RS03465	B5M19_RS03715, B5M19_RS03505
OG0000016	DR084_RS00585	B5M19_RS01425
OG0000017	DR084_RS02415	B5M19_RS00065
OG0000017	DR084_RS00575	B5M19_RS01415
OG0000018	DR084_RS03555	B5M19_RS04450, B5M19_RS04445
OG0000020	DR084_RS02530	B5M19_RS02010
OG0000022	DR084_RS03625	B5M19_RS02090
OG0000024	DR084_RS00640	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390
OG0000025	DR084_RS02490	B5M19_RS02085
OG0000026	DR084_RS01955	B5M19_RS01210, B5M19_RS02065
OG0000027	DR084_RS03655	B5M19_RS00550
OG0000028	DR084_RS00905, DR084_RS00910	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	DR084_RS00420	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510
OG0000030	DR084_RS03660	B5M19_RS00570, B5M19_RS00555
OG0000031	DR084_RS01000	B5M19_RS04360, B5M19_RS03305
OG0000039	DR084_RS00480	B5M19_RS03320
OG0000040	DR084_RS02240, DR084_RS00690	B5M19_RS02985
OG0000042	DR084_RS00475, DR084_RS00620	B5M19_RS01320
OG0000043	DR084_RS01025	B5M19_RS02270
OG0000045	DR084_RS00485	B5M19_RS03325
OG0000047	DR084_RS03000	B5M19_RS02295
OG0000048	DR084_RS02740	B5M19_RS03695
OG0000050	DR084_RS00965	B5M19_RS02825
OG0000051	DR084_RS01670	B5M19_RS04110
OG0000052	DR084_RS02375	B5M19_RS00005
OG0000053	DR084_RS03670	B5M19_RS01120
OG0000054	DR084_RS00940	B5M19_RS02800
OG0000055	DR084_RS03600, DR084_RS03710	B5M19_RS00045
OG0000056	DR084_RS02515	B5M19_RS00375
OG0000057	DR084_RS00500	B5M19_RS01340
OG0000062	DR084_RS02265	B5M19_RS01970
OG0000063	DR084_RS03590	B5M19_RS01975
OG0000064	DR084_RS02250	B5M19_RS01990
OG0000065	DR084_RS01815	B5M19_RS02925
OG0000066	DR084_RS01945	B5M19_RS01220
OG0000068	DR084_RS00455	B5M19_RS04480
OG0000069	DR084_RS00610	B5M19_RS03520
OG0000070	DR084_RS00920	B5M19_RS02795
OG0000071	DR084_RS01120, DR084_RS02230	B5M19_RS02995
OG0000072	DR084_RS03585	B5M19_RS02990
OG0000073	DR084_RS01245	B5M19_RS01840
OG0000074	DR084_RS03540	B5M19_RS01645
OG0000075	DR084_RS00175	B5M19_RS00265
OG0000076	DR084_RS00190	B5M19_RS00280
OG0000077	DR084_RS00275	B5M19_RS03440
OG0000078	DR084_RS00725	B5M19_RS02055
OG0000079	DR084_RS00835	B5M19_RS01010
OG0000080	DR084_RS03130	B5M19_RS03900
OG0000081	DR084_RS00170	B5M19_RS00260
OG0000082	DR084_RS00895	B5M19_RS04420, B5M19_RS04415
OG0000083	DR084_RS02845	B5M19_RS00845
OG0000084	DR084_RS02690	B5M19_RS02760
OG0000085	DR084_RS02695	B5M19_RS02755
OG0000086	DR084_RS03665	B5M19_RS02745
OG0000087	DR084_RS02720	B5M19_RS02730
OG0000088	DR084_RS02725	B5M19_RS02725
OG0000089	DR084_RS02735	B5M19_RS03690
OG0000090	DR084_RS02370	B5M19_RS03775
OG0000091	DR084_RS02355	B5M19_RS04280
OG0000092	DR084_RS02340	B5M19_RS01895
OG0000093	DR084_RS02335	B5M19_RS01900
OG0000094	DR084_RS02330	B5M19_RS01905
OG0000095	DR084_RS02305	B5M19_RS04290
OG0000096	DR084_RS02300	B5M19_RS01935
OG0000097	DR084_RS02280	B5M19_RS01955
OG0000098	DR084_RS02270	B5M19_RS04295
OG0000099	DR084_RS02520	B5M19_RS00370
OG0000100	DR084_RS02510	B5M19_RS00385
OG0000101	DR084_RS02505	B5M19_RS00390
OG0000102	DR084_RS02495	B5M19_RS02080
OG0000103	DR084_RS01780	B5M19_RS02960
OG0000104	DR084_RS01785	B5M19_RS04460
OG0000105	DR084_RS01800	B5M19_RS02940
OG0000106	DR084_RS01810	B5M19_RS02930
OG0000107	DR084_RS01820	B5M19_RS04455
OG0000108	DR084_RS01825	B5M19_RS04620
OG0000109	DR084_RS01830	B5M19_RS02910
OG0000110	DR084_RS01835	B5M19_RS02660
OG0000111	DR084_RS01840	B5M19_RS02665
OG0000112	DR084_RS01850	B5M19_RS02675
OG0000113	DR084_RS03550	B5M19_RS02700
OG0000114	DR084_RS01875	B5M19_RS02710
OG0000115	DR084_RS01885	B5M19_RS03610
OG0000116	DR084_RS01895	B5M19_RS02580
OG0000117	DR084_RS01900	B5M19_RS02575
OG0000118	DR084_RS01930	B5M19_RS01235
OG0000119	DR084_RS01935	B5M19_RS01230
OG0000120	DR084_RS01950	B5M19_RS01215
OG0000121	DR084_RS01975	B5M19_RS01190
OG0000122	DR084_RS01980	B5M19_RS01185
OG0000123	DR084_RS02000	B5M19_RS01165
OG0000124	DR084_RS02005	B5M19_RS01160
OG0000125	DR084_RS02010	B5M19_RS01155
OG0000126	DR084_RS02020	B5M19_RS01145
OG0000127	DR084_RS02030	B5M19_RS01135
OG0000128	DR084_RS02760	B5M19_RS01115
OG0000129	DR084_RS02765	B5M19_RS01110
OG0000130	DR084_RS02775	B5M19_RS01100
OG0000131	DR084_RS02805	B5M19_RS01075
OG0000132	DR084_RS03675	B5M19_RS01060
OG0000133	DR084_RS00350	B5M19_RS02380
OG0000134	DR084_RS03455	B5M19_RS02385
OG0000135	DR084_RS00370	B5M19_RS02400
OG0000136	DR084_RS00375	B5M19_RS02405
OG0000137	DR084_RS00405	B5M19_RS02445
OG0000138	DR084_RS00430	B5M19_RS03090
OG0000139	DR084_RS00460	B5M19_RS03070
OG0000140	DR084_RS00465	B5M19_RS03065
OG0000141	DR084_RS00490	B5M19_RS01330
OG0000142	DR084_RS03470	B5M19_RS01335
OG0000143	DR084_RS00520	B5M19_RS01360
OG0000144	DR084_RS00530	B5M19_RS01370
OG0000145	DR084_RS00540	B5M19_RS01380
OG0000146	DR084_RS00550	B5M19_RS01390
OG0000147	DR084_RS00555	B5M19_RS01395
OG0000148	DR084_RS00570	B5M19_RS01410
OG0000149	DR084_RS00580	B5M19_RS01420
OG0000150	DR084_RS00595	B5M19_RS04180
OG0000151	DR084_RS00645	B5M19_RS02540
OG0000152	DR084_RS00650	B5M19_RS02535
OG0000153	DR084_RS00655	B5M19_RS02530
OG0000154	DR084_RS00665	B5M19_RS02520
OG0000155	DR084_RS00685	B5M19_RS02480
OG0000156	DR084_RS00700	B5M19_RS00860
OG0000157	DR084_RS03475	B5M19_RS00865
OG0000158	DR084_RS03480	B5M19_RS04580
OG0000159	DR084_RS00950	B5M19_RS02810
OG0000160	DR084_RS00955	B5M19_RS02815
OG0000161	DR084_RS00960	B5M19_RS02820
OG0000162	DR084_RS02975, DR084_RS00970	B5M19_RS02830
OG0000163	DR084_RS00975	B5M19_RS02835
OG0000164	DR084_RS03490	B5M19_RS04495
OG0000165	DR084_RS01050	B5M19_RS00760
OG0000166	DR084_RS01070	B5M19_RS00785
OG0000167	DR084_RS01085	B5M19_RS00800
OG0000168	DR084_RS01090	B5M19_RS00805
OG0000169	DR084_RS02045	B5M19_RS01450
OG0000170	DR084_RS02060	B5M19_RS01465
OG0000171	DR084_RS02070	B5M19_RS01475
OG0000172	DR084_RS02075	B5M19_RS01480
OG0000173	DR084_RS02080	B5M19_RS01490
OG0000174	DR084_RS02085	B5M19_RS01495
OG0000175	DR084_RS02100	B5M19_RS01510
OG0000176	DR084_RS02140	B5M19_RS01560
OG0000177	DR084_RS02145	B5M19_RS01565
OG0000178	DR084_RS02150	B5M19_RS04200
OG0000179	DR084_RS02160	B5M19_RS01580
OG0000180	DR084_RS02165	B5M19_RS01585
OG0000181	DR084_RS03570	B5M19_RS03045
