Orthogroup	MFC_MF30_genes	MHP_LH_genes
OG0000000	DR084_RS02900	KUD10_RS02260
OG0000000	DR084_RS02935	KUD10_RS02205, KUD10_RS02185, KUD10_RS02195, KUD10_RS02170, KUD10_RS02175, KUD10_RS02190, KUD10_RS02200
OG0000000	DR084_RS02480	KUD10_RS01785
OG0000001	DR084_RS03095	KUD10_RS01355, KUD10_RS01350, KUD10_RS02875, KUD10_RS02830
OG0000002	DR084_RS03505	KUD10_RS02270, KUD10_RS02265
OG0000002	DR084_RS03620	KUD10_RS01790
OG0000004	DR084_RS02890	KUD10_RS03105, KUD10_RS03095, KUD10_RS03085
OG0000011	DR084_RS03145	KUD10_RS02000
OG0000011	DR084_RS01055	KUD10_RS01995
OG0000013	DR084_RS00890, DR084_RS00885	KUD10_RS02465
OG0000013	DR084_RS02985	KUD10_RS00185
OG0000014	DR084_RS03465	KUD10_RS01080, KUD10_RS00610, KUD10_RS00615
OG0000016	DR084_RS00585	KUD10_RS02915
OG0000017	DR084_RS02415	KUD10_RS00155
OG0000017	DR084_RS00575	KUD10_RS02925
OG0000018	DR084_RS03555	KUD10_RS01195
OG0000019	DR084_RS03440	KUD10_RS03100, KUD10_RS03080, KUD10_RS03110, KUD10_RS03090
OG0000020	DR084_RS02530	KUD10_RS03625
OG0000022	DR084_RS03625	KUD10_RS01775
OG0000024	DR084_RS00640	KUD10_RS02825, KUD10_RS01345
OG0000025	DR084_RS02490	KUD10_RS01770
OG0000026	DR084_RS01955	KUD10_RS01435, KUD10_RS01750
OG0000027	DR084_RS03655	KUD10_RS03425
OG0000028	DR084_RS00905, DR084_RS00910	KUD10_RS02500
OG0000029	DR084_RS00420	KUD10_RS01075, KUD10_RS00620
OG0000030	DR084_RS03660	KUD10_RS03400, KUD10_RS03420
OG0000031	DR084_RS01000	KUD10_RS01150, KUD10_RS01665
OG0000033	DR084_RS00915	KUD10_RS02480
OG0000039	DR084_RS00480	KUD10_RS01675
OG0000040	DR084_RS02240, DR084_RS00690	KUD10_RS03345
OG0000042	DR084_RS00475, DR084_RS00620	KUD10_RS03010
OG0000043	DR084_RS01025	KUD10_RS01965
OG0000045	DR084_RS00485	KUD10_RS01680
OG0000048	DR084_RS02740	KUD10_RS02150
OG0000050	DR084_RS00965	KUD10_RS02530
OG0000051	DR084_RS01670	KUD10_RS02740
OG0000052	DR084_RS02375	KUD10_RS00075
OG0000053	DR084_RS03670	KUD10_RS01520
OG0000054	DR084_RS00940	KUD10_RS02555
OG0000055	DR084_RS03600, DR084_RS03710	KUD10_RS00135
OG0000056	DR084_RS02515	KUD10_RS03605
OG0000057	DR084_RS00500	KUD10_RS02995
OG0000062	DR084_RS02265	KUD10_RS03655
OG0000063	DR084_RS03590	KUD10_RS03650
OG0000064	DR084_RS02250	KUD10_RS03640
OG0000065	DR084_RS01815	KUD10_RS02315
OG0000066	DR084_RS01945	KUD10_RS01425
OG0000068	DR084_RS00455	KUD10_RS00655
OG0000069	DR084_RS00610	KUD10_RS02890
OG0000070	DR084_RS00920	KUD10_RS02560
OG0000071	DR084_RS01120, DR084_RS02230	KUD10_RS03335
OG0000072	DR084_RS03585	KUD10_RS03340
OG0000073	DR084_RS01245	KUD10_RS00700
OG0000074	DR084_RS03540	KUD10_RS00895
OG0000075	DR084_RS00175	KUD10_RS00340
OG0000076	DR084_RS00190	KUD10_RS00355
OG0000077	DR084_RS00275	KUD10_RS00440
OG0000078	DR084_RS00725	KUD10_RS01740
OG0000079	DR084_RS00835	KUD10_RS02640
OG0000080	DR084_RS03130	KUD10_RS02690
OG0000081	DR084_RS00170	KUD10_RS00335
OG0000082	DR084_RS00895	KUD10_RS02460
OG0000083	DR084_RS02845	KUD10_RS02070
OG0000084	DR084_RS02690	KUD10_RS02100
OG0000085	DR084_RS02695	KUD10_RS02105
OG0000086	DR084_RS03665	KUD10_RS02115
OG0000087	DR084_RS02720	KUD10_RS02130
OG0000088	DR084_RS02725	KUD10_RS02135
OG0000089	DR084_RS02735	KUD10_RS02145
OG0000090	DR084_RS02370	KUD10_RS00070
OG0000091	DR084_RS02355	KUD10_RS00055
OG0000092	DR084_RS02340	KUD10_RS00040
OG0000093	DR084_RS02335	KUD10_RS00035
OG0000094	DR084_RS02330	KUD10_RS00030
OG0000095	DR084_RS02305	KUD10_RS00005
OG0000096	DR084_RS02300	KUD10_RS03690
OG0000097	DR084_RS02280	KUD10_RS03670
OG0000099	DR084_RS02520	KUD10_RS03610
OG0000100	DR084_RS02510	KUD10_RS03590
OG0000101	DR084_RS02505	KUD10_RS03585
OG0000102	DR084_RS02495	KUD10_RS01765
OG0000103	DR084_RS01780	KUD10_RS02280
OG0000104	DR084_RS01785	KUD10_RS02285
OG0000105	DR084_RS01800	KUD10_RS02300
OG0000106	DR084_RS01810	KUD10_RS02310
OG0000107	DR084_RS01820	KUD10_RS02320
OG0000108	DR084_RS01825	KUD10_RS02325
OG0000109	DR084_RS01830	KUD10_RS02330
OG0000110	DR084_RS01835	KUD10_RS02450
OG0000111	DR084_RS01840	KUD10_RS02445
OG0000112	DR084_RS01850	KUD10_RS02435
OG0000113	DR084_RS03550	KUD10_RS02415
OG0000114	DR084_RS01875	KUD10_RS02405
OG0000115	DR084_RS01885	KUD10_RS02395
OG0000116	DR084_RS01895	KUD10_RS01370
OG0000117	DR084_RS01900	KUD10_RS01375
OG0000118	DR084_RS01930	KUD10_RS01410
OG0000119	DR084_RS01935	KUD10_RS01415
OG0000120	DR084_RS01950	KUD10_RS01430
OG0000121	DR084_RS01975	KUD10_RS01455
OG0000122	DR084_RS01980	KUD10_RS01460
OG0000123	DR084_RS02000	KUD10_RS01480
OG0000124	DR084_RS02005	KUD10_RS01485
OG0000125	DR084_RS02010	KUD10_RS01490
OG0000126	DR084_RS02020	KUD10_RS01500
OG0000127	DR084_RS02030	KUD10_RS01510
OG0000128	DR084_RS02760	KUD10_RS01525
OG0000129	DR084_RS02765	KUD10_RS01530
OG0000130	DR084_RS02775	KUD10_RS01540
OG0000131	DR084_RS02805	KUD10_RS01570
OG0000132	DR084_RS03675	KUD10_RS01585
OG0000133	DR084_RS00350	KUD10_RS00535
OG0000134	DR084_RS03455	KUD10_RS00540
OG0000135	DR084_RS00370	KUD10_RS00555
OG0000136	DR084_RS00375	KUD10_RS00560
OG0000137	DR084_RS00405	KUD10_RS00600
OG0000138	DR084_RS00430	KUD10_RS00630
OG0000139	DR084_RS00460	KUD10_RS00660
OG0000140	DR084_RS00465	KUD10_RS00665
OG0000141	DR084_RS00490	KUD10_RS03005
OG0000142	DR084_RS03470	KUD10_RS03000
OG0000143	DR084_RS00520	KUD10_RS02980
OG0000144	DR084_RS00530	KUD10_RS02970
OG0000145	DR084_RS00540	KUD10_RS02960
OG0000146	DR084_RS00550	KUD10_RS02950
OG0000147	DR084_RS00555	KUD10_RS02945
OG0000148	DR084_RS00570	KUD10_RS02930
OG0000149	DR084_RS00580	KUD10_RS02920
OG0000150	DR084_RS00595	KUD10_RS02905
OG0000151	DR084_RS00645	KUD10_RS02860
OG0000152	DR084_RS00650	KUD10_RS02855
OG0000153	DR084_RS00655	KUD10_RS02850
OG0000154	DR084_RS00665	KUD10_RS02840
OG0000155	DR084_RS00685	KUD10_RS02805
OG0000156	DR084_RS00700	KUD10_RS02795
OG0000157	DR084_RS03475	KUD10_RS02790
OG0000158	DR084_RS03480	KUD10_RS03710
OG0000159	DR084_RS00950	KUD10_RS02545
OG0000160	DR084_RS00955	KUD10_RS02540
OG0000161	DR084_RS00960	KUD10_RS02535
OG0000162	DR084_RS02975, DR084_RS00970	KUD10_RS02525
OG0000163	DR084_RS00975	KUD10_RS02520
OG0000164	DR084_RS03490	KUD10_RS01670
OG0000165	DR084_RS01050	KUD10_RS01990
OG0000166	DR084_RS01070	KUD10_RS02010
OG0000167	DR084_RS01085	KUD10_RS02025
OG0000168	DR084_RS01090	KUD10_RS02030
OG0000169	DR084_RS02045	KUD10_RS03115
OG0000170	DR084_RS02060	KUD10_RS03130
OG0000171	DR084_RS02070	KUD10_RS03140
OG0000172	DR084_RS02075	KUD10_RS03145
OG0000173	DR084_RS02080	KUD10_RS03150
OG0000174	DR084_RS02085	KUD10_RS03155
OG0000175	DR084_RS02100	KUD10_RS03170
OG0000176	DR084_RS02140	KUD10_RS03215
OG0000177	DR084_RS02145	KUD10_RS03220
OG0000178	DR084_RS02150	KUD10_RS03225
OG0000179	DR084_RS02160	KUD10_RS03235
OG0000180	DR084_RS02165	KUD10_RS03240
OG0000181	DR084_RS03570	KUD10_RS03285
OG0000182	DR084_RS02190	KUD10_RS03295
OG0000183	DR084_RS02225	KUD10_RS03330
OG0000184	DR084_RS02865	KUD10_RS03375
OG0000185	DR084_RS02880	KUD10_RS03360
OG0000186	DR084_RS01135	KUD10_RS01595
OG0000187	DR084_RS01150	KUD10_RS01610
OG0000188	DR084_RS01160	KUD10_RS01620
OG0000189	DR084_RS03510	KUD10_RS02365
OG0000190	DR084_RS01175	KUD10_RS02360
OG0000191	DR084_RS01195	KUD10_RS02340
OG0000192	DR084_RS01205	KUD10_RS01290
