Orthogroup	MFC_MF30_genes	MHP_131B_genes
OG0000000	DR084_RS02900	NB627_RS02355
OG0000000	DR084_RS02935	NB627_RS02270, NB627_RS02280, NB627_RS02285, NB627_RS02265, NB627_RS02275
OG0000000	DR084_RS02480	NB627_RS01850
OG0000001	DR084_RS03095	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935
OG0000002	DR084_RS03505	NB627_RS02365, NB627_RS02360
OG0000002	DR084_RS03620	NB627_RS01865
OG0000004	DR084_RS02890	NB627_RS03225
OG0000011	DR084_RS01055	NB627_RS02090
OG0000013	DR084_RS00890, DR084_RS00885	NB627_RS02570
OG0000013	DR084_RS02985	NB627_RS00185
OG0000014	DR084_RS03465	NB627_RS00705, NB627_RS01205, NB627_RS00715
OG0000016	DR084_RS00585	NB627_RS03030
OG0000017	DR084_RS02415	NB627_RS00155
OG0000017	DR084_RS00575	NB627_RS03040
OG0000018	DR084_RS03555	NB627_RS00490
OG0000019	DR084_RS03440	NB627_RS03210, NB627_RS03220, NB627_RS03230
OG0000020	DR084_RS02530	NB627_RS03760
OG0000022	DR084_RS03625	NB627_RS01845
OG0000024	DR084_RS00640	NB627_RS02930, NB627_RS01395
OG0000025	DR084_RS02490	NB627_RS01840
OG0000026	DR084_RS01955	NB627_RS01490, NB627_RS01820
OG0000027	DR084_RS03655	NB627_RS03555
OG0000029	DR084_RS00420	NB627_RS01200, NB627_RS00720
OG0000030	DR084_RS03660	NB627_RS03530, NB627_RS03550
OG0000031	DR084_RS01000	NB627_RS00445, NB627_RS01730
OG0000039	DR084_RS00480	NB627_RS01740
OG0000040	DR084_RS02240, DR084_RS00690	NB627_RS03475
OG0000042	DR084_RS00475, DR084_RS00620	NB627_RS03125
OG0000043	DR084_RS01025	NB627_RS02055
OG0000045	DR084_RS00485	NB627_RS01745
OG0000048	DR084_RS02740	NB627_RS02245
OG0000049	DR084_RS02050	NB627_RS03240
OG0000050	DR084_RS00965	NB627_RS02630
OG0000051	DR084_RS01670	NB627_RS02845
OG0000052	DR084_RS02375	NB627_RS00075
OG0000053	DR084_RS03670	NB627_RS01580
OG0000054	DR084_RS00940	NB627_RS02655
OG0000055	DR084_RS03600, DR084_RS03710	NB627_RS00135
OG0000056	DR084_RS02515	NB627_RS03735
OG0000057	DR084_RS00500	NB627_RS03110
OG0000062	DR084_RS02265	NB627_RS03790
OG0000063	DR084_RS03590	NB627_RS03785
OG0000064	DR084_RS02250	NB627_RS03775
OG0000065	DR084_RS01815	NB627_RS02410
OG0000066	DR084_RS01945	NB627_RS01480, NB627_RS01475
OG0000068	DR084_RS00455	NB627_RS00755
OG0000069	DR084_RS00610	NB627_RS03005
OG0000070	DR084_RS00920	NB627_RS02660
OG0000071	DR084_RS01120, DR084_RS02230	NB627_RS03465
OG0000072	DR084_RS03585	NB627_RS03470
OG0000073	DR084_RS01245	NB627_RS00820
OG0000076	DR084_RS00190	NB627_RS00365
OG0000077	DR084_RS00275	NB627_RS00550
OG0000079	DR084_RS00835	NB627_RS02745
OG0000080	DR084_RS03130	NB627_RS02795
OG0000081	DR084_RS00170	NB627_RS00340
OG0000083	DR084_RS02845	NB627_RS02160
OG0000084	DR084_RS02690	NB627_RS02190
OG0000085	DR084_RS02695	NB627_RS02195
OG0000086	DR084_RS03665	NB627_RS02210
OG0000087	DR084_RS02720	NB627_RS02225
OG0000088	DR084_RS02725	NB627_RS02230
OG0000089	DR084_RS02735	NB627_RS02240
OG0000090	DR084_RS02370	NB627_RS00070
OG0000091	DR084_RS02355	NB627_RS00055
OG0000092	DR084_RS02340	NB627_RS00050
OG0000093	DR084_RS02335	NB627_RS00035
OG0000094	DR084_RS02330	NB627_RS00030
OG0000095	DR084_RS02305	NB627_RS00005
OG0000096	DR084_RS02300	NB627_RS03825
OG0000097	DR084_RS02280	NB627_RS03805
OG0000098	DR084_RS02270	NB627_RS03795
OG0000099	DR084_RS02520	NB627_RS03745
OG0000100	DR084_RS02510	NB627_RS03725
OG0000101	DR084_RS02505	NB627_RS03720
OG0000102	DR084_RS02495	NB627_RS01835
OG0000103	DR084_RS01780	NB627_RS02375
OG0000104	DR084_RS01785	NB627_RS02380
OG0000105	DR084_RS01800	NB627_RS02400
OG0000106	DR084_RS01810	NB627_RS02405
OG0000107	DR084_RS01820	NB627_RS02415
OG0000108	DR084_RS01825	NB627_RS02420
OG0000109	DR084_RS01830	NB627_RS02425
OG0000110	DR084_RS01835	NB627_RS02555
OG0000111	DR084_RS01840	NB627_RS02550
OG0000112	DR084_RS01850	NB627_RS02540
OG0000113	DR084_RS03550	NB627_RS02515
OG0000114	DR084_RS01875	NB627_RS02510
OG0000115	DR084_RS01885	NB627_RS02495
OG0000116	DR084_RS01895	NB627_RS01420
OG0000117	DR084_RS01900	NB627_RS01425
OG0000118	DR084_RS01930	NB627_RS01460
OG0000119	DR084_RS01935	NB627_RS01465
OG0000120	DR084_RS01950	NB627_RS01485
OG0000121	DR084_RS01975	NB627_RS01515
OG0000122	DR084_RS01980	NB627_RS01520
OG0000123	DR084_RS02000	NB627_RS01540
OG0000124	DR084_RS02005	NB627_RS01545
OG0000125	DR084_RS02010	NB627_RS01550
OG0000126	DR084_RS02020	NB627_RS01560
OG0000127	DR084_RS02030	NB627_RS01570
OG0000128	DR084_RS02760	NB627_RS01585
OG0000129	DR084_RS02765	NB627_RS01590
OG0000130	DR084_RS02775	NB627_RS01600
OG0000131	DR084_RS02805	NB627_RS01630
OG0000132	DR084_RS03675	NB627_RS01645
OG0000133	DR084_RS00350	NB627_RS00640
OG0000134	DR084_RS03455	NB627_RS00645
OG0000135	DR084_RS00370	NB627_RS00660
OG0000136	DR084_RS00375	NB627_RS00665
OG0000137	DR084_RS00405	NB627_RS00695
OG0000138	DR084_RS00430	NB627_RS00730
OG0000139	DR084_RS00460	NB627_RS00760
OG0000140	DR084_RS00465	NB627_RS00765
OG0000141	DR084_RS00490	NB627_RS03120
OG0000142	DR084_RS03470	NB627_RS03115
OG0000143	DR084_RS00520	NB627_RS03100
OG0000144	DR084_RS00530	NB627_RS03085
OG0000145	DR084_RS00540	NB627_RS03075
OG0000146	DR084_RS00550	NB627_RS03065
OG0000147	DR084_RS00555	NB627_RS03060
OG0000148	DR084_RS00570	NB627_RS03045
OG0000149	DR084_RS00580	NB627_RS03035
OG0000150	DR084_RS00595	NB627_RS03025
OG0000151	DR084_RS00645	NB627_RS02970
OG0000152	DR084_RS00650	NB627_RS02965
OG0000153	DR084_RS00655	NB627_RS02960
OG0000154	DR084_RS00665	NB627_RS02950
OG0000155	DR084_RS00685	NB627_RS02910
OG0000156	DR084_RS00700	NB627_RS02905
OG0000157	DR084_RS03475	NB627_RS02895
OG0000158	DR084_RS03480	NB627_RS02885
