Orthogroup	MFC_MF30_genes	MHP_MHP653_genes
OG0000000	DR084_RS02900	DR096_RS03590
OG0000000	DR084_RS02935	DR096_RS03425, DR096_RS04410, DR096_RS04405
OG0000000	DR084_RS02480	DR096_RS02065
OG0000001	DR084_RS03095	DR096_RS01680, DR096_RS01685, DR096_RS01190, DR096_RS04085
OG0000002	DR084_RS03505	DR096_RS04275, DR096_RS02905
OG0000002	DR084_RS03620	DR096_RS04795
OG0000004	DR084_RS02890	DR096_RS00785
OG0000011	DR084_RS03145	DR096_RS00490
OG0000011	DR084_RS01055	DR096_RS00485
OG0000013	DR084_RS00890, DR084_RS00885	DR096_RS04100
OG0000013	DR084_RS02985	DR096_RS03875
OG0000014	DR084_RS03465	DR096_RS03315, DR096_RS04790
OG0000016	DR084_RS00585	DR096_RS01150
OG0000017	DR084_RS02415	DR096_RS00360
OG0000017	DR084_RS00575	DR096_RS01140
OG0000019	DR084_RS03440	DR096_RS03940
OG0000020	DR084_RS02530	DR096_RS04775
OG0000022	DR084_RS03625	DR096_RS04665
OG0000024	DR084_RS00640	DR096_RS01490, DR096_RS01690
OG0000025	DR084_RS02490	DR096_RS02045
OG0000026	DR084_RS01955	DR096_RS01600, DR096_RS02025
OG0000027	DR084_RS03655	DR096_RS04540
OG0000029	DR084_RS00420	DR096_RS03330
OG0000030	DR084_RS03660	DR096_RS04765, DR096_RS04535
OG0000031	DR084_RS01000	DR096_RS01370
OG0000039	DR084_RS00480	DR096_RS01385
OG0000042	DR084_RS00475, DR084_RS00620	DR096_RS00855
OG0000043	DR084_RS01025	DR096_RS00455
OG0000045	DR084_RS00485	DR096_RS01390
OG0000048	DR084_RS02740	DR096_RS03530
OG0000049	DR084_RS02050	DR096_RS00770
OG0000050	DR084_RS00965	DR096_RS03020
OG0000051	DR084_RS01670	DR096_RS02440
OG0000052	DR084_RS02375	DR096_RS02830
OG0000053	DR084_RS03670	DR096_RS04590
OG0000054	DR084_RS00940	DR096_RS02995
OG0000055	DR084_RS03600, DR084_RS03710	DR096_RS02530
OG0000056	DR084_RS02515	DR096_RS01045
OG0000057	DR084_RS00500	DR096_RS01065
OG0000062	DR084_RS02265	DR096_RS01775
OG0000063	DR084_RS03590	DR096_RS04645
OG0000064	DR084_RS02250	DR096_RS01760
OG0000065	DR084_RS01815	DR096_RS02855
OG0000066	DR084_RS01945	DR096_RS01610
OG0000067	DR084_RS00345	DR096_RS02595
OG0000068	DR084_RS00455	DR096_RS03280
OG0000069	DR084_RS00610	DR096_RS01175
OG0000070	DR084_RS00920	DR096_RS02990
OG0000071	DR084_RS01120, DR084_RS02230	DR096_RS03055
OG0000072	DR084_RS03585	DR096_RS04730
OG0000073	DR084_RS01245	DR096_RS02090
