Orthogroup	MFC_MF30_genes	MHP_UFV02_genes
OG0000000	DR084_RS02900	FEF31_RS01935
OG0000000	DR084_RS02935	FEF31_RS01875, FEF31_RS01865
OG0000000	DR084_RS02480	FEF31_RS01385
OG0000001	DR084_RS03095	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490
OG0000002	DR084_RS03505	FEF31_RS01945, FEF31_RS01940
OG0000002	DR084_RS03620	FEF31_RS04455
OG0000011	DR084_RS03145	FEF31_RS01695
OG0000011	DR084_RS01055	FEF31_RS01690
OG0000013	DR084_RS00890, DR084_RS00885	FEF31_RS02135
OG0000013	DR084_RS02985	FEF31_RS03455
OG0000014	DR084_RS03465	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375
OG0000016	DR084_RS00585	FEF31_RS02580
OG0000017	DR084_RS02415	FEF31_RS03425
OG0000017	DR084_RS00575	FEF31_RS02590
OG0000019	DR084_RS03440	FEF31_RS04805
OG0000020	DR084_RS02530	FEF31_RS04270
OG0000022	DR084_RS03625	FEF31_RS04450
OG0000024	DR084_RS00640	FEF31_RS02485, FEF31_RS00930
OG0000025	DR084_RS02490	FEF31_RS01370
OG0000026	DR084_RS01955	FEF31_RS01025, FEF31_RS01350
OG0000027	DR084_RS03655	FEF31_RS04605
OG0000028	DR084_RS00905, DR084_RS00910	FEF31_RS02145, FEF31_RS04525
OG0000029	DR084_RS00420	FEF31_RS00735, FEF31_RS00270
OG0000030	DR084_RS03660	FEF31_RS04590, FEF31_RS04600
OG0000031	DR084_RS01000	FEF31_RS01450
OG0000039	DR084_RS00480	FEF31_RS01275
OG0000040	DR084_RS02240, DR084_RS00690	FEF31_RS03890
OG0000042	DR084_RS00475, DR084_RS00620	FEF31_RS02675
OG0000043	DR084_RS01025	FEF31_RS01455
OG0000045	DR084_RS00485	FEF31_RS01280, FEF31_RS01285
OG0000047	DR084_RS03000	FEF31_RS01435
OG0000048	DR084_RS02740	FEF31_RS01845
OG0000049	DR084_RS02050	FEF31_RS03620
OG0000050	DR084_RS00965	FEF31_RS02180
OG0000051	DR084_RS01670	FEF31_RS02395
OG0000052	DR084_RS02375	FEF31_RS03360
OG0000053	DR084_RS03670	FEF31_RS04425
OG0000054	DR084_RS00940	FEF31_RS02205
OG0000055	DR084_RS03600, DR084_RS03710	FEF31_RS03405
OG0000056	DR084_RS02515	FEF31_RS03205
OG0000057	DR084_RS00500	FEF31_RS02660
OG0000062	DR084_RS02265	FEF31_RS03250
OG0000063	DR084_RS03590	FEF31_RS04645
OG0000064	DR084_RS02250	FEF31_RS03235
OG0000065	DR084_RS01815	FEF31_RS01990
OG0000066	DR084_RS01945	FEF31_RS01015
OG0000068	DR084_RS00455	FEF31_RS00305
OG0000069	DR084_RS00610	FEF31_RS02555
OG0000070	DR084_RS00920	FEF31_RS02210
OG0000071	DR084_RS01120, DR084_RS02230	FEF31_RS03835
OG0000072	DR084_RS03585	FEF31_RS04700
OG0000073	DR084_RS01245	FEF31_RS00360
OG0000074	DR084_RS03540	FEF31_RS04395
OG0000075	DR084_RS00175	FEF31_RS00005
OG0000076	DR084_RS00190	FEF31_RS00020
OG0000077	DR084_RS00275	FEF31_RS00105
OG0000079	DR084_RS00835	FEF31_RS02300
OG0000080	DR084_RS03130	FEF31_RS02345
OG0000081	DR084_RS00170	FEF31_RS03610
OG0000082	DR084_RS00895	FEF31_RS02130
OG0000083	DR084_RS02845	FEF31_RS01765
OG0000084	DR084_RS02690	FEF31_RS01795
OG0000085	DR084_RS02695	FEF31_RS01800
OG0000086	DR084_RS03665	FEF31_RS01810
OG0000087	DR084_RS02720	FEF31_RS01825
OG0000088	DR084_RS02725	FEF31_RS01830
OG0000089	DR084_RS02735	FEF31_RS01840
OG0000090	DR084_RS02370	FEF31_RS03355
OG0000091	DR084_RS02355	FEF31_RS03340
OG0000092	DR084_RS02340	FEF31_RS03325
OG0000093	DR084_RS02335	FEF31_RS03320
OG0000094	DR084_RS02330	FEF31_RS03315
OG0000095	DR084_RS02305	FEF31_RS03290
OG0000096	DR084_RS02300	FEF31_RS03285
OG0000097	DR084_RS02280	FEF31_RS03265
OG0000098	DR084_RS02270	FEF31_RS03255
OG0000099	DR084_RS02520	FEF31_RS04640
OG0000100	DR084_RS02510	FEF31_RS03195
OG0000101	DR084_RS02505	FEF31_RS03190
OG0000102	DR084_RS02495	FEF31_RS01365
OG0000103	DR084_RS01780	FEF31_RS01955
OG0000104	DR084_RS01785	FEF31_RS01960
OG0000105	DR084_RS01800	FEF31_RS01975
OG0000106	DR084_RS01810	FEF31_RS01985
OG0000107	DR084_RS01820	FEF31_RS01995
OG0000108	DR084_RS01825	FEF31_RS02000
OG0000109	DR084_RS01830	FEF31_RS02005
OG0000110	DR084_RS01835	FEF31_RS02120
OG0000111	DR084_RS01840	FEF31_RS02115
OG0000112	DR084_RS01850	FEF31_RS02105
OG0000113	DR084_RS03550	FEF31_RS02085
OG0000114	DR084_RS01875	FEF31_RS02075
OG0000115	DR084_RS01885	FEF31_RS02065
OG0000116	DR084_RS01895	FEF31_RS00955
OG0000117	DR084_RS01900	FEF31_RS00960
OG0000118	DR084_RS01930	FEF31_RS00995
OG0000119	DR084_RS01935	FEF31_RS01000
OG0000120	DR084_RS01950	FEF31_RS01020
OG0000121	DR084_RS01975	FEF31_RS01045
OG0000122	DR084_RS01980	FEF31_RS01050
OG0000123	DR084_RS02000	FEF31_RS01070
OG0000124	DR084_RS02005	FEF31_RS01075
OG0000125	DR084_RS02010	FEF31_RS01080
OG0000126	DR084_RS02020	FEF31_RS01090
OG0000127	DR084_RS02030	FEF31_RS01100
OG0000128	DR084_RS02760	FEF31_RS01115
OG0000129	DR084_RS02765	FEF31_RS01120
OG0000130	DR084_RS02775	FEF31_RS01130
OG0000131	DR084_RS02805	FEF31_RS01160
OG0000132	DR084_RS03675	FEF31_RS04430
OG0000133	DR084_RS00350	FEF31_RS00190
OG0000134	DR084_RS03455	FEF31_RS00195
OG0000135	DR084_RS00370	FEF31_RS00210
OG0000136	DR084_RS00375	FEF31_RS00215
OG0000137	DR084_RS00405	FEF31_RS00245
OG0000138	DR084_RS00430	FEF31_RS00280
OG0000139	DR084_RS00460	FEF31_RS00310
OG0000140	DR084_RS00465	FEF31_RS00315
OG0000141	DR084_RS00490	FEF31_RS02670
OG0000142	DR084_RS03470	FEF31_RS04555
OG0000143	DR084_RS00520	FEF31_RS02645
OG0000144	DR084_RS00530	FEF31_RS02635
OG0000145	DR084_RS00540	FEF31_RS02625
OG0000146	DR084_RS00550	FEF31_RS02615
OG0000147	DR084_RS00555	FEF31_RS02610
OG0000148	DR084_RS00570	FEF31_RS02595
OG0000149	DR084_RS00580	FEF31_RS02585
OG0000150	DR084_RS00595	FEF31_RS02570
OG0000151	DR084_RS00645	FEF31_RS02525
OG0000152	DR084_RS00650	FEF31_RS02520
OG0000153	DR084_RS00655	FEF31_RS02515
OG0000154	DR084_RS00665	FEF31_RS02505
OG0000155	DR084_RS00685	FEF31_RS02465
OG0000156	DR084_RS00700	FEF31_RS02455
OG0000157	DR084_RS03475	FEF31_RS04545
OG0000158	DR084_RS03480	FEF31_RS04540
OG0000159	DR084_RS00950	FEF31_RS02195
OG0000160	DR084_RS00955	FEF31_RS02190
OG0000161	DR084_RS00960	FEF31_RS02185
OG0000162	DR084_RS02975, DR084_RS00970	FEF31_RS02175
OG0000163	DR084_RS00975	FEF31_RS02170
OG0000164	DR084_RS03490	FEF31_RS01270
OG0000165	DR084_RS01050	FEF31_RS01685
OG0000166	DR084_RS01070	FEF31_RS01705
OG0000167	DR084_RS01085	FEF31_RS01720
OG0000168	DR084_RS01090	FEF31_RS01725
OG0000169	DR084_RS02045	FEF31_RS03615
OG0000170	DR084_RS02060	FEF31_RS04785, FEF31_RS04795
OG0000171	DR084_RS02070	FEF31_RS03640
OG0000172	DR084_RS02075	FEF31_RS03645
OG0000173	DR084_RS02080	FEF31_RS03650
OG0000174	DR084_RS02085	FEF31_RS03655
OG0000175	DR084_RS02100	FEF31_RS03670
OG0000176	DR084_RS02140	FEF31_RS03715
OG0000177	DR084_RS02145	FEF31_RS03720
OG0000178	DR084_RS02150	FEF31_RS03725
OG0000179	DR084_RS02160	FEF31_RS03735
OG0000180	DR084_RS02165	FEF31_RS03740
OG0000181	DR084_RS03570	FEF31_RS04690
OG0000182	DR084_RS02190	FEF31_RS03795
OG0000183	DR084_RS02225	FEF31_RS03830
OG0000184	DR084_RS02865	FEF31_RS02980
OG0000185	DR084_RS02880	FEF31_RS02965
OG0000186	DR084_RS01135	FEF31_RS04435
OG0000187	DR084_RS01150	FEF31_RS01200
OG0000188	DR084_RS01160	FEF31_RS01210
OG0000189	DR084_RS03510	FEF31_RS04520
OG0000190	DR084_RS01175	FEF31_RS02035
OG0000191	DR084_RS01195	FEF31_RS02015
OG0000192	DR084_RS01205	FEF31_RS00875
OG0000193	DR084_RS01220	FEF31_RS00860
OG0000194	DR084_RS01230	FEF31_RS00345
OG0000195	DR084_RS01235	FEF31_RS00350
OG0000196	DR084_RS03515	FEF31_RS00370
OG0000197	DR084_RS01260	FEF31_RS00375
OG0000198	DR084_RS01275	FEF31_RS00390
OG0000199	DR084_RS01280	FEF31_RS00395
OG0000200	DR084_RS01295	FEF31_RS00410
OG0000201	DR084_RS01305	FEF31_RS00420
OG0000202	DR084_RS01360	FEF31_RS00475
OG0000203	DR084_RS01365	FEF31_RS00480
OG0000204	DR084_RS01370	FEF31_RS00485
OG0000205	DR084_RS01375	FEF31_RS00490
OG0000206	DR084_RS01395	FEF31_RS00510
OG0000207	DR084_RS01410	FEF31_RS00525
OG0000208	DR084_RS01415	FEF31_RS00530
OG0000209	DR084_RS01420	FEF31_RS00535
OG0000210	DR084_RS01465	FEF31_RS00580
OG0000211	DR084_RS01475	FEF31_RS00590
OG0000212	DR084_RS01485	FEF31_RS00600
OG0000213	DR084_RS01490	FEF31_RS00605
OG0000214	DR084_RS01495	FEF31_RS00610
OG0000215	DR084_RS01500	FEF31_RS00615
OG0000216	DR084_RS01505	FEF31_RS00620
OG0000217	DR084_RS01510	FEF31_RS00625
OG0000218	DR084_RS01520	FEF31_RS00635
OG0000219	DR084_RS01525	FEF31_RS00640
OG0000220	DR084_RS01530	FEF31_RS00645
OG0000221	DR084_RS01535	FEF31_RS00650
OG0000222	DR084_RS01540	FEF31_RS00655
OG0000223	DR084_RS01545	FEF31_RS00660
OG0000224	DR084_RS01555	FEF31_RS00670
OG0000225	DR084_RS01565	FEF31_RS00680
OG0000226	DR084_RS01570	FEF31_RS00685
OG0000227	DR084_RS01575	FEF31_RS00690
OG0000228	DR084_RS03705	FEF31_RS04770
OG0000229	DR084_RS01585	FEF31_RS00700
OG0000230	DR084_RS01590	FEF31_RS00705
OG0000231	DR084_RS01600	FEF31_RS00715
OG0000232	DR084_RS01610	FEF31_RS00725
OG0000233	DR084_RS01620	FEF31_RS00750
OG0000234	DR084_RS01650	FEF31_RS00785
OG0000235	DR084_RS01660	FEF31_RS00795
OG0000236	DR084_RS01665	FEF31_RS00800
OG0000237	DR084_RS01680	FEF31_RS00805
OG0000238	DR084_RS01685	FEF31_RS00810
OG0000239	DR084_RS01715	FEF31_RS02680
OG0000240	DR084_RS01720	FEF31_RS02685
OG0000241	DR084_RS01730	FEF31_RS02695
OG0000242	DR084_RS01735	FEF31_RS02700
OG0000243	DR084_RS01740	FEF31_RS02705
OG0000244	DR084_RS01750	FEF31_RS02715
OG0000245	DR084_RS01760	FEF31_RS02720
OG0000246	DR084_RS02385	FEF31_RS03410
OG0000247	DR084_RS02395	FEF31_RS03420
OG0000248	DR084_RS02420	FEF31_RS03430
OG0000249	DR084_RS02425	FEF31_RS03435
OG0000250	DR084_RS00015	FEF31_RS03450
OG0000251	DR084_RS00045	FEF31_RS03480
OG0000252	DR084_RS00055	FEF31_RS03490
OG0000253	DR084_RS00060	FEF31_RS03495
OG0000254	DR084_RS00070	FEF31_RS03505
OG0000255	DR084_RS00075	FEF31_RS03510
OG0000256	DR084_RS00080	FEF31_RS03515
OG0000257	DR084_RS00105	FEF31_RS03540
OG0000258	DR084_RS00115	FEF31_RS03550
OG0000259	DR084_RS00145	FEF31_RS03580
OG0000260	DR084_RS00155	FEF31_RS03590
OG0000261	DR084_RS03450	FEF31_RS04680
OG0000262	DR084_RS00180	FEF31_RS00010
OG0000263	DR084_RS00195	FEF31_RS00025
OG0000264	DR084_RS00210	FEF31_RS00040
OG0000265	DR084_RS00220	FEF31_RS00050
OG0000266	DR084_RS00235	FEF31_RS00065
OG0000267	DR084_RS00250	FEF31_RS00080
OG0000268	DR084_RS00255	FEF31_RS00085
OG0000269	DR084_RS00270	FEF31_RS00100
OG0000270	DR084_RS03610	FEF31_RS04635
OG0000271	DR084_RS02445	FEF31_RS03160
OG0000272	DR084_RS02440	FEF31_RS03155
OG0000273	DR084_RS02435	FEF31_RS03150
OG0000274	DR084_RS02555	FEF31_RS03130
OG0000275	DR084_RS03630	FEF31_RS04625
OG0000276	DR084_RS02565	FEF31_RS03120
OG0000277	DR084_RS03635	FEF31_RS03110
OG0000278	DR084_RS02580	FEF31_RS03105
OG0000279	DR084_RS02590	FEF31_RS03095
OG0000280	DR084_RS02595	FEF31_RS03090
OG0000281	DR084_RS02600	FEF31_RS03085
OG0000282	DR084_RS02625	FEF31_RS04615
OG0000283	DR084_RS02630	FEF31_RS03055
OG0000284	DR084_RS02635	FEF31_RS03050
OG0000285	DR084_RS03650	FEF31_RS04610
OG0000286	DR084_RS00900	FEF31_RS02155
OG0000287	DR084_RS00875	FEF31_RS02260
OG0000288	DR084_RS00865	FEF31_RS02270
OG0000289	DR084_RS00860	FEF31_RS02275
OG0000290	DR084_RS00750	FEF31_RS02385
OG0000291	DR084_RS00760	FEF31_RS02375
OG0000292	DR084_RS00765	FEF31_RS02370
OG0000293	DR084_RS00770	FEF31_RS02365
OG0000294	DR084_RS00780	FEF31_RS02355
OG0000295	DR084_RS00785	FEF31_RS02350
OG0000296	DR084_RS00825	FEF31_RS02310
OG0000297	DR084_RS00830	FEF31_RS02305
OG0000298	DR084_RS00010	FEF31_RS03445
OG0000299	DR084_RS00030	FEF31_RS03465
OG0000300	DR084_RS00205	FEF31_RS00035
OG0000301	DR084_RS00240	FEF31_RS00070
OG0000302	DR084_RS00245	FEF31_RS00075
OG0000303	DR084_RS00380	FEF31_RS00220
OG0000304	DR084_RS00415	FEF31_RS00730
OG0000305	DR084_RS00545	FEF31_RS02620
OG0000306	DR084_RS00625	FEF31_RS02545
OG0000307	DR084_RS00660	FEF31_RS02510
OG0000308	DR084_RS00740	FEF31_RS02405
OG0000309	DR084_RS00795	FEF31_RS02340
OG0000310	DR084_RS00870	FEF31_RS02265
OG0000311	DR084_RS00925	FEF31_RS02215
