Orthogroup	MFC_MF30_genes	MFC_MF22_genes
OG0000000	DR084_RS02900	DR094_RS03000
OG0000000	DR084_RS02925	DR094_RS00005
OG0000000	DR084_RS02935	DR094_RS02980, DR094_RS03840, DR094_RS02820, DR094_RS03835, DR094_RS02970, DR094_RS03035
OG0000000	DR084_RS02480	DR094_RS01215
OG0000001	DR084_RS03095	DR094_RS00325, DR094_RS00330
OG0000002	DR084_RS01115	DR094_RS02955
OG0000002	DR084_RS03505	DR094_RS02550
OG0000002	DR084_RS02910	DR094_RS02975, DR094_RS02030
OG0000002	DR084_RS03620	DR094_RS03610
OG0000004	DR084_RS02890	DR094_RS01820
OG0000011	DR084_RS03145	DR094_RS03520
OG0000011	DR084_RS01055	DR094_RS02895
OG0000013	DR084_RS00890	DR094_RS00075
OG0000013	DR084_RS00885	DR094_RS00080
OG0000013	DR084_RS02985	DR094_RS03050
OG0000014	DR084_RS03465	DR094_RS03555
OG0000016	DR084_RS00585	DR094_RS00380
OG0000016	DR084_RS00005, DR084_RS03605	DR094_RS00960
OG0000017	DR084_RS02415	DR094_RS00975
OG0000017	DR084_RS00575	DR094_RS00390
OG0000018	DR084_RS03555	DR094_RS03735
OG0000019	DR084_RS03440	DR094_RS03350
OG0000020	DR084_RS02530	DR094_RS03595
OG0000022	DR084_RS03625	DR094_RS03605
OG0000023	DR084_RS01910	DR094_RS02170
OG0000024	DR084_RS00640	DR094_RS00320
OG0000025	DR084_RS02490	DR094_RS01205
OG0000026	DR084_RS01955	DR094_RS02215
OG0000027	DR084_RS03655	DR094_RS03650
OG0000028	DR084_RS00905, DR084_RS00910	DR094_RS00060
OG0000029	DR084_RS00420	DR094_RS00545
OG0000030	DR084_RS03660	DR094_RS03655
OG0000031	DR084_RS01000	DR094_RS02590
OG0000033	DR084_RS00915	DR094_RS00055
OG0000039	DR084_RS00480	DR094_RS00485
OG0000040	DR084_RS02240	DR094_RS02025
OG0000040	DR084_RS00690	DR094_RS00270
OG0000042	DR084_RS00475	DR094_RS00490
OG0000042	DR084_RS00620	DR094_RS00345
OG0000043	DR084_RS01025	DR094_RS02615
OG0000045	DR084_RS00485	DR094_RS03140, DR094_RS03135
OG0000048	DR084_RS02740	DR094_RS02695
OG0000049	DR084_RS02050	DR094_RS03355
OG0000050	DR084_RS00965	DR094_RS03765
OG0000051	DR084_RS01670	DR094_RS01715
OG0000052	DR084_RS02375	DR094_RS01015
OG0000053	DR084_RS03670	DR094_RS03805
OG0000054	DR084_RS00940	DR094_RS00030
OG0000055	DR084_RS03600	DR094_RS03580
OG0000055	DR084_RS03710	DR094_RS03850
OG0000056	DR084_RS02515	DR094_RS01180
OG0000057	DR084_RS00500	DR094_RS00465
OG0000062	DR084_RS02265	DR094_RS01125
OG0000063	DR084_RS03590	DR094_RS03590
OG0000064	DR084_RS02250	DR094_RS01140
OG0000065	DR084_RS01815	DR094_RS02075
OG0000066	DR084_RS01945	DR094_RS02205
OG0000067	DR084_RS00345	DR094_RS00620
OG0000068	DR084_RS00455	DR094_RS00510
OG0000069	DR084_RS00610	DR094_RS00355
OG0000070	DR084_RS00920	DR094_RS00050
OG0000071	DR084_RS02230	DR094_RS02015
OG0000072	DR084_RS03585	DR094_RS03725
OG0000073	DR084_RS01245	DR094_RS02425
OG0000074	DR084_RS03540	DR094_RS03685
OG0000075	DR084_RS00175	DR094_RS00790
OG0000076	DR084_RS00190	DR094_RS00775
OG0000077	DR084_RS00275	DR094_RS00690
OG0000078	DR084_RS00725	DR094_RS00235
OG0000079	DR084_RS00835	DR094_RS00130
OG0000080	DR084_RS03130	DR094_RS03080
OG0000081	DR084_RS00170	DR094_RS00795
OG0000082	DR084_RS00895	DR094_RS00070
OG0000083	DR084_RS02845	DR094_RS02715
OG0000084	DR084_RS02690	DR094_RS02645
OG0000085	DR084_RS02695	DR094_RS02650
OG0000086	DR084_RS03665	DR094_RS03780
OG0000087	DR084_RS02720	DR094_RS02675
OG0000088	DR084_RS02725	DR094_RS02680
OG0000089	DR084_RS02735	DR094_RS02690
OG0000090	DR084_RS02370	DR094_RS01020
OG0000091	DR084_RS02355	DR094_RS01035
OG0000092	DR084_RS02340	DR094_RS01050
OG0000093	DR084_RS02335	DR094_RS01055
OG0000094	DR084_RS02330	DR094_RS01060
OG0000095	DR084_RS02305	DR094_RS01085
OG0000096	DR084_RS02300	DR094_RS01090
OG0000097	DR084_RS02280	DR094_RS01110
OG0000098	DR084_RS02270	DR094_RS01120
OG0000099	DR084_RS02520	DR094_RS01175
OG0000100	DR084_RS02510	DR094_RS01185
OG0000101	DR084_RS02505	DR094_RS01190
OG0000102	DR084_RS02495	DR094_RS01200
OG0000103	DR084_RS01780	DR094_RS02040
OG0000104	DR084_RS01785	DR094_RS02045
OG0000105	DR084_RS01800	DR094_RS02060
OG0000106	DR084_RS01810	DR094_RS02070
OG0000107	DR084_RS01820	DR094_RS02080
OG0000108	DR084_RS01825	DR094_RS02085
OG0000109	DR084_RS01830	DR094_RS02090
OG0000110	DR084_RS01835	DR094_RS02095
OG0000111	DR084_RS01840	DR094_RS02100
OG0000112	DR084_RS01850	DR094_RS02110
OG0000113	DR084_RS03550	DR094_RS03730
OG0000114	DR084_RS01875	DR094_RS02135
OG0000115	DR084_RS01885	DR094_RS02145
OG0000116	DR084_RS01895	DR094_RS02155
OG0000117	DR084_RS01900	DR094_RS02160
OG0000118	DR084_RS01930	DR094_RS02190
OG0000119	DR084_RS01935	DR094_RS02195
OG0000120	DR084_RS01950	DR094_RS02210
OG0000121	DR084_RS01975	DR094_RS02235
OG0000122	DR084_RS01980	DR094_RS02240
OG0000123	DR084_RS02000	DR094_RS02260
OG0000124	DR084_RS02005	DR094_RS02265
OG0000125	DR084_RS02010	DR094_RS02270
OG0000126	DR084_RS02020	DR094_RS02280
OG0000127	DR084_RS02030	DR094_RS02290
OG0000128	DR084_RS02760	DR094_RS02750
OG0000129	DR084_RS02765	DR094_RS02755
OG0000130	DR084_RS02775	DR094_RS02765
OG0000131	DR084_RS02805	DR094_RS02795
OG0000132	DR084_RS03675	DR094_RS03810
OG0000133	DR084_RS00350	DR094_RS00615
OG0000134	DR084_RS03455	DR094_RS03565
OG0000135	DR084_RS00370	DR094_RS00595
OG0000136	DR084_RS00375	DR094_RS00590
OG0000137	DR084_RS00405	DR094_RS00560
OG0000138	DR084_RS00430	DR094_RS00535
OG0000139	DR084_RS00460	DR094_RS00505
OG0000140	DR084_RS00465	DR094_RS00500
OG0000141	DR084_RS00490	DR094_RS00475
OG0000142	DR084_RS03470	DR094_RS03550
OG0000143	DR084_RS00520	DR094_RS00445
OG0000144	DR084_RS00530	DR094_RS00435
OG0000145	DR084_RS00540	DR094_RS00425
OG0000146	DR084_RS00550	DR094_RS00415
OG0000147	DR084_RS00555	DR094_RS00410
OG0000148	DR084_RS00570	DR094_RS00395
OG0000149	DR084_RS00580	DR094_RS00385
OG0000150	DR084_RS00595	DR094_RS00370
OG0000151	DR084_RS00645	DR094_RS00315
OG0000152	DR084_RS00650	DR094_RS00310
OG0000153	DR084_RS00655	DR094_RS00305
OG0000154	DR084_RS00665	DR094_RS00295
OG0000155	DR084_RS00685	DR094_RS00275
OG0000156	DR084_RS00700	DR094_RS00260
OG0000157	DR084_RS03475	DR094_RS03545
OG0000158	DR084_RS03480	DR094_RS03540
OG0000159	DR084_RS00950	DR094_RS00020
