Orthogroup	MHP_LH_protein	MHP_ES2_protein
OG0000000	WP_233688756.1	WP_135618832.1
OG0000000	WP_233688434.1	WP_014579826.1
OG0000000	WP_233688757.1	WP_135618836.1
OG0000001	WP_233688628.1	WP_135618807.1
OG0000001	WP_233688427.1	WP_237697199.1, WP_240536309.1, WP_240536310.1, WP_135618606.1
OG0000001	WP_233688742.1	WP_135618795.1
OG0000002	WP_233688607.1	WP_240536360.1
OG0000002	WP_233688454.1	WP_240536333.1
OG0000003	WP_233688428.1	WP_240536311.1
OG0000003	WP_233688440.1	WP_318026010.1
OG0000003	WP_094521686.1	WP_094521686.1
OG0000004	WP_233688439.1	WP_240536339.1, WP_240536315.1
OG0000004	WP_233688470.1	WP_240536338.1
OG0000005	WP_318035154.1	WP_135618898.1
OG0000006	WP_233688640.1	WP_135618557.1
OG0000006	WP_233688670.1	WP_135618629.1
OG0000007	WP_233688768.1	WP_240536413.1
OG0000008	WP_233688544.1	WP_135619092.1
OG0000008	WP_233688542.1	WP_014579982.1
OG0000009	WP_233688461.1	WP_135618930.1
OG0000010	WP_233688495.1	WP_240536341.1
OG0000010	WP_233688699.1	WP_237697234.1
OG0000011	WP_233688517.1	WP_135619049.1
OG0000011	WP_233688523.1, WP_233688519.1	WP_135619053.1
OG0000012	WP_135618763.1	WP_135618763.1
OG0000013	WP_233688468.1	WP_135618942.1
OG0000014	WP_179696094.1	WP_193325079.1
OG0000015	WP_233688763.1	WP_240536407.1
OG0000016	WP_233688460.1	WP_240536336.1
OG0000016	WP_233688456.1	WP_240536334.1
OG0000017	WP_233688543.1	WP_135619090.1
OG0000017	WP_233688541.1	WP_135619082.1, WP_135619086.1
OG0000018	WP_233688512.1	WP_135619032.1
OG0000019	WP_233688597.1	WP_135618454.1
OG0000019	WP_233688600.1	WP_135618458.1
OG0000021	WP_233688684.1	WP_240536320.1, WP_135618756.1
OG0000022	WP_233688453.1	WP_240536332.1
OG0000023	WP_233688550.1	WP_135619110.1
OG0000024	WP_179221024.1	WP_135618567.1
OG0000025	WP_020835667.1	WP_135618740.1
OG0000026	WP_233688465.1	WP_135618938.1
OG0000027	WP_233688518.1, WP_233688520.1, WP_233688522.1	WP_240536350.1
OG0000027	WP_233688516.1	WP_240536349.1
OG0000028	WP_014579781.1	WP_135618797.1
OG0000029	WP_011290139.1	WP_135618739.1
OG0000030	WP_233688485.1	WP_135618969.1
OG0000031	WP_135618462.1	WP_135618462.1
OG0000032	WP_233688741.1	WP_135618793.1
OG0000033	WP_011206179.1	WP_081430780.1
OG0000034	WP_044272538.1	WP_135618940.1
OG0000035	WP_233688734.1	WP_135618771.1
OG0000036	WP_233688467.1	WP_014579882.1
OG0000037	WP_179695831.1	WP_135618751.1
OG0000039	WP_011206214.1	WP_240536308.1
OG0000040	WP_233688415.1	WP_011206223.1
OG0000042	WP_233688575.1	WP_135619164.1
OG0000043	WP_233688571.1	WP_135619158.1
OG0000044	WP_233688740.1	WP_135618787.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_044272567.1	WP_135619004.1
OG0000049	WP_011206373.1	WP_135619002.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_233688464.1	WP_135618936.1
OG0000053	WP_094521497.1	WP_002557698.1
OG0000054	WP_233688526.1	WP_011206420.1
OG0000055	WP_233688530.1	WP_135619064.1
OG0000056	WP_233688548.1	WP_135619103.1
OG0000057	WP_233688645.1	WP_011206089.1
OG0000058	WP_233688659.1	WP_135618593.1
OG0000059	WP_233688661.1	WP_044284596.1
OG0000060	WP_011206046.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_233688675.1	WP_135618633.1
OG0000063	WP_014579535.1	WP_052259122.1
OG0000064	WP_233688604.1	WP_135618470.1
OG0000065	WP_014579568.1	WP_135618517.1
OG0000066	WP_233688625.1	WP_135618533.1
OG0000067	WP_011206493.1	WP_135619144.1
OG0000068	WP_233688558.1	WP_240536355.1
OG0000069	WP_020835790.1	WP_135618944.1
OG0000070	WP_233688475.1	WP_135618951.1
OG0000071	WP_233688499.1	WP_135618998.1
OG0000072	WP_233688554.1	WP_135619124.1
OG0000073	WP_233688480.1	WP_179695988.1
OG0000074	WP_233688511.1	WP_240536348.1
OG0000075	WP_233688698.1	WP_135618668.1
OG0000076	WP_233688649.1	WP_240536363.1
OG0000077	WP_233688621.1	WP_135618515.1
OG0000078	WP_233688556.1	WP_240536354.1
OG0000079	WP_233688409.1	WP_220200502.1
OG0000080	WP_233688410.1	WP_135618852.1
OG0000081	WP_011206216.1	WP_011206216.1
OG0000082	WP_233688412.1	WP_135618854.1
OG0000083	WP_233688414.1	WP_135618856.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206224.1	WP_135618858.1
OG0000086	WP_233688416.1	WP_135618860.1
OG0000087	WP_233688417.1	WP_220190703.1
OG0000088	WP_011206228.1	WP_044272477.1
OG0000089	WP_044272480.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_011283836.1	WP_135618448.1
OG0000092	WP_233688592.1	WP_044278048.1
OG0000093	WP_233688591.1	WP_135618446.1
OG0000094	WP_233688590.1	WP_011205850.1
OG0000095	WP_233688589.1	WP_011205849.1
OG0000096	WP_160588116.1	WP_011205848.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_011205846.1
OG0000099	WP_233688588.1	WP_014579519.1
OG0000100	WP_233688586.1	WP_135618442.1
OG0000101	WP_233688585.1	WP_135618439.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_233688584.1	WP_135619174.1
OG0000105	WP_233688583.1	WP_135619172.1
OG0000106	WP_233688582.1	WP_014580047.1
OG0000107	WP_233688581.1	WP_135619170.1
OG0000108	WP_094521530.1	WP_011206522.1
OG0000109	WP_233688580.1	WP_135619169.1
OG0000110	WP_233688579.1	WP_135619167.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_233688736.1	WP_135619192.1
OG0000113	WP_233688737.1	WP_135618779.1
OG0000114	WP_233688738.1	WP_135618781.1
OG0000115	WP_233688430.1	WP_135618876.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_135618878.1
OG0000118	WP_135618882.1	WP_135618882.1
OG0000119	WP_233688432.1	WP_011206243.1
OG0000120	WP_135618884.1	WP_135618884.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_011206247.1
OG0000123	WP_233688451.1	WP_135618926.1
OG0000124	WP_233688450.1	WP_240536331.1
OG0000125	WP_233688449.1	WP_011206273.1
OG0000126	WP_233688448.1	WP_240536330.1
OG0000127	WP_233688447.1	WP_135618921.1
OG0000128	WP_233688444.1	WP_011206268.1
OG0000129	WP_233688443.1	WP_225972979.1
OG0000130	WP_011206264.1	WP_011206264.1
OG0000131	WP_233688701.1	WP_135618672.1
OG0000132	WP_233688702.1	WP_135618674.1
OG0000133	WP_233688703.1	WP_135618676.1
OG0000134	WP_233688704.1	WP_135618678.1
OG0000135	WP_233688705.1	WP_135618680.1
OG0000136	WP_233688707.1	WP_228729171.1
OG0000137	WP_179696055.1	WP_135618686.1
OG0000138	WP_011205966.1	WP_011205966.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_160600844.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_011205958.1	WP_135618690.1
OG0000144	WP_011205956.1	WP_020835645.1
OG0000145	WP_233688711.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_011205950.1
OG0000149	WP_233688712.1	WP_135618699.1
OG0000150	WP_011284040.1	WP_135618701.1
OG0000151	WP_233688713.1	WP_135618705.1
OG0000152	WP_233688714.1	WP_135618707.1
OG0000153	WP_014579732.1	WP_020835651.1
OG0000154	WP_233688715.1	WP_135618709.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_233688716.1	WP_135618710.1
OG0000157	WP_233688717.1	WP_014579735.1
OG0000158	WP_233688719.1	WP_135618714.1
OG0000159	WP_334301384.1	WP_014579586.1
OG0000160	WP_233688634.1	WP_135618544.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_233688635.1	WP_233688635.1
OG0000163	WP_011206121.1	WP_011206121.1
