Orthogroup	MHP_LH_protein	MHP_F72C_protein
OG0000000	WP_233688434.1	WP_146379632.1
OG0000000	WP_233688757.1	WP_146379608.1
OG0000001	WP_233688427.1	WP_225973025.1, WP_225973018.1, WP_225973026.1, WP_225973019.1
OG0000002	WP_233688607.1	WP_225973006.1
OG0000002	WP_233688454.1	WP_225972984.1
OG0000003	WP_233688440.1	WP_225972977.1
OG0000003	WP_094521686.1	WP_225973037.1
OG0000004	WP_233688439.1	WP_011290229.1
OG0000004	WP_233688470.1	WP_225972989.1
OG0000005	WP_318035154.1	WP_225973050.1
OG0000006	WP_233688670.1	WP_146379526.1
OG0000007	WP_233688767.1	WP_225973043.1
OG0000007	WP_233688768.1	WP_146379517.1
OG0000008	WP_233688544.1	WP_020835887.1
OG0000008	WP_233688542.1	WP_020835883.1
OG0000009	WP_233688461.1	WP_146379651.1
OG0000010	WP_233688495.1	WP_225972991.1
OG0000011	WP_233688517.1	WP_146379709.1, WP_146379712.1
OG0000011	WP_233688519.1	WP_146379710.1
OG0000012	WP_135618763.1	WP_146379573.1
OG0000013	WP_233688469.1	WP_225972988.1
OG0000014	WP_179696094.1	WP_225973029.1
OG0000015	WP_233688762.1	WP_240536496.1
OG0000016	WP_233688460.1	WP_225972986.1
OG0000016	WP_233688456.1	WP_225972985.1
OG0000017	WP_233688543.1	WP_146379730.1
OG0000017	WP_233688541.1	WP_146379728.1
OG0000018	WP_233688512.1	WP_146379699.1
OG0000019	WP_233688597.1	WP_146379451.1
OG0000019	WP_233688600.1	WP_146379453.1
OG0000020	WP_233688671.1	WP_146379492.1
OG0000022	WP_233688453.1	WP_225972983.1
OG0000023	WP_233688550.1	WP_146379737.1
OG0000024	WP_179221024.1	WP_146379497.1
OG0000025	WP_020835667.1	WP_225973032.1
OG0000026	WP_233688465.1	WP_146379653.1
OG0000027	WP_233688518.1	WP_225972999.1
OG0000027	WP_233688520.1	WP_225973000.1
OG0000027	WP_233688516.1	WP_225972998.1
OG0000029	WP_011290139.1	WP_146379572.1
OG0000030	WP_233688485.1	WP_146379673.1
OG0000031	WP_135618462.1	WP_146379455.1
OG0000032	WP_233688627.1, WP_233688741.1	WP_146379481.1
OG0000033	WP_011206179.1	WP_225973034.1
OG0000034	WP_044272538.1	WP_146379656.1
OG0000035	WP_233688734.1	WP_146379578.1
OG0000036	WP_233688467.1	WP_041361671.1
OG0000039	WP_011206214.1	WP_146379601.1
OG0000040	WP_233688415.1	WP_146379595.1
OG0000041	WP_233688578.1	WP_192894283.1
OG0000042	WP_233688575.1	WP_146379765.1
OG0000043	WP_233688571.1	WP_146379762.1
OG0000044	WP_233688740.1	WP_146379583.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_044272567.1	WP_146379688.1
OG0000049	WP_011206373.1	WP_011206373.1
OG0000050	WP_011206292.1	WP_146379657.1
OG0000051	WP_135619210.1	WP_044272532.1
OG0000052	WP_233688464.1	WP_044272529.1
OG0000053	WP_094521497.1	WP_094521497.1
OG0000054	WP_233688526.1	WP_146379716.1
OG0000055	WP_233688530.1	WP_146379721.1
OG0000056	WP_233688548.1	WP_146379735.1
OG0000057	WP_233688645.1	WP_011290028.1
OG0000058	WP_233688659.1	WP_146379512.1
OG0000059	WP_233688661.1	WP_044284596.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_233688675.1	WP_146379532.1
OG0000063	WP_014579535.1	WP_146379774.1
OG0000064	WP_233688604.1	WP_146379458.1
OG0000065	WP_014579568.1	WP_146379474.1
OG0000066	WP_233688625.1	WP_146379479.1
OG0000067	WP_011206493.1	WP_146379752.1
OG0000068	WP_233688558.1	WP_146379748.1
OG0000069	WP_020835790.1	WP_146379658.1
OG0000070	WP_233688475.1	WP_146379663.1
OG0000071	WP_233688499.1	WP_146379686.1
OG0000072	WP_233688554.1	WP_146379745.1
OG0000073	WP_233688480.1	WP_192894279.1
OG0000074	WP_233688511.1	WP_146379697.1
OG0000075	WP_233688698.1	WP_146379547.1
OG0000076	WP_233688649.1	WP_192894285.1
OG0000077	WP_233688621.1	WP_225973010.1
OG0000079	WP_233688409.1	WP_225973041.1
OG0000080	WP_233688410.1	WP_146379600.1
OG0000081	WP_011206216.1	WP_146379599.1
OG0000082	WP_233688412.1	WP_146379598.1
OG0000083	WP_233688414.1	WP_146379596.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_146379594.1
OG0000086	WP_233688416.1	WP_146379593.1
OG0000087	WP_233688417.1	WP_225973040.1
OG0000088	WP_011206228.1	WP_020835732.1
OG0000089	WP_044272480.1	WP_146379590.1
OG0000090	WP_011206231.1	WP_011290212.1
OG0000091	WP_011283836.1	WP_146379447.1
OG0000092	WP_233688592.1	WP_094521535.1
OG0000093	WP_233688591.1	WP_011289935.1
OG0000094	WP_233688590.1	WP_020835487.1
OG0000095	WP_233688589.1	WP_011205849.1
OG0000096	WP_160588116.1	WP_146379445.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_020835484.1
OG0000099	WP_233688588.1	WP_014579519.1
OG0000100	WP_233688586.1	WP_146379443.1
OG0000101	WP_233688585.1	WP_146379442.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_233688584.1	WP_146379772.1
OG0000105	WP_233688583.1	WP_146379771.1
OG0000106	WP_233688582.1	WP_146379770.1
OG0000107	WP_233688581.1	WP_146379769.1
OG0000108	WP_094521530.1	WP_011290443.1
OG0000109	WP_233688580.1	WP_146379768.1
OG0000110	WP_233688579.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_233688736.1	WP_225973035.1
OG0000113	WP_233688737.1	WP_146379580.1
OG0000114	WP_233688738.1	WP_146379581.1
OG0000115	WP_233688430.1	WP_146379627.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_146379628.1
OG0000118	WP_135618882.1	WP_146379630.1
OG0000119	WP_233688432.1	WP_014579831.1
OG0000120	WP_135618884.1	WP_146379631.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_192894278.1
OG0000123	WP_233688451.1	WP_146379648.1
OG0000124	WP_233688450.1	WP_225972982.1
OG0000125	WP_233688449.1	WP_146379646.1
OG0000126	WP_233688448.1	WP_225972981.1
OG0000127	WP_233688447.1	WP_146379644.1
OG0000128	WP_233688444.1	WP_146379641.1
OG0000129	WP_233688443.1	WP_225972979.1
OG0000130	WP_011206264.1	WP_011290245.1
OG0000131	WP_233688701.1	WP_146379548.1
OG0000132	WP_233688702.1	WP_146379549.1
OG0000133	WP_233688703.1	WP_146379550.1
OG0000134	WP_233688704.1	WP_146379552.1
OG0000135	WP_233688705.1	WP_146379553.1
OG0000136	WP_233688707.1	WP_011290108.1
OG0000137	WP_179696055.1	WP_135618686.1
OG0000138	WP_011205966.1	WP_020835639.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_160600844.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_192894288.1
OG0000142	WP_011284032.1	WP_146379557.1
OG0000143	WP_011205958.1	WP_020835643.1
OG0000144	WP_011205956.1	WP_020835645.1
OG0000145	WP_233688711.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011205953.1
