Orthogroup	MHP_ES2L_proteins	MHP_MHP650_proteins
OG0000000	WP_218833876.1	WP_308704770.1, WP_160601261.1, WP_160601285.1, WP_160601277.1, WP_308704771.1
OG0000000	WP_318036674.1	WP_308704769.1
OG0000000	WP_240536594.1	WP_258556712.1
OG0000001	WP_240536639.1	WP_258556637.1
OG0000001	WP_240536609.1	WP_258556624.1
OG0000001	WP_240536607.1	WP_011206342.1
OG0000002	WP_218833877.1	WP_258556677.1
OG0000002	WP_179221136.1	WP_160601263.1
OG0000002	WP_179221108.1	WP_160601022.1
OG0000003	WP_240536589.1	WP_237697199.1
OG0000003	WP_240536655.1	WP_220200875.1
OG0000004	WP_179221234.1	WP_160601249.1
OG0000004	WP_240536611.1	WP_160600949.1
OG0000005	WP_146379449.1	WP_160601191.1
OG0000005	WP_179220982.1	WP_160590473.1
OG0000005	WP_179220983.1, WP_011289946.1	WP_160601189.1
OG0000006	WP_233688469.1	WP_228366101.1
OG0000006	WP_240536595.1	WP_233688441.1
OG0000006	WP_240536597.1	WP_160601229.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_011206260.1	WP_011206260.1
OG0000008	WP_225972989.1	WP_258556714.1
OG0000009	WP_179221024.1	WP_094521581.1
OG0000010	WP_179221114.1	WP_160601055.1
OG0000010	WP_240536640.1	WP_308704767.1
OG0000011	WP_179221118.1	WP_160600906.1
OG0000012	WP_146379492.1	WP_160601281.1
OG0000013	WP_240536602.1	WP_371863325.1
OG0000013	WP_240536631.1	WP_371863321.1
OG0000014	WP_179221016.1	WP_220200910.1
OG0000014	WP_179221018.1	WP_160601233.1
OG0000015	WP_240536643.1, WP_179221216.1	WP_160601171.1
OG0000016	WP_179221190.1	WP_160600777.1
OG0000016	WP_179220988.1	WP_160600653.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_179221210.1	WP_160601158.1
OG0000020	WP_240536625.1	WP_308704754.1
OG0000020	WP_179221274.1	WP_308704755.1
OG0000021	WP_094521655.1	WP_094521655.1, WP_220200881.1
OG0000022	WP_179221100.1	WP_160601006.1
OG0000022	WP_179221107.1	WP_160601018.1
OG0000023	WP_179221212.1	WP_160601161.1
OG0000024	WP_179221186.1	WP_258556699.1
OG0000024	WP_011205981.1	WP_160600862.1
OG0000025	WP_179221101.1	WP_160601008.1
OG0000025	WP_179221106.1	WP_160601016.1
OG0000026	WP_179221074.1	WP_044284614.1
OG0000026	WP_179221105.1	WP_160585054.1
OG0000027	WP_011206475.1	WP_011206475.1
OG0000027	WP_179221251.1	WP_160601209.1
OG0000028	WP_179221152.1	WP_160600719.1
OG0000029	WP_179221049.1	WP_160601095.1
OG0000029	WP_179221019.1	WP_160601231.1
OG0000030	WP_179221248.1	WP_308704764.1
OG0000030	WP_179221250.1	WP_160590224.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_011206356.1	WP_088172525.1
OG0000032	WP_179221091.1	WP_160601271.1
OG0000032	WP_240536621.1	WP_308704765.1
OG0000034	WP_233688423.1	WP_233688423.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_179221231.1	WP_160601253.1
OG0000036	WP_240536627.1, WP_240536628.1, WP_240536629.1	WP_014579530.1
OG0000037	WP_179221292.1	WP_308704768.1
OG0000039	WP_179221095.1	WP_160601257.1
OG0000040	WP_179221240.1	WP_160601121.1
OG0000041	WP_228366127.1	WP_220200864.1
OG0000042	WP_179221198.1	WP_160600794.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_240536645.1	WP_160590485.1
OG0000047	WP_240536618.1	WP_258556683.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_179221202.1	WP_160600923.1
OG0000050	WP_179221157.1	WP_160600723.1
OG0000051	WP_179221174.1	WP_160601045.1
OG0000052	WP_179220981.1	WP_011283836.1
OG0000053	WP_179221080.1	WP_160600836.1
OG0000054	WP_011206291.1	WP_160600727.1
OG0000055	WP_135618462.1	WP_014579531.1
OG0000057	WP_240536610.1	WP_258556625.1, WP_258556626.1
OG0000058	WP_179221205.1	WP_160601091.1
OG0000058	WP_240536615.1	WP_160601093.1
OG0000060	WP_220191083.1	WP_220200887.1
OG0000061	WP_135618818.1	WP_160587888.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_179221276.1	WP_041361715.1
OG0000064	WP_179221275.1	WP_011290440.1
OG0000065	WP_179221139.1	WP_243216185.1
OG0000066	WP_011205965.1	WP_160600846.1
OG0000067	WP_179221011.1	WP_160601069.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_179221239.1	WP_160601125.1
OG0000072	WP_240536620.1	WP_160601123.1
OG0000073	WP_011206093.1	WP_011290025.1
OG0000074	WP_179221041.1	WP_011206057.1
OG0000075	WP_179221001.1	WP_014579568.1
OG0000076	WP_179221002.1	WP_160600693.1
OG0000077	WP_179221006.1	WP_160601219.1
OG0000078	WP_179221103.1	WP_160601010.1
