#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRJ01000005.1:24271-26010|- -            580 539at2085            -            541    3e-245  810.3  13.6   1   1  1.9e-247  3.4e-245  810.1  13.6     1   541     8   574     8   574 0.97 NZ_QQRJ01000005.1_23 # 24271 # 26010 # -1 # ID=54_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_QQRJ01000004.1:42649-44016|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   1   3      0.16        28   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_QQRJ01000004.1_33 # 42649 # 44016 # -1 # ID=43_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRJ01000004.1:42649-44016|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_QQRJ01000004.1_33 # 42649 # 44016 # -1 # ID=43_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRJ01000004.1:42649-44016|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 NZ_QQRJ01000004.1_33 # 42649 # 44016 # -1 # ID=43_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRJ01000002.1:81800-83239|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   1   3     0.014       2.4    2.0   0.0   186   317    43   184    34   196 0.65 NZ_QQRJ01000002.1_65 # 81800 # 83239 # -1 # ID=21_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRJ01000002.1:81800-83239|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   2   3   1.6e-09   2.7e-07   24.9   2.3   408   525   237   366   226   382 0.78 NZ_QQRJ01000002.1_65 # 81800 # 83239 # -1 # ID=21_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRJ01000002.1:81800-83239|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   3   3      0.12        21   -1.1   0.1    29   128   366   470   360   473 0.52 NZ_QQRJ01000002.1_65 # 81800 # 83239 # -1 # ID=21_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRJ01000014.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        29   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_QQRJ01000014.1_7 # 11402 # 12643 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_QQRJ01000014.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0036   11.3   0.0   153   362   133   347   128   353 0.80 NZ_QQRJ01000014.1_7 # 11402 # 12643 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_QQRJ01000014.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.4    2.0   0.0   411   458   361   406   354   409 0.76 NZ_QQRJ01000014.1_7 # 11402 # 12643 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use
# Date:            Thu Nov 28 19:36:30 2024
# [ok]
