Orthogroup	MFC_MF18_genes	MHP_MHP679_genes
OG0000001	DR082_RS00825, DR082_RS00820	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195
OG0000002	DR082_RS02920	DR086_RS05060
OG0000002	DR082_RS03830	DR086_RS04880
OG0000003	DR082_RS03925	DR086_RS05055
OG0000004	DR082_RS01625	DR086_RS00615
OG0000007	DR082_RS02890	DR086_RS03485
OG0000007	DR082_RS03930	DR086_RS03495
OG0000011	DR082_RS03895, DR082_RS03545	DR086_RS00450
OG0000011	DR082_RS02625	DR086_RS00445
OG0000013	DR082_RS01090, DR082_RS01085	DR086_RS03105
OG0000013	DR082_RS03095	DR086_RS04005
OG0000014	DR082_RS03685	DR086_RS03610, DR086_RS04970
OG0000016	DR082_RS00770	DR086_RS01050
OG0000017	DR082_RS00175	DR086_RS00015
OG0000017	DR082_RS00760	DR086_RS01060
OG0000019	DR082_RS03120	DR086_RS04570
OG0000020	DR082_RS03845	DR086_RS02470
OG0000022	DR082_RS03835	DR086_RS04885
OG0000023	DR082_RS02000	DR086_RS02015, DR086_RS04105
OG0000024	DR082_RS00830	DR086_RS03190
OG0000025	DR082_RS02390	DR086_RS01595
OG0000026	DR082_RS02045	DR086_RS01970, DR086_RS01615
OG0000027	DR082_RS02575	DR086_RS05030
OG0000027	DR082_RS03875	DR086_RS04870
OG0000029	DR082_RS00605	DR086_RS02730
OG0000030	DR082_RS03880	DR086_RS05025, DR086_RS04875
OG0000031	DR082_RS01195	DR086_RS00745
OG0000032	DR082_RS02570	DR086_RS03980, DR086_RS03870
OG0000039	DR082_RS00665	DR086_RS03295
OG0000042	DR082_RS00660, DR082_RS00805	DR086_RS02970
OG0000043	DR082_RS02595	DR086_RS00415
OG0000045	DR082_RS03225, DR082_RS03230	DR086_RS03290
OG0000047	DR082_RS00835	DR086_RS00730
OG0000048	DR082_RS03010, DR082_RS02750	DR086_RS00610
OG0000049	DR082_RS01640, DR082_RS03345	DR086_RS01430
OG0000050	DR082_RS01160	DR086_RS02195
OG0000051	DR082_RS01520	DR086_RS00855
OG0000052	DR082_RS03660	DR086_RS01150
OG0000053	DR082_RS03920	DR086_RS04905
OG0000054	DR082_RS01135	DR086_RS02170
OG0000055	DR082_RS03970	DR086_RS03270
OG0000056	DR082_RS02415	DR086_RS02455
OG0000057	DR082_RS00685	DR086_RS01130
OG0000062	DR082_RS00025	DR086_RS01260
OG0000063	DR082_RS00020	DR086_RS04835
OG0000064	DR082_RS00010	DR086_RS01275
OG0000065	DR082_RS01905	DR086_RS02080
OG0000066	DR082_RS02035	DR086_RS01980
OG0000068	DR082_RS00640	DR086_RS01570
OG0000069	DR082_RS00795	DR086_RS01025
OG0000070	DR082_RS01115	DR086_RS02165
OG0000071	DR082_RS01840	DR086_RS02350
OG0000072	DR082_RS03775	DR086_RS04935
OG0000073	DR082_RS02205	DR086_RS03040
OG0000075	DR082_RS00360	DR086_RS03840
OG0000076	DR082_RS00375	DR086_RS00225
OG0000077	DR082_RS00460	DR086_RS00315
OG0000078	DR082_RS00920	DR086_RS01625
OG0000079	DR082_RS01035	DR086_RS00950
OG0000080	DR082_RS03280	DR086_RS04145
OG0000081	DR082_RS00355	DR086_RS00205
OG0000082	DR082_RS01095	DR086_RS03110
OG0000083	DR082_RS02990	DR086_RS00520
OG0000084	DR082_RS02700	DR086_RS00545
OG0000085	DR082_RS03060, DR082_RS02705	DR086_RS00550
OG0000086	DR082_RS03910	DR086_RS00560
OG0000087	DR082_RS02730	DR086_RS00575
OG0000088	DR082_RS02735	DR086_RS00580
OG0000089	DR082_RS02745	DR086_RS00590
OG0000090	DR082_RS00130	DR086_RS01155
OG0000091	DR082_RS00115	DR086_RS01170
OG0000092	DR082_RS00100	DR086_RS01185
OG0000093	DR082_RS00095	DR086_RS01190
OG0000094	DR082_RS00090	DR086_RS01195
OG0000095	DR082_RS00065	DR086_RS01220
OG0000096	DR082_RS00060	DR086_RS01225
OG0000097	DR082_RS00040	DR086_RS01245
OG0000098	DR082_RS00030	DR086_RS01255
OG0000099	DR082_RS02420	DR086_RS04950
OG0000100	DR082_RS02410	DR086_RS02445
OG0000101	DR082_RS02405	DR086_RS02440
OG0000102	DR082_RS02395	DR086_RS01600
OG0000103	DR082_RS01870	DR086_RS02115
OG0000104	DR082_RS01875	DR086_RS02110
OG0000105	DR082_RS01890	DR086_RS02095
OG0000106	DR082_RS01900	DR086_RS02085
OG0000107	DR082_RS01910	DR086_RS02075
OG0000108	DR082_RS01915	DR086_RS02070
OG0000109	DR082_RS01920	DR086_RS02065
OG0000110	DR082_RS01925	DR086_RS03120
OG0000111	DR082_RS01930	DR086_RS03125
OG0000112	DR082_RS01940	DR086_RS03135
OG0000113	DR082_RS03785	DR086_RS05050
OG0000114	DR082_RS01965	DR086_RS03455
OG0000115	DR082_RS01975	DR086_RS03475
OG0000116	DR082_RS01985	DR086_RS03410
OG0000117	DR082_RS01990	DR086_RS03405
OG0000118	DR082_RS02020	DR086_RS01995
OG0000119	DR082_RS02025	DR086_RS01990
OG0000120	DR082_RS02040	DR086_RS01975
OG0000121	DR082_RS02065	DR086_RS01950
