Orthogroup	MFC_MF18_genes	MHP_131B_genes
OG0000000	DR082_RS03155	NB627_RS02355
OG0000000	DR082_RS03455	NB627_RS01850
OG0000001	DR082_RS00825, DR082_RS00820	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935
OG0000002	DR082_RS03795	NB627_RS02360
OG0000002	DR082_RS02920	NB627_RS02290
OG0000002	DR082_RS03830	NB627_RS01865
OG0000004	DR082_RS01625	NB627_RS03225
OG0000007	DR082_RS02890	NB627_RS02345
OG0000007	DR082_RS02895	NB627_RS02325
OG0000011	DR082_RS02625	NB627_RS02090
OG0000013	DR082_RS01090, DR082_RS01085	NB627_RS02570
OG0000013	DR082_RS03095	NB627_RS00185
OG0000014	DR082_RS03685	NB627_RS00705, NB627_RS01205, NB627_RS00715
OG0000016	DR082_RS00770	NB627_RS03030
OG0000017	DR082_RS00175	NB627_RS00155
OG0000017	DR082_RS00760	NB627_RS03040
OG0000018	DR082_RS03790	NB627_RS00490
OG0000020	DR082_RS03840	NB627_RS03755
OG0000020	DR082_RS03845	NB627_RS03760
OG0000022	DR082_RS03835	NB627_RS01845
OG0000023	DR082_RS02000	NB627_RS01440, NB627_RS00500
OG0000024	DR082_RS00830	NB627_RS02930, NB627_RS01395
OG0000025	DR082_RS02390	NB627_RS01840
OG0000026	DR082_RS02045	NB627_RS01490, NB627_RS01820
OG0000027	DR082_RS02575	NB627_RS03540
OG0000027	DR082_RS03875	NB627_RS03555
OG0000029	DR082_RS00605	NB627_RS01200, NB627_RS00720
OG0000030	DR082_RS03880	NB627_RS03530, NB627_RS03550
OG0000031	DR082_RS01195	NB627_RS00445, NB627_RS01730
OG0000032	DR082_RS02570	NB627_RS01700, NB627_RS03545
OG0000039	DR082_RS00665	NB627_RS01740
OG0000040	DR082_RS01855, DR082_RS00885	NB627_RS03475
OG0000042	DR082_RS00660, DR082_RS00805	NB627_RS03125
OG0000043	DR082_RS02595	NB627_RS02055
OG0000045	DR082_RS03225, DR082_RS03230	NB627_RS01745
OG0000047	DR082_RS00835	NB627_RS00510
OG0000048	DR082_RS03010, DR082_RS02750	NB627_RS02245
OG0000049	DR082_RS01640, DR082_RS03345	NB627_RS03240
OG0000050	DR082_RS01160	NB627_RS02630
