Orthogroup	MHP_153B_proteins	MHP_MHP679_proteins
OG0000000	WP_404924194.1	WP_160590517.1
OG0000001	WP_187145661.1, WP_404924125.1	WP_020835629.1
OG0000001	WP_404923999.1	WP_228365393.1
OG0000002	WP_258555377.1, WP_404923949.1	WP_160585200.1
OG0000002	WP_404923934.1	WP_160590513.1
OG0000002	WP_404924158.1	WP_160585690.1
OG0000003	WP_404924172.1	WP_192894277.1
OG0000004	WP_020835883.1, WP_404924027.1	WP_160590535.1
OG0000004	WP_020835887.1	WP_160590525.1
OG0000005	WP_404924061.1	WP_160590470.1
OG0000005	WP_146379451.1	WP_160590475.1
OG0000006	WP_404923960.1	WP_258555726.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000008	WP_404924145.1, WP_404924146.1	WP_258555683.1
OG0000008	WP_404924196.1	WP_160590314.1
OG0000010	WP_404924175.1	WP_160590099.1
OG0000011	WP_160587900.1	WP_160590024.1
OG0000012	WP_158632000.1	WP_158632000.1
OG0000013	WP_240536333.1	WP_258555710.1
OG0000013	WP_404924067.1	WP_308704697.1
OG0000014	WP_404924107.1	WP_160590533.1
OG0000014	WP_404924106.1	WP_160590409.1
OG0000015	WP_014580032.1	WP_258555732.1
OG0000016	WP_404924002.1	WP_160590155.1
OG0000016	WP_146379459.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_243215933.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404924016.1, WP_404924015.1, WP_404924017.1	WP_160590527.1
OG0000020	WP_404924053.1	WP_258555701.1
OG0000022	WP_404924149.1	WP_160590243.1
OG0000022	WP_404924156.1	WP_160590230.1
OG0000023	WP_044272391.1	WP_160590299.1, WP_258555660.1
OG0000024	WP_404923993.1	WP_160585259.1
OG0000025	WP_404924150.1	WP_160590241.1
OG0000025	WP_160606775.1	WP_135618779.1
OG0000026	WP_404924129.1	WP_044284614.1
OG0000026	WP_404924155.1	WP_160590234.1
OG0000027	WP_146379747.1	WP_020835902.1
OG0000028	WP_404923970.1	WP_160590323.1, WP_160590450.1
OG0000029	WP_404924086.1	WP_160590401.1
OG0000030	WP_404924037.1	WP_308704613.1
OG0000031	WP_404923928.1	WP_160590091.1
OG0000032	WP_404924142.1	WP_160590483.1
OG0000033	WP_404923968.1	WP_308704710.1
OG0000034	WP_243234977.1	WP_233688423.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000036	WP_020835495.1, WP_146379454.1	WP_014579530.1
OG0000037	WP_404924191.1	WP_308704711.1, WP_258555721.1
OG0000039	WP_179221095.1	WP_160590481.1
OG0000040	WP_404924032.1	WP_160590346.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000041	WP_404912290.1	WP_220200784.1
OG0000043	WP_014579804.1	WP_160590093.1, WP_160585024.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_404924192.1	WP_258555619.1
OG0000046	WP_404924033.1	WP_160590348.1
OG0000047	WP_404923919.1	WP_160590089.1
OG0000048	WP_011290213.1	WP_160590061.1
OG0000049	WP_020835860.1	WP_160590201.1
OG0000050	WP_404923972.1	WP_160590319.1
OG0000051	WP_404923985.1	WP_160590119.1
OG0000052	WP_404924060.1	WP_160590168.1
OG0000053	WP_404924135.1	WP_160590280.1
OG0000054	WP_404923973.1	WP_011206291.1
OG0000055	WP_146379455.1	WP_014579531.1
OG0000056	WP_404924050.1	WP_160590364.1
OG0000057	WP_258555814.1	WP_020835847.1
OG0000058	WP_404923930.1	WP_160590097.1
OG0000059	WP_404923925.1	WP_258555663.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_404924054.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_233688433.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_404924083.1	WP_160590329.1
OG0000068	WP_011206103.1	WP_258555735.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_160585219.1
OG0000072	WP_404924031.1	WP_160590344.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_404924091.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_160590545.1, WP_135618517.1
OG0000076	WP_160607908.1	WP_160584756.1
OG0000077	WP_404924080.1	WP_160590009.1
OG0000078	WP_404924153.1	WP_160590237.1
OG0000079	WP_404923976.1	WP_020835797.1
OG0000080	WP_404923980.1	WP_179695988.1
OG0000081	WP_404924076.1	WP_160590000.1
OG0000083	WP_014579823.1	WP_160590043.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_160590049.1
OG0000086	WP_011290207.1	WP_160590052.1
OG0000087	WP_404912425.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_160590058.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_404924059.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_160584849.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924056.1	WP_146379771.1
OG0000098	WP_160588100.1	WP_146379769.1
OG0000099	WP_404924051.1	WP_160590366.1
OG0000100	WP_404924049.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_020835678.1	WP_135619192.1
OG0000103	WP_011290214.1	WP_160590311.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_160588282.1
OG0000106	WP_404923951.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_192894278.1
OG0000109	WP_220200503.1	WP_160590309.1
OG0000110	WP_020835772.1	WP_146379648.1
OG0000111	WP_020835771.1	WP_258555712.1
OG0000112	WP_404923963.1	WP_258555585.1
OG0000113	WP_404923959.1	WP_160590507.1
OG0000114	WP_404923958.1	WP_258555347.1
OG0000115	WP_011284183.1	WP_011290245.1
OG0000116	WP_011290103.1	WP_160590505.1
OG0000117	WP_044272388.1	WP_160590503.1
OG0000118	WP_404924127.1	WP_179696056.1
OG0000119	WP_160585678.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_160590292.1
OG0000121	WP_146379557.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_404924132.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011290120.1
OG0000127	WP_160590282.1	WP_160590282.1
OG0000128	WP_146379564.1	WP_160590278.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_160590274.1
OG0000131	WP_160585099.1	WP_146379566.1
OG0000132	WP_011205939.1	WP_160590270.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_225973012.1	WP_233688635.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_404924103.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160584795.1	WP_160584795.1
OG0000141	WP_011284290.1	WP_011290345.1
OG0000142	WP_011284289.1	WP_160587865.1
OG0000143	WP_135619026.1	WP_135619026.1
OG0000144	WP_404924007.1	WP_044272582.1
OG0000145	WP_225972996.1	WP_258555674.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_160587854.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_160590153.1
OG0000151	WP_404923997.1	WP_160590464.1
OG0000152	WP_404923996.1	WP_160590462.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_011290318.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_014579918.1
OG0000158	WP_404911941.1	WP_160590424.1
OG0000159	WP_011206289.1	WP_160590317.1
OG0000160	WP_179221158.1	WP_160590318.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_167871270.1	WP_135619210.1
OG0000163	WP_044272529.1	WP_160590321.1
OG0000164	WP_404924143.1	WP_146379571.1
OG0000165	WP_020835712.1	WP_011206200.1
OG0000166	WP_404924182.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_160585173.1
OG0000169	WP_179221201.1	WP_160585654.1
