Orthogroup	MHP_153B_proteins	MHP_116_proteins
OG0000000	WP_404924195.1	WP_348602510.1
OG0000000	WP_404924194.1	WP_348602860.1
OG0000000	WP_404924193.1	WP_348602504.1
OG0000000	WP_404923931.1	WP_348602861.1
OG0000000	WP_404924157.1	WP_348602817.1
OG0000001	WP_187145661.1, WP_404924125.1	WP_348602774.1
OG0000001	WP_404923994.1	WP_348602576.1
OG0000002	WP_258555377.1	WP_237697200.1
OG0000002	WP_404923934.1	WP_348602505.1
OG0000002	WP_404924158.1	WP_348602818.1
OG0000003	WP_404924172.1	WP_094521666.1
OG0000004	WP_020835883.1	WP_044284712.1
OG0000004	WP_404924027.1	WP_348602620.1
OG0000004	WP_020835887.1	WP_348602621.1
OG0000004	WP_404924199.1	WP_348602864.1
OG0000005	WP_404924061.1	WP_348602674.1
OG0000005	WP_146379451.1	WP_348602676.1
OG0000006	WP_225972988.1	WP_348602543.1
OG0000006	WP_404923960.1	WP_348602529.1
OG0000006	WP_225972978.1	WP_348602525.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404923943.1	WP_002557993.1
OG0000008	WP_404923955.1	WP_348602523.1
OG0000008	WP_404924145.1, WP_404924146.1	WP_348602804.1
OG0000008	WP_404924196.1	WP_348602544.1
OG0000009	WP_041361566.1	WP_348602749.1
OG0000009	WP_041361519.1	WP_348602671.1
OG0000009	WP_011290021.1	WP_348602747.1
OG0000010	WP_404924175.1	WP_348602833.1, WP_348602673.1
OG0000011	WP_160587900.1	WP_348602848.1
OG0000012	WP_158632000.1	WP_348602836.1
OG0000013	WP_240536333.1	WP_348602536.1
OG0000013	WP_404924067.1	WP_348602684.1
OG0000014	WP_404924107.1	WP_348602754.1
OG0000014	WP_404924106.1	WP_348602753.1
OG0000015	WP_240536643.1	WP_240536643.1
OG0000016	WP_404924002.1	WP_348602584.1
OG0000016	WP_146379459.1	WP_348602682.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1, WP_404923920.1	WP_348602781.1
OG0000019	WP_404924015.1	WP_348602604.1
