Orthogroup	MHP_153B_proteins	MHP_KM014_proteins
OG0000000	WP_404924194.1	WP_094521687.1
OG0000000	WP_404924157.1	WP_157696719.1
OG0000001	WP_404923999.1	WP_011206352.1
OG0000001	WP_404923994.1	WP_094521729.1
OG0000002	WP_258555377.1	WP_011284160.1
OG0000002	WP_404923949.1	WP_011206235.1
OG0000002	WP_404924158.1	WP_094521652.1
OG0000003	WP_404924172.1	WP_094521666.1
OG0000004	WP_020835883.1	WP_094521510.1
OG0000005	WP_404924061.1	WP_094521539.1
OG0000005	WP_404924063.1	WP_094521540.1
OG0000006	WP_225972988.1	WP_041361789.1
OG0000006	WP_404923960.1, WP_258555362.1, WP_225972978.1	WP_094521717.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404923943.1	WP_002557993.1
OG0000008	WP_404923955.1	WP_094521776.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000009	WP_011290021.1	WP_094521581.1
OG0000010	WP_404924175.1	WP_094521667.1, WP_094521538.1
OG0000011	WP_160587900.1	WP_094521674.1
OG0000012	WP_404923974.1, WP_404924104.1	WP_094521543.1, WP_094521638.1, WP_094521670.1
OG0000014	WP_404924107.1	WP_094521602.1
OG0000015	WP_014580032.1	WP_094521565.1
OG0000015	WP_240536643.1	WP_014579746.1
OG0000016	WP_404924002.1	WP_094521736.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_404923920.1	WP_094521567.1
OG0000019	WP_404924015.1	WP_094521752.1
OG0000019	WP_404924017.1	WP_094521748.1, WP_094521749.1
OG0000020	WP_404924053.1	WP_094521756.1
OG0000021	WP_404924161.1	WP_094521655.1
OG0000022	WP_404924156.1	WP_094521650.1
OG0000023	WP_044272391.1	WP_094521750.1, WP_094521566.1, WP_094521562.1
OG0000024	WP_404924124.1	WP_094521619.1
OG0000025	WP_160606775.1	WP_094521649.1
OG0000026	WP_404924155.1	WP_094521646.1
OG0000028	WP_404923970.1	WP_094521710.1
OG0000031	WP_404923928.1	WP_088172525.1
OG0000035	WP_404924028.1	WP_094521509.1
OG0000036	WP_020835495.1	WP_044284813.1
OG0000038	WP_404924159.1	WP_094521654.1
OG0000039	WP_179221095.1	WP_094521643.1
OG0000041	WP_011290019.1	WP_011206099.1
OG0000042	WP_404924008.1	WP_094521741.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000044	WP_404924168.1	WP_011206179.1
OG0000045	WP_404924192.1	WP_094521771.1
OG0000048	WP_011290213.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_094521498.1
OG0000051	WP_404923985.1	WP_094521726.1
OG0000052	WP_404924060.1	WP_094521536.1
OG0000053	WP_404924135.1, WP_404924136.1	WP_094521633.1
OG0000054	WP_404923973.1	WP_011206291.1
OG0000055	WP_146379455.1	WP_011205867.1
OG0000056	WP_404924050.1	WP_157696708.1, WP_157696707.1
OG0000057	WP_258555814.1	WP_094521783.1
OG0000058	WP_404923930.1	WP_094521760.1, WP_094521555.1, WP_094521493.1
OG0000058	WP_404923929.1	WP_094521570.1
OG0000059	WP_404923925.1	WP_094521751.1, WP_094521761.1
OG0000060	WP_020835489.1	WP_011283837.1
OG0000061	WP_020835703.1	WP_094521669.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_404924054.1	WP_094521529.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_233688433.1	WP_011290219.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_094521512.1
OG0000072	WP_404924031.1	WP_094521513.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000075	WP_014579568.1	WP_094521552.1
OG0000077	WP_404924080.1	WP_094521763.1
OG0000078	WP_404924153.1	WP_094521645.1
