Orthogroup	MHP_153B_proteins	MHP_MHP650_proteins
OG0000000	WP_404924195.1	WP_160601117.1
OG0000000	WP_404924157.1	WP_233688764.1
OG0000001	WP_187145661.1, WP_404924125.1	WP_258556637.1
OG0000001	WP_404923999.1	WP_258556624.1
OG0000001	WP_404923994.1	WP_011206342.1
OG0000002	WP_258555377.1, WP_404923949.1	WP_258556677.1
OG0000002	WP_404923948.1	WP_160601116.1
OG0000002	WP_404923934.1	WP_160601263.1
OG0000002	WP_404924158.1	WP_160601022.1
OG0000003	WP_404924172.1	WP_220200875.1
OG0000004	WP_404924027.1	WP_160601251.1
OG0000004	WP_020835887.1	WP_160601249.1
OG0000004	WP_404924198.1	WP_160600949.1
OG0000005	WP_404924061.1	WP_160601191.1
OG0000005	WP_146379451.1	WP_160601189.1
OG0000006	WP_258555362.1	WP_160601229.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404923943.1	WP_160585819.1
OG0000008	WP_404923955.1	WP_011206260.1
OG0000008	WP_404924196.1	WP_258556714.1
OG0000009	WP_041361566.1	WP_160600866.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000009	WP_011290021.1	WP_094521581.1
OG0000010	WP_404924175.1	WP_160601055.1, WP_258556703.1, WP_308704767.1
OG0000011	WP_160587900.1	WP_160600906.1
OG0000012	WP_404923974.1, WP_404924104.1	WP_160601281.1
OG0000013	WP_240536333.1	WP_371863325.1
OG0000013	WP_404924067.1	WP_371863321.1
OG0000014	WP_404924106.1	WP_160601233.1
OG0000015	WP_240536643.1	WP_160601171.1
OG0000016	WP_404924002.1	WP_160600777.1
OG0000016	WP_146379459.1	WP_160600653.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404924017.1	WP_258556650.1
OG0000020	WP_404924053.1	WP_308704755.1
OG0000021	WP_404924161.1	WP_094521655.1, WP_220200881.1
OG0000022	WP_404924149.1	WP_160601006.1
OG0000022	WP_404924156.1	WP_160601018.1
