Orthogroup	MHP_MHP653_protein	MFC_MF29_protein
OG0000000	WP_146379632.1	WP_002557520.1
OG0000000	WP_160615550.1	WP_258555793.1, WP_220200593.1
OG0000001	WP_160615810.1, WP_308506998.1	WP_160581478.1
OG0000002	WP_308507024.1	WP_160580979.1, WP_258555762.1
OG0000002	WP_258555933.1	WP_160580981.1
OG0000005	WP_334199374.1	WP_308704665.1
OG0000005	WP_308507040.1	WP_160581134.1
OG0000006	WP_160615935.1, WP_160615933.1	WP_220200543.1
OG0000009	WP_160615971.1, WP_160615732.1, WP_160615730.1	WP_160580985.1
OG0000010	WP_258555925.1, WP_258555625.1	WP_039387745.1
OG0000014	WP_187145661.1	WP_160580916.1
OG0000016	WP_160615728.1	WP_160580987.1, WP_220200549.1
OG0000018	WP_160615609.1	WP_160580874.1, WP_160580909.1
OG0000022	WP_258555932.1	WP_220200548.1
OG0000025	WP_258555923.1	WP_255454456.1, WP_255454455.1
OG0000026	WP_160615890.1	WP_160581404.1
OG0000029	WP_160615671.1	WP_160580876.1
OG0000030	WP_308507043.1	WP_160581217.1
OG0000031	WP_160584826.1	WP_308704649.1
OG0000034	WP_011206291.1	WP_160580989.1
OG0000035	WP_258555938.1	WP_160580948.1
OG0000036	WP_160585159.1	WP_160580991.1
OG0000039	WP_011206214.1	WP_160581472.1
OG0000040	WP_011206223.1	WP_160581451.1
OG0000041	WP_220191323.1	WP_220200556.1
OG0000042	WP_160615967.1	WP_160581122.1
OG0000043	WP_011290432.1	WP_160581126.1
OG0000044	WP_160615941.1	WP_160581136.1
OG0000045	WP_011290219.1	WP_002557517.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_228365394.1	WP_160580888.1
OG0000048	WP_160615657.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_011206292.1	WP_002557663.1
OG0000051	WP_044272532.1	WP_160581406.1
OG0000052	WP_160615892.1	WP_160581408.1
OG0000053	WP_160615597.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_002557704.1
OG0000055	WP_160615587.1	WP_002557712.1
OG0000056	WP_160615899.1	WP_160581282.1
OG0000057	WP_160615784.1	WP_002557776.1
OG0000058	WP_135618593.1	WP_002557805.1
OG0000059	WP_160615806.1	WP_308704661.1
OG0000060	WP_011290055.1	WP_002557818.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_160615750.1	WP_160581324.1
OG0000063	WP_052259122.1	WP_160581067.1
OG0000064	WP_160615537.1	WP_160581065.1
OG0000065	WP_014579568.1	WP_160581028.1
OG0000066	WP_160615512.1	WP_160581009.1
OG0000067	WP_011206493.1	WP_160581384.1
OG0000068	WP_258555910.1	WP_160581394.1
OG0000069	WP_020835790.1	WP_002557977.1
OG0000070	WP_160608044.1	WP_160580968.1
OG0000071	WP_044272563.1	WP_160580911.1
OG0000072	WP_160615918.1	WP_160581399.1
OG0000073	WP_011206314.1	WP_196792423.1
OG0000074	WP_258555814.1	WP_258555750.1
OG0000075	WP_258555929.1	WP_231237865.1
OG0000076	WP_308507041.1	WP_308704658.1
OG0000077	WP_160615521.1	WP_308704652.1
OG0000079	WP_220191256.1	WP_052234586.1
OG0000080	WP_160615559.1	WP_160581474.1
OG0000081	WP_160585593.1	WP_160581484.1
OG0000082	WP_160615561.1	WP_160581485.1
OG0000083	WP_160615563.1	WP_160581452.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_160615564.1	WP_160581449.1
OG0000086	WP_160615566.1	WP_160581447.1
OG0000087	WP_220191257.1	WP_160581445.1
OG0000088	WP_020835732.1	WP_258555794.1
OG0000089	WP_020835733.1	WP_160581443.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_146379447.1	WP_002557464.1
OG0000092	WP_094521535.1	WP_160581085.1
OG0000093	WP_011289935.1	WP_160581089.1
OG0000094	WP_160615746.1	WP_002557468.1
OG0000095	WP_011205849.1	WP_160581091.1
OG0000096	WP_160584854.1	WP_002557470.1
OG0000097	WP_011205847.1	WP_160581094.1
OG0000098	WP_160584856.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_160581096.1
OG0000100	WP_160615744.1	WP_002557477.1
OG0000101	WP_160584860.1	WP_002557478.1
OG0000102	WP_044272251.1	WP_002557479.1
OG0000103	WP_160615742.1	WP_002557480.1
OG0000104	WP_160584865.1	WP_160581100.1
OG0000105	WP_258555934.1	WP_160581102.1
OG0000106	WP_160615738.1	WP_160581104.1
OG0000107	WP_146379769.1	WP_160581106.1
OG0000108	WP_160588098.1	WP_160581109.1
OG0000109	WP_041361715.1	WP_160581110.1
OG0000110	WP_160615736.1	WP_160581114.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_020835678.1	WP_160581128.1
OG0000113	WP_160615772.1	WP_160581130.1
OG0000114	WP_160615774.1	WP_160581132.1
OG0000115	WP_160615871.1	WP_160581150.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_160615869.1	WP_002557511.1
OG0000118	WP_011206242.1	WP_160581154.1
OG0000119	WP_011206243.1	WP_160581156.1
OG0000120	WP_135618884.1	WP_160581158.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_308507045.1	WP_308704655.1
OG0000123	WP_146379648.1	WP_160581160.1
OG0000124	WP_225972982.1	WP_220200563.1
OG0000125	WP_146379646.1	WP_160581163.1
OG0000126	WP_258555931.1	WP_160581165.1
OG0000127	WP_160615722.1	WP_160581167.1
OG0000128	WP_020835765.1	WP_002557528.1
OG0000129	WP_258555964.1	WP_258555776.1
OG0000130	WP_011290245.1	WP_002557532.1
OG0000131	WP_160615718.1	WP_160581174.1
OG0000132	WP_160615716.1	WP_160581176.1
OG0000133	WP_160615714.1	WP_160581178.1
OG0000134	WP_160615712.1	WP_160581180.1
OG0000135	WP_020835635.1	WP_160581182.1
OG0000136	WP_308507037.1	WP_160581185.1
OG0000137	WP_160615708.1	WP_160581187.1
OG0000138	WP_020835639.1	WP_002557542.1
OG0000139	WP_011205965.1	WP_002557543.1
OG0000140	WP_160585676.1	WP_160581189.1
OG0000141	WP_220191285.1	WP_160581190.1
OG0000142	WP_011284032.1	WP_160581194.1
OG0000143	WP_020835643.1	WP_002557549.1
OG0000144	WP_020835645.1	WP_160581198.1
OG0000145	WP_011205954.1	WP_160581199.1
OG0000146	WP_011290118.1	WP_160581201.1
OG0000147	WP_011205952.1	WP_160581203.1
OG0000148	WP_011290120.1	WP_160581207.1
OG0000149	WP_160615661.1	WP_160581209.1
OG0000150	WP_011290122.1	WP_160581211.1
OG0000151	WP_160615665.1	WP_220200596.1
OG0000152	WP_160585820.1	WP_160581457.1
OG0000153	WP_014579732.1	WP_160581459.1
OG0000154	WP_160590276.1	WP_160581461.1
OG0000155	WP_011284046.1	WP_002557565.1
OG0000156	WP_146379566.1	WP_002557566.1
OG0000157	WP_014579735.1	WP_002557567.1
OG0000158	WP_094521636.1	WP_160581465.1
OG0000159	WP_014579586.1	WP_160581005.1
OG0000160	WP_160615951.1	WP_160580850.1
OG0000161	WP_094521764.1	WP_002557574.1
OG0000162	WP_308507044.1	WP_160580852.1
OG0000163	WP_160615852.1	WP_002557576.1
OG0000164	WP_160585148.1	WP_002557577.1
OG0000165	WP_135618546.1	WP_160580854.1
OG0000166	WP_160615854.1	WP_160580858.1
OG0000167	WP_160615856.1	WP_160580860.1
OG0000168	WP_011206113.1	WP_002557585.1
OG0000169	WP_160615931.1	WP_002557589.1
OG0000170	WP_160584793.1	WP_160580868.1
OG0000171	WP_011290017.1	WP_160580872.1
OG0000172	WP_160584795.1	WP_002557595.1
OG0000173	WP_011290345.1	WP_002557602.1
OG0000174	WP_160615645.1	WP_002557603.1
OG0000175	WP_011284286.1	WP_160580878.1
OG0000176	WP_011206391.1	WP_160580880.1
OG0000177	WP_160584967.1	WP_160580882.1
OG0000178	WP_160615647.1	WP_160580884.1
OG0000179	WP_160590161.1	WP_160580886.1
OG0000180	WP_160615649.1	WP_002557613.1
OG0000181	WP_011206384.1	WP_002557614.1
OG0000182	WP_020835840.1	WP_160580892.1
OG0000183	WP_135619012.1	WP_160580896.1
OG0000184	WP_011290331.1	WP_160580900.1
OG0000185	WP_160615653.1	WP_160580902.1
OG0000186	WP_146379689.1	WP_160580903.1
OG0000187	WP_135619006.1	WP_002557623.1
OG0000188	WP_160615659.1	WP_160580907.1
OG0000189	WP_020835828.1	WP_160580918.1
OG0000190	WP_020835827.1	WP_160580920.1
OG0000191	WP_160615699.1	WP_160580922.1
OG0000192	WP_011206345.1	WP_160580926.1
OG0000193	WP_160615693.1	WP_160580928.1
OG0000194	WP_020835820.1	WP_002557642.1
OG0000195	WP_160615691.1	WP_160580939.1
OG0000196	WP_011206335.1	WP_160580941.1
OG0000197	WP_020835818.1	WP_002557648.1
OG0000198	WP_160615687.1	WP_002557650.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_160590318.1	WP_160580992.1
OG0000201	WP_011206287.1	WP_160580994.1
OG0000202	WP_020835662.1	WP_160581410.1
OG0000203	WP_011284063.1	WP_160581412.1
OG0000204	WP_146379571.1	WP_160581414.1
OG0000205	WP_160585024.1	WP_160581416.1
OG0000206	WP_160585022.1	WP_160581417.1
OG0000207	WP_146379611.1	WP_160581419.1
OG0000208	WP_146379610.1	WP_160581421.1
OG0000209	WP_011206200.1	WP_002557684.1
OG0000210	WP_160615554.1	WP_160581423.1
OG0000211	WP_160590031.1	WP_220190081.1
OG0000212	WP_011206207.1	WP_160581429.1
OG0000213	WP_160585173.1	WP_002557693.1
OG0000214	WP_044272610.1	WP_002557703.1
OG0000215	WP_146379717.1	WP_160581256.1
OG0000216	WP_011206424.1	WP_002557707.1
OG0000217	WP_011290368.1	WP_002557708.1
OG0000218	WP_160615593.1	WP_002557709.1
OG0000219	WP_160615585.1	WP_160581261.1
OG0000220	WP_135619070.1	WP_160581263.1
OG0000221	WP_160615583.1	WP_160581265.1
OG0000222	WP_146379725.1	WP_160581268.1
OG0000223	WP_160585273.1	WP_160581270.1
OG0000224	WP_044272620.1	WP_002557721.1
OG0000225	WP_160615581.1	WP_160581272.1
OG0000226	WP_160590183.1	WP_160581274.1
OG0000227	WP_160585638.1	WP_002557725.1
OG0000228	WP_160615579.1	WP_002557726.1
OG0000229	WP_160585796.1	WP_039387691.1
OG0000230	WP_011284337.1	WP_002557729.1
OG0000231	WP_160585802.1	WP_002557731.1
OG0000232	WP_160615901.1	WP_160581280.1
OG0000233	WP_160606868.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_011206459.1	WP_002557735.1
OG0000236	WP_160615897.1	WP_160581284.1
OG0000237	WP_160615907.1	WP_002557739.1
OG0000238	WP_160585238.1	WP_160581467.1
OG0000239	WP_160615905.1	WP_160581469.1
OG0000240	WP_146379741.1	WP_002557742.1
OG0000241	WP_020835897.1	WP_002557743.1
OG0000242	WP_160615916.1	WP_160581401.1
OG0000243	WP_160615667.1	WP_160581290.1
OG0000244	WP_020835656.1	WP_160581292.1
OG0000245	WP_011290131.1	WP_002557751.1
OG0000246	WP_135618720.1	WP_002557752.1
OG0000247	WP_011284055.1	WP_002557753.1
OG0000248	WP_011284056.1	WP_002557754.1
OG0000249	WP_011205932.1	WP_002557755.1
OG0000250	WP_160615909.1	WP_160581293.1
OG0000251	WP_160615911.1	WP_002557757.1
OG0000252	WP_160588285.1	WP_002557760.1
OG0000253	WP_020835755.1	WP_002557761.1
OG0000254	WP_011205992.1	WP_160581299.1
OG0000255	WP_011283999.1	WP_002557766.1
OG0000256	WP_160585563.1	WP_160581301.1
OG0000257	WP_011290023.1	WP_002557768.1
OG0000258	WP_160615782.1	WP_002557769.1
OG0000259	WP_011206093.1	WP_039387630.1
OG0000260	WP_020835572.1	WP_002557773.1
OG0000261	WP_179695841.1	WP_160581303.1
OG0000262	WP_041361572.1	WP_002557775.1
OG0000263	WP_011283930.1	WP_002557778.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_011206085.1	WP_220200575.1
OG0000266	WP_014579644.1	WP_002557781.1
OG0000267	WP_160606653.1	WP_160581305.1
OG0000268	WP_011283934.1	WP_002557783.1
OG0000269	WP_146379503.1	WP_002557784.1
OG0000270	WP_160584803.1	WP_002557785.1
OG0000271	WP_146379504.1	WP_160581307.1
OG0000272	WP_011206073.1	WP_002557791.1
OG0000273	WP_011206072.1	WP_160581315.1
OG0000274	WP_160615804.1	WP_160581361.1
OG0000275	WP_160584811.1	WP_160581359.1
OG0000276	WP_160584813.1	WP_002557796.1
OG0000277	WP_160584816.1	WP_160581357.1
OG0000278	WP_011290044.1	WP_002557798.1
OG0000279	WP_011206065.1	WP_002557799.1
OG0000280	WP_011206064.1	WP_258555790.1
OG0000281	WP_011206063.1	WP_160581354.1
OG0000282	WP_135618591.1	WP_002557802.1
OG0000283	WP_011206061.1	WP_002557803.1
OG0000284	WP_160615808.1	WP_160581348.1
OG0000285	WP_135618604.1	WP_160581347.1
OG0000286	WP_011290054.1	WP_002557813.1
OG0000287	WP_011206049.1	WP_002557814.1
OG0000288	WP_011206048.1	WP_002557815.1
OG0000289	WP_160585195.1	WP_002557816.1
OG0000290	WP_011206047.1	WP_002557817.1
OG0000291	WP_160585193.1	WP_160581343.1
OG0000292	WP_160585731.1	WP_160581341.1
OG0000293	WP_011290058.1	WP_160581339.1
OG0000294	WP_011206041.1	WP_002557823.1
OG0000295	WP_135618616.1	WP_002557824.1
OG0000296	WP_011206039.1	WP_002557825.1
