Orthogroup	MHP_MHP653_protein	MHP_MHP679_protein
OG0000000	WP_146379632.1	WP_160590309.1
OG0000000	WP_160615550.1	WP_160590024.1
OG0000001	WP_308506998.1	WP_308506998.1
OG0000001	WP_160615984.1, WP_160615982.1	WP_160590541.1
OG0000002	WP_308507024.1	WP_308704697.1
OG0000002	WP_258555933.1	WP_258555710.1
OG0000003	WP_225972977.1	WP_258555731.1
OG0000004	WP_258555965.1	WP_160590314.1
OG0000005	WP_334199374.1	WP_308704704.1
OG0000005	WP_240532016.1	WP_308704714.1
OG0000006	WP_160615935.1	WP_160590409.1
OG0000006	WP_160615933.1	WP_160590533.1
OG0000007	WP_160615959.1	WP_160590517.1
OG0000009	WP_160615971.1	WP_160590323.1
OG0000009	WP_160615730.1	WP_160590450.1
OG0000010	WP_258555925.1	WP_258555714.1
OG0000010	WP_258555625.1	WP_020835629.1
OG0000011	WP_160615599.1	WP_160590527.1
OG0000012	WP_225973030.1	WP_258555620.1
OG0000013	WP_258555632.1	WP_258555632.1
OG0000013	WP_258555963.1	WP_258555696.1
OG0000015	WP_308507036.1	WP_258555721.1
OG0000016	WP_160615728.1	WP_308704710.1
OG0000018	WP_160615609.1	WP_160590420.1
OG0000019	WP_160585747.1, WP_160615838.1	WP_160590475.1
OG0000020	WP_160615643.1	WP_160590177.1
OG0000022	WP_258555932.1	WP_258555711.1
OG0000025	WP_258555923.1	WP_258555619.1
OG0000026	WP_160615890.1	WP_160590319.1
OG0000029	WP_160615671.1	WP_160590481.1
OG0000030	WP_308507043.1	WP_160590119.1
OG0000031	WP_160584826.1	WP_014579531.1
OG0000033	WP_225973034.1	WP_225973034.1
OG0000034	WP_011206291.1	WP_011206291.1
OG0000035	WP_258555938.1	WP_160590237.1
OG0000036	WP_160585159.1	WP_160590316.1
OG0000038	WP_011290019.1	WP_011290019.1
OG0000038	WP_258555945.1	WP_220200784.1
OG0000039	WP_011206214.1	WP_011206214.1
OG0000040	WP_011206223.1	WP_160590049.1
OG0000041	WP_220191323.1	WP_258555701.1
OG0000042	WP_160615967.1	WP_160590366.1
OG0000043	WP_011290432.1	WP_011290432.1
OG0000044	WP_160615941.1	WP_160585690.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_258555735.1, WP_160587949.1
OG0000047	WP_228365394.1	WP_258555674.1
OG0000048	WP_160615657.1	WP_160585682.1
OG0000049	WP_011284269.1	WP_011206373.1
