#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000005:21200-25606|- -           1469 56at2085             -           1080         0 1372.3  31.1   1   1         0         0 1363.8  31.1    49  1080   317  1467   282  1467 0.89 seq00000005_13 # 21200 # 25606 # -1 # ID=8_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   1   7   6.4e-08   1.5e-05   18.4   0.0    54   118     4    69     1    74 0.92 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   2   7     2e-14   4.7e-12   39.9   3.2   348   566   100   320    73   324 0.74 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   3   7   3.2e-05    0.0077    9.4   0.0   607   678   324   395   321   403 0.90 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   4   7    0.0022      0.52    3.4   0.1   674   754   437   512   426   547 0.78 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   5   7      0.02       4.8    0.2   0.3   292   372   584   666   582   684 0.78 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   6   7   3.6e-07   8.6e-05   15.9   7.8   906   945   684   723   667   737 0.83 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000001:14926-17871|- -            982 56at2085             -           1080   1.2e-27   91.5  36.5   7   7   3.2e-08   7.5e-06   19.4   0.3   987  1065   734   814   724   830 0.80 scf00000001_18 # 14926 # 17871 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
seq00000009:899-1702|-    -            268 56at2085             -           1080   0.00021   14.6   4.2   1   1   1.1e-06   0.00027   14.3   4.2   356   464    59   172    40   182 0.84 seq00000009_2 # 899 # 1702 # -1 # ID=9_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.274
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/56at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/56at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV01/Use
# Date:            Thu Nov 28 19:31:06 2024
# [ok]
