Orthogroup	MHP_153B_genes	MHP_11_genes
OG0000000	NB625_RS02335	B5C39_RS02485
OG0000001	NB625_RS02955	B5C39_RS03070
OG0000001	NB625_RS02910	B5C39_RS03020
OG0000002	NB625_RS02350	B5C39_RS03825
OG0000002	NB625_RS02340	B5C39_RS03650
OG0000002	NB625_RS01730	B5C39_RS03240
OG0000003	NB625_RS01830	B5C39_RS03345
OG0000004	NB625_RS03355	B5C39_RS00380
OG0000004	NB625_RS03370	B5C39_RS00400
OG0000005	NB625_RS00100	B5C39_RS00915
OG0000005	NB625_RS00125	B5C39_RS00935
OG0000005	NB625_RS00105	B5C39_RS00925
OG0000006	NB625_RS02645	B5C39_RS02640
OG0000008	NB625_RS02460	B5C39_RS03740, B5C39_RS03830
OG0000008	NB625_RS02660	B5C39_RS03850
OG0000009	NB625_RS00085	B5C39_RS00900
OG0000009	NB625_RS01005	B5C39_RS02225
OG0000010	NB625_RS01850	B5C39_RS03350, B5C39_RS03795, B5C39_RS01340, B5C39_RS00910
OG0000011	NB625_RS01950	B5C39_RS03455
OG0000012	NB625_RS02890, NB625_RS01075, NB625_RS01865	B5C39_RS01220
OG0000013	NB625_RS02545	B5C39_RS02685
OG0000013	NB625_RS00190	B5C39_RS03780
OG0000014	NB625_RS01095	B5C39_RS01820
OG0000014	NB625_RS01085	B5C39_RS02290
OG0000015	NB625_RS02065	B5C39_RS03085
OG0000016	NB625_RS02995	B5C39_RS00060
OG0000016	NB625_RS00175	B5C39_RS00985
OG0000017	NB625_RS00160	B5C39_RS00970
OG0000017	NB625_RS03005	B5C39_RS00070
OG0000018	NB625_RS02090	B5C39_RS03790, B5C39_RS03785
OG0000019	NB625_RS03185	B5C39_RS03765
OG0000020	NB625_RS03695	B5C39_RS00740
OG0000021	NB625_RS01760	B5C39_RS02385
OG0000022	NB625_RS01665	B5C39_RS03170
OG0000022	NB625_RS01720	B5C39_RS03225
OG0000023	NB625_RS01320	B5C39_RS01580, B5C39_RS01320
OG0000024	NB625_RS02905	B5C39_RS03015
OG0000024	NB625_RS01275	B5C39_RS01625
OG0000025	NB625_RS01670	B5C39_RS03175
OG0000025	NB625_RS01715	B5C39_RS03220
OG0000026	NB625_RS01365	B5C39_RS01535
OG0000026	NB625_RS01695	B5C39_RS03200
OG0000027	NB625_RS03505	B5C39_RS00530
OG0000029	NB625_RS00600	B5C39_RS01825
OG0000029	NB625_RS01080	B5C39_RS02285
OG0000030	NB625_RS03495	B5C39_RS00520
OG0000031	NB625_RS02145	B5C39_RS01325
OG0000031	NB625_RS01605	B5C39_RS03115
OG0000035	NB625_RS03365	B5C39_RS00395
OG0000036	NB625_RS00110	B5C39_RS00930
OG0000036	NB625_RS00130	B5C39_RS00945
OG0000039	NB625_RS01615	B5C39_RS03875, B5C39_RS03130
OG0000040	NB625_RS03440	B5C39_RS00465
OG0000042	NB625_RS03095	B5C39_RS00160
OG0000043	NB625_RS01915	B5C39_RS03420
OG0000044	NB625_RS01680	B5C39_RS03955
OG0000044	NB625_RS01790	B5C39_RS03305
OG0000045	NB625_RS01620	B5C39_RS03140
OG0000046	NB625_RS03445	B5C39_RS00475
OG0000047	NB625_RS02080	B5C39_RS03620
OG0000048	NB625_RS02195	B5C39_RS03615
OG0000049	NB625_RS03205	B5C39_RS00240
OG0000050	NB625_RS02595	B5C39_RS02725
OG0000051	NB625_RS02810	B5C39_RS02930
OG0000052	NB625_RS00075	B5C39_RS00890
OG0000053	NB625_RS01450, NB625_RS01455	B5C39_RS01450
OG0000054	NB625_RS02620	B5C39_RS02750
OG0000055	NB625_RS00135	B5C39_RS00950
OG0000056	NB625_RS03680	B5C39_RS00720
OG0000057	NB625_RS03080	B5C39_RS00145
OG0000058	NB625_RS02150	B5C39_RS01330
OG0000061	NB625_RS01860	B5C39_RS03095
OG0000062	NB625_RS03725	B5C39_RS00780
OG0000063	NB625_RS03720	B5C39_RS00775
OG0000064	NB625_RS03710	B5C39_RS00765
OG0000065	NB625_RS02395	B5C39_RS02530
OG0000066	NB625_RS01355	B5C39_RS01545
OG0000067	NB625_RS00525	B5C39_RS02370
OG0000068	NB625_RS01040	B5C39_RS02250
OG0000069	NB625_RS02975	B5C39_RS00035
OG0000070	NB625_RS02625	B5C39_RS02755
