Orthogroup	MHP_153B_genes	MHP_168L_genes
OG0000000	NB625_RS02335	MHP168L_RS02190
OG0000001	NB625_RS01285, NB625_RS01280	MHP168L_RS01370
OG0000001	NB625_RS02955	MHP168L_RS02830
OG0000001	NB625_RS02910	MHP168L_RS02785
OG0000002	NB625_RS02350	MHP168L_RS04010
OG0000002	NB625_RS02345	MHP168L_RS03840
OG0000002	NB625_RS01730	MHP168L_RS01710
OG0000003	NB625_RS01750, NB625_RS00510	MHP168L_RS00485
OG0000003	NB625_RS01830	MHP168L_RS03875
OG0000004	NB625_RS03355	MHP168L_RS03190
OG0000004	NB625_RS03360	MHP168L_RS03195
OG0000004	NB625_RS03370	MHP168L_RS03205
OG0000005	NB625_RS00100	MHP168L_RS00090
OG0000005	NB625_RS00105	MHP168L_RS00105
OG0000006	NB625_RS02650	MHP168L_RS02530
OG0000006	NB625_RS02645	MHP168L_RS02380
OG0000008	NB625_RS02460	MHP168L_RS02330
OG0000008	NB625_RS01635, NB625_RS01640	MHP168L_RS01795
OG0000008	NB625_RS02660	MHP168L_RS04025
OG0000009	NB625_RS01020	MHP168L_RS00990
OG0000009	NB625_RS01005	MHP168L_RS03915
OG0000010	NB625_RS01850	MHP168L_RS01950, MHP168L_RS01650, MHP168L_RS00085
OG0000011	NB625_RS01950	MHP168L_RS03995
OG0000012	NB625_RS02890, NB625_RS01075	MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040
OG0000013	NB625_RS02545	MHP168L_RS02430
OG0000013	NB625_RS00190	MHP168L_RS03905
OG0000014	NB625_RS01095	MHP168L_RS01070
OG0000014	NB625_RS01085	MHP168L_RS01055
OG0000015	NB625_RS02065	MHP168L_RS03530
OG0000015	NB625_RS01580	MHP168L_RS01665
OG0000016	NB625_RS02995	MHP168L_RS02870
OG0000016	NB625_RS00175	MHP168L_RS00150
OG0000017	NB625_RS00160	MHP168L_RS00135
OG0000017	NB625_RS03005	MHP168L_RS02880
OG0000018	NB625_RS02090	MHP168L_RS04065
OG0000019	NB625_RS03185	MHP168L_RS04055
OG0000020	NB625_RS03695	MHP168L_RS03595
OG0000021	NB625_RS01755	MHP168L_RS00490
OG0000022	NB625_RS01665	MHP168L_RS01775
OG0000022	NB625_RS01720	MHP168L_RS01725
OG0000023	NB625_RS01320	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545
OG0000024	NB625_RS02905	MHP168L_RS02775
OG0000024	NB625_RS01275	MHP168L_RS03940, MHP168L_RS03945
OG0000025	NB625_RS01670	MHP168L_RS01770
OG0000025	NB625_RS01715	MHP168L_RS01730
OG0000026	NB625_RS01365	MHP168L_RS01455
OG0000026	NB625_RS01695	MHP168L_RS01750
OG0000027	NB625_RS03505	MHP168L_RS03825
OG0000029	NB625_RS00600	MHP168L_RS00580
OG0000029	NB625_RS01080	MHP168L_RS01050
OG0000030	NB625_RS03495	MHP168L_RS03325
OG0000031	NB625_RS02145	MHP168L_RS03575
OG0000031	NB625_RS01605	MHP168L_RS01830
OG0000035	NB625_RS03365	MHP168L_RS03200
OG0000036	NB625_RS00110, NB625_RS00130	MHP168L_RS00110
OG0000037	NB625_RS01595	MHP168L_RS01845
OG0000039	NB625_RS01615	MHP168L_RS01815
OG0000040	NB625_RS03440	MHP168L_RS03275
OG0000041	NB625_RS01015	MHP168L_RS00985
OG0000041	NB625_RS01195	MHP168L_RS03925
OG0000042	NB625_RS03095	MHP168L_RS02970
OG0000043	NB625_RS01915	MHP168L_RS02005
OG0000043	NB625_RS01915	MHP168L_RS01210
OG0000044	NB625_RS01680	MHP168L_RS04140
OG0000044	NB625_RS01790	MHP168L_RS01900
OG0000045	NB625_RS01620	MHP168L_RS01810
OG0000046	NB625_RS03450	MHP168L_RS03280
OG0000047	NB625_RS02080	MHP168L_RS03540
OG0000048	NB625_RS02195	MHP168L_RS02210
OG0000049	NB625_RS03205	MHP168L_RS03050
OG0000050	NB625_RS02595	MHP168L_RS02475
OG0000051	NB625_RS02810	MHP168L_RS04035
OG0000052	NB625_RS00075	MHP168L_RS00075
OG0000053	NB625_RS01450	MHP168L_RS01540
OG0000054	NB625_RS02620	MHP168L_RS02500
OG0000055	NB625_RS00135	MHP168L_RS00115
OG0000056	NB625_RS03680	MHP168L_RS03515
OG0000057	NB625_RS03080	MHP168L_RS02955
OG0000058	NB625_RS02155	MHP168L_RS01190
OG0000058	NB625_RS02150	MHP168L_RS03580
OG0000059	NB625_RS02125	MHP168L_RS01200, MHP168L_RS01205
OG0000059	NB625_RS02140	MHP168L_RS03570
OG0000060	NB625_RS00080	MHP168L_RS00080
OG0000061	NB625_RS01860	MHP168L_RS01660
OG0000062	NB625_RS03725	MHP168L_RS03630
OG0000063	NB625_RS03720	MHP168L_RS03625
OG0000064	NB625_RS03710	MHP168L_RS03615
OG0000065	NB625_RS02395	MHP168L_RS04005
OG0000066	NB625_RS01355	MHP168L_RS01445
OG0000067	NB625_RS00525	MHP168L_RS00510
OG0000068	NB625_RS01040	MHP168L_RS04135
OG0000069	NB625_RS02975	MHP168L_RS02845
OG0000070	NB625_RS02625	MHP168L_RS02505
OG0000071	NB625_RS03430	MHP168L_RS03265
OG0000072	NB625_RS03435	MHP168L_RS03270
OG0000073	NB625_RS00980	MHP168L_RS00955
OG0000074	NB625_RS00780	MHP168L_RS00765
OG0000075	NB625_RS00345	MHP168L_RS00320
OG0000077	NB625_RS00445	MHP168L_RS00425
OG0000079	NB625_RS02710	MHP168L_RS02590
OG0000080	NB625_RS02760	MHP168L_RS03895
OG0000081	NB625_RS00340	MHP168L_RS00315
OG0000082	NB625_RS02540	MHP168L_RS04015
OG0000083	NB625_RS02020	MHP168L_RS02110
OG0000084	NB625_RS02050	MHP168L_RS02265
OG0000085	NB625_RS02055	MHP168L_RS02260
OG0000086	NB625_RS02160	MHP168L_RS02250
OG0000087	NB625_RS02175	MHP168L_RS02235
OG0000088	NB625_RS02180	MHP168L_RS02230
OG0000089	NB625_RS02190	MHP168L_RS02215
OG0000090	NB625_RS00070	MHP168L_RS00070
OG0000091	NB625_RS00055	MHP168L_RS00055
OG0000092	NB625_RS00040	MHP168L_RS00040
OG0000093	NB625_RS00035	MHP168L_RS00035
OG0000094	NB625_RS00030	MHP168L_RS00030
OG0000095	NB625_RS00005	MHP168L_RS00005
OG0000096	NB625_RS03760	MHP168L_RS03665
OG0000097	NB625_RS03740	MHP168L_RS03645
OG0000098	NB625_RS03730	MHP168L_RS03635
OG0000099	NB625_RS03685	MHP168L_RS03520
OG0000100	NB625_RS03675	MHP168L_RS03505
OG0000101	NB625_RS03665	MHP168L_RS03500
OG0000102	NB625_RS01710	MHP168L_RS01735
OG0000103	NB625_RS02360	MHP168L_RS02175
OG0000104	NB625_RS02365	MHP168L_RS02170
OG0000105	NB625_RS02380	MHP168L_RS02155
OG0000106	NB625_RS02390	MHP168L_RS02145
OG0000107	NB625_RS02400	MHP168L_RS02135
OG0000108	NB625_RS02405	MHP168L_RS02130
OG0000109	NB625_RS02410	MHP168L_RS02125
OG0000110	NB625_RS02530	MHP168L_RS02410
OG0000111	NB625_RS02525	MHP168L_RS02405
OG0000112	NB625_RS02515	MHP168L_RS02395
OG0000113	NB625_RS02495	MHP168L_RS02375
OG0000114	NB625_RS02485	MHP168L_RS02365
OG0000115	NB625_RS02475	MHP168L_RS02350
OG0000116	NB625_RS01300	MHP168L_RS01385
OG0000117	NB625_RS01305	MHP168L_RS01390
OG0000118	NB625_RS01340	MHP168L_RS01430
OG0000119	NB625_RS01345	MHP168L_RS01435
