Orthogroup	MHP_153B_genes	MHP_133A_genes
OG0000000	NB625_RS02335	NB626_RS02350
OG0000000	NB625_RS02220	NB626_RS02275
OG0000000	NB625_RS02330	NB626_RS02345
OG0000000	NB625_RS01725	NB626_RS01840
OG0000001	NB625_RS01285	NB626_RS01400
OG0000001	NB625_RS02910	NB626_RS02930
OG0000002	NB625_RS02350	NB626_RS02360
OG0000002	NB625_RS02340	NB626_RS02355
OG0000002	NB625_RS02235	NB626_RS02280
OG0000002	NB625_RS01730	NB626_RS01855
OG0000003	NB625_RS02310	NB626_RS02325
OG0000003	NB625_RS01830	NB626_RS01965, NB626_RS01970
OG0000004	NB625_RS03355	NB626_RS03385
OG0000004	NB625_RS03360	NB626_RS03390
OG0000004	NB625_RS03370	NB626_RS03400
OG0000004	NB625_RS03170	NB626_RS03200
OG0000004	NB625_RS03190	NB626_RS03220
OG0000004	NB625_RS03180	NB626_RS03210
OG0000005	NB625_RS00100	NB626_RS00100
OG0000005	NB625_RS00125	NB626_RS00120
OG0000006	NB625_RS02650	NB626_RS02680, NB626_RS02685
OG0000006	NB625_RS02645	NB626_RS02515
OG0000007	NB625_RS02315	NB626_RS02330
OG0000007	NB625_RS02325	NB626_RS02340
OG0000007	NB625_RS02305	NB626_RS02320
OG0000008	NB625_RS02460	NB626_RS02470
OG0000008	NB625_RS01635, NB625_RS01640	NB626_RS01750
OG0000008	NB625_RS02660	NB626_RS02690
OG0000009	NB625_RS01020	NB626_RS00765
OG0000009	NB625_RS00085	NB626_RS00085
OG0000009	NB625_RS01005	NB626_RS00780
OG0000010	NB625_RS01850	NB626_RS01975
OG0000011	NB625_RS01950	NB626_RS02080
OG0000012	NB625_RS01865	NB626_RS01990
OG0000013	NB625_RS02545	NB626_RS02565
OG0000013	NB625_RS00190	NB626_RS00185
OG0000014	NB625_RS01095	NB626_RS01210
OG0000014	NB625_RS01085	NB626_RS00705
OG0000015	NB625_RS01630	NB626_RS01740
OG0000015	NB625_RS01580	NB626_RS00515
OG0000016	NB625_RS00175	NB626_RS00170
OG0000017	NB625_RS00160	NB626_RS00155
OG0000017	NB625_RS03005	NB626_RS03035
OG0000019	NB625_RS03185	NB626_RS03205, NB626_RS03215
OG0000019	NB625_RS03195	NB626_RS03225
OG0000020	NB625_RS03695	NB626_RS03760
OG0000021	NB625_RS01755	NB626_RS00605
OG0000022	NB625_RS01665	NB626_RS01775
OG0000022	NB625_RS01720	NB626_RS01830
