Orthogroup	MHP_153B_genes	MHP_ES2_genes
OG0000000	NB625_RS02335	E5E95_RS02310
OG0000000	NB625_RS02230	E5E95_RS02235
OG0000000	NB625_RS02220	E5E95_RS02240
OG0000000	NB625_RS02215, NB625_RS02225	E5E95_RS04040
OG0000000	NB625_RS02330	E5E95_RS04075
OG0000000	NB625_RS01725	E5E95_RS01830
OG0000001	NB625_RS01285, NB625_RS01280	E5E95_RS01300
OG0000001	NB625_RS02955	E5E95_RS03000
OG0000001	NB625_RS02910	E5E95_RS04150
OG0000002	NB625_RS02350	E5E95_RS02320
OG0000002	NB625_RS02340	E5E95_RS02315
OG0000002	NB625_RS02235	E5E95_RS02250
OG0000002	NB625_RS01730	E5E95_RS01840
OG0000003	NB625_RS01750, NB625_RS00510	E5E95_RS01915
OG0000003	NB625_RS02310	E5E95_RS00930
OG0000003	NB625_RS01830	E5E95_RS03910
OG0000004	NB625_RS03355	E5E95_RS03410
OG0000004	NB625_RS03360	E5E95_RS03415
OG0000004	NB625_RS03370	E5E95_RS03425
OG0000004	NB625_RS03170	E5E95_RS03215
OG0000005	NB625_RS00100	E5E95_RS00090
OG0000005	NB625_RS00125	E5E95_RS00110
OG0000005	NB625_RS00105	E5E95_RS00100
OG0000006	NB625_RS02650	E5E95_RS02705
OG0000006	NB625_RS02645	E5E95_RS04120, E5E95_RS04115
OG0000007	NB625_RS02315	E5E95_RS00935
OG0000007	NB625_RS02325	E5E95_RS02300
OG0000007	NB625_RS02305	E5E95_RS02295
OG0000008	NB625_RS02460	E5E95_RS03925, E5E95_RS04080
OG0000008	NB625_RS01635, NB625_RS01640	E5E95_RS03905
OG0000008	NB625_RS02660	E5E95_RS03930, E5E95_RS04135
OG0000009	NB625_RS01020	E5E95_RS00665
OG0000009	NB625_RS01005	E5E95_RS00680
OG0000010	NB625_RS01850	E5E95_RS01970, E5E95_RS03990, E5E95_RS01575
OG0000011	NB625_RS01950	E5E95_RS02070
OG0000012	NB625_RS02890, NB625_RS01075	E5E95_RS02435, E5E95_RS03230
OG0000013	NB625_RS02545	E5E95_RS02610
OG0000013	NB625_RS00190	E5E95_RS03955
OG0000014	NB625_RS01095	E5E95_RS01105
OG0000014	NB625_RS01085	E5E95_RS00605
OG0000015	NB625_RS01630	E5E95_RS01745
OG0000015	NB625_RS01580	E5E95_RS02450
OG0000016	NB625_RS02995	E5E95_RS03040
