Orthogroup	MHP_153B_genes	MHP_Ue273_genes
OG0000000	NB625_RS02335	VQY17_RS02200
OG0000001	NB625_RS01280	VQY17_RS01300
OG0000001	NB625_RS02955	VQY17_RS02775
OG0000001	NB625_RS02910	VQY17_RS02730
OG0000002	NB625_RS02350	VQY17_RS02210
OG0000002	NB625_RS02345	VQY17_RS02205
OG0000002	NB625_RS01730	VQY17_RS01780
OG0000003	NB625_RS01750, NB625_RS00510	VQY17_RS01865
OG0000003	NB625_RS02310	VQY17_RS00940
OG0000003	NB625_RS01830	VQY17_RS01910
OG0000004	NB625_RS03355	VQY17_RS03185
OG0000004	NB625_RS03360	VQY17_RS03190
OG0000004	NB625_RS03170	VQY17_RS03025, VQY17_RS03005
OG0000004	NB625_RS03190	VQY17_RS02985
OG0000005	NB625_RS00100	VQY17_RS00100
OG0000005	NB625_RS00125	VQY17_RS00120
OG0000005	NB625_RS00105	VQY17_RS00110
OG0000006	NB625_RS02650	VQY17_RS02495
OG0000006	NB625_RS02500	VQY17_RS02360
OG0000007	NB625_RS02315	VQY17_RS00945
OG0000008	NB625_RS02460	VQY17_RS02320
OG0000008	NB625_RS02660	VQY17_RS02500
OG0000009	NB625_RS01020	VQY17_RS00665
OG0000009	NB625_RS00085	VQY17_RS00085
OG0000009	NB625_RS01005	VQY17_RS00680
OG0000010	NB625_RS01850	VQY17_RS01920, VQY17_RS01580, VQY17_RS01585, VQY17_RS00095
OG0000011	NB625_RS01950	VQY17_RS02025
OG0000012	NB625_RS01865	VQY17_RS01935
OG0000013	NB625_RS02545	VQY17_RS02405
OG0000013	NB625_RS00190	VQY17_RS00185
OG0000014	NB625_RS01095	VQY17_RS01120
OG0000014	NB625_RS01085	VQY17_RS00605
OG0000015	NB625_RS02065	VQY17_RS01665
OG0000016	NB625_RS02995	VQY17_RS02820
OG0000016	NB625_RS00175	VQY17_RS00170
OG0000017	NB625_RS00160	VQY17_RS00155
OG0000017	NB625_RS03005	VQY17_RS02830
OG0000019	NB625_RS03185	VQY17_RS03000, VQY17_RS03010
OG0000019	NB625_RS03175	VQY17_RS03030
OG0000019	NB625_RS03195	VQY17_RS02990
OG0000020	NB625_RS03695	VQY17_RS03555
OG0000022	NB625_RS01665	VQY17_RS01695
OG0000022	NB625_RS01720	VQY17_RS01765
