Orthogroup	MHP_153B_genes	MFC_MF22_genes
OG0000000	NB625_RS02335	DR094_RS03000
OG0000000	NB625_RS02210	DR094_RS02970, DR094_RS03035
OG0000000	NB625_RS01725	DR094_RS01215
OG0000001	NB625_RS01285, NB625_RS01280, NB625_RS02955, NB625_RS02910	DR094_RS00325, DR094_RS00330
OG0000002	NB625_RS02340	DR094_RS02550
OG0000002	NB625_RS02235	DR094_RS03815
OG0000002	NB625_RS01730	DR094_RS03610
OG0000007	NB625_RS02325	DR094_RS02850
OG0000007	NB625_RS02305	DR094_RS02845
OG0000011	NB625_RS01950	DR094_RS03520
OG0000013	NB625_RS02545	DR094_RS00075, DR094_RS00080
OG0000013	NB625_RS00190	DR094_RS03050
OG0000014	NB625_RS01095, NB625_RS01085	DR094_RS03555
OG0000016	NB625_RS02995	DR094_RS00380
OG0000017	NB625_RS00160	DR094_RS00975
OG0000017	NB625_RS03005	DR094_RS00390
OG0000018	NB625_RS02090	DR094_RS03735
OG0000020	NB625_RS03695	DR094_RS03595
OG0000022	NB625_RS01720	DR094_RS03605
OG0000023	NB625_RS01320	DR094_RS02170
OG0000024	NB625_RS02905, NB625_RS01275	DR094_RS00320
OG0000025	NB625_RS01715	DR094_RS01205
OG0000026	NB625_RS01365, NB625_RS01695	DR094_RS02215
OG0000027	NB625_RS03505	DR094_RS01395
OG0000029	NB625_RS00600, NB625_RS01080	DR094_RS00545
OG0000030	NB625_RS03495	DR094_RS03655
OG0000031	NB625_RS02145, NB625_RS01605	DR094_RS02590
OG0000032	NB625_RS01585	DR094_RS01390
OG0000033	NB625_RS02560	DR094_RS00055
OG0000039	NB625_RS01615	DR094_RS00485
OG0000040	NB625_RS03440	DR094_RS02025, DR094_RS00270
OG0000042	NB625_RS03095	DR094_RS00490, DR094_RS00345
OG0000043	NB625_RS01915	DR094_RS02615
OG0000045	NB625_RS01620	DR094_RS03140, DR094_RS03135
OG0000048	NB625_RS02195	DR094_RS02695, DR094_RS02985
OG0000049	NB625_RS03205	DR094_RS03355
OG0000050	NB625_RS02595	DR094_RS03765
OG0000051	NB625_RS02810	DR094_RS01715
OG0000052	NB625_RS00075	DR094_RS01015
OG0000053	NB625_RS01450	DR094_RS03805
OG0000054	NB625_RS02620	DR094_RS00030
OG0000055	NB625_RS00135	DR094_RS03580, DR094_RS03850
OG0000056	NB625_RS03680	DR094_RS01180
OG0000057	NB625_RS03080	DR094_RS00465
OG0000062	NB625_RS03725	DR094_RS01125
OG0000063	NB625_RS03720	DR094_RS03590
OG0000064	NB625_RS03710	DR094_RS01140
OG0000065	NB625_RS02395	DR094_RS02075
OG0000066	NB625_RS01355	DR094_RS02205
OG0000068	NB625_RS01040	DR094_RS00510
OG0000069	NB625_RS02975	DR094_RS00355
OG0000070	NB625_RS02625	DR094_RS00050
OG0000071	NB625_RS03430	DR094_RS02015
OG0000072	NB625_RS03435	DR094_RS03725
OG0000073	NB625_RS00980	DR094_RS02425
OG0000075	NB625_RS00345	DR094_RS00790
OG0000077	NB625_RS00445	DR094_RS00690
OG0000079	NB625_RS02710	DR094_RS00130
OG0000080	NB625_RS02760	DR094_RS03080
OG0000081	NB625_RS00340	DR094_RS00795
OG0000082	NB625_RS02540	DR094_RS00070
OG0000083	NB625_RS02020	DR094_RS02715
OG0000084	NB625_RS02050	DR094_RS02645
OG0000085	NB625_RS02055	DR094_RS02650
OG0000086	NB625_RS02160	DR094_RS03780
OG0000087	NB625_RS02175	DR094_RS02675
OG0000088	NB625_RS02180	DR094_RS02680
OG0000089	NB625_RS02190	DR094_RS02690
OG0000090	NB625_RS00070	DR094_RS01020
OG0000091	NB625_RS00055	DR094_RS01035
OG0000092	NB625_RS00040	DR094_RS01050
OG0000093	NB625_RS00035	DR094_RS01055
OG0000094	NB625_RS00030	DR094_RS01060
OG0000095	NB625_RS00005	DR094_RS01085
OG0000096	NB625_RS03760	DR094_RS01090
OG0000097	NB625_RS03740	DR094_RS01110
OG0000098	NB625_RS03730	DR094_RS01120
OG0000099	NB625_RS03685	DR094_RS01175
OG0000100	NB625_RS03675	DR094_RS01185
OG0000101	NB625_RS03665	DR094_RS01190
OG0000102	NB625_RS01710	DR094_RS01200
OG0000103	NB625_RS02360	DR094_RS02040
OG0000104	NB625_RS02365	DR094_RS02045
OG0000105	NB625_RS02380	DR094_RS02060
OG0000106	NB625_RS02390	DR094_RS02070
OG0000107	NB625_RS02400	DR094_RS02080
OG0000108	NB625_RS02405	DR094_RS02085
OG0000109	NB625_RS02410	DR094_RS02090
OG0000110	NB625_RS02530	DR094_RS02095
OG0000111	NB625_RS02525	DR094_RS02100
OG0000112	NB625_RS02515	DR094_RS02110
OG0000113	NB625_RS02495	DR094_RS03730
OG0000114	NB625_RS02485	DR094_RS02135
OG0000115	NB625_RS02475	DR094_RS02145
OG0000116	NB625_RS01300	DR094_RS02155
OG0000117	NB625_RS01305	DR094_RS02160
OG0000118	NB625_RS01340	DR094_RS02190
OG0000119	NB625_RS01345	DR094_RS02195
OG0000120	NB625_RS01360	DR094_RS02210
OG0000121	NB625_RS01385	DR094_RS02235
OG0000122	NB625_RS01390	DR094_RS02240
OG0000123	NB625_RS01410	DR094_RS02260
OG0000124	NB625_RS01415	DR094_RS02265
OG0000125	NB625_RS01420	DR094_RS02270
OG0000126	NB625_RS01430	DR094_RS02280
OG0000127	NB625_RS01440	DR094_RS02290
OG0000128	NB625_RS01460	DR094_RS02750
OG0000129	NB625_RS01465	DR094_RS02755
OG0000130	NB625_RS01475	DR094_RS02765
OG0000131	NB625_RS01505	DR094_RS02795
OG0000132	NB625_RS01520	DR094_RS03810
OG0000133	NB625_RS00530	DR094_RS00615
OG0000134	NB625_RS00535	DR094_RS03565
OG0000135	NB625_RS00550	DR094_RS00595
OG0000136	NB625_RS00555	DR094_RS00590
OG0000137	NB625_RS00595	DR094_RS00560
OG0000138	NB625_RS01065	DR094_RS00535
OG0000139	NB625_RS01035	DR094_RS00505
OG0000140	NB625_RS01030	DR094_RS00500
OG0000141	NB625_RS03090	DR094_RS00475
OG0000142	NB625_RS03085	DR094_RS03550
OG0000143	NB625_RS03065	DR094_RS00445
OG0000144	NB625_RS03050	DR094_RS00435
OG0000145	NB625_RS03040	DR094_RS00425
OG0000146	NB625_RS03030	DR094_RS00415
OG0000147	NB625_RS03025	DR094_RS00410
OG0000148	NB625_RS03010	DR094_RS00395
OG0000149	NB625_RS03000	DR094_RS00385
OG0000150	NB625_RS02985	DR094_RS00370
OG0000151	NB625_RS02940	DR094_RS00315
OG0000152	NB625_RS02935	DR094_RS00310
OG0000153	NB625_RS02930	DR094_RS00305
OG0000154	NB625_RS02920	DR094_RS00295
OG0000155	NB625_RS02880	DR094_RS00275
OG0000156	NB625_RS02870	DR094_RS00260
OG0000157	NB625_RS02865	DR094_RS03545
OG0000158	NB625_RS02855	DR094_RS03540
OG0000159	NB625_RS02610	DR094_RS00020
OG0000160	NB625_RS02605	DR094_RS00015
OG0000161	NB625_RS02600	DR094_RS00010
OG0000162	NB625_RS02590	DR094_RS02560
OG0000163	NB625_RS02585	DR094_RS02565
OG0000164	NB625_RS01610	DR094_RS03770
OG0000165	NB625_RS01945	DR094_RS02890
OG0000166	NB625_RS01960	DR094_RS02910
OG0000167	NB625_RS01975	DR094_RS02925
OG0000168	NB625_RS01980	DR094_RS02930
OG0000169	NB625_RS03200	DR094_RS01830
OG0000170	NB625_RS03215	DR094_RS01845
OG0000171	NB625_RS03225	DR094_RS01855
OG0000172	NB625_RS03230	DR094_RS01860
OG0000173	NB625_RS03235	DR094_RS01865
OG0000174	NB625_RS03240	DR094_RS01870
OG0000175	NB625_RS03255	DR094_RS01885
OG0000176	NB625_RS03315	DR094_RS01925
OG0000177	NB625_RS03320	DR094_RS01930
OG0000178	NB625_RS03330	DR094_RS01935
OG0000179	NB625_RS03335	DR094_RS01945
OG0000180	NB625_RS03340	DR094_RS01950
OG0000181	NB625_RS03380	DR094_RS03710
OG0000182	NB625_RS03390	DR094_RS01975
OG0000183	NB625_RS03425	DR094_RS02010
OG0000184	NB625_RS03470	DR094_RS02865
