Orthogroup	MHP_153B_genes	MFC_ATCC27716_genes
OG0000000	NB625_RS02335	MFC_RS01410
OG0000000	NB625_RS02220	MFC_RS02935
OG0000000	NB625_RS02210	MFC_RS00010
OG0000000	NB625_RS01725	MFC_RS00365
OG0000001	NB625_RS01285, NB625_RS01280, NB625_RS02955, NB625_RS02910	MFC_RS03350
OG0000002	NB625_RS02350, NB625_RS02345, NB625_RS02340	MFC_RS00395
OG0000002	NB625_RS02235	MFC_RS02940
OG0000002	NB625_RS01730	MFC_RS00370
OG0000007	NB625_RS02325	MFC_RS02975
OG0000007	NB625_RS02305	MFC_RS02970
OG0000008	NB625_RS01635, NB625_RS01640	MFC_RS03380
OG0000011	NB625_RS01950	MFC_RS03510, MFC_RS03505
OG0000013	NB625_RS02545	MFC_RS03175, MFC_RS02880
OG0000013	NB625_RS00190	MFC_RS03420
OG0000014	NB625_RS01095, NB625_RS01085	MFC_RS00870
OG0000016	NB625_RS02995	MFC_RS01050
OG0000017	NB625_RS00160	MFC_RS03155
OG0000017	NB625_RS03005	MFC_RS01040
OG0000018	NB625_RS02090	MFC_RS00540
OG0000019	NB625_RS03195	MFC_RS03330
OG0000020	NB625_RS03695	MFC_RS00300
OG0000022	NB625_RS01720	MFC_RS00360
OG0000023	NB625_RS01320	MFC_RS00535, MFC_RS01695
OG0000024	NB625_RS02905, NB625_RS01275	MFC_RS01110
OG0000025	NB625_RS01715	MFC_RS00355
OG0000026	NB625_RS01365, NB625_RS01695	MFC_RS00580
OG0000029	NB625_RS00600, NB625_RS01080	MFC_RS00875
OG0000030	NB625_RS03495	MFC_RS02855
OG0000031	NB625_RS02145, NB625_RS01605	MFC_RS01295
OG0000032	NB625_RS01585	MFC_RS02685
OG0000033	NB625_RS02560	MFC_RS01210
OG0000037	NB625_RS01595	MFC_RS03295, MFC_RS00375
OG0000039	NB625_RS01615	MFC_RS03135, MFC_RS00935
OG0000040	NB625_RS03440	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	NB625_RS03095	MFC_RS00930, MFC_RS01085
OG0000043	NB625_RS01915	MFC_RS01320
OG0000045	NB625_RS01620	MFC_RS00950
OG0000048	NB625_RS02195	MFC_RS00140
OG0000049	NB625_RS03205	MFC_RS03220, MFC_RS03365
OG0000050	NB625_RS02595	MFC_RS01260
OG0000051	NB625_RS02810	MFC_RS02240
OG0000052	NB625_RS00075	MFC_RS00160
OG0000053	NB625_RS01450	MFC_RS00665
OG0000054	NB625_RS02620	MFC_RS01235
OG0000055	NB625_RS00135	MFC_RS03415, MFC_RS03540
OG0000056	NB625_RS03680	MFC_RS00325
OG0000057	NB625_RS03080	MFC_RS00965
OG0000062	NB625_RS03725	MFC_RS00270
OG0000063	NB625_RS03720	MFC_RS00275
OG0000064	NB625_RS03710	MFC_RS00285
OG0000065	NB625_RS02395	MFC_RS00440
OG0000066	NB625_RS01355	MFC_RS00570
OG0000068	NB625_RS01040	MFC_RS00910
OG0000069	NB625_RS02975	MFC_RS01075
OG0000070	NB625_RS02625	MFC_RS01215
OG0000071	NB625_RS03430	MFC_RS01630
OG0000072	NB625_RS03435	MFC_RS01635
OG0000073	NB625_RS00980	MFC_RS03395, MFC_RS03390
OG0000075	NB625_RS00345	MFC_RS02565
OG0000077	NB625_RS00445	MFC_RS02670
OG0000079	NB625_RS02710	MFC_RS02930, MFC_RS03120
OG0000080	NB625_RS02760	MFC_RS03315
OG0000081	NB625_RS00340	MFC_RS03430, MFC_RS02560
OG0000082	NB625_RS02540	MFC_RS02870
OG0000083	NB625_RS02020	MFC_RS00040
OG0000084	NB625_RS02050	MFC_RS00070
OG0000085	NB625_RS02055	MFC_RS00075
OG0000086	NB625_RS02160	MFC_RS00085
OG0000087	NB625_RS02175	MFC_RS03320
OG0000088	NB625_RS02180	MFC_RS00105
OG0000089	NB625_RS02190	MFC_RS00115
OG0000090	NB625_RS00070	MFC_RS00165
OG0000091	NB625_RS00055	MFC_RS00180
OG0000092	NB625_RS00040	MFC_RS00195
OG0000093	NB625_RS00035	MFC_RS00200
OG0000094	NB625_RS00030	MFC_RS00205
OG0000095	NB625_RS00005	MFC_RS00230
OG0000096	NB625_RS03760	MFC_RS00235
OG0000097	NB625_RS03740	MFC_RS00255
OG0000098	NB625_RS03730	MFC_RS00265
OG0000099	NB625_RS03685	MFC_RS00320
OG0000100	NB625_RS03675	MFC_RS00335
OG0000101	NB625_RS03665	MFC_RS00340
OG0000102	NB625_RS01710	MFC_RS00350
OG0000103	NB625_RS02360	MFC_RS00405
OG0000104	NB625_RS02365	MFC_RS00410
OG0000105	NB625_RS02380	MFC_RS00425
OG0000106	NB625_RS02390	MFC_RS00435
OG0000107	NB625_RS02400	MFC_RS00445
OG0000108	NB625_RS02405	MFC_RS00450
OG0000109	NB625_RS02410	MFC_RS00455
OG0000110	NB625_RS02530	MFC_RS00460
OG0000111	NB625_RS02525	MFC_RS00465
OG0000112	NB625_RS02515	MFC_RS00475
OG0000113	NB625_RS02495	MFC_RS00490
OG0000114	NB625_RS02485	MFC_RS00500
OG0000115	NB625_RS02475	MFC_RS00510
OG0000116	NB625_RS01300	MFC_RS00520
OG0000117	NB625_RS01305	MFC_RS00525
OG0000118	NB625_RS01340	MFC_RS00555
OG0000119	NB625_RS01345	MFC_RS00560
OG0000120	NB625_RS01360	MFC_RS00575
OG0000121	NB625_RS01385	MFC_RS00600
OG0000122	NB625_RS01390	MFC_RS00605
OG0000123	NB625_RS01410	MFC_RS00625
OG0000124	NB625_RS01415	MFC_RS00630
OG0000125	NB625_RS01420	MFC_RS00635
OG0000126	NB625_RS01430	MFC_RS00645
OG0000127	NB625_RS01440	MFC_RS00655
OG0000128	NB625_RS01460	MFC_RS00670
OG0000129	NB625_RS01465	MFC_RS00675
OG0000130	NB625_RS01475	MFC_RS00685
OG0000131	NB625_RS01505	MFC_RS00715
OG0000132	NB625_RS01520	MFC_RS00735
OG0000133	NB625_RS00530	MFC_RS00805
OG0000134	NB625_RS00535	MFC_RS00810
OG0000135	NB625_RS00550	MFC_RS00825
OG0000136	NB625_RS00555	MFC_RS00830
OG0000137	NB625_RS00595	MFC_RS00860
OG0000138	NB625_RS01065	MFC_RS00885
OG0000139	NB625_RS01035	MFC_RS00915
OG0000140	NB625_RS01030	MFC_RS00920
OG0000141	NB625_RS03090	MFC_RS00955
OG0000142	NB625_RS03085	MFC_RS00960
OG0000143	NB625_RS03065	MFC_RS00985
OG0000144	NB625_RS03050	MFC_RS00995
OG0000145	NB625_RS03040	MFC_RS01005
OG0000146	NB625_RS03030	MFC_RS01015
OG0000147	NB625_RS03025	MFC_RS01020
OG0000148	NB625_RS03010	MFC_RS01035
OG0000149	NB625_RS03000	MFC_RS01045
OG0000150	NB625_RS02985	MFC_RS01060
OG0000151	NB625_RS02940	MFC_RS01115
OG0000152	NB625_RS02935	MFC_RS01120
OG0000153	NB625_RS02930	MFC_RS01125
OG0000154	NB625_RS02920	MFC_RS01135
OG0000155	NB625_RS02880	MFC_RS01155
OG0000156	NB625_RS02870	MFC_RS01175
OG0000157	NB625_RS02865	MFC_RS01180
OG0000158	NB625_RS02855	MFC_RS01190
OG0000159	NB625_RS02610	MFC_RS01245
OG0000160	NB625_RS02605	MFC_RS01250
OG0000161	NB625_RS02600	MFC_RS01255
OG0000162	NB625_RS02590	MFC_RS01265
OG0000163	NB625_RS02585	MFC_RS01270
OG0000164	NB625_RS01610	MFC_RS01300
OG0000165	NB625_RS01945	MFC_RS01345
OG0000166	NB625_RS01960	MFC_RS01365
OG0000167	NB625_RS01975	MFC_RS01380
OG0000168	NB625_RS01980	MFC_RS01385
OG0000169	NB625_RS03200	MFC_RS01430
OG0000170	NB625_RS03215	MFC_RS01455
OG0000171	NB625_RS03225	MFC_RS01465
OG0000172	NB625_RS03230	MFC_RS01470
OG0000173	NB625_RS03235	MFC_RS01475
OG0000174	NB625_RS03240	MFC_RS01480
OG0000175	NB625_RS03255	MFC_RS01495
OG0000176	NB625_RS03315	MFC_RS01540
OG0000177	NB625_RS03320	MFC_RS01545
OG0000178	NB625_RS03330	MFC_RS01550
OG0000179	NB625_RS03335	MFC_RS01560
OG0000180	NB625_RS03340	MFC_RS01565
OG0000181	NB625_RS03380	MFC_RS01580
OG0000182	NB625_RS03390	MFC_RS01590
OG0000183	NB625_RS03425	MFC_RS01625
OG0000184	NB625_RS03470	MFC_RS01655
OG0000185	NB625_RS03455	MFC_RS01670
OG0000186	NB625_RS01530	MFC_RS01710
OG0000187	NB625_RS01545	MFC_RS01725
OG0000188	NB625_RS01555	MFC_RS01735
OG0000189	NB625_RS02450	MFC_RS03385
OG0000190	NB625_RS02445	MFC_RS01750
OG0000191	NB625_RS02420	MFC_RS01770
OG0000192	NB625_RS01215	MFC_RS01780
OG0000193	NB625_RS01200	MFC_RS01795
OG0000194	NB625_RS00995	MFC_RS01805
OG0000195	NB625_RS00990	MFC_RS01810
OG0000196	NB625_RS00965	MFC_RS01830
OG0000197	NB625_RS00960	MFC_RS01835
OG0000198	NB625_RS00945	MFC_RS01850
OG0000199	NB625_RS00940	MFC_RS01855
OG0000200	NB625_RS00925	MFC_RS01865
OG0000201	NB625_RS00915	MFC_RS01875
OG0000202	NB625_RS00860	MFC_RS01930
OG0000203	NB625_RS00855	MFC_RS01935
OG0000204	NB625_RS00850	MFC_RS01940
OG0000205	NB625_RS00845	MFC_RS01945
OG0000206	NB625_RS00825	MFC_RS01965
OG0000207	NB625_RS00810	MFC_RS01980
OG0000208	NB625_RS00805	MFC_RS01985
OG0000209	NB625_RS00800	MFC_RS01990
OG0000210	NB625_RS00755	MFC_RS02040
OG0000211	NB625_RS00745	MFC_RS02050
OG0000212	NB625_RS00735	MFC_RS02060
OG0000213	NB625_RS00730	MFC_RS02065
OG0000214	NB625_RS00725	MFC_RS02070
OG0000215	NB625_RS00720	MFC_RS02075
OG0000216	NB625_RS00715	MFC_RS02080
OG0000217	NB625_RS00710	MFC_RS02085
OG0000218	NB625_RS00700	MFC_RS02095
OG0000219	NB625_RS00695	MFC_RS02100
OG0000220	NB625_RS00690	MFC_RS02105
OG0000221	NB625_RS00685	MFC_RS02110
OG0000222	NB625_RS00680	MFC_RS03235
OG0000223	NB625_RS00675	MFC_RS02115
OG0000224	NB625_RS00665	MFC_RS02125
OG0000225	NB625_RS00655	MFC_RS02135
OG0000226	NB625_RS00650	MFC_RS02140
OG0000227	NB625_RS00645	MFC_RS02145
OG0000228	NB625_RS00640	MFC_RS03530
OG0000229	NB625_RS00635	MFC_RS02155
OG0000230	NB625_RS00630	MFC_RS02160
OG0000231	NB625_RS00620	MFC_RS02170
OG0000232	NB625_RS00610	MFC_RS02180
