Orthogroup	MHP_153B_genes	MHP_111A_genes
OG0000000	NB625_RS02220	NB623_RS01020
OG0000000	NB625_RS02210	NB623_RS01025
OG0000000	NB625_RS02330	NB623_RS01030
OG0000000	NB625_RS01725	NB623_RS01850
OG0000001	NB625_RS01280	NB623_RS01400
OG0000001	NB625_RS02955	NB623_RS02960
OG0000001	NB625_RS02910	NB623_RS02910
OG0000002	NB625_RS02350	NB623_RS02345
OG0000002	NB625_RS02340	NB623_RS01905
OG0000002	NB625_RS02235	NB623_RS01015
OG0000003	NB625_RS02310	NB623_RS00940
OG0000003	NB625_RS01830	NB623_RS02255
OG0000004	NB625_RS03355	NB623_RS03360
OG0000004	NB625_RS03370	NB623_RS03365
OG0000004	NB625_RS03170	NB623_RS03170
OG0000004	NB625_RS03180	NB623_RS03190
OG0000005	NB625_RS00100	NB623_RS00105
OG0000005	NB625_RS00105	NB623_RS00115
OG0000006	NB625_RS02650	NB623_RS02650
OG0000006	NB625_RS02500	NB623_RS02495
OG0000006	NB625_RS02470	NB623_RS02465
OG0000007	NB625_RS02315	NB623_RS00955, NB623_RS00950
OG0000007	NB625_RS02325	NB623_RS01045
OG0000007	NB625_RS02305	NB623_RS01050
OG0000008	NB625_RS02460	NB623_RS02455
OG0000008	NB625_RS01635, NB625_RS01640	NB623_RS01760
OG0000008	NB625_RS02660	NB623_RS02665, NB623_RS02660
OG0000009	NB625_RS01020	NB623_RS00660, NB623_RS00665
OG0000009	NB625_RS00085	NB623_RS00090
OG0000009	NB625_RS01005	NB623_RS00680
OG0000010	NB625_RS01850	NB623_RS02245
OG0000011	NB625_RS01950	NB623_RS02145
OG0000012	NB625_RS02890, NB625_RS01075	NB623_RS01710, NB623_RS01005, NB623_RS02340
OG0000012	NB625_RS01865	NB623_RS02230
OG0000013	NB625_RS02545	NB623_RS02540
OG0000014	NB625_RS01095	NB623_RS01220
OG0000014	NB625_RS01085	NB623_RS00600
OG0000015	NB625_RS02065	NB623_RS01925
OG0000015	NB625_RS01630	NB623_RS01685
OG0000016	NB625_RS00175	NB623_RS00160
OG0000017	NB625_RS00160	NB623_RS00145
OG0000017	NB625_RS03005	NB623_RS03015
OG0000018	NB625_RS01325	NB623_RS01440
OG0000018	NB625_RS02090	NB623_RS01950
OG0000019	NB625_RS03185	NB623_RS03195
OG0000019	NB625_RS03175	NB623_RS03175
OG0000020	NB625_RS03695	NB623_RS03745
OG0000021	NB625_RS01755	NB623_RS02325
OG0000022	NB625_RS01665	NB623_RS01785
OG0000022	NB625_RS01720	NB623_RS01840
OG0000023	NB625_RS01320	NB623_RS01435, NB623_RS01940
OG0000024	NB625_RS02905	NB623_RS02905
OG0000024	NB625_RS01275	NB623_RS01395
OG0000025	NB625_RS01670	NB623_RS01790
OG0000025	NB625_RS01715	NB623_RS01835
OG0000026	NB625_RS01365	NB623_RS01480
OG0000026	NB625_RS01695	NB623_RS01815
OG0000027	NB625_RS03505	NB623_RS03520
OG0000028	NB625_RS02565	NB623_RS02565, NB623_RS02570
OG0000029	NB625_RS00600	NB623_RS01215
OG0000029	NB625_RS01080	NB623_RS00605
OG0000030	NB625_RS03495	NB623_RS03510
OG0000031	NB625_RS02145	NB623_RS01985
OG0000032	NB625_RS01585	NB623_RS01690
OG0000033	NB625_RS02560	NB623_RS02560
OG0000033	NB625_RS02555	NB623_RS02550
OG0000034	NB625_RS02250	NB623_RS00990
OG0000034	NB625_RS02255	NB623_RS00980
OG0000035	NB625_RS03365	NB623_RS03355
OG0000036	NB625_RS00110	NB623_RS00120
OG0000037	NB625_RS01595	NB623_RS01695
OG0000039	NB625_RS01615	NB623_RS01730
OG0000040	NB625_RS03440	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	NB625_RS01015	NB623_RS00670
OG0000041	NB625_RS01195	NB623_RS01315
OG0000042	NB625_RS03095	NB623_RS03100
OG0000043	NB625_RS01915	NB623_RS02180
OG0000044	NB625_RS01680	NB623_RS01800
OG0000044	NB625_RS01790	NB623_RS02300
OG0000045	NB625_RS01620	NB623_RS01740, NB623_RS01735
OG0000046	NB625_RS03445	NB623_RS03460
OG0000046	NB625_RS03450	NB623_RS03465, NB623_RS03455, NB623_RS03450
OG0000047	NB625_RS02080	NB623_RS01935
OG0000048	NB625_RS02195	NB623_RS01920
OG0000049	NB625_RS03205	NB623_RS03205
OG0000050	NB625_RS02595	NB623_RS02600
OG0000051	NB625_RS02810	NB623_RS02820
OG0000052	NB625_RS00075	NB623_RS00080, NB623_RS00075
OG0000053	NB625_RS01450, NB625_RS01455	NB623_RS01570
OG0000054	NB625_RS02620	NB623_RS02625
OG0000055	NB625_RS00135	NB623_RS00125
OG0000056	NB625_RS03680	NB623_RS03725
OG0000057	NB625_RS03080	NB623_RS03085
OG0000058	NB625_RS02155	NB623_RS01995
OG0000058	NB625_RS02150	NB623_RS01990
OG0000060	NB625_RS00080	NB623_RS00085
OG0000061	NB625_RS01860	NB623_RS02235
OG0000062	NB625_RS03725	NB623_RS03775
OG0000063	NB625_RS03720	NB623_RS03770
OG0000064	NB625_RS03710	NB623_RS03760
OG0000065	NB625_RS02395	NB623_RS02390
OG0000066	NB625_RS01355	NB623_RS01470
OG0000068	NB625_RS01040	NB623_RS00640
OG0000069	NB625_RS02975	NB623_RS02980
OG0000070	NB625_RS02625	NB623_RS02630
OG0000071	NB625_RS03430	NB623_RS03425
OG0000072	NB625_RS03435	NB623_RS03430
OG0000073	NB625_RS00980	NB623_RS00710
OG0000074	NB625_RS00780	NB623_RS00910
OG0000075	NB625_RS00345	NB623_RS00330
OG0000076	NB625_RS00360	NB623_RS00345
OG0000077	NB625_RS00445	NB623_RS00430
OG0000078	NB625_RS01685	NB623_RS01805
OG0000079	NB625_RS02710	NB623_RS02720
OG0000080	NB625_RS02760	NB623_RS02770
OG0000081	NB625_RS00340	NB623_RS00325
OG0000083	NB625_RS02020	NB623_RS02075
OG0000084	NB625_RS02050	NB623_RS02045
OG0000085	NB625_RS02055	NB623_RS02040
OG0000086	NB625_RS02160	NB623_RS02030
OG0000087	NB625_RS02175	NB623_RS02015
OG0000088	NB625_RS02180	NB623_RS02010
OG0000089	NB625_RS02190	NB623_RS02000
OG0000090	NB625_RS00070	NB623_RS00070
OG0000091	NB625_RS00055	NB623_RS00055
OG0000092	NB625_RS00040	NB623_RS00050
OG0000093	NB625_RS00035	NB623_RS00035
OG0000094	NB625_RS00030	NB623_RS00030
OG0000095	NB625_RS00005	NB623_RS00005
OG0000096	NB625_RS03760	NB623_RS03810
