Orthogroup	MHP_153B_genes	MHP_232_genes
OG0000000	NB625_RS02335	MHP_RS02080
OG0000000	NB625_RS01725	MHP_RS03825
OG0000001	NB625_RS02955	MHP_RS03580
OG0000001	NB625_RS02910	MHP_RS02610
OG0000002	NB625_RS02350	MHP_RS03905
OG0000002	NB625_RS02340	MHP_RS03800
OG0000002	NB625_RS01730	MHP_RS01720
OG0000003	NB625_RS01830	MHP_RS01825
OG0000004	NB625_RS03370	MHP_RS03135
OG0000004	NB625_RS03190	MHP_RS02960
OG0000005	NB625_RS00100	MHP_RS00100
OG0000005	NB625_RS00125	MHP_RS00120
OG0000005	NB625_RS00105	MHP_RS00110
OG0000006	NB625_RS02650	MHP_RS02365
OG0000006	NB625_RS02645	MHP_RS02230
OG0000008	NB625_RS02460	MHP_RS03725, MHP_RS03910
OG0000008	NB625_RS01635, NB625_RS01640	MHP_RS01640
OG0000008	NB625_RS02660	MHP_RS03920
OG0000009	NB625_RS01020	MHP_RS01325
OG0000009	NB625_RS00085	MHP_RS00085
OG0000009	NB625_RS01005	MHP_RS01315
OG0000010	NB625_RS01850	MHP_RS01830, MHP_RS03845, MHP_RS00445, MHP_RS00095
OG0000011	NB625_RS01950	MHP_RS01915
OG0000012	NB625_RS02890, NB625_RS01075, NB625_RS01865	MHP_RS00400
OG0000013	NB625_RS02545	MHP_RS02275
OG0000013	NB625_RS00190	MHP_RS03840
OG0000014	NB625_RS01095	MHP_RS00920
OG0000014	NB625_RS01085	MHP_RS01385
OG0000015	NB625_RS02065	MHP_RS02750
OG0000016	NB625_RS02995	MHP_RS02785
OG0000016	NB625_RS00175	MHP_RS00180
OG0000017	NB625_RS00160	MHP_RS00165
OG0000017	NB625_RS03005	MHP_RS02795
OG0000018	NB625_RS02090	MHP_RS03940
OG0000019	NB625_RS03185	MHP_RS02955
OG0000020	NB625_RS03695	MHP_RS03470
OG0000021	NB625_RS01760	MHP_RS01475
OG0000022	NB625_RS01665	MHP_RS01655
OG0000022	NB625_RS01720	MHP_RS01705
OG0000023	NB625_RS01320	MHP_RS00685, MHP_RS02730
OG0000024	NB625_RS02905	MHP_RS02605
OG0000024	NB625_RS01275	MHP_RS00730
OG0000025	NB625_RS01670	MHP_RS01660
OG0000025	NB625_RS01715	MHP_RS01700
OG0000026	NB625_RS01365	MHP_RS00640
OG0000026	NB625_RS01695	MHP_RS01680
OG0000027	NB625_RS03505	MHP_RS03675
OG0000029	NB625_RS00600	MHP_RS00925
OG0000029	NB625_RS01080	MHP_RS01380
OG0000030	NB625_RS03495	MHP_RS03260
OG0000031	NB625_RS02145	MHP_RS02675
OG0000031	NB625_RS01605	MHP_RS01600
OG0000035	NB625_RS03365	MHP_RS03130
OG0000036	NB625_RS00110	MHP_RS00115
OG0000036	NB625_RS00130	MHP_RS00130
OG0000039	NB625_RS01615	MHP_RS03880, MHP_RS01615
OG0000040	NB625_RS03440	MHP_RS03205
OG0000041	NB625_RS01015	MHP_RS01320
OG0000042	NB625_RS03095	MHP_RS02885
OG0000043	NB625_RS01915	MHP_RS01880
OG0000044	NB625_RS01790	MHP_RS01785
OG0000045	NB625_RS01620	MHP_RS01625
OG0000046	NB625_RS03445	MHP_RS03215
OG0000048	NB625_RS02195	MHP_RS02060
OG0000049	NB625_RS03205	MHP_RS02985
OG0000050	NB625_RS02595	MHP_RS02315
OG0000051	NB625_RS02810	MHP_RS02520
OG0000052	NB625_RS00075	MHP_RS00075
OG0000053	NB625_RS01450, NB625_RS01455	MHP_RS00555
OG0000054	NB625_RS02620	MHP_RS02340
OG0000055	NB625_RS00135	MHP_RS00145
OG0000056	NB625_RS03680	MHP_RS03450
OG0000057	NB625_RS03080	MHP_RS02870
OG0000058	NB625_RS02155	MHP_RS00435
OG0000058	NB625_RS02150	MHP_RS02670
OG0000061	NB625_RS01860	MHP_RS01580
OG0000062	NB625_RS03725	MHP_RS03505
OG0000063	NB625_RS03720	MHP_RS03500
OG0000064	NB625_RS03710	MHP_RS03490
OG0000065	NB625_RS02395	MHP_RS02125
OG0000066	NB625_RS01355	MHP_RS00650
OG0000067	NB625_RS00525	MHP_RS01460
OG0000068	NB625_RS01040	MHP_RS03685
OG0000069	NB625_RS02975	MHP_RS02760
OG0000070	NB625_RS02625	MHP_RS02345
OG0000071	NB625_RS03430	MHP_RS03195
OG0000072	NB625_RS03435	MHP_RS03200
OG0000073	NB625_RS00980	MHP_RS01290
OG0000074	NB625_RS00780	MHP_RS01100
OG0000075	NB625_RS00345	MHP_RS00350
OG0000076	NB625_RS00360	MHP_RS00365
OG0000077	NB625_RS00445	MHP_RS01545
OG0000079	NB625_RS02710	MHP_RS02420
OG0000080	NB625_RS02760	MHP_RS03805
OG0000081	NB625_RS00340	MHP_RS00345
OG0000082	NB625_RS02540	MHP_RS02270
OG0000083	NB625_RS02020	MHP_RS01985
OG0000084	NB625_RS02050	MHP_RS02010
OG0000085	NB625_RS02055	MHP_RS02015
OG0000086	NB625_RS02160	MHP_RS02025
OG0000087	NB625_RS02175	MHP_RS02040
OG0000088	NB625_RS02180	MHP_RS02045
OG0000089	NB625_RS02190	MHP_RS02055
OG0000090	NB625_RS00070	MHP_RS00070
OG0000091	NB625_RS00055	MHP_RS00055
OG0000092	NB625_RS00040	MHP_RS00040
OG0000093	NB625_RS00035	MHP_RS00035
OG0000094	NB625_RS00030	MHP_RS00030
OG0000095	NB625_RS00005	MHP_RS00005
OG0000096	NB625_RS03760	MHP_RS03540
OG0000097	NB625_RS03740	MHP_RS03520
OG0000098	NB625_RS03730	MHP_RS03510
OG0000099	NB625_RS03685	MHP_RS03455
OG0000100	NB625_RS03675	MHP_RS03440
OG0000101	NB625_RS03665	MHP_RS03435
OG0000102	NB625_RS01710	MHP_RS01695
OG0000103	NB625_RS02360	MHP_RS02090
OG0000104	NB625_RS02365	MHP_RS02095
OG0000105	NB625_RS02380	MHP_RS02110
OG0000106	NB625_RS02390	MHP_RS02120
OG0000107	NB625_RS02400	MHP_RS02130
OG0000108	NB625_RS02405	MHP_RS02135
OG0000109	NB625_RS02410	MHP_RS02140
OG0000110	NB625_RS02530	MHP_RS02260
OG0000111	NB625_RS02525	MHP_RS02255
OG0000112	NB625_RS02515	MHP_RS02245
OG0000113	NB625_RS02495	MHP_RS02225
OG0000114	NB625_RS02485	MHP_RS02215
OG0000115	NB625_RS02475	MHP_RS02205
OG0000116	NB625_RS01300	MHP_RS00705
OG0000117	NB625_RS01305	MHP_RS00700
OG0000118	NB625_RS01340	MHP_RS00665
OG0000119	NB625_RS01345	MHP_RS00660
OG0000120	NB625_RS01360	MHP_RS00645
OG0000121	NB625_RS01385	MHP_RS00620
OG0000122	NB625_RS01390	MHP_RS00615
OG0000123	NB625_RS01410	MHP_RS00595
OG0000124	NB625_RS01415	MHP_RS00590
OG0000125	NB625_RS01420	MHP_RS00585
OG0000126	NB625_RS01430	MHP_RS00575
OG0000127	NB625_RS01440	MHP_RS00565
OG0000128	NB625_RS01460	MHP_RS00550
OG0000129	NB625_RS01465	MHP_RS00545
OG0000130	NB625_RS01475	MHP_RS00535
OG0000131	NB625_RS01505	MHP_RS00505
OG0000132	NB625_RS01520	MHP_RS00490
OG0000133	NB625_RS00530	MHP_RS01455
OG0000134	NB625_RS00535	MHP_RS01450
OG0000135	NB625_RS00550	MHP_RS01435
OG0000136	NB625_RS00555	MHP_RS01430
OG0000137	NB625_RS00595	MHP_RS01400
OG0000138	NB625_RS01065	MHP_RS01370
OG0000139	NB625_RS01035	MHP_RS01340
OG0000140	NB625_RS01030	MHP_RS01335
OG0000141	NB625_RS03090	MHP_RS02880
OG0000142	NB625_RS03085	MHP_RS02875
OG0000143	NB625_RS03065	MHP_RS02850
OG0000144	NB625_RS03050	MHP_RS02840
OG0000145	NB625_RS03040	MHP_RS02830
OG0000146	NB625_RS03030	MHP_RS02820
OG0000147	NB625_RS03025	MHP_RS02815
OG0000148	NB625_RS03010	MHP_RS02800
OG0000149	NB625_RS03000	MHP_RS02790
OG0000150	NB625_RS02985	MHP_RS02775
OG0000151	NB625_RS02940	MHP_RS02645
OG0000152	NB625_RS02935	MHP_RS02640
OG0000153	NB625_RS02930	MHP_RS02635
